@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[4]_amean numeric
@attribute mfcc_sma[5]_max numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_max numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_min numeric
@attribute F0_sma_amean numeric
@attribute F0_sma_skewness numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[4]_range numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_min numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_range numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute output {sexy,notsexy}

@data
-0.632291,21.56367,0.309812,0.18579,22.66819,2.733691,21.16813,25.07961,3.226367,18.57954,-2.711792,3.181436,-0.749363,-0.715092,0.00363,0.057007,0.134473,47.0865,2.274003,12.29369,9.800167,9.03483,-0.013451,-6.070715,3.978272,10.41438,0.000216,-0.16785,sexy
-0.098175,22.08973,5.086801,0.11182,15.06065,-0.318957,9.427104,13.44614,0.998358,11.93298,-2.567227,3.092875,-0.671209,-1.511964,0.00484,0.033883,0.158285,40.1353,2.260196,6.507136,7.368009,7.894274,0.031779,-4.097348,3.976615,10.95064,0.000052,-0.148412,sexy
-0.197987,8.265137,-12.4553,0.612342,11.15784,6.955106,8.88279,18.53581,2.007775,19.63335,4.190726,3.001101,-3.806308,-3.702828,0.006655,0.04036,0.150507,43.22706,2.031583,8.325159,7.819264,6.662154,-0.08129,-3.944804,3.868336,8.955421,0.00006,-0.155938,sexy
-0.422135,25.39237,8.646432,-0.236247,17.41218,-3.650073,14.86436,20.98044,-1.954893,15.58814,-5.755792,2.985042,-1.83763,-1.32903,0.00363,0.067376,0.145522,59.05788,2.086188,11.35655,11.74791,11.16835,0.324758,-5.467982,3.771168,11.07172,0.000183,-0.16357,sexy
-0.145991,16.77482,-3.460013,0.049644,25.75651,1.528682,19.96358,25.69351,0.828736,15.63364,-5.567096,2.781201,-4.901157,-4.927207,0.00363,0.062019,0.141192,99.45328,0.644985,10.47198,9.408212,10.44437,0.608616,-5.301427,4.830019,10.20391,0.000151,-0.163056,sexy
0.77415,16.42919,-2.59577,0.36145,23.19161,1.891721,20.62656,20.94909,2.906319,22.95187,3.019927,3.293282,0.090704,-0.774894,0.005445,0.050252,0.13437,23.48488,3.505345,8.620936,8.519215,7.631248,0.013212,-4.933131,4.011162,10.60417,0.000106,-0.148429,sexy
-0.532219,19.36803,2.977466,0.343938,11.53001,1.722016,11.30139,14.90957,2.429919,15.35118,0.913604,2.98701,1.479665,1.470129,0.00363,0.032341,0.13263,1.093808,17.89263,6.668515,7.576658,7.7991,0.018182,-3.74235,3.428367,8.586128,0.000076,-0.083695,sexy
-0.732972,12.28281,-2.995503,0.065518,16.83275,2.768179,13.332,15.74215,-0.704948,18.98793,0.665029,4.085191,-1.09481,-0.997402,0.00484,0.083489,0.092752,9.123554,4.986529,8.597599,11.00076,10.95268,-0.116125,-4.47655,3.738481,11.28564,0.000267,-0.118727,sexy
-0.226625,15.30261,-4.44803,0.99483,19.20664,0.027524,19.66836,17.51081,-0.373731,18.16245,2.390349,2.683941,1.528997,1.150863,0.006655,0.048033,0.14882,71.00226,1.471175,8.24972,8.483065,7.50258,0.224169,-3.497637,3.634441,9.44661,0.000055,-0.111334,sexy
-0.017859,20.60135,2.376104,0.596375,14.97921,-1.82892,15.92643,15.29055,-1.321361,13.17319,0.007307,3.599948,1.506807,0.60197,0.013309,0.063937,0.140882,12.15193,5.240809,7.567772,7.235531,8.481691,0.06296,-4.001392,3.221442,10.32496,0.0002,-0.127313,sexy
0.055984,10.94922,-1.638329,0.133714,14.32794,1.563539,14.87163,17.58019,0.610932,14.93035,-3.439858,3.381411,-3.976343,-5.05228,0.016939,0.040575,0.138468,13.87816,4.523309,6.719656,7.097198,7.072258,-0.348938,-4.404164,3.766026,9.278006,0.000086,-0.129769,sexy
-0.788297,12.01065,2.719719,0.097147,19.77479,-5.550136,17.81687,21.15789,8.53138,18.90215,4.785692,3.179317,-5.09125,-8.908513,0.006655,0.012407,0.212761,30.35084,3.062385,5.73948,5.06715,6.271255,0.209784,-6.317282,5.106495,7.333461,0.000011,-0.075166,sexy
0.517775,8.290837,-8.133475,0.427303,10.25027,-3.22357,11.08035,24.84501,-0.618187,12.54605,-4.01202,3.878677,-5.124759,-6.050563,0.027828,0.039388,0.14949,61.58126,1.734467,7.022014,7.893382,6.666523,0.007463,-4.112082,3.457393,8.314417,0.000075,-0.152825,sexy
0.5471,2.401115,-5.672082,-0.086344,13.86483,4.295878,8.753605,10.30532,-1.309028,15.94641,3.772654,2.966635,-1.228063,3.281685,0.00726,0.019881,0.195966,79.71031,1.50738,3.731048,3.664994,4.297909,0.109671,-2.670369,3.352794,6.033235,0.000011,-0.098733,sexy
0.095871,8.912335,-10.82288,0.098772,20.80741,-7.451209,12.48028,15.30111,-3.165212,11.21675,-0.841674,2.912365,-1.349443,-3.96788,0.00363,0.061837,0.140792,12.05933,4.72707,7.363109,9.236221,8.375254,0.481079,-4.357322,3.650045,6.572432,0.000105,-0.109739,sexy
-0.33406,5.887838,-8.699124,0.027227,15.44267,-4.874013,4.442347,11.99608,-9.7147,2.8737,-14.48222,3.020152,-0.395508,-0.281259,0.012099,0.049385,0.165738,116.0688,0.933074,5.496734,6.373565,7.755877,-0.148766,-3.322618,4.034534,7.253764,0.000075,-0.122077,sexy
-2.039441,17.53678,7.20237,0.417176,9.503964,1.019819,18.90867,11.12572,-2.284755,16.99547,1.149437,2.930629,-1.892697,-4.06368,0.00726,0.044395,0.114894,31.99947,3.136066,8.879643,8.498003,7.78685,0.241901,-3.820172,3.935967,7.764018,0.000056,-0.150971,sexy
1.176932,15.48231,-3.187797,0.287719,13.86477,-1.869502,12.67109,15.88601,-1.394894,13.90257,-0.443069,2.738793,0.674384,0.620368,0.00605,0.044474,0.137769,78.26627,1.38203,7.571672,8.776018,8.08839,0.015763,-5.10164,3.483942,8.031015,0.000129,-0.152782,sexy
-0.680849,14.11961,-5.304523,-0.941948,9.588412,-2.848407,6.867071,8.123277,-9.869014,8.664707,-8.187074,3.372948,-2.158387,-1.021883,0.016334,0.047432,0.162741,76.33887,1.305574,5.743718,6.924304,6.278104,-0.04253,-3.888161,3.828943,7.663703,0.000068,-0.146205,sexy
0.12765,11.95026,-1.440277,0.007369,21.42326,-3.683664,23.36115,19.94682,-3.850683,30.29265,4.53133,4.552028,-0.608859,-0.964297,0.00363,0.02751,0.136383,102.8553,1.075205,10.08399,10.35312,10.79501,-0.234108,-6.221581,4.35125,12.76724,0.00003,-0.172682,sexy
-0.972132,12.12646,-5.165353,1.153694,15.46788,2.554607,12.94955,17.50784,-0.660968,16.64396,-3.006496,3.281993,0.221874,0.820589,0.014519,0.051429,0.131695,39.99306,2.746671,6.915626,6.408577,5.851785,0.100652,-3.619471,3.088928,7.369244,0.000108,-0.12306,sexy
0.742744,16.17805,-2.618965,0.463571,23.59626,3.023326,15.61966,16.06716,-2.959311,28.84227,7.530149,4.385896,-3.713469,-4.998332,0.00363,0.057174,0.132114,78.22194,1.349347,7.537968,10.07903,9.915652,0.534161,-5.795221,5.487939,11.46719,0.00011,-0.139782,sexy
-0.742903,22.69941,7.480672,0.297642,18.93768,-1.849744,19.34742,21.72324,0.759244,20.09686,-2.19317,3.055425,0.394369,1.245999,0.00363,0.032409,0.150894,57.86669,1.835124,7.694767,7.493566,9.848257,0.076583,-5.950591,4.946549,9.699823,0.000058,-0.162337,sexy
0.577151,6.328175,-4.252778,-0.308378,12.26163,0.792939,9.069327,12.07235,-0.354788,18.8594,2.409903,3.239669,-2.239287,-2.223505,0.008469,0.047347,0.12663,67.55304,1.524291,5.904237,6.250613,6.878429,0.20834,-3.124437,3.433279,8.594911,0.000081,-0.161812,sexy
-0.408343,17.02492,4.365737,0.265476,14.65237,-0.486994,14.82823,8.68996,-3.011042,11.32532,-3.715721,2.835385,3.389424,3.111318,0.007864,0.035846,0.144876,32.23847,2.795665,4.887238,5.644536,5.165279,0.073674,-2.76736,3.053655,6.899106,0.000052,-0.109597,sexy
-0.172803,18.30197,-3.373893,0.077567,18.98373,-3.175889,19.46224,19.08762,-2.297913,20.36794,1.570363,3.189831,-2.034429,-0.533505,0.013309,0.072194,0.139671,35.57332,2.592788,11.38366,13.26265,10.33148,0.184829,-5.741424,4.123168,10.64365,0.000291,-0.169201,sexy
0.468745,7.284648,-3.854561,0.239422,12.03624,-1.064519,15.36602,10.72069,0.849434,17.15682,2.123657,2.796476,1.764003,2.656088,0.00605,0.039056,0.147993,58.53101,1.952733,4.301272,4.97513,5.851038,0.086025,-3.402674,3.28043,7.467777,0.00006,-0.128442,sexy
-0.274372,3.064933,-8.388409,-0.154094,12.08239,1.703516,10.74482,12.75846,-3.30444,17.39922,3.221516,2.580568,-0.208311,1.100085,0.045977,0.051535,0.175066,12.94143,5.072994,4.96558,4.863017,5.532338,0.031546,-3.396037,3.311643,7.731586,0.0001,-0.122161,sexy
-0.328379,21.10475,15.38873,-0.785237,16.67437,3.794619,18.74335,20.02798,-2.709816,12.15448,-0.882862,2.666484,-8.692584,-13.76635,0.006655,0.008121,0.198457,136.7149,0.672788,7.075741,6.44321,10.28027,-0.183264,-4.823067,5.937149,7.476535,0.000002,-0.111021,sexy
-0.234641,6.549169,-3.086646,0.28966,8.625549,-3.258628,10.10246,7.804281,-2.026366,11.89743,1.881777,3.05946,-3.800415,-4.61904,0.016939,0.024942,0.127409,19.24394,3.503633,4.7982,6.046341,6.379906,-0.024297,-2.943101,3.216686,7.587809,0.000037,-0.140713,sexy
-0.503685,6.910602,-7.049915,0.059327,7.022554,-11.10726,10.05946,17.19387,-5.740181,21.52466,3.257818,2.745305,-0.833662,-1.171657,0.010284,0.029969,0.163172,104.4663,0.960418,8.450062,7.423441,8.246123,-0.177306,-4.97217,4.274981,11.41073,0.00003,-0.117055,sexy
2.058857,12.25502,-1.047314,0.173362,14.62139,3.754087,14.24305,21.26538,3.748611,23.51257,0.714984,3.79706,-0.352011,-0.92234,0.009074,0.041137,0.138964,42.98955,2.252412,10.90889,8.253706,7.718543,0.01643,-6.890054,4.888642,10.53605,0.000069,-0.146688,sexy
-0.222495,17.74363,-1.659427,1.251542,15.67831,-0.81254,14.08148,17.41663,2.517737,21.12949,0.784935,3.175517,-1.56732,0.261182,0.00484,0.040269,0.145283,145.4476,0.34861,8.181026,6.996488,6.741455,0.233883,-4.50212,4.03517,10.23771,0.000068,-0.157807,sexy
-0.866084,16.35862,-8.68056,0.361359,13.75128,-8.169147,14.8644,17.03398,-13.80395,14.24881,-6.60872,2.813118,-3.509773,-4.64622,0.019359,0.064514,0.131025,81.20632,1.193593,9.206766,11.69234,8.113108,0.082067,-4.303056,4.443557,10.2156,0.000176,-0.130161,sexy
-0.897115,9.109391,-2.26791,0.225736,6.437531,-3.733855,13.83914,12.69518,-0.935447,16.22682,4.549732,2.81578,-0.705442,0.010993,0.009679,0.022498,0.15635,62.10832,1.63656,6.134791,6.287379,8.091028,0.154774,-3.730762,3.570758,7.817657,0.000023,-0.133032,sexy
-0.331078,21.4314,-5.613446,-0.065962,23.61062,-2.430513,25.64377,20.50206,-0.506137,23.34691,-2.5455,3.715655,3.149721,4.906429,0.00363,0.090071,0.133229,81.388,1.584981,13.21102,10.16546,15.08373,0.020558,-6.745221,4.455429,14.49638,0.000325,-0.189624,sexy
-0.21796,11.33609,-2.280187,0.870264,13.33777,0.187943,21.23834,11.62352,1.679497,19.44407,4.505229,3.293377,-0.223128,0.421311,0.00726,0.03399,0.14522,42.53067,1.826724,5.728016,6.560509,6.755342,0.05597,-3.991227,3.234774,8.361426,0.00005,-0.125795,sexy
-0.272813,17.66767,5.019156,0.413309,18.23371,2.574498,19.02513,16.22714,1.189178,21.60965,2.127362,3.117211,-1.680418,-0.483804,0.007864,0.037593,0.139039,2.327971,9.091231,7.125897,8.220049,7.9859,-0.189881,-4.715889,4.637635,9.022543,0.000076,-0.108907,sexy
0.070441,16.86977,-7.462596,0.185491,30.67682,-4.05774,16.96039,17.74366,-7.172372,18.14893,-4.334291,2.999506,1.830694,6.183978,0.00363,0.107413,0.125094,111.6634,1.003318,10.86383,11.3144,9.041312,0.147425,-3.87873,3.714445,10.69551,0.000265,-0.177506,sexy
-0.30331,8.322732,-5.565567,0.225236,15.4042,2.096503,17.4076,15.50555,1.552674,16.96751,-0.330131,3.195674,-0.122907,-2.481471,0.032063,0.053896,0.136947,6.3665,7.328377,6.570433,6.24303,6.204268,0.336798,-4.292213,3.909206,7.539256,0.00012,-0.108073,sexy
-0.409407,17.4746,-1.181166,0.118618,10.79105,1.895997,16.19715,13.29206,-2.42011,14.5762,-3.356063,3.078316,-1.427093,-1.715457,0.004235,0.095116,0.13472,16.1011,3.487647,9.948507,8.507991,9.410212,-0.121434,-4.432647,3.645781,10.60374,0.000479,-0.142356,sexy
-0.023184,12.54724,-6.391282,0.393648,16.74103,-2.96079,14.97079,24.96349,-2.468321,20.03161,-1.038842,3.249174,-0.025857,0.78094,0.005445,0.085322,0.084526,32.85257,2.912055,10.09763,11.49789,10.92652,-0.120065,-6.475786,3.266223,12.02167,0.000306,-0.171092,sexy
-0.660851,14.35548,-4.232084,0.22588,19.32316,-2.035602,5.374335,9.158591,-5.203866,13.30934,-1.471597,3.268957,-2.56725,-3.101048,0.010889,0.016943,0.149071,27.73873,3.287932,7.104977,6.271394,6.230521,0.351477,-3.363424,4.079614,8.745783,0.000012,-0.116587,sexy
-0.970176,20.51141,2.650419,-0.573387,15.09172,-5.601194,17.81584,12.14971,-3.740223,16.29511,-2.531707,3.085598,-1.361392,-1.656025,0.008469,0.022079,0.153712,129.5556,0.494376,9.158691,8.675995,8.237017,0.07636,-4.897373,4.251394,9.427547,0.000026,-0.151762,sexy
