@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_G# numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_NumMax numeric

@data

0.228326,0.000496,5.170927,6.246374,7.308539,10.329656,0.3929,0.350613,0.331024,2.120607,-77.241379,0.568998,0.940419,4.438298,0.201375,0.207108,0.198761,0.157245,0.038938,0.040223,0.045594,0.083379,0.045913,0.000111,0.107335,0.081187,0.043025,0.006756,0.000118,0.000091,0.15797,0.214874,1.00664,0.001164,0.006833
0.237114,0.001453,3.870558,4.459079,5.625097,7.55995,0.541119,0.524724,0.504578,2.17966,-10.633003,0.641701,0.822895,2.643677,0.267337,0.249265,0.178597,0.129349,0.053844,0.068696,0.058677,0.080074,0.090455,0.0006,0.086182,0.065849,0.076854,0.006926,0.000838,0.000803,0.161542,0.21545,1.010351,0.001466,0.016635
0.154903,0.000001,4.615638,5.870795,8.608913,13.019415,0.537205,0.325577,0.233493,2.121107,-501.161425,0.500356,0.517607,5.039715,0.219205,0.186246,0.179098,0.128046,0.013854,0.023294,0.039632,0.055836,0.021586,0.000002,0.126616,0.065887,0.012092,0.007111,0.000004,0.000001,0.155656,0.221773,1.005006,0.000948,0.003186
-0.099445,0.000061,4.955601,5.854638,7.07246,8.367698,0.356204,0.348624,0.437747,2.119121,-56.179586,0.584864,1.006506,3.150579,0.216845,0.213199,0.168754,0.122502,0.039186,0.038768,0.034563,0.060188,0.057063,0.000015,0.091365,0.063273,0.029369,0.006168,0.000017,0.000017,0.153592,0.210961,1.003193,0.00089,0
0.338469,0.000747,3.721896,5.659944,6.053805,6.883543,0.574366,0.536087,0.497017,2.155349,-108.945045,0.514934,0.699224,3.117733,0.224482,0.204309,0.176988,0.128761,0.056879,0.080374,0.051089,0.078587,0.177828,0.00017,0.078893,0.066458,0.118134,0.009645,0.000115,0.000099,0.153282,0.216985,1.007726,0.001548,0.013384
0.043856,0.000103,6.093207,7.520664,7.95831,10.054963,0.322397,0.28457,0.36214,2.094063,-441.088066,0.523145,0.71001,5.334433,0.214491,0.209964,0.191251,0.156527,0.039229,0.037195,0.040601,0.105689,0.096812,0.000035,0.139008,0.086691,0.101384,0.006854,0.000053,0.000044,0.151084,0.212049,1.014699,0.001819,0.026264
0.48381,0.001821,4.703559,6.038531,6.509526,7.939575,0.417477,0.395783,0.34059,2.163488,-53.635726,0.544031,0.838841,3.310114,0.24908,0.230864,0.200157,0.173289,0.051083,0.062227,0.067965,0.083172,0.065826,0.000376,0.08663,0.076609,0.078354,0.006279,0.000166,0.000159,0.152641,0.212534,1.005742,0.001248,0.008124
0.298901,0.000153,4.839065,6.510482,7.104928,9.59711,0.356354,0.354235,0.315857,2.141518,-56.934994,0.586961,0.880515,3.996262,0.216368,0.221655,0.170457,0.142588,0.026628,0.042761,0.054406,0.072612,0.030128,0.000063,0.0798,0.063709,0.05563,0.0054,0.000077,0.000058,0.160277,0.21367,1.0062,0.00107,0.015247
0.540538,0.000482,3.869599,4.713983,4.97918,7.295729,0.470869,0.272822,0.431138,2.161664,-84.936866,0.631841,0.77111,2.432061,0.256621,0.23547,0.189893,0.13819,0.040774,0.039545,0.032701,0.076863,0.029988,0.000162,0.098932,0.072118,0.026004,0.005578,0.000116,0.0001,0.155716,0.217382,1.003998,0.000981,0.002094
0.116778,0.000401,4.867095,6.498756,7.043425,8.764864,0.391152,0.389559,0.3687,2.174394,-9.409893,0.597206,0.974722,3.119039,0.24083,0.226663,0.20596,0.154222,0.045929,0.059934,0.07833,0.062646,0.056049,0.00012,0.106208,0.08831,0.093781,0.006602,0.000278,0.000219,0.156053,0.216817,1.006336,0.001189,0.008298
0.710269,0.000343,4.815565,7.892736,7.004999,8.268243,0.309143,0.364602,0.336806,2.103692,-275.528866,0.643614,0.963282,3.089095,0.231946,0.224468,0.206278,0.164535,0.046708,0.062227,0.06103,0.07972,0.049284,0.000064,0.141967,0.062964,0.077025,0.007047,0.000083,0.000063,0.1531,0.213631,1.007359,0.001371,0.00552
0.419316,0.001329,4.30693,4.967346,5.767344,7.624764,0.48675,0.460975,0.477095,2.12408,-70.454658,0.618035,0.763284,2.750853,0.215945,0.230542,0.19696,0.131356,0.04435,0.055001,0.053112,0.079351,0.060319,0.000177,0.084508,0.078438,0.056736,0.005837,0.000284,0.000233,0.150084,0.213866,1.005973,0.001015,0.014084
0.17005,0.000468,3.736888,4.377417,6.504672,7.398581,0.558659,0.534867,0.514047,2.115471,-79.842895,0.614108,0.844898,2.551056,0.202837,0.219172,0.165038,0.118397,0.024544,0.051624,0.061637,0.074203,0.111276,0.000066,0.086088,0.061357,0.100536,0.006208,0.00008,0.000071,0.152839,0.216151,1.005372,0.001002,0.003974
0.297451,0.000048,3.770341,5.001028,6.949796,9.739481,0.509187,0.525236,0.460276,2.070593,-217.071929,0.551153,0.751959,4.082717,0.245259,0.238923,0.185646,0.127224,0.05211,0.060828,0.05725,0.075701,0.066055,0.000012,0.089688,0.060015,0.067167,0.009981,0.000017,0.000014,0.150135,0.208664,1.014698,0.001986,0.030423
0.175107,0.000311,5.237841,6.486328,7.881888,7.734603,0.377495,0.352467,0.369748,2.076868,-624.033596,0.517454,0.71301,3.09671,0.213258,0.205916,0.182056,0.131011,0.0383,0.044914,0.038746,0.098518,0.079886,0.000115,0.102622,0.120675,0.068673,0.005416,0.000162,0.000138,0.147566,0.215293,1.004196,0.001005,0.004435
0.157962,0.000308,4.060086,5.426498,5.705758,8.647305,0.492699,0.501755,0.477541,2.143382,-25.174257,0.599722,0.784276,3.140436,0.243692,0.215408,0.185059,0.129255,0.035277,0.048491,0.049303,0.076537,0.085182,0.000101,0.112777,0.081416,0.060202,0.005201,0.000134,0.000113,0.157147,0.213894,1.008914,0.001229,0.01433
0.519566,0.000864,4.307302,5.372031,7.241899,13.864999,0.468864,0.470794,0.457203,2.113162,-74.418669,0.659963,0.80694,6.317575,0.219816,0.225895,0.185851,0.127885,0.040281,0.044237,0.042254,0.065328,0.037507,0.000141,0.12092,0.06608,0.027171,0.004906,0.000104,0.000086,0.15812,0.213052,1.004301,0.000979,0
0.569701,0.000358,4.65656,8.671806,7.260307,8.169096,0.468787,0.34192,0.333259,2.085896,-778.791992,0.511655,0.788167,5.206239,0.200806,0.184743,0.163517,0.138627,0.017072,0.025409,0.053083,0.074239,0.019309,0.000143,0.113604,0.082951,0.057821,0.006072,0.000156,0.000113,0.149046,0.211751,1.002505,0.000847,0
0.195492,0.000146,4.787892,6.9297,7.892654,9.553205,0.401588,0.321137,0.363161,2.084082,-261.700492,0.533623,0.750866,3.787177,0.209739,0.202759,0.179863,0.144061,0.034005,0.03713,0.052617,0.074594,0.039645,0.000044,0.085967,0.066245,0.033288,0.006049,0.000082,0.000047,0.150634,0.214411,1.003905,0.001012,0
0.010632,0.000975,5.537171,5.249202,4.902402,5.965497,0.351028,0.369367,0.305505,2.084124,-772.038411,0.413886,0.70374,2.174416,0.206438,0.184547,0.153083,0.118304,0.017479,0.030164,0.0329,0.061389,0.034367,0.000145,0.09286,0.091184,0.040929,0.007945,0.000085,0.000069,0.154371,0.223601,1.002376,0.000807,0
-0.197759,0.000224,4.637424,6.113176,6.803866,8.770091,0.485873,0.416847,0.425112,2.048849,-1434.451366,0.559056,0.733598,3.868556,0.203366,0.198151,0.17204,0.130801,0.035041,0.042733,0.061112,0.106582,0.073701,0.000157,0.078654,0.062782,0.10403,0.00596,0.000183,0.00017,0.139511,0.213756,1.00345,0.000911,0.002133
-0.138679,0.000033,5.262523,7.910129,7.421136,10.800296,0.243033,0.3284,0.325644,2.076719,-347.118384,0.607757,1.055674,4.181515,0.155962,0.201155,0.173917,0.141484,0.043788,0.052846,0.053964,0.066162,0.058323,0.000038,0.114336,0.095805,0.031363,0.005026,0.000062,0.000048,0.154665,0.210197,1.005401,0.001209,0.007026
0.374601,0.000064,4.851252,4.663368,6.471383,9.432128,0.424522,0.468449,0.453119,2.164513,-29.686165,0.477217,0.720843,3.770019,0.195457,0.183615,0.194311,0.129171,0.0263,0.034963,0.045768,0.062736,0.035088,0.000033,0.075105,0.066294,0.044055,0.012203,0.00002,0.000019,0.163679,0.21712,1.005214,0.000971,0.008859
