@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.354517,0.308416,0.0001,0.000148,6.237409,0.4166,0.413892,0.413759,0.463462,2.11107,10.25678,0.000092,0.835628,0.804679,3.924673,0.207913,0.182929,0.062506,0.062058,0.035525,0.118708,0.106494,0.045251,0.00819,0.215967,1.006101,0.001178,0.289033,0.004684,55.55565,3.947788,1.246872,1.18535,0.685687,0.876117,0.031371,32.6795,6.016758,385.5137,1.710988,0.053988,0.465244,0.280395,0.000804,0.001848,1719.571,2.325371,0,0.917443,0.102155,0,0.075791,0.002261,364.9553,192425.3
0.226734,-0.027649,0.000037,0.000044,5.918865,0.376403,0.369223,0.400463,0.387263,2.094809,11.824587,0.000057,0.810902,0.933335,3.883029,0.188131,0.156797,0.050638,0.057321,0.054115,0.110091,0.067352,0.048463,0.00699,0.21208,1.006048,0.001321,0.239459,0.005333,73.63339,4.860527,1.370806,0.70979,0.940885,0.893743,0.084232,61.944,5.698691,515.2081,1.878196,0.033209,0.107635,0.612846,0.000295,0.008454,3761.628,0.971749,0,0.827563,0.098261,0,0.142797,0.003973,569.9874,274713
0.33589,0.089017,0.000326,0.000476,6.86801,0.350539,0.388896,0.372047,0.364272,2.144916,6.431889,0.000453,0.754203,0.668763,2.877631,0.171435,0.1347,0.048947,0.061691,0.07598,0.102051,0.094676,0.110901,0.007267,0.209872,1.007356,0.001355,0.3114,0.017353,61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6
-0.108173,0.072689,0.000508,0.000515,6.582695,0.523762,0.47986,0.437223,0.460657,2.110473,13.730686,0.000343,0.842735,0.744487,2.768265,0.164134,0.155686,0.054992,0.052861,0.047389,0.095806,0.063523,0.022398,0.007336,0.215133,1.005574,0.001053,0.277811,0.003059,79.83265,5.157918,1.387253,0.706452,1.162864,0.89828,0.13671,69.58352,5.681467,330.5585,0.99952,0.018208,0.026152,0.24935,0.000142,0.017588,4314.307,0.45296,0,0.848202,0.115821,0,0.128841,0.004464,530.7479,65122.56
0.362179,0.279159,0.000472,0.000572,5.787787,0.456146,0.377197,0.426436,0.485278,2.103652,21.316339,0.000587,0.806655,0.772601,2.945033,0.16374,0.142404,0.051898,0.059725,0.042442,0.113051,0.086209,0.073344,0.011227,0.217677,1.006896,0.001061,0.277502,0.012469,65.97597,4.112808,1.230712,0.895513,0.834739,0.891036,0.126715,151.1791,6.637774,243.9335,1.804732,0.052168,0.08602,0.326608,0.000298,0.008832,13916.53,1.670734,0,0.944075,0.119054,0,0.052833,0.002447,331.1738,116650.5
0.64847,0.578166,0.000405,0.000659,6.043479,0.278797,0.368536,0.338128,0.362405,2.150158,4.030266,0.000464,0.888114,0.92639,3.530443,0.180509,0.14883,0.052581,0.067192,0.049872,0.101738,0.082844,0.047154,0.007003,0.212586,1.009358,0.001284,0.276728,0.020289,82.26908,6.03647,1.581483,0.5347,0.904575,0.893211,0.045296,15.53245,4.870168,174.7765,0.715324,0.018085,0.048335,0.392729,0.000173,0.00958,496.0838,0.488319,0,0.890812,0.103291,0,0.097331,0.003531,959.6816,411609.9
-0.070625,0.051565,0.00041,0.000498,5.610603,0.414951,0.420462,0.439396,0.403774,2.110495,7.616726,0.000271,0.871565,0.845194,3.658235,0.166905,0.13945,0.043332,0.05209,0.018473,0.079242,0.061356,0.035553,0.004341,0.214013,1.003933,0.000919,0.281103,0.002981,75.7045,4.509804,1.279891,0.745055,1.005153,0.895385,0.102193,120.053,6.46462,189.1122,0.602583,0.014775,0.058055,0.209158,0.000207,0.006824,9947.184,0.822515,0,0.940746,0.121744,0,0.05578,0.003218,398.4011,25434.87
0.394322,0.214881,0.000065,0.000077,6.176537,0.444093,0.415352,0.379904,0.4199,2.138481,5.358232,0.000101,0.769641,0.715069,3.151306,0.168695,0.142141,0.056727,0.060419,0.036392,0.098405,0.104606,0.06816,0.007056,0.210949,1.007794,0.001137,0.277062,0.012598,61.18724,4.505174,1.349551,0.943364,0.775876,0.890541,0.08265,81.70352,5.622205,257.4558,1.372919,0.039886,0.177149,0.207477,0.000212,0.005665,6194.889,1.137593,0,0.737683,0.107111,0,0.193636,0.005991,364.9806,162965.6
0.155781,-0.187629,0.00024,0.000355,5.519095,0.499687,0.484263,0.464257,0.409861,2.152005,2.476274,0.000321,0.856843,0.795597,3.798815,0.187388,0.142946,0.086609,0.06615,0.204488,0.16196,0.093984,0.085709,0.011893,0.220149,1.007126,0.001451,0.237321,0.01557,64.16267,5.658641,1.626831,0.630761,0.674072,0.885441,0.059968,17.39616,4.136972,920.5238,2.538913,0.053031,0.15457,0.505711,0.000674,0.016072,981.7941,1.540793,0,0.637151,0.063298,0,0.231344,0.004352,688.8901,766493.4
0.174985,0.097641,0.000283,0.000445,5.890259,0.406045,0.401033,0.389539,0.396032,2.129622,5.395098,0.00041,0.923526,0.948017,3.809823,0.21902,0.163591,0.082224,0.100825,0.081658,0.117842,0.059954,0.054691,0.007024,0.211683,1.008769,0.001242,0.299659,0.027518,61.39787,5.405267,1.594142,0.608526,0.605398,0.886185,0.023873,4.468085,4.184194,338.7163,1.732663,0.050607,0.089294,0.250835,0.000346,0.006618,105.4626,1.000484,0,0.814913,0.103623,0,0.15093,0.00446,915.327,1285180
