@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Volume numeric
@attribute mean_Complex_Tonal numeric
@attribute std_SpectralCentroid numeric
@attribute output {sexy,notsexy}

@data
0.478437,0.121294,83.50032,0.181124,3422.804,0.144893,34862.7,sexy
0.703496,0.092707,58.50158,0.495097,5377.444,0.114959,141249.5,sexy
0.590579,0.152265,109.7849,0.204914,9987.738,0.117482,120461.7,sexy
0.554343,0.065569,31.73588,0.195907,913.1786,0.102542,797232.8,sexy
0.755126,0.108545,64.05669,0.024016,1642.39,0.122438,16479.96,sexy
0.849159,0.094594,69.83273,0.267542,11282.12,0.095111,86812.58,sexy
0.636617,0.069714,49.95555,0.230401,3567.192,0.097731,121978.2,sexy
0.661679,0.105647,49.12878,0.453748,10457.88,0.093927,788773.2,sexy
0.947402,0.038176,19.09062,1.475239,839.58,0.098265,166318,sexy
1.044031,0.055698,27.90797,0.363094,1466.843,0.116854,245959.6,sexy
0.630761,0.059968,17.39616,0.505711,981.7941,0.063298,766493.4,sexy
0.673633,0.085847,64.20432,0.124372,5216.852,0.056106,98990.36,sexy
0.673399,0.066525,26.04225,0.349568,589.5587,0.06228,271122.8,sexy
0.617627,0.080583,37.79317,0.343548,1619.68,0.08567,167000.6,sexy
0.555855,0.14861,67.79336,0.126003,3765.697,0.107144,99462.64,sexy
0.814398,0.131511,70.74097,0.63843,2464.088,0.107508,29537.01,sexy
0.592121,0.135511,81.93979,0.226474,5984.248,0.134704,153746.4,sexy
0.654998,0.065566,41.1044,0.51578,2552.29,0.093559,111769.3,sexy
0.651504,0.058866,26.77772,0.135928,1392.856,0.116089,594533.6,sexy
0.788732,0.047247,35.55958,0.524279,2565.604,0.100186,314270.4,sexy
0.515403,0.105666,41.68894,0.111816,2410.201,0.118028,208662.7,sexy
0.70915,0.089052,35.07129,0.226452,1056.044,0.076276,125243.2,sexy
0.623658,0.094496,52.15161,0.191448,3150.04,0.098723,134247.9,sexy
0.957699,0.104398,95.06823,0.194073,10010.77,0.087543,98633.11,sexy
0.890921,0.130871,97.86029,0.091505,5299.928,0.130477,92438,sexy
0.608526,0.023873,4.468085,0.250835,105.4626,0.103623,1285180,sexy
0.707983,0.051915,23.59494,0.23881,1643.615,0.107144,92019.94,sexy
0.64379,0.032013,9.537215,0.258543,172.6641,0.093297,576804.4,sexy
0.614375,0.140313,37.75605,0.222834,2293.646,0.093829,361591.8,sexy
0.556305,0.092964,38.83206,0.202729,2169.279,0.136398,437845.2,sexy
0.514763,0.115595,54.16325,3.425955,7211.053,0.112685,600916.7,sexy
0.844246,0.030468,23.8622,0.502603,656.5668,0.124535,426031.9,sexy
0.656643,0.04646,28.22275,0.483367,956.8839,0.109549,281947.1,sexy
0.497244,0.102264,35.50968,0.332518,1125.371,0.101955,367212.7,sexy
0.672845,0.112311,67.55399,0.356479,4477.456,0.096972,339610.3,sexy
0.893003,0.167561,124.3312,0.233296,9264.328,0.088171,42735.99,sexy
0.646129,0.07576,39.07327,0.19939,1749.285,0.100679,187750.3,sexy
0.631387,0.120624,89.0238,0.398938,6889.54,0.114472,210311.1,sexy
0.863435,0.087725,79.19437,0.46553,11821.26,0.119022,485278.6,sexy
0.623658,0.094496,52.15161,0.191448,3150.04,0.098723,134247.9,sexy
0.891403,0.046956,36.94261,0.054953,949.7637,0.090436,7879.559,sexy
0.618184,0.065168,39.32796,0.085916,1974.398,0.097934,69946.22,sexy
0.655571,0.119982,50.14132,0.206335,3531.735,0.114056,177433.6,sexy
0.533298,0.123748,80.35255,0.381865,19742.52,0.057154,731217.3,sexy
0.671685,0.105703,71.13964,0.094576,1832.564,0.092692,16820.97,sexy
0.748249,0.114219,108.6682,0.03779,4197.079,0.085448,8784.018,sexy
0.766448,0.072422,52.69174,0.263773,1767.484,0.065205,78997.89,sexy
0.593095,0.052217,25.49168,0.209569,641.1031,0.085316,293879.8,sexy
0.642674,0.094455,28.48885,0.365832,2174.379,0.056171,523135.6,sexy
0.971297,0.041144,24.28164,0.178408,894.442,0.091167,12428.22,sexy
0.763251,0.099956,38.35981,0.275552,1988.164,0.103264,274971,sexy
1.019271,0.066988,23.97376,0.512877,1440.117,0.090096,740238.8,sexy
0.808823,0.081335,34.13071,0.278001,1280.08,0.107528,400135.5,sexy
0.765184,0.084952,43.96636,0.267742,1928.088,0.104514,266823.5,sexy
0.767911,0.045676,17.21635,1.082533,483.6334,0.142618,87364.32,sexy
0.582453,0.145095,38.58727,0.100991,1379.256,0.100857,208589.7,sexy
0.640762,0.045351,19.09963,0.158128,522.3003,0.104604,453134,sexy
0.574131,0.061939,21.23961,0.257779,707.8155,0.096715,845665.6,sexy
0.417266,0.045543,29.19171,0.279317,924.4178,0.080352,400076.8,sexy
0.809074,0.094255,102.8876,0.247187,4864.767,0.098453,67878.39,sexy
0.524445,0.069038,16.89071,0.612431,522.1224,0.096244,1815577,sexy
1.009341,0.036645,13.35749,0.403628,298.6744,0.126495,548754.8,sexy
0.612512,0.059925,60.00738,0.116154,2444.46,0.082343,98109.33,sexy
0.886784,0.108973,52.21063,0.129686,2574.039,0.126607,36353.62,sexy
1.10914,0.120364,49.88204,0.106406,1880.88,0.124875,63471.22,sexy
0.532371,0.07171,31.755,0.202662,1572.578,0.119255,256827.7,sexy
0.89508,0.055996,31.08816,0.523615,1538.419,0.08854,126305,sexy
0.717448,0.085044,80.32098,0.248442,6759.594,0.078385,151764.1,sexy
0.677035,0.125355,67.50518,0.310677,6730.012,0.082977,201119.7,sexy
0.885375,0.031803,22.59158,0.348537,729.2611,0.092345,41823.84,sexy
0.841792,0.079761,50.00888,0.141087,2690.433,0.090677,52767.72,sexy
0.667654,0.082316,40.41779,0.178336,1711.407,0.114851,334470.4,sexy
0.852042,0.11312,50.43805,0.146979,3497.226,0.123109,89843.33,sexy
0.574137,0.110895,38.10057,0.328451,5981.984,0.093708,349491.9,sexy
0.786483,0.099476,81.50397,0.313206,12442.17,0.106788,44716.89,sexy
0.819462,0.080458,41.56333,0.289999,2172.547,0.121512,122190.5,sexy
0.798861,0.077628,43.2867,0.190368,1631.575,0.091351,49499.29,sexy
1.173196,0.020026,49.54148,0.041716,1201.733,0.054129,1695.39,sexy
0.876394,0.06682,36.47379,0.198667,1142.583,0.068381,147087.1,sexy
0.736642,0.056027,17.65021,0.376417,927.516,0.123818,802654.3,sexy
0.595867,0.117331,51.1195,0.309305,9120.524,0.092818,321893.5,sexy
1.042389,0.06165,71.79997,0.242909,2761.972,0.092878,29868.42,sexy
0.70979,0.084232,61.944,0.612846,3761.628,0.098261,274713,sexy
0.957381,0.046718,29.95699,0.154478,1323.418,0.091394,79284.48,sexy
0.652964,0.092022,30.23965,0.705932,1220.725,0.138259,486619.7,sexy
0.745055,0.102193,120.053,0.209158,9947.184,0.121744,25434.87,sexy
0.597727,0.166928,86.85932,0.200219,4986.232,0.156581,184782.8,sexy
0.72319,0.139197,52.85426,0.56758,4018.935,0.107982,435809.1,sexy
0.594236,0.043321,7.421057,0.174442,143.6227,0.060154,342197.7,sexy
