@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[12]_min numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_min numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_skewness numeric
@attribute F0_sma_amean numeric
@attribute mfcc_sma_de[3]_min numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[4]_max numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_min numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {sexy,notsexy}

@data
-0.023184,-5.580411,-6.391282,16.74103,24.96349,-2.468321,-1.038842,3.249174,-20.51745,-0.025857,0.78094,0.005445,0.084526,1.107713,32.85257,-5.447833,11.49789,5.575807,-0.120065,-6.475786,0.000306,0.056229,sexy
-0.771835,0.372345,2.009669,16.79615,27.59118,-2.253507,3.516519,2.982656,-21.9657,-0.724941,-2.208656,0.00363,0.147929,0.771594,37.96466,-4.555892,10.38432,5.385453,-0.358242,-9.73042,0.000236,-0.13699,sexy
-1.123973,-1.243815,0.051834,25.47958,15.73835,4.61786,1.178301,3.548451,-14.86843,-1.842391,-0.621729,0.005445,0.132544,0.711781,4.079927,-4.554102,8.244183,2.977246,0.016068,-2.628078,0.000027,-0.565499,sexy
0.225543,-3.362002,-1.374231,7.504118,8.474512,-8.968726,1.221815,3.16066,-11.12839,0.164338,0.107568,0.005445,0.116645,2.385917,4.907311,-2.845901,5.466341,2.944962,-0.207714,-3.591382,0.00014,0.202501,sexy
-0.51413,-2.511436,-2.859446,9.822938,13.71929,1.368782,-1.051295,3.744428,-31.58077,-1.151759,-0.209323,0.006655,0.080001,1.63786,40.96588,-3.689516,7.679269,4.339578,0.144665,-3.949965,0.0003,0.170849,sexy
0.413549,1.325215,-4.263958,21.85333,15.99925,-4.217145,-2.293726,4.403344,-16.31753,-0.561942,0.907825,0.007864,0.126423,0.715232,72.85242,-5.859445,11.55895,6.795782,0.124358,-8.575708,0.000179,-0.221285,sexy
-0.150344,0.247191,1.156619,14.57955,7.170856,-5.370066,-1.670069,3.065492,-16.97795,-0.373038,-1.482248,0.009679,0.127766,0.964066,61.63732,-4.972472,10.8137,5.847019,0.327863,-4.79082,0.000429,-0.917276,sexy
-0.732972,-2.523317,-2.995503,16.83275,15.74215,-0.704948,0.665029,4.085191,-14.85981,-1.09481,-0.997402,0.00484,0.092752,1.62517,9.123554,-6.581746,11.00076,6.958411,-0.116125,-4.47655,0.000267,-0.401867,sexy
-0.885763,-3.948366,-2.300912,23.8888,22.27146,2.124627,-7.347338,2.784633,-26.99547,-9.86604,-9.830706,0.00605,0.195456,-0.259043,138.4541,-2.890902,8.807144,3.608403,-0.24339,-3.695678,0.000004,1.15459,sexy
-0.006332,-0.346514,1.71446,15.81591,12.91292,-0.780474,-2.347108,3.52422,-14.5102,-2.411404,-0.910515,0.012099,0.140501,1.078369,19.82533,-3.617051,6.674994,3.07789,0.337372,-3.534302,0.000023,-0.265136,sexy
-0.248025,3.866223,-2.911389,15.60398,18.40149,-9.956461,0.802355,3.034467,-22.41176,-0.220062,-0.345397,0.00242,0.124033,1.072109,74.39371,-6.03347,11.71935,6.853003,-0.155556,-5.37809,0.000171,0.227789,sexy
-0.79046,4.454228,6.383558,19.74303,21.64745,-0.631227,2.756793,2.775758,-17.33357,-2.187359,-2.742368,0.006655,0.135875,0.685337,75.84113,-5.847942,11.14725,5.292556,0.045164,-5.58916,0.000123,-0.214486,sexy
-0.68248,-5.214546,-8.451307,8.333213,15.92648,-9.644121,-0.199707,3.042759,-14.37723,-1.544546,-1.980895,0.005445,0.151341,0.998711,53.10818,-3.340504,6.809324,4.360617,0.264878,-3.8266,0.000028,0.306138,sexy
2.264883,-12.68864,-9.442593,7.003237,15.56689,-3.387475,-0.300963,3.276032,-17.53636,-6.461175,-6.72614,0.011494,0.177738,0.416709,108.8996,-3.323627,8.745823,5.283851,0.12922,-4.338264,0.00001,-0.047774,sexy
-0.127534,0.508207,1.659951,7.697138,13.18088,-5.192359,-6.018788,2.832083,-14.43728,1.988662,3.649005,0.016939,0.146491,0.297543,116.2809,-3.288718,6.405075,3.675057,0.104139,-3.956665,0.000013,0.111801,sexy
