@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicSpread2 numeric
@attribute BeatHisto_NumMax numeric

@data

0.362179,0.279159,0.000472,0.000572,5.787787,0.456146,0.377197,0.426436,0.485278,2.103652,21.316339,0.000587,0.806655,0.772601,2.945033,0.16374,0.142404,0.051898,0.059725,0.042442,0.113051,0.086209,0.073344,0.011227,0.217677,1.006896,0.001061,0.277502,0.012469
0.64847,0.578166,0.000405,0.000659,6.043479,0.278797,0.368536,0.338128,0.362405,2.150158,4.030266,0.000464,0.888114,0.92639,3.530443,0.180509,0.14883,0.052581,0.067192,0.049872,0.101738,0.082844,0.047154,0.007003,0.212586,1.009358,0.001284,0.276728,0.020289
-0.070625,0.051565,0.00041,0.000498,5.610603,0.414951,0.420462,0.439396,0.403774,2.110495,7.616726,0.000271,0.871565,0.845194,3.658235,0.166905,0.13945,0.043332,0.05209,0.018473,0.079242,0.061356,0.035553,0.004341,0.214013,1.003933,0.000919,0.281103,0.002981
0.394322,0.214881,0.000065,0.000077,6.176537,0.444093,0.415352,0.379904,0.4199,2.138481,5.358232,0.000101,0.769641,0.715069,3.151306,0.168695,0.142141,0.056727,0.060419,0.036392,0.098405,0.104606,0.06816,0.007056,0.210949,1.007794,0.001137,0.277062,0.012598
0.155781,-0.187629,0.00024,0.000355,5.519095,0.499687,0.484263,0.464257,0.409861,2.152005,2.476274,0.000321,0.856843,0.795597,3.798815,0.187388,0.142946,0.086609,0.06615,0.204488,0.16196,0.093984,0.085709,0.011893,0.220149,1.007126,0.001451,0.237321,0.01557
0.174985,0.097641,0.000283,0.000445,5.890259,0.406045,0.401033,0.389539,0.396032,2.129622,5.395098,0.00041,0.923526,0.948017,3.809823,0.21902,0.163591,0.082224,0.100825,0.081658,0.117842,0.059954,0.054691,0.007024,0.211683,1.008769,0.001242,0.299659,0.027518
0.085207,0.000253,0.000765,0.000981,5.17255,0.402341,0.349136,0.419201,0.401412,2.137376,4.385282,0.00083,0.859306,0.809945,3.038828,0.188843,0.169058,0.055976,0.074385,0.036711,0.087869,0.071452,0.071898,0.006053,0.211095,1.009624,0.001279,0.273214,0.015663
0.439822,0.075605,0.00001,0.000009,6.920239,0.403106,0.43369,0.422604,0.427873,2.117889,9.132566,0.000008,0.769755,0.69624,2.876896,0.148086,0.115347,0.042128,0.044391,0.080968,0.20802,0.126099,0.063316,0.00469,0.213036,1.003997,0.000999,0.292409,0
-0.079118,0.15076,0.000151,0.000222,5.376636,0.385505,0.437887,0.416737,0.355521,2.152962,3.221301,0.000294,0.984005,0.728883,3.094304,0.211864,0.146168,0.04613,0.061661,0.104069,0.100501,0.088121,0.045897,0.009372,0.213209,1.013613,0.001781,0.264256,0.021865
0.321117,0.118494,0.001168,0.001414,4.856417,0.543731,0.520036,0.489573,0.455657,2.153917,3.031757,0.000879,0.724424,0.654422,3.238689,0.165087,0.122039,0.035733,0.038002,0.079135,0.086986,0.068318,0.114299,0.004946,0.21719,1.005408,0.001075,0.267927,0.005145
-0.539102,-0.154584,0.000396,0.000584,5.040124,0.375272,0.440944,0.457282,0.508696,2.116397,13.741546,0.000388,0.899543,0.62909,3.315287,0.181444,0.16079,0.054222,0.080705,0.061277,0.08638,0.087007,0.088039,0.006962,0.21464,1.008388,0.001443,0.291653,0.025392
-0.261734,-0.203166,0.000349,0.000517,7.91671,0.302317,0.421635,0.31535,0.402284,2.103575,8.032816,0.000544,0.772226,0.739441,3.681351,0.172887,0.163279,0.043061,0.053239,0.046443,0.120506,0.104424,0.045086,0.006002,0.201705,1.005865,0.001292,0.272393,0.007915
0.80876,-0.246005,0.000214,0.000266,4.589508,0.450961,0.536396,0.529502,0.375871,2.102308,7.365931,0.000137,0.58151,0.593939,2.948591,0.160724,0.112584,0.036907,0.043531,0.076965,0.074722,0.066616,0.030965,0.004058,0.213685,1.003234,0.000851,0.285291,0
0.218437,-0.012602,0.000492,0.000669,5.363787,0.433033,0.400896,0.467574,0.474394,2.134237,7.5138,0.000571,0.854093,0.945112,2.884098,0.20227,0.134291,0.052206,0.072264,0.03876,0.128094,0.070356,0.078834,0.007287,0.216289,1.0049,0.001079,0.279136,0.005728
0.399492,0.243923,0.000944,0.001179,5.663611,0.406865,0.420729,0.421624,0.396831,2.085785,13.115259,0.000794,0.822195,0.941695,3.462494,0.1972,0.146313,0.041908,0.048513,0.04974,0.129268,0.10003,0.079792,0.009927,0.215496,1.004557,0.001086,0.278148,0.002145
-0.00205,0.014418,0.000184,0.000242,4.749564,0.510291,0.491953,0.483918,0.423008,2.147408,7.10519,0.000339,1.020763,0.747778,3.084622,0.175495,0.127918,0.075167,0.089629,0.066575,0.129128,0.081226,0.108112,0.008391,0.217097,1.010353,0.00166,0.290859,0.022216
-0.107709,0.152322,0.00034,0.00038,5.329826,0.442731,0.440769,0.43215,0.372095,2.127691,8.888595,0.000514,0.833755,0.790847,3.257571,0.183661,0.155128,0.054368,0.077643,0.074386,0.087758,0.093275,0.061573,0.0081,0.213704,1.008373,0.001385,0.260973,0.015605
0.365598,-0.087315,0.000101,0.000113,8.11445,0.344345,0.326742,0.3393,0.332702,2.080162,17.030207,0.000193,0.759613,0.800708,3.111141,0.175976,0.138786,0.039145,0.046802,0.036567,0.143844,0.10347,0.037868,0.005082,0.213315,1.007934,0.001384,0.313368,0.017654
0.250215,-0.070314,0.000386,0.000496,8.241725,0.341071,0.299029,0.280016,0.335759,2.116275,12.113555,0.000406,0.91056,1.041968,5.322149,0.214786,0.158265,0.050732,0.072294,0.08845,0.199707,0.174758,0.131021,0.014985,0.214555,1.00684,0.001258,0.295275,0.014128
