@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute output {groovy,notgroovy}

@data
1.112908,0.865861,97.94457,0.066697,notgroovy
1.112908,0.865861,97.94457,0.066697,notgroovy
1.648118,0.888326,20.35709,0.306641,notgroovy
1.382722,0.876344,195.4057,0.25871,notgroovy
1.382722,0.876344,195.4057,0.25871,notgroovy
1.337374,0.897713,51.77673,0.207665,notgroovy
1.201325,0.890163,171.5949,0.159019,notgroovy
1.657787,0.886455,34.08581,0.114204,notgroovy
1.657787,0.886455,34.08581,0.114204,notgroovy
1.626831,0.885441,17.39616,0.505711,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.365756,0.899404,29.51966,0.264603,notgroovy
1.46808,0.902183,142.103,0.271103,notgroovy
1.081868,0.843669,94.16735,0.050133,notgroovy
1.25143,0.897762,132.6651,0.158452,notgroovy
1.194821,0.877701,77.99895,0.116845,notgroovy
1.327829,0.878122,12.68016,0.191317,notgroovy
1.306466,0.889564,79.19437,0.46553,notgroovy
1.149181,0.875249,41.36333,0.283946,notgroovy
1.313819,0.869448,77.54994,0.043349,notgroovy
1.313819,0.869448,77.54994,0.043349,notgroovy
1.313819,0.869448,77.54994,0.043349,notgroovy
1.313819,0.869448,77.54994,0.043349,notgroovy
1.378115,0.881302,40.60153,0.113161,notgroovy
1.415947,0.891228,67.55399,0.356479,notgroovy
1.415947,0.891228,67.55399,0.356479,notgroovy
1.583378,0.905034,62.03051,0.024213,notgroovy
1.326209,0.899233,55.35361,0.234826,notgroovy
1.326209,0.899233,55.35361,0.234826,notgroovy
1.326209,0.899233,55.35361,0.234826,notgroovy
1.289969,0.86254,73.61492,0.036999,notgroovy
1.416468,0.894681,136.2412,0.150514,notgroovy
1.547568,0.90065,64.9726,0.133144,notgroovy
1.551302,0.898289,48.23045,0.138893,notgroovy
1.551302,0.898289,48.23045,0.138893,notgroovy
1.418599,0.90386,45.15431,0.141485,notgroovy
1.112845,0.885537,57.72443,0.223871,notgroovy
1.112845,0.885537,57.72443,0.223871,notgroovy
1.258108,0.892257,144.2679,0.09964,notgroovy
1.258108,0.892257,144.2679,0.09964,notgroovy
1.496602,0.89869,23.00051,0.173469,notgroovy
1.496602,0.89869,23.00051,0.173469,notgroovy
1.415325,0.903455,161.7206,0.073618,notgroovy
1.324362,0.893195,102.8876,0.247187,notgroovy
1.324362,0.893195,102.8876,0.247187,notgroovy
1.324362,0.893195,102.8876,0.247187,notgroovy
1.324362,0.893195,102.8876,0.247187,notgroovy
1.34154,0.887919,23.59494,0.23881,notgroovy
1.498299,0.901304,90.71054,0.104878,notgroovy
1.408869,0.893101,37.09585,0.105075,notgroovy
1.225945,0.868896,83.60551,0.209695,notgroovy
1.178889,0.860067,124.2569,0.071493,notgroovy
1.178889,0.860067,124.2569,0.071493,notgroovy
1.178889,0.860067,124.2569,0.071493,notgroovy
1.331247,0.875219,73.08117,0.032125,notgroovy
1.331247,0.875219,73.08117,0.032125,notgroovy
1.331247,0.875219,73.08117,0.032125,notgroovy
1.241637,0.882972,76.5001,0.16796,notgroovy
1.457576,0.886957,59.89294,0.292376,notgroovy
1.409377,0.888063,52.8291,0.10924,notgroovy
1.383939,0.893025,40.87735,0.093443,notgroovy
1.29824,0.868633,64.41986,0.102392,notgroovy
1.29824,0.868633,64.41986,0.102392,notgroovy
1.547735,0.895486,28.48885,0.365832,notgroovy
1.547735,0.895486,28.48885,0.365832,notgroovy
1.547735,0.895486,28.48885,0.365832,notgroovy
1.284124,0.891946,150.9444,0.061855,notgroovy
1.443833,0.898036,19.31623,0.386054,notgroovy
1.389359,0.89352,30.31725,0.116832,notgroovy
1.443833,0.898036,19.31623,0.386054,notgroovy
1.389359,0.89352,30.31725,0.116832,notgroovy
1.11924,0.879655,94.91699,0.045803,notgroovy
1.26586,0.869163,72.56228,0.108634,notgroovy
1.26586,0.869163,72.56228,0.108634,notgroovy
1.26586,0.869163,72.56228,0.108634,notgroovy
1.374076,0.902716,65.37017,0.234464,notgroovy
1.374076,0.902716,65.37017,0.234464,notgroovy
1.374076,0.902716,65.37017,0.234464,notgroovy
1.374076,0.902716,65.37017,0.234464,notgroovy
1.605879,0.885796,33.91592,0.228584,notgroovy
1.671952,0.88479,13.7937,0.317645,notgroovy
1.503647,0.899652,46.08124,0.197738,notgroovy
1.503647,0.899652,46.08124,0.197738,notgroovy
1.488937,0.899727,156.5869,0.241865,notgroovy
1.527104,0.902236,26.48163,0.092031,notgroovy
1.258266,0.884301,152.3726,0.297026,notgroovy
1.425692,0.901991,52.70387,0.072722,notgroovy
1.407111,0.89605,100.0234,1.122101,notgroovy
1.521852,0.896642,54.9183,0.429166,notgroovy
1.399224,0.897542,73.58806,0.189974,notgroovy
1.399224,0.897542,73.58806,0.189974,notgroovy
1.399224,0.897542,73.58806,0.189974,notgroovy
1.259842,0.888329,117.8099,0.099745,notgroovy
1.259842,0.888329,117.8099,0.099745,notgroovy
1.225658,0.893709,46.29536,0.158431,notgroovy
1.335947,0.89149,168.8532,0.144274,notgroovy
1.335947,0.89149,168.8532,0.144274,notgroovy
1.315297,0.901684,108.8899,0.111327,notgroovy
1.518377,0.902111,36.75581,0.288241,notgroovy
1.559772,0.887347,57.35276,0.075766,notgroovy
1.559772,0.887347,57.35276,0.075766,notgroovy
1.559772,0.887347,57.35276,0.075766,notgroovy
1.483344,0.894385,49.62952,0.618258,notgroovy
1.478536,0.888808,37.99405,0.453586,notgroovy
1.478536,0.888808,37.99405,0.453586,notgroovy
1.399247,0.902206,63.48364,0.117064,notgroovy
1.399247,0.902206,63.48364,0.117064,notgroovy
1.180466,0.886615,175.8224,0.055887,notgroovy
1.405386,0.90259,60.25821,0.164793,notgroovy
1.441912,0.899094,201.6053,0.256746,notgroovy
1.329875,0.895195,114.4259,0.250292,notgroovy
1.264377,0.881399,97.4366,0.112437,notgroovy
1.40473,0.896865,46.71865,0.135424,notgroovy
1.49943,0.898877,62.48883,0.174779,notgroovy
