@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {groovy,notgroovy}

@data

0.024109,-2.085065,-0.269983,17.11523,-1.492594,-1.948102,13.39235,3.328369,-0.43936,2.950248,15.20499,2.822865,0.046602,0.001453,3.666407,25.09304,0.1238,0.798107,0.477452,0.203851,0.27289,0.03774,-0.000027,8.985558,-0.000002,5.302503,-7.457225,13.00538,0.002333,1.673345,3.22822,768,-0.007568,1.306318,0.981204,1.006831,1.306112,1.041137,-0.192157,0.001764,-0.723844,-0.000061,groovy
0.022713,-9.412554,-0.111615,14.82168,-0.810217,3.907105,13.10474,3.568875,-4.06368,2.781631,22.83041,3.117997,0.086911,0.002806,0.858234,3.846775,0.144057,0.765845,0.41892,0.21604,0.626549,0.045084,0.000014,8.441195,0.000001,5.74294,-3.725005,8.229973,0.005177,0.789802,5.565171,95,1.263139,1.330944,0.821782,1.404574,1.555624,1.132538,-0.158294,0.000988,-0.175825,-0.000063,groovy
0.048385,-8.275679,-0.495801,11.34994,-2.630822,-2.775047,12.1568,2.563595,0.137915,3.121266,18.04343,3.446921,0.096339,0.003991,1.786671,7.026687,0.140976,0.551639,0.326476,0.117308,0.386194,0.043529,0.00003,5.235456,0.000005,5.894975,-3.643584,8.286562,0.000009,1.000419,3.409943,2306,0.242877,1.204833,0.516784,0.995001,1.203994,1.034803,-0.125113,0.000679,-0.048577,-0.000013,groovy
0.033612,-2.738552,-0.39722,8.810845,-5.941986,-4.916592,10.43499,3.140043,-1.239309,2.901353,14.76563,2.877236,0.072543,0.000338,0.14388,2.429336,0.172463,0.751489,0.558605,0.19078,0.248185,0.011302,0.000012,4.219846,0.000001,3.928007,-3.228163,7.55232,0.004686,1.353079,4.030161,978,0.45793,0.974233,0.080279,0.998207,0.999898,0.946553,-0.141992,0.001123,-0.161348,-0.000168,groovy
0.01092,-8.76875,0.293872,16.40636,1.628331,2.526488,13.62179,2.702695,-0.920746,2.650373,11.49678,2.980823,0.10534,0.002989,1.008894,4.693493,0.149122,0.724581,0.33514,0.111644,1.362002,0.008995,-0.000004,4.155282,-0.000006,8.61869,-5.704525,10.21595,-0.003206,0.831772,4.487015,1836,0.208401,1.182156,-0.007848,1.924691,1.569302,1.280664,-0.143278,0.00075,-0.207005,-0.000026,groovy
0.005123,-9.210015,-0.32536,15.05162,-2.429826,-2.298938,13.24138,2.946336,-5.927355,3.321207,14.46697,3.355297,0.100715,0.003651,1.411535,6.406651,0.138183,0.620855,0.373524,0.107635,0.535755,0.01674,0.000003,9.062723,0,5.455584,-3.786817,10.54014,0.000148,1.543329,6.771228,1862,0.794152,1.176474,0.246805,2.018508,1.55651,1.416527,-0.119357,0.000923,-0.28685,-0.000016,groovy
0.002119,-5.143351,-1.049284,10.15229,-5.780644,-1.754937,13.89237,3.114239,-1.211266,3.51591,11.80421,2.887256,0.062609,0.003607,4.233944,27.02882,0.150061,0.742196,0.503534,0.195077,0.085064,0.007187,0.000004,10.32504,0.000003,5.645697,-4.88017,8.65786,-0.001854,1.038177,5.288737,245,0.53602,1.287243,0.4604,1.161415,1.446981,1.043367,-0.157683,0.001505,-0.440716,0.000055,groovy
0.022978,-8.919,1.094458,18.81514,4.032953,-2.560812,15.61796,3.48827,-2.725429,3.594888,9.782567,2.871458,0.099322,0.001895,0.117141,2.309499,0.124893,0.670397,0.282498,0.106081,1.861847,0.024153,0.000033,4.484016,0.00001,9.249407,-5.686237,9.324863,-0.001428,0.988478,3.806013,987,0.250315,0.960016,-0.022519,1.214415,1.290062,1.196427,-0.115733,0.000502,-0.399599,-0.000021,groovy
0.035296,-9.194557,0.125752,14.94276,0.683447,2.936688,14.19691,2.704287,-1.439666,3.436036,18.11962,3.684969,0.093588,0.003411,2.315085,11.40896,0.133662,0.772801,0.323562,0.135539,1.508454,0.039602,-0.000053,7.698796,-0.000004,5.133208,-3.570702,8.549801,0.00086,0.646994,4.058218,308,0.251479,1.228622,-0.293634,1.224604,1.379114,1.108643,-0.16267,0.000857,-0.489639,-0.000032,groovy
0.022882,-8.770605,-0.622821,12.98755,-6.593497,-1.39308,20.2049,3.132255,-7.348453,3.203913,19.38526,3.579919,0.087389,0.007792,2.940856,13.47978,0.107349,0.832794,0.471063,0.237891,0.384037,0.063286,0.000041,10.41341,0.000002,5.672227,-4.927043,8.743752,0.000302,1.087259,5.71951,2068,0.165554,1.92326,0.098932,2.37803,1.919036,1.520614,-0.191271,0.001987,-0.347304,-0.000177,groovy
