@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {groovy,notgroovy}

@data

0.024835,5.391706,2075,-8.416912,-0.18343,11.99611,-0.933096,24.60612,2.819889,5.089363,-2.663784,3.566348,3.308768,2.655247,0.00484,11.02183,0.761655,0.182751,0.761655,0.000028,5.913154,0.000001,4.259529,12.95981,0.00386,2.314491,1.521345,1.352858,0.39334,0.000009,1.439068,-0.095753,1.604996,1.519052,0.000002,0.022612,12.55928,-0.164674,0.002212,0.165367,groovy
0.022705,9.66965,2293,-5.65277,0.233647,17.46791,0.100316,11.96625,3.210537,3.498245,1.330719,3.805006,3.520652,3.775394,0.00484,11.75257,0.747601,0.166624,0.978772,0.000008,4.766426,0.000002,4.820697,11.02291,0.003463,2.392742,1.546853,1.582949,-0.217994,-0.000002,1.216416,0.128276,1.122453,1.189733,0.000002,0.00813,4.756515,-0.151621,0.001587,-0.034465,groovy
0.031008,3.663284,170,-7.148533,0.669311,23.37572,0.20108,17.09254,3.272586,3.250443,-3.718918,3.145253,2.92699,3.607861,0.00605,4.483645,0.700046,0.108862,0.97915,-0.000133,5.23156,-0.000014,6.25,13.7309,-0.002516,2.698157,1.642661,1.991821,0.648417,0.00001,2.235048,0.29968,2.186062,1.391251,-0.000003,0.017609,5.572714,-0.140478,0.000918,0.020724,groovy
0.034762,3.359663,1866,-10.99272,0.383864,17.39845,5.238077,21.28385,3.040304,3.450886,-0.12919,3.269383,3.283315,3.57932,0.004235,5.361883,0.71503,0.134105,1.955411,-0.000056,5.538934,0.000001,5.700215,10.27446,-0.001993,1.044803,1.02216,1.027947,-0.043705,-0.000002,1.208245,-0.05068,1.381904,1.403065,-0.000007,0.012959,6.550016,-0.15188,0.000681,0.04547,groovy
0.027646,2.983575,621,1.46398,-0.070631,7.165276,-3.354879,14.89931,2.822326,3.176316,-4.607492,3.289945,2.933951,3.038074,0.018149,4.153546,0.577565,0.101673,0.796951,-0.000002,6.395902,-0.000002,6.021046,7.911383,-0.001705,0.759256,0.871375,0.890021,0.482933,0.000001,0.634352,-0.11458,0.690418,0.914209,0.000001,0.002955,4.477924,-0.09775,0.000501,-0.045904,groovy
0.033264,3.886128,275,-6.984891,0.298676,18.22457,-4.741095,10.88025,4.249124,2.726506,-0.588056,3.929467,3.608255,2.631459,0.008469,12.01608,0.759836,0.178645,0.749517,-0.000003,7.623619,0.000001,5.992043,7.979115,0.001076,0.550411,0.7419,1.139507,0.090447,-0.000001,1.207616,-0.303231,1.529279,1.312612,-0.000006,0.011459,14.19695,-0.162809,0.001152,0.057551,groovy
0.009755,5.060079,76,-6.336653,-0.134837,12.90319,-4.915458,14.66227,3.371221,3.631158,-5.520385,3.842638,3.386127,3.863714,0.00726,13.23794,0.732597,0.177218,1.16185,0.00001,9.061134,-0.000005,3.779781,11.1712,-0.000575,1.661206,1.288878,1.072516,0.546139,0.000004,1.639346,0.066271,1.451163,1.41099,-0.000003,0.012763,11.54948,-0.166177,0.001605,0.091839,groovy
0.031638,4.959638,1232,-7.84274,-0.119477,7.993482,0.13277,17.53575,2.647996,3.408565,-3.784875,2.888226,2.96813,3.484467,0.013914,4.835546,0.651249,0.122422,0.770243,-0.000003,9.648346,-0.000001,5.089596,5.024868,-0.002294,0.52168,0.722277,0.448596,0.363041,0.000002,0.630882,-0.028533,0.847289,0.826639,-0.000005,0.006466,6.060762,-0.166215,0.000911,-0.077212,groovy
0.01912,15.21541,611,-9.904752,-0.471802,18.38104,-0.875514,16.67459,3.173031,2.927665,-2.256986,2.987774,3.168806,2.91732,0.031458,3.891475,0.704123,0.129508,1.070114,0,29.76261,0.000001,4.067474,4.202717,0.00008,0.234805,0.484572,0.363678,-0.113102,-0.000008,0.71683,-0.073419,0.756744,1.022839,-0.000003,0.006259,5.781267,-0.105383,0.00059,0.072497,groovy
0.045592,3.612215,1004,-12.81024,-0.949582,19.55014,-2.185429,26.93476,3.981141,3.692378,3.114598,4.556511,2.920943,3.26162,0.00363,11.44549,0.841855,0.206172,1.052667,-0.000009,6.235405,0.000001,7.35885,11.20872,0.001111,1.219893,1.104502,1.012135,0.489197,0.000008,1.870675,0.722676,1.747847,1.599357,-0.000001,0.02246,14.49303,-0.181683,0.001383,-0.008827,groovy
