@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.115744,0.104041,0.478192,0.387082,0.364438,0.620332,1.991992,0.049444,1.549359,0.294476,0.678133,0.929812,0.898501,0.254143,0.227288,0.189328,0.185888,0.164832,0.054287,0.061659,0.555997,0.329781,0.182033,0.260272,0.840724,0.096233,0.078421,0.116096,0.282761,0.14267,0.000116,0.032324,9973.135862,72.301167,90.5,0.600195,1.007308,0.001437,0.481542,72.05688,5.133563,1.458374,0.719502,0.851827,0.880833,0.041012,28.77378,5.446196,358.6352,1.45667,0.064833,0.070409,0.335474,0.000678,0.005851,1435.795,2.245766,0,0.779627,0.100762,0,0.171923,0.004184,852.4559,1288739
0.056196,0.099167,0.471518,0.429544,0.406888,0.623474,2.00248,0.039731,1.215329,0.28642,0.546043,0.934427,0.876951,0.220684,0.21553,0.18359,0.173808,0.158796,0.029395,0.03488,0.304205,0.192297,0.186954,0.313584,0.412461,0.122545,0.093396,0.104876,0.17191,0.098725,0.000123,0.026285,12320.523576,73.651198,70,0.527898,1.008498,0.001273,0.535546,61.31558,4.365849,1.320178,1.023982,0.918143,0.89719,0.045883,12.22362,5.819561,182.9207,0.928395,0.030042,0.222313,0.217355,0.000159,0.006224,285.3153,1.354021,0,0.980692,0.089817,0,0.018947,0.002846,260.993,32814.83
0.187119,0.114562,0.476599,0.520115,0.494991,0.582688,1.973046,0.06811,1.527174,0.284717,0.630676,0.76776,0.60655,0.195913,0.194826,0.184743,0.161963,0.150531,0.053591,0.04584,0.485719,0.171805,0.173769,0.252306,0.45302,0.106522,0.109009,0.068515,0.309313,0.073187,0.000166,0.039249,11994.596028,100.852682,62.5,0.526115,1.01292,0.001717,0.373431,64.71906,4.940188,1.441191,0.723605,0.877017,0.89555,0.130883,64.36968,5.001963,321.0589,1.878162,0.048045,0.053759,0.510033,0.000379,0.019586,4851.824,1.069422,0,0.816245,0.097706,0,0.150089,0.00435,650.8562,449395
0.23001,0.088131,0.530515,0.466294,0.410921,0.633971,1.993825,0.029538,1.010992,0.288604,0.578961,0.720249,0.715296,0.214984,0.195444,0.168473,0.170801,0.135017,0.064012,0.072327,0.348023,0.177688,0.171406,0.227064,0.372748,0.09253,0.086321,0.079699,0.247884,0.104921,0.000196,0.031331,10935.470837,52.701653,54,0.528372,1.008395,0.001286,0.560157,87.18338,5.743554,1.48423,0.681939,1.15938,0.8947,0.136647,41.15293,5.298031,509.9042,1.542828,0.027377,0.027224,0.434722,0.000159,0.026315,2838.6,0.941595,0,0.871505,0.104259,0,0.112059,0.004472,926.8988,520072.1
0.06818,0.087722,0.503578,0.440342,0.501807,0.526474,1.844083,0.036034,0.685958,0.272101,0.547666,0.666418,0.775508,0.204233,0.186228,0.168985,0.16065,0.121389,0.019836,0.015581,0.156646,0.171116,0.172778,0.235836,0.457748,0.120471,0.104926,0.110007,0.471142,0.073371,0.000078,0.03395,16212.707163,26.64972,99.5,0.562124,1.002503,0.0008,0.499547,70.00374,3.706695,1.153366,0.833917,0.844504,0.89168,0.162818,150.3976,6.911512,59.80346,0.34035,0.011246,0.018913,0.051737,0.000128,0.018003,30453.52,0.890775,0,0.86751,0.10178,0,0.115013,0.003594,417.2741,16143.28
0.115615,0.084088,0.302317,0.303356,0.402284,0.546329,1.973441,0.030139,0.835482,0.28644,0.563891,0.772226,0.739441,0.21446,0.193033,0.18726,0.177023,0.166246,0.034106,0.046443,0.351397,0.206034,0.18793,0.273015,0.626366,0.101884,0.094923,0.105289,0.162501,0.075235,0.000223,0.028375,12866.542769,25.946329,60.25,0.608156,1.005865,0.001292,0.447653,77.12603,5.097473,1.397871,0.646129,0.781338,0.895428,0.07576,39.07327,5.720765,396.1806,1.44711,0.02621,0.069616,0.19939,0.000224,0.008571,1749.285,0.592946,0,0.983356,0.100679,0,0.016378,0.00156,595.2763,187750.3
0.125923,0.093476,0.416141,0.441798,0.374488,0.566702,1.989939,0.036857,1.412879,0.277849,0.619656,0.739564,0.719181,0.206461,0.206619,0.188581,0.180562,0.167458,0.038453,0.045948,0.440563,0.239364,0.173349,0.227515,0.505039,0.107164,0.115241,0.07724,0.211091,0.099316,0.000034,0.030357,5100.049297,39.815992,57.75,0.562258,1.014163,0.001763,0.44741,74.64718,4.798442,1.365175,0.828292,1.071225,0.896146,0.072855,39.84261,5.817527,600.4916,1.503945,0.027214,0.123973,0.625929,0.000299,0.005842,1976.879,1.584142,0,0.769641,0.113311,0,0.177412,0.005649,630.9762,249617.8
0.130045,0.07891,0.332561,0.462409,0.41856,0.616333,1.955228,0.025675,0.634984,0.292119,0.513543,0.655481,0.551793,0.202336,0.184437,0.162405,0.160731,0.135089,0.02857,0.031043,0.249216,0.232004,0.169718,0.208964,0.520578,0.098382,0.103644,0.087453,0.268218,0.087922,0.000037,0.029184,14328.074402,38.104063,76,0.559423,1.00478,0.000955,0.553922,86.48917,5.178074,1.364704,0.652828,1.376088,0.901192,0.151147,96.6728,6.030396,70.64239,0.314863,0.006619,0.019052,0.124978,0.00008,0.018079,10263.09,0.213035,0,0.964714,0.140085,0,0.034064,0.002363,573.112,36859.33
0.173572,0.077032,0.483198,0.311648,0.301686,0.571786,1.935734,0.023842,0.576826,0.273316,0.51501,0.765782,0.80852,0.213645,0.194329,0.160525,0.152262,0.139743,0.022705,0.059819,0.470694,0.247552,0.194479,0.259518,0.475871,0.111118,0.088533,0.086514,0.375682,0.076534,0.0001,0.036436,8792.552085,0,0,0.563866,1.002558,0.000803,0.490365,86.06317,5.634809,1.482543,0.626363,0.81434,0.890124,0.127244,37.30728,5.150251,162.0618,0.783607,0.018821,0.012809,0.044598,0.000162,0.018361,1284.489,0.563516,0,0.934088,0.095412,0,0.061609,0.002544,1080.631,218728.7
0.25434,0.087015,0.404071,0.414383,0.394291,0.615643,2.050284,0.03414,0.955409,0.296988,0.643662,0.90636,1.070366,0.235296,0.209196,0.198021,0.187882,0.172398,0.048856,0.083705,0.574606,0.586723,0.180152,0.342353,0.821662,0.108212,0.160875,0.142151,0.209262,0.254929,0.000313,0.047953,11969.169226,95.211611,62,0.58572,1.009102,0.001203,0.450892,113.0487,7.142941,1.614164,0.552858,1.723879,0.893345,0.090213,68.08117,5.481345,1621.231,3.149814,0.039279,0.028265,1.393104,0.000666,0.026593,37949.51,2.314024,0,0.81225,0.107747,0,0.152601,0.005493,1110.052,1596178
