@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_maxPos numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.005503,0.003442,0.000005,8.574437,12.28606,-1.122863,0.238396,-17.02714,-16.56484,-13.02229,-0.000592,-1.345154,-1.218462,0.035925,0.035078,0.008099,41.54247,0.22249,0.146858,0.000001,0.000353,0.418767,17.77193,12.78326,0.368601,8.241875,3.513617,0.51216,4.242244,1342,-0.110175,4.125258,0.811923,-3.134844,7.032749,1.04037,1.149212,-0.000008,1.076224,-0.003827,0.000003,-0.111825,0.000658,-0.205069,2405,4.460661,sad
0.015417,0.012462,0.000167,-3.134843,-4.007653,-0.793482,-0.15305,-2.504792,-0.193066,-0.241167,0.001632,-5.45149,1.357199,0.026824,0.019283,0.027639,9.160048,0.133635,-0.399489,0.000007,0.002042,0.862313,15.78782,8.288302,0.760864,6.808842,4.714786,0.699714,5.235774,295,0.19327,4.781822,0.964559,-4.499727,9.881339,1.026451,1.196615,0.000004,1.036713,-0.00034,0.000023,-0.15996,0.001148,-0.519178,1575,7.164709,sad
0.008509,0.006405,0.000046,-1.445868,-0.14947,-0.71658,0.233337,-4.542913,-0.462301,-6.845402,0.000008,-2.893927,-4.653214,0.033877,0.021617,0.028304,38.79502,0.167998,0.237468,0,0.001446,1.069567,36.93943,7.483345,0.684298,5.135945,4.06245,0.808098,3.74715,2123,-0.273138,4.85183,1.016056,-5.05174,9.586996,1.427553,1.194232,-0.000008,1.258591,0.000326,0.000041,-0.114837,0.00073,0.056878,424,6.224245,sad
0.009884,0.010633,0.000062,-1.836541,-1.728757,-0.337917,-0.011789,-4.584929,-9.40664,-4.783755,0.000925,-6.085487,-6.258764,0.04402,0.040569,0.036839,26.43694,0.173004,0.487108,0.000001,0.001543,-0.112012,30.32933,7.987796,0.447874,5.466792,3.087603,0.414258,4.051206,223,0.326427,6.324733,1.151294,-4.455143,8.013976,0.896002,1.012434,-0.000003,0.944567,0.000169,0.000069,-0.14312,0.000592,0.201248,1984,12.27131,sad
0.011383,0.00775,0.00005,-6.547245,-6.408664,1.003277,0.585794,-2.791935,-4.15495,-1.002389,-0.000922,0.524329,-3.124328,0.075027,0.070206,0.031865,3.403346,0.162136,0.234707,0.000003,0.000811,0.552608,9.300544,11.30904,0.253255,7.459852,3.395048,0.436715,3.358932,1636,0.044834,4.094318,0.932697,-3.313116,7.707397,1.005232,0.935565,0,0.937745,0.000374,0.000032,-0.138474,0.000926,0.071206,1231,7.154061,sad
0.016889,0.015576,0.000061,-7.594352,-8.911864,-0.643546,-0.246044,-7.459655,-4.311327,-3.833638,-0.001333,0.890829,-1.763655,0.07082,0.068976,0.038234,19.22378,0.148489,1.525671,0.000001,0.001336,1.100051,14.81731,9.116932,0.291128,6.390717,3.019454,0.393917,3.925017,1832,0.274088,4.281467,0.639253,-3.852844,7.342116,0.857464,0.721485,-0.000007,0.689923,0.000019,0.000061,-0.10586,0.000378,-0.160729,2421,33.88677,sad
0.010945,0.008199,0.000023,14.17713,13.65284,0.022977,-0.138662,-6.664323,-2.716064,-3.803215,0.001585,-1.355539,-0.246222,0.029156,0.02756,0.007138,2.818352,0.179006,0.840538,-0.000002,0.000618,1.164811,7.82277,11.64606,0.192492,8.425865,4.5281,0.250185,3.136353,352,0.278786,5.333787,0.549996,-2.567125,5.656043,0.523598,0.471597,-0.000002,0.491578,0.002049,0.000003,-0.113277,0.000552,-0.082356,2948,8.793274,sad
0.007392,0.00994,0.000016,-3.265954,-2.681493,-0.61797,0.72276,-7.337455,-3.356027,-4.972649,-0.001966,-0.709768,-3.100948,0.055856,0.050593,0.022388,36.32702,0.168154,0.040793,-0.000005,0.000668,0.52472,20.78711,7.987639,0.327772,5.236005,4.319592,0.419031,4.603244,142,-0.116927,4.95999,0.886137,-3.955728,8.285328,0.999108,1.169942,0.000003,1.041333,0.00305,0.000026,-0.123515,0.000661,0.171041,1749,5.831658,sad
0.00791,0.007465,0.000034,-3.719514,-3.328424,-0.783509,0.27062,-3.923966,-3.579639,1.153654,-0.000766,-2.321638,-8.243946,0.044322,0.038305,0.0298,19.90567,0.121224,0.110834,0.000002,0.000821,1.723935,24.21927,9.446191,0.323763,6.002503,4.205489,0.521084,4.675327,211,0.041518,4.633616,0.930537,-4.512482,8.951591,1.162207,1.05859,0.000006,1.368257,0.004236,0.000032,-0.101095,0.000524,0.165095,2967,7.240369,sad
0.010076,0.013578,0.000079,-7.149455,-7.418201,-0.434482,-0.121852,0.222584,-0.303251,-3.398297,0.000328,0.883716,-1.699121,0.070104,0.079482,0.055571,28.68229,0.142823,0.219015,-0.000004,0.001262,0.36294,9.0334,6.373318,0.636419,5.317536,4.385637,0.789935,5.842109,2273,0.434611,5.019094,1.094633,-4.681177,9.45999,1.367438,1.24609,-0.000003,1.074082,0.003205,0.000117,-0.137867,0.001366,-0.050317,1032,7.482542,sad
