@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_17 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_Flatness numeric
@attribute BeatHisto_PeriodicCentroi2 numeric
@attribute BeatHisto_PeriodicSpread1 numeric

@data

0.037061,0.033864,0.040968,10.485098,-0.030851,0.000062,1.573285,4.841516,0.404947,0.111798,0.455706,0.004049,0.010157,0.810519,0.000029,0.175458,0.157257,0.173491,0.150586,0.179956,0.141887,0.141029,0.011069,0.323451,0.31127,0.318574,0.254094,0.273043,0.164816,0.160905,0.112302,0.097236,0.109956,0.147167,0.01535,0.019773,0.064156,0.135675,0.261249,0.005549,0.808693,0.156619,0.038905,0.043638,0.048529,0.213788,4617.532175,8.010256,13.173223,0.001565,0.576508,0.309338
0.025753,0.013564,0.307171,6.045732,-0.03521,0.000589,1.614336,4.431333,0.423217,0.108244,0.572303,0.010132,0.321889,1.219677,0.000184,0.226396,0.20734,0.189311,0.184751,0.17727,0.167168,0.15721,0.030453,0.499222,0.451359,0.51277,0.437357,0.419101,0.146301,0.150971,0.161646,0.17603,0.101315,0.071729,0.04413,0.047053,0.079936,0.13846,0.260215,0.0082,0.578364,0.157097,0.067969,0.067928,0.066708,0.205872,6614.430534,15.215674,16.298033,0.001558,0.539386,0.32655
0.032218,0.024317,0.036143,6.868583,0.30271,0.000171,1.515256,4.196822,0.335242,0.095297,0.568865,0.012151,0.032807,0.977098,0.000115,0.217095,0.185264,0.188203,0.183464,0.178085,0.164138,0.162781,0.024426,0.321182,0.406097,0.425424,0.258119,0.302209,0.101057,0.132659,0.095561,0.097022,0.095613,0.084337,0.018406,0.036988,0.070896,0.134797,0.261641,0.01699,0.536856,0.101091,0.040279,0.033196,0.053647,0.208773,5958.90062,12.507343,13.867136,0.001527,0.550172,0.314133
0.044085,0.033639,0.055991,7.139708,0.000818,0.000083,1.546722,4.323517,0.331717,0.113711,0.547321,0.0196,0.053767,0.915346,0.0001,0.173152,0.175209,0.170978,0.174967,0.166341,0.160751,0.13636,0.017773,0.244262,0.339459,0.351434,0.322876,0.25011,0.097676,0.141473,0.107668,0.116237,0.078781,0.093338,0.015751,0.030419,0.070122,0.139927,0.255436,0.021549,0.614513,0.135647,0.038475,0.032317,0.053532,0.203961,6648.197813,14.624762,12.137804,0.001544,0.528434,0.317904
0.075163,0.052571,0.104472,5.068797,0.088133,0.000041,1.495439,4.495514,0.309508,0.156621,0.562419,0.019678,0.060872,0.706824,0.000033,0.230989,0.213825,0.181186,0.165515,0.159149,0.159698,0.160789,0.022875,0.456034,0.320319,0.310951,0.247702,0.273276,0.103054,0.133703,0.114095,0.12689,0.087366,0.064389,0.028436,0.0402,0.078867,0.149681,0.256515,0.010735,0.669273,0.102808,0.036508,0.040049,0.046003,0.204329,5726.573831,11.563199,12.344266,0.001542,0.568351,0.314421
0.071415,0.045245,0.08318,4.822163,0.030905,0.000119,1.451136,3.890089,0.418837,0.138969,0.617307,0.018024,0.060701,0.599773,0.000061,0.196376,0.182586,0.174597,0.164392,0.158304,0.144492,0.13633,0.021786,0.433234,0.266809,0.169483,0.290399,0.359637,0.152204,0.114347,0.111334,0.09491,0.060694,0.055318,0.022651,0.032989,0.076247,0.14383,0.263643,0.01745,0.400571,0.1086,0.04382,0.0404,0.059948,0.199611,9398.785457,23.319793,19.087457,0.001589,0.555278,0.316073
0.030286,0.022615,0.039375,11.394367,-0.322481,0.000336,1.41432,4.097201,0.438361,0.10401,0.436258,0.005131,0.023558,0.907448,0.000291,0.187213,0.178209,0.186348,0.152026,0.151593,0.127104,0.119526,0.013596,0.373039,0.413214,0.43334,0.414181,0.324705,0.218257,0.129222,0.117407,0.105508,0.148534,0.100766,0.014813,0.034357,0.056925,0.118342,0.260112,0.002711,0.822757,0.112775,0.05451,0.053544,0.03903,0.207253,8978.021584,25.564117,26.362307,0.001569,0.593752,0.314541
0.054765,0.041903,0.06454,6.720674,-0.231106,0.000065,1.46928,4.597158,0.303999,0.145931,0.568106,0.011848,0.03142,0.657396,0.000029,0.221653,0.19107,0.192773,0.16895,0.148773,0.132276,0.130802,0.022749,0.250965,0.318124,0.319953,0.274817,0.259013,0.126461,0.122876,0.096832,0.100321,0.066974,0.066677,0.02056,0.031235,0.066929,0.135249,0.257903,0.012856,0.466496,0.114379,0.026432,0.037527,0.050887,0.202494,4936.00664,11.391694,15.375594,0.001567,0.569209,0.323385
0.043984,0.031433,0.049246,5.916093,0.70358,0.000074,1.492463,4.122747,0.271153,0.117062,0.598141,0.012987,0.039314,0.788048,0.000061,0.190762,0.184703,0.185056,0.170828,0.16586,0.142706,0.126076,0.025546,0.352035,0.244243,0.308422,0.353466,0.339907,0.09315,0.108605,0.111705,0.090126,0.077843,0.11236,0.022882,0.039889,0.077928,0.142771,0.262575,0.010505,0.574157,0.163154,0.061247,0.049873,0.055714,0.20368,4223.792657,10.620572,10.825323,0.001537,0.573969,0.308374
0.071558,0.055146,0.101454,4.789692,0.014861,0.000055,1.504673,5.00649,0.333234,0.149559,0.569603,0.035949,0.075777,0.924306,0.000059,0.208716,0.20309,0.192119,0.171242,0.166067,0.174443,0.170913,0.041048,0.438221,0.299202,0.36906,0.270719,0.294944,0.149575,0.141089,0.118357,0.121407,0.096932,0.059798,0.035277,0.046583,0.079011,0.141677,0.259213,0.029507,0.361838,0.123846,0.040586,0.036633,0.060197,0.203995,4741.452854,21.196792,14.323461,0.001478,0.557963,0.304541
