@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute output {sad,notsad}

@data

0.034859,0.015587,0.131477,0.084492,4.281197,1.043196,0.709182,1.580097,4.113052,7.160247,0.58435,0.07931,0.284556,0.796108,1.482671,0.010807,0.000082,0.264217,0.388182,0.460794,0.22663,0.205452,0.19326,0.19639,0.181957,0.178619,0.167463,0.140436,0.023895,0.82244,0.288822,0.264666,0.187643,0.227511,0.273421,0.245863,0.092559,0.07823,0.038328,0.094225,0.149713,0.202615,0.262574,67.747123,0.00742,0.006329,4.229408,0.336168,0.116294,0.107749,0.109287,0.037402,0.035346,0.02933,0.022033,0.060215,5467.585985,22.142792,1.004238,0.000945,sad
0.063475,0.045368,0.092742,0.084212,6.534018,1.758193,0.314308,1.511652,4.110925,6.444663,0.610749,0.136739,0.267844,0.69315,1.276923,0.018451,0.00016,0.252227,0.375471,0.647307,0.197048,0.189622,0.198073,0.185284,0.159409,0.148676,0.144281,0.145466,0.024596,1.818144,0.203651,0.289699,0.20086,0.2619,0.212098,0.417613,0.100015,0.086329,0.048711,0.09822,0.146496,0.187638,0.252262,12059.862071,0.014605,0.010992,3.875749,0.602472,0.109346,0.135159,0.134623,0.034601,0.033574,0.025185,0.037955,0.047382,11115.633612,20.798977,1.002853,0.000821,sad
0.054577,0.032406,0.057979,0.081008,5.935328,3.309802,-0.659341,1.491458,4.194755,7.958646,0.398246,0.125702,0.238559,0.720223,1.209704,0.009623,0.000032,0.288651,0.449096,0.536981,0.194414,0.183894,0.158132,0.182143,0.159171,0.154566,0.14936,0.141584,0.015076,0.90297,0.295963,0.529178,0.423817,0.475037,0.215121,0.362,0.13276,0.192909,0.033716,0.083736,0.124015,0.184526,0.248976,17086.084424,0.004959,0.003181,3.829291,0.377573,0.103104,0.207914,0.144882,0.039946,0.044218,0.019982,0.03733,0.053452,7770.822225,20.09946,1.00271,0.000831,sad
0.047075,0.027818,0.04879,0.081611,5.773313,1.992881,0.85142,1.553048,4.042226,5.295278,0.485685,0.115236,0.265393,0.740332,1.36402,0.011774,0.000192,0.274936,0.453943,0.424921,0.2056,0.206022,0.193535,0.175846,0.154842,0.157768,0.147417,0.142389,0.019685,0.931816,0.270211,0.30259,0.297222,0.221398,0.267829,0.269871,0.146384,0.110576,0.044921,0.088406,0.1419,0.194341,0.260169,1810.876713,0.011289,0.006507,3.87762,0.390398,0.117405,0.161865,0.154473,0.046204,0.030282,0.03383,0.023232,0.051942,10461.083293,22.973105,1.005047,0.000912,sad
0.084079,0.067688,0.157607,0.082147,5.890777,1.672949,-0.243035,1.598787,4.58333,7.867088,0.401379,0.141771,0.269329,0.755867,1.340607,0.069593,0.000095,0.262377,0.447143,0.65722,0.223257,0.219839,0.215224,0.212128,0.181665,0.16461,0.159511,0.155357,0.03908,1.38238,0.486737,0.403459,0.542127,0.597871,0.308514,0.373366,0.141884,0.132247,0.041137,0.099737,0.14379,0.217306,0.265826,539.72917,0.061618,0.063085,4.029895,0.709529,0.137149,0.196396,0.17896,0.060523,0.047046,0.056353,0.033659,0.057989,5003.19201,13.117993,1.002739,0.000849,sad
0.046744,0.037453,0.056778,0.076697,7.063638,1.725617,0.40285,1.465557,4.424754,7.462315,0.453713,0.127814,0.230896,0.70644,1.324308,0.011928,0.000048,0.267482,0.407489,0.567828,0.212958,0.187438,0.177186,0.178815,0.149258,0.144815,0.149732,0.138685,0.018715,1.209118,0.30704,0.418685,0.250899,0.27967,0.331245,0.468403,0.157159,0.113615,0.035691,0.086476,0.13423,0.190655,0.257093,4100.988019,0.015331,0.012974,4.407952,0.563885,0.117811,0.219514,0.169882,0.054439,0.048144,0.0393,0.039017,0.051837,4014.349158,8.836398,1.00289,0.000827,sad
0.077441,0.058028,0.113825,0.078786,6.185507,1.693981,-0.564149,1.458037,4.215914,7.011385,0.492253,0.158488,0.270548,0.74047,1.280774,0.021793,0.0002,0.288244,0.406919,0.609579,0.212561,0.192079,0.201875,0.195579,0.181972,0.169105,0.162887,0.153405,0.030376,0.908828,0.297105,0.406492,0.218667,0.242705,0.243632,0.354343,0.101229,0.107931,0.038018,0.088359,0.131644,0.194841,0.259912,1402.960229,0.012754,0.010338,3.603032,0.469388,0.10167,0.12403,0.161403,0.034738,0.03594,0.027343,0.02652,0.052663,10408.505653,32.616479,1.003325,0.000921,sad
0.030286,0.022615,0.039375,0.091561,11.394367,1.237022,1.110632,1.41432,4.097201,2.880376,0.562874,0.10401,0.183189,0.533096,1.195283,0.005131,0.000281,0.266361,0.351572,0.445961,0.216998,0.171423,0.178209,0.186348,0.152026,0.151593,0.129853,0.127104,0.013596,1.421065,0.373039,0.29772,0.413214,0.454117,0.414181,0.356483,0.218257,0.117407,0.034357,0.064792,0.118342,0.185982,0.260112,6581.17464,0.002711,0.00213,4.231348,0.822757,0.11143,0.159434,0.189481,0.053544,0.04561,0.037822,0.039534,0.03903,8978.021584,26.362307,1.003064,0.000871,sad
0.040661,0.029022,0.05675,0.085163,6.296257,1.731134,0.60472,1.443136,4.148024,5.745132,0.489131,0.100918,0.233978,0.749983,1.358127,0.027509,0.000164,0.287908,0.427985,0.594753,0.237066,0.219851,0.199527,0.191403,0.18153,0.165856,0.172035,0.15497,0.029604,0.94709,0.341789,0.277603,0.29943,0.251203,0.270711,0.3547,0.141847,0.116539,0.037965,0.091541,0.135914,0.191691,0.258122,2564.183854,0.038255,0.035859,3.755632,0.804597,0.114626,0.16532,0.169145,0.038932,0.037306,0.024449,0.025786,0.055559,6158.115829,48.649798,1.008343,0.001458,sad
0.071415,0.045245,0.08318,0.076813,4.822163,1.627473,0.500209,1.451136,3.890089,6.211923,0.524454,0.138969,0.277487,0.764897,1.413592,0.018024,0.000055,0.269345,0.393936,0.506282,0.199858,0.185061,0.182586,0.174597,0.164392,0.158304,0.155341,0.144492,0.021786,0.817245,0.433234,0.332281,0.266809,0.309626,0.290399,0.343316,0.152204,0.111334,0.032989,0.088529,0.14383,0.206204,0.263643,445.637615,0.01745,0.015109,3.891173,0.400571,0.121528,0.163181,0.172875,0.0404,0.033948,0.032504,0.019375,0.059948,9398.785457,19.087457,1.002583,0.00083,sad
