@attribute mfcc_sma_de[7]_range numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[9]_range numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.024841,0.000146,6.188265,-18.03505,-4.682218,3.146403,-0.105271,-3.456985,-0.306341,-1.622408,0.069345,0.040844,0.034809,0.144246,0.381673,0.225581,0.00001,0.001531,0.901715,11.75647,596,-0.558788,6.70425,6.179513,0.607622,0.663989,3.443373,0.948589,3.534203,8.760106,0.988276,7.258391,1.035296,0.003666,0.77146,-0.101941,0.000481,36.4912,sad
0.012073,0.00002,5.880125,-13.1161,-2.808384,-1.664308,-0.331355,-3.725401,0.049352,-4.446712,0.057253,0.051056,0.020999,0.19715,0.411281,0.561663,-0.000002,0.000741,1.651004,10.54566,2343,-2.445595,14.56425,4.665915,0.339254,0.412378,3.718317,0.646314,3.650588,7.294371,0.934782,7.097901,0.968032,-0.002578,0.971961,-0.102198,0.0006,10.91178,sad
0.019252,0.000074,5.566931,-16.31329,-4.482828,-3.171387,-0.274133,-4.038271,0.203973,-2.306708,0.050918,0.037188,0.026649,0.147778,0.396201,0.365624,0.000004,0.001724,1.014419,8.620539,11,-0.938138,6.424012,4.871514,0.44676,0.552632,3.93909,0.76046,4.212054,7.157783,0.964046,7.937163,0.985933,0.001913,0.813949,-0.116773,0.0007,10.38168,sad
0.017981,0.000342,12.43203,-27.04215,-4.17711,-4.274327,-0.737751,-0.611649,-0.19343,-7.227304,0.080763,0.09299,0.091961,0.132189,0.513162,-0.086636,-0.000011,0.002445,0.540891,19.40827,1226,-0.488266,10.33067,7.867235,0.791341,0.919229,5.606201,0.919018,4.374712,10.72771,1.304197,9.130082,1.142246,0.003093,1.108498,-0.171431,0.000989,8.134392,sad
0.008288,0.000059,11.49354,-20.25259,-2.17912,-3.186486,-0.163734,-7.298277,-0.260768,-8.365965,0.046015,0.049626,0.021169,0.161838,0.483678,0.469605,0.00001,0.000923,-0.084045,25.28567,1550,-0.997562,11.41172,9.075888,0.341334,0.58346,6.364704,0.676884,5.756704,9.520489,0.736289,9.013712,0.653169,0.000753,0.682065,-0.138451,0.000573,13.62612,sad
0.028278,0.000226,6.431345,-26.21965,-4.835751,-5.302181,-0.648717,-7.45727,-0.279604,-10.66648,0.077614,0.074203,0.043831,0.154979,0.429659,0.411601,-0.000002,0.002136,0.828116,7.028775,2343,0.327719,10.60887,7.650958,0.531927,0.629806,4.63391,1.129354,6.178303,11.17624,1.034359,7.644977,0.862954,-0.00088,0.913504,-0.152937,0.00081,7.865078,sad
0.010945,0.000023,20.02677,6.288176,14.17713,13.65284,0.022977,-6.664323,-0.063738,-3.803215,0.029156,0.02756,0.007138,0.179006,0.348848,0.840538,-0.000002,0.000618,1.164811,7.82277,781,1.324739,11.64606,8.425865,0.250185,0.405606,5.333787,0.549996,4.86482,5.656043,0.523598,6.276799,0.471597,0.002049,0.49679,-0.113277,0.000552,8.793274,sad
0.009395,0.000085,6.034163,-23.82784,-2.120949,-3.205958,-1.832992,0.403946,-0.253129,-3.819698,0.037961,0.043868,0.048538,0.142009,0.376191,0.823741,0,0.002014,1.18531,14.37555,485,-0.272665,9.079715,5.105412,0.569876,1.05953,4.496387,1.028491,4.207494,10.14373,1.882815,9.141285,1.218847,0.003558,1.033969,-0.176765,0.001053,11.90694,sad
0.016889,0.000061,-1.61255,-18.46867,-7.594352,-8.911864,-0.643546,-7.459655,-0.036842,-3.833638,0.07082,0.068976,0.038234,0.148489,0.226391,1.525671,0.000001,0.001336,1.100051,14.81731,1037,-0.924757,9.116932,6.390717,0.393917,0.42511,4.281467,0.639253,4.136302,7.342116,0.857464,7.354381,0.721485,0.000019,0.623503,-0.10586,0.000378,33.88677,sad
0.001216,0,3.352497,-14.5661,-2.723324,-2.314201,-1.485764,1.296634,-0.204715,-4.435358,0.016393,0.012972,0.005824,0.134772,0.611493,-0.149949,0.000001,0.000079,5.780954,148.3005,1814,1.207983,14.40283,9.905682,0.200109,0.345969,8.09612,0.517511,5.090229,7.686658,0.573763,5.881259,0.574361,-0.003214,0.551066,-0.103936,0.000307,7.018415,sad
