@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[5]_minPos numeric
@attribute mfcc_sma[7]_minPos numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_kurtosis numeric
@attribute mfcc_sma[10]_min numeric
@attribute mfcc_sma[10]_amean numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute mfcc_sma[12]_stddev numeric
@attribute mfcc_sma[12]_kurtosis numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute pcm_zcr_sma_de_minPos numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute output {funny,notfunny}

@data
0.866951,-9.261304,-8.798182,-0.000185,275,1155,-1.108287,3.471422,2.63944,-2.652476,2.75805,-15.62088,-3.795711,2.823555,13.55632,3.876597,3.179692,0.09809,1.464783,7.391473,5.361033,3.654081,-0.00381,0.73314,0.009219,2159,0.956454,703,0.000057,123.5975,funny
0.492517,-10.29927,-10.28792,-0.000277,2668,347,-1.13615,3.308115,3.328334,-7.126494,3.290602,-16.96743,-5.58806,3.224615,12.20291,3.496236,3.3678,0.091656,0.474231,4.063713,4.015074,3.87939,-0.002637,1.112615,-0.120309,1420,0.992455,754,0.000076,127.4283,funny
0.879501,-6.12431,-6.547186,-0.000355,2315,2808,-8.905034,3.434297,3.802598,-4.743991,4.349701,-18.31598,-1.860347,4.472284,33.57467,5.885552,3.60847,0.055212,1.077284,5.184628,5.827486,3.842531,0.000356,0.848351,0.059884,992,0.910237,670,0.000027,125.0497,funny
2.574925,-6.781453,-3.931467,-0.000578,1090,272,-4.829319,2.577398,2.999622,-1.851084,3.961828,-19.65935,-4.067365,3.895797,21.88063,4.792107,2.93716,0.046514,1.26264,18.57778,6.405907,4.295048,-0.000139,1.432952,-0.179381,1244,1.373896,2975,0.00031,122.4445,funny
0.718139,-13.284,-13.47083,0.000074,2887,565,-4.140157,3.954727,4.218248,-2.617618,5.754789,-20.39472,-3.259331,5.149829,15.94775,3.994125,4.373667,0.123696,0.940756,7.726576,5.755716,3.688359,-0.001177,0.836692,-0.152792,2089,1.044551,2804,0.000222,87.72139,funny
1.769737,-5.241187,-6.220416,-0.00048,1904,1972,-1.890266,2.974981,2.745441,-2.830529,3.145593,-14.25724,0.070118,3.326747,20.82666,4.72387,3.634384,0.056401,0.850357,7.645489,5.458087,4.485994,-0.00355,0.849235,0.012035,1164,1.062211,1892,0.000077,118.8346,funny
1.328651,-11.83677,-10.42366,-0.000942,1166,2979,-0.341445,3.146798,3.133947,0.786118,3.586269,-17.97785,-1.895308,2.936589,14.59809,3.820794,3.175873,0.111085,0.596826,6.614262,4.113606,4.163261,-0.001327,0.942986,0.222328,712,1.067874,549,0.000164,109.1289,funny
1.3604,-9.189751,-8.981975,0.000572,1123,594,-1.083296,3.32461,3.397578,-1.35062,3.236728,-17.84973,4.084042,2.896091,14.73377,3.877438,2.737398,0.094739,1.295316,8.322295,6.312999,4.454671,0.000656,1.324028,0.18238,994,1.166804,2922,0.00013,116.0927,funny
0.821115,-6.946605,-6.428898,0.000044,2929,129,1.521008,2.756029,2.857655,0.200466,2.937862,-23.0015,-3.873441,3.376619,27.19148,5.222934,3.549314,0.070476,1.074329,6.371084,6.176841,5.36731,-0.00474,1.558572,0.063951,1299,1.396826,1548,0.000155,123.2107,funny
0.573552,-10.69882,-12.0838,0.000929,726,1107,2.798741,2.649163,3.994887,0.728282,3.042344,-16.45005,-2.370559,3.236964,21.73735,4.683031,3.013949,0.130128,0.438255,6.223236,5.752276,3.998502,0.000774,1.170816,0.35885,2706,1.096189,1780,0.000141,109.2844,funny
