@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.104857,-0.018663,3.867526,0.393337,0.292902,0.566115,0.725777,1.149441,2.678196,0.9212,0.433795,0.206131,0.220271,0.195693,0.028667,101621.45354,0.033032,0.52974,0.549712,0.456637,0.600475,1.811039,0.121534,0.106074,0.060926,0.067153,0.103978,0.303291,0.101965,0.03776,0.030751,0.053161,154.25,1.004739,92.16369,5.813616,1.480982,0.548453,0.894777,0.88598,0.154291,89.12926,5.296993,436.9148,1.820903,0.028101,0.020678,0.147129,0.000476,0.015863,5368.915,0.488894,0,0.771638,0.117583,0,0.17633,0.005572,1031.201,249000.3
0.082361,0.254368,3.956807,0.324243,0.258842,0.561869,0.750141,1.18314,2.712611,0.785362,0.401494,0.211828,0.202835,0.191202,0.025898,26612.014318,0.016445,0.47327,0.244452,0.506708,0.60028,2.555757,0.120154,0.088114,0.072662,0.054897,0.104607,0.308758,0.12525,0.028771,0.032111,0.05732,129.25,1.003226,87.14415,5.331811,1.409237,0.524651,0.84344,0.895392,0.080448,67.80876,5.90332,226.9936,0.543112,0.011978,0.026171,0.1756,0.000193,0.005532,3147.62,0.751693,0,0.758988,0.076136,0,0.183047,0.003047,633.7438,82355.47
0.07516,0.462197,3.806013,0.400162,0.266464,0.588799,0.787043,1.214431,2.701398,0.997281,0.436526,0.223842,0.237673,0.217749,0.038812,13138.192248,0.015181,0.409626,0.310507,0.345984,0.544929,1.311195,0.130312,0.091682,0.056927,0.061398,0.106486,0.306629,0.193821,0.035572,0.034868,0.054816,146.5,1.008818,71.05031,5.010701,1.442192,0.608304,0.729915,0.889051,0.063093,32.07616,4.983839,291.4068,0.868734,0.017278,0.026939,0.270579,0.000394,0.00713,1546.659,0.63652,0,0.678429,0.076614,0,0.218309,0.004858,575.4143,141310.1
0.086977,0.184437,3.58916,0.45574,0.265077,0.639165,0.785103,1.25148,2.697008,0.776725,0.395047,0.223029,0.229873,0.214969,0.039822,6110.961209,0.012623,0.301073,0.179399,0.352148,0.668445,1.208416,0.097048,0.080221,0.076956,0.060075,0.112467,0.305729,0.136071,0.029025,0.03235,0.058216,140.75,1.003943,81.29129,5.604956,1.481278,0.671284,1.219121,0.902606,0.053398,14.97585,5.320388,65.28521,0.419327,0.010651,0.030659,0.080989,0.000153,0.006194,368.6654,0.265979,0,0.858189,0.11572,0,0.121782,0.003781,560.2491,83106.24
0.132549,0.314779,3.36607,0.504147,0.280589,0.654576,0.775408,1.180016,2.688742,0.805204,0.419013,0.202203,0.216205,0.200082,0.036764,30566.064796,0.027664,0.257437,0.167423,0.323868,0.421037,1.078562,0.094801,0.077709,0.051988,0.060858,0.108043,0.306576,0.103087,0.037697,0.029033,0.057383,151,1.005336,97.86027,6.504932,1.558869,0.578948,1.364365,0.894253,0.110501,29.07583,5.248395,174.6748,1.156846,0.024567,0.012422,0.257038,0.000137,0.019283,1428.515,0.410786,0,0.89281,0.108774,0,0.095764,0.00356,1095.017,485916.5
0.060011,-0.052227,3.617738,0.410179,0.354362,0.54708,0.704934,1.116904,2.688336,0.870081,0.423362,0.201436,0.213902,0.189842,0.024718,322845.310121,0.019419,0.427104,0.40665,0.369348,0.50822,2.002393,0.147003,0.104892,0.07981,0.059536,0.104191,0.309148,0.153955,0.034849,0.032174,0.052305,158,1.002854,61.20726,3.866236,1.233932,0.618971,0.473595,0.882218,0.150983,147.6108,5.91695,327.5968,1.386071,0.035571,0.032605,0.107288,0.0003,0.015305,14606.62,0.820498,0,0.748336,0.062069,0,0.188455,0.00204,524.3695,252486.5
0.101104,-0.288311,3.785964,0.441417,0.239036,0.637855,0.751244,1.16021,2.659187,0.659571,0.434016,0.206735,0.206495,0.194502,0.026846,25162.074423,0.012372,0.265148,0.314693,0.435003,0.517155,1.959245,0.109811,0.072968,0.059741,0.062538,0.09597,0.302342,0.128837,0.029566,0.027324,0.058176,131.5,1.004652,84.86294,5.54055,1.451735,0.54422,1.008415,0.889256,0.149119,77.44156,5.369901,122.5004,0.40992,0.007661,0.0072,0.106692,0.000083,0.014298,4247.781,0.269511,0,0.949401,0.118803,0,0.048071,0.003582,712.7455,59803.9
0.094434,-0.278951,3.1192,0.528152,0.232719,0.624413,0.724097,1.184727,2.713144,0.703224,0.490592,0.208624,0.231388,0.199438,0.03357,9977.856739,0.014256,0.248655,0.244065,0.341942,0.421289,1.123336,0.088835,0.082405,0.049738,0.06071,0.098099,0.307111,0.142457,0.031754,0.031012,0.055743,150.5,1.003278,88.46053,5.650819,1.4581,0.639868,1.153453,0.885953,0.118197,37.45716,5.391555,80.31678,0.429787,0.009886,0.019169,0.04252,0.000145,0.019166,2437.582,0.247817,0,0.899467,0.150514,0,0.090486,0.003288,787.4609,113151.8
0.054227,1.024925,4.210267,0.348274,0.310628,0.583849,0.755595,1.212828,2.70534,0.600946,0.382987,0.233812,0.22421,0.20647,0.035568,165072.643164,0.010664,0.341598,0.348541,0.451229,0.598193,1.156022,0.105921,0.109143,0.06803,0.055434,0.108425,0.306743,0.192794,0.034764,0.031777,0.055092,130,1.004492,79.18851,5.072819,1.388145,0.630852,0.878758,0.896237,0.069751,53.15044,5.65962,441.3963,1.142148,0.016905,0.073834,0.220415,0.000244,0.008871,3873.598,0.565803,0,0.832224,0.100274,0,0.13972,0.004766,468.8406,54332.68
0.071733,0.658981,3.698355,0.419946,0.309034,0.580393,0.755036,1.212958,2.702114,1.015911,0.511729,0.226486,0.23218,0.209519,0.036456,33279.205641,0.027777,0.412038,0.59682,0.532227,0.521754,1.633336,0.097093,0.081043,0.066789,0.071608,0.107362,0.30633,0.145051,0.034306,0.028332,0.049943,143.5,1.004375,86.47236,5.42534,1.412936,0.742894,1.084348,0.890917,0.06408,35.4612,5.957115,1274.277,3.632924,0.064176,0.111228,0.526945,0.000319,0.008111,2085.703,2.472202,0,0.639148,0.082306,0,0.230792,0.004782,722.8425,904483.3
