@attribute Std_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.067773,0.338636,4.04695,0.332228,0.300917,0.566196,0.752477,1.187457,2.700106,1.112843,0.453467,0.226209,0.229541,0.203371,0.039535,18678.610128,0.023568,0.699456,0.452707,0.480587,0.715708,1.74985,0.123177,0.12045,0.075211,0.078039,0.102893,0.309131,0.188388,0.041557,0.046227,0.062392,151,1.0054
0.071535,0.637052,3.836088,0.365217,0.226082,0.590458,0.737673,1.166013,2.722459,0.798651,0.475535,0.212359,0.201157,0.208104,0.031488,40451.468016,0.010136,0.323009,0.289257,0.43762,0.585422,2.55498,0.101256,0.094292,0.049416,0.061309,0.102133,0.312774,0.104312,0.027503,0.029221,0.05401,157,1.003316
0.140201,-0.287796,3.931917,0.35886,0.135128,0.602523,0.747271,1.148855,2.688732,0.697067,0.467619,0.219338,0.204971,0.180991,0.025801,45806.216704,0.023428,0.418567,0.302594,0.310242,0.505268,3.158915,0.132074,0.090625,0.081733,0.064714,0.101498,0.306021,0.110368,0.033245,0.029618,0.052483,137,1.003215
0.116599,0.205443,3.28854,0.486798,0.295155,0.626154,0.777906,1.225872,2.701272,0.744066,0.437965,0.214377,0.20956,0.182329,0.032016,9043.00544,0.032497,0.522203,0.260833,0.345816,0.481859,2.06309,0.091775,0.086233,0.07468,0.063803,0.104198,0.306372,0.133544,0.030013,0.024469,0.064652,143,1.004299
0.090551,0.832738,3.940006,0.393942,0.193245,0.626259,0.800173,1.222297,2.65387,0.937893,0.436791,0.222012,0.204781,0.211045,0.043376,22881.838601,0.026105,0.612934,0.33734,0.577843,0.49788,2.02746,0.147151,0.11472,0.050127,0.061936,0.109131,0.300512,0.139479,0.039683,0.032215,0.060055,114.5,1.006399
0.12586,0.462615,3.889351,0.348853,0.179579,0.639044,0.780178,1.173436,2.650146,0.777149,0.475841,0.213986,0.21981,0.203289,0.03671,43097.881217,0.032937,0.266283,0.285078,0.431785,0.556766,7.285962,0.096101,0.087787,0.056655,0.069565,0.104538,0.302561,0.129491,0.03001,0.025798,0.054213,126,1.003853
0.039167,-0.396833,4.02852,0.386468,0.378046,0.55267,0.741493,1.255288,2.685208,0.987516,0.449778,0.21401,0.207213,0.174245,0.028779,17614.50973,0.008122,0.434695,0.674156,0.575539,0.685346,1.295298,0.112876,0.104421,0.070659,0.06371,0.105624,0.304927,0.189656,0.043456,0.03903,0.051085,137,1.005163
0.078881,0.184556,3.371495,0.484029,0.292688,0.631093,0.797617,1.244958,2.695812,0.81852,0.417039,0.202462,0.216961,0.184445,0.044119,4649.585695,0.017264,0.335403,0.355608,0.314133,0.582376,1.180239,0.125178,0.09654,0.053019,0.058294,0.10799,0.30658,0.107261,0.03096,0.019561,0.05662,139,1.003497
0.075039,0.132658,3.31302,0.485981,0.355935,0.631934,0.783154,1.237883,2.713959,0.729344,0.482957,0.241581,0.235806,0.241797,0.048857,1973511.224606,0.035283,0.705169,0.340243,0.466979,0.522152,1.407311,0.106755,0.089852,0.069103,0.074827,0.111054,0.311931,0.114618,0.026674,0.031633,0.056693,132.5,1.005409
0.075814,0.799141,3.504413,0.435573,0.276051,0.582806,0.781116,1.218216,2.702566,0.716432,0.457499,0.208737,0.203516,0.18716,0.039619,10710.766274,0.013492,0.410152,0.280125,0.302884,0.62159,2.158757,0.118798,0.090422,0.056204,0.054169,0.108736,0.309138,0.14973,0.026716,0.021587,0.060147,124.5,1.004826
