@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.145473,-0.167838,-0.01679,3.4708,0.443028,0.456263,0.280889,0.627967,0.781432,0.070508,1.097532,0.84944,0.4774,0.460181,0.565526,0.237057,0.210634,0.178987,0.399034,0.466685,0.56124,1.604031,1.391795,0.109672,0.08233,0.081048,0.074237,0.108487,5.20212,0.379191,0.500978,0.036734,0.024512,0.038538,0.057055,0.215866,0.247414,76.585005,130,1.006696,90.10412,6.216184,1.575467,0.61179,1.074547,0.898634,0.121135,46.18562,4.918321,253.3243,0.89175,0.025019,0.027177,0.367727,0.000191,0.017906,5077.009,0.883745,0,0.79028,0.098201,0,0.165848,0.004906,1161.706,763945.1
0.120859,0.30125,-0.036679,3.375953,0.492695,0.469996,0.268416,0.621397,0.737695,0.028408,0.589716,0.606463,0.385463,0.452178,0.549512,0.210246,0.213911,0.158368,0.148415,0.323358,0.531183,0.766765,1.306415,0.084103,0.057919,0.059783,0.058035,0.109045,2.334689,0.316249,0.361427,0.03043,0.024676,0.035386,0.057049,0.215833,0.119022,0,126.5,1.003077,94.63268,6.098696,1.511487,0.663202,1.25155,0.905204,0.12802,44.50192,5.380247,68.09956,0.095089,0.004233,0.013966,0.090877,0.000032,0.014423,1405.501,0.215293,0,0.923435,0.137296,0,0.07075,0.003658,909.9395,51872.63
0.099471,0.682734,0.224946,3.2585,0.50815,0.39516,0.282401,0.6504,0.801376,0.041944,0.832281,0.80434,0.402757,0.420849,0.529036,0.221349,0.214789,0.169583,0.359818,0.378965,0.563421,1.678151,1.372806,0.08945,0.075214,0.085959,0.068835,0.108161,9.924548,0.354834,0.582263,0.039463,0.028771,0.038267,0.062494,0.212749,0.378136,59.300398,136,1.004479,87.64703,5.977157,1.511768,0.620992,1.235608,0.897224,0.136011,63.34666,5.24673,169.3896,0.825853,0.018406,0.029842,0.128868,0.000127,0.016895,5570.671,0.348227,0,0.820906,0.116752,0,0.147118,0.00485,736.7749,217327.1
0.094054,-0.015425,0.170698,3.423662,0.488157,0.454764,0.313572,0.5949,0.775207,0.034963,0.642193,0.593436,0.422505,0.42658,0.60408,0.203831,0.214676,0.163592,0.23449,0.379757,0.476055,0.74289,0.831992,0.096096,0.065747,0.063421,0.059031,0.106647,1.808437,0.267933,0.340626,0.021938,0.019546,0.032071,0.057947,0.214672,0.106354,59.17526,151,1.004257,84.40572,5.463119,1.45032,0.691868,1.041102,0.899762,0.081142,30.55926,5.440376,95.64177,0.411206,0.008272,0.010653,0.066664,0.000144,0.007009,960.0894,0.253582,0,0.816911,0.129457,0,0.149667,0.005599,674.516,89204.22
0.120353,0.201655,0.299525,2.903089,0.571043,0.375651,0.309093,0.63583,0.789029,0.047192,0.765835,0.465708,0.352152,0.386216,0.480526,0.207994,0.190374,0.148647,0.177198,0.261129,0.388733,0.630777,1.109891,0.077297,0.07257,0.064811,0.048459,0.106115,0.749057,0.2634,0.337638,0.031787,0.023944,0.03626,0.05701,0.212849,0.063005,41.700062,134.25,1.005574,95.34916,6.208096,1.521606,0.727314,1.609702,0.913544,0.137882,49.08083,5.583272,150.4409,0.501563,0.009511,0.009555,0.16075,0.000049,0.013027,2601.687,0.29391,0,0.870839,0.122568,0,0.112554,0.004402,807.9446,115795.1
0.057725,0.169401,0.046074,3.427157,0.462808,0.432051,0.33796,0.553108,0.745154,0.041427,1.074217,0.963051,0.423879,0.44776,0.614127,0.221761,0.22071,0.172895,0.371251,0.37106,0.495714,0.895021,1.433747,0.128631,0.085777,0.071782,0.05639,0.107783,4.195962,0.252802,0.450916,0.029368,0.015981,0.03309,0.059897,0.209737,0.228274,22.817079,131,1.003184,61.2995,4.01021,1.272301,0.776409,0.572869,0.876079,0.06158,31.3481,5.998884,116.2774,1.061143,0.038848,0.096102,0.054292,0.000302,0.007263,796.7347,1.196846,0,0.822903,0.10486,0,0.145831,0.004044,503.3384,233490.7
0.097514,-0.275079,0.446353,3.821739,0.417375,0.450192,0.317735,0.608987,0.702625,0.023727,0.637905,0.484627,0.314555,0.421634,0.572706,0.211182,0.206546,0.069732,0.205393,0.349705,0.772045,0.699608,1.687984,0.085344,0.028769,0.098014,0.06242,0.098159,10.505448,0.297991,0.449681,0.025132,0.023911,0.035851,0.054568,0.214877,0.256991,22.208462,153.25,1.003293,78.8946,4.877564,1.356463,0.43668,0.990472,0.891046,0.144185,111.0952,5.75218,42.63956,0.091641,0.004386,0.016166,0.213918,0.000068,0.00685,3601.676,0.42493,0,0.899467,0.087816,0,0.090486,0.003243,637.368,91070.1
0.113893,0.209103,-0.013593,3.429032,0.456648,0.436015,0.27912,0.611172,0.796398,0.073561,1.454937,0.924579,0.501643,0.461009,0.577029,0.221668,0.228661,0.181992,0.257669,0.359799,0.560091,1.202985,1.085909,0.09995,0.076834,0.061984,0.055463,0.106433,4.413251,0.298759,0.55237,0.025202,0.02051,0.031329,0.061516,0.213955,0.165721,35.261886,133.25,1.007163,91.99092,5.977634,1.51321,0.638205,1.182955,0.897068,0.048472,14.52513,5.391196,736.5918,1.521194,0.03332,0.025603,0.688559,0.000194,0.007719,454.5437,1.29523,0,0.879494,0.107359,0,0.106055,0.00414,919.6454,900441.5
0.124602,0.517381,0.11938,3.563542,0.410997,0.410062,0.176744,0.627207,0.780045,0.07279,0.805405,0.605258,0.481893,0.391864,0.479738,0.238892,0.194963,0.15373,0.179031,0.435697,0.502035,0.665892,1.537113,0.077107,0.055386,0.057761,0.056452,0.111216,15.618038,0.222262,0.374677,0.027217,0.024815,0.033915,0.053324,0.207431,0.20938,67.123511,124,1.008076,92.94714,6.520454,1.581591,0.505367,0.814001,0.893695,0.238066,130.5638,4.969703,410.277,3.747847,0.063026,0.00762,0.080161,0.00021,0.020017,8616.534,0.455346,0,0.937417,0.114145,0,0.058706,0.002075,1135.583,873910
0.09029,0.42581,0.346281,3.806263,0.415804,0.388588,0.31187,0.59861,0.741878,0.0399,1.031217,0.823285,0.442032,0.418728,0.515026,0.218141,0.210628,0.162223,0.50101,0.547547,0.754184,1.413916,1.877961,0.103979,0.065512,0.073065,0.067348,0.116165,29.573201,0.310541,0.608892,0.026326,0.019969,0.0287,0.049902,0.214983,0.547265,27.979939,153.25,1.003783,92.37813,5.72873,1.439459,0.604959,1.108629,0.898088,0.104519,62.92273,5.790703,344.0527,1.508727,0.033678,0.035818,0.22374,0.000143,0.01109,4494.583,0.961155,0,0.932756,0.100091,0,0.062764,0.003032,749.8167,176171.6
0.082557,0.597242,0.064176,3.373352,0.44278,0.422312,0.283455,0.599886,0.786661,0.052812,0.982643,0.886473,0.421091,0.434532,0.586697,0.220983,0.20559,0.158634,0.288215,0.301895,0.598349,1.189423,1.435942,0.083643,0.077324,0.077545,0.057541,0.115549,8.214496,0.241064,0.617322,0.026438,0.021337,0.033943,0.05526,0.213467,0.20045,16.55936,137.75,1.004149,79.25497,4.944576,1.364201,0.771795,1.029207,0.888516,0.114235,61.89887,5.981129,507.9828,1.265095,0.033471,0.057599,0.420638,0.000253,0.013132,4015.837,1.490513,0,0.951398,0.134236,0,0.046271,0.003391,624.8482,341296.7
0.076236,0.53392,0.115242,4.015158,0.337054,0.404098,0.304191,0.569836,0.743626,0.037858,1.120565,0.94684,0.590386,0.422798,0.699453,0.225852,0.251109,0.195116,0.360683,0.476217,0.709327,1.360889,1.421169,0.095185,0.101877,0.088735,0.065957,0.104369,7.188635,0.293583,0.635385,0.030198,0.018107,0.027622,0.05057,0.216109,0.2714,69.30085,138,1.005972,80.68755,4.982453,1.368687,0.653341,1.101382,0.89002,0.101557,56.25025,5.891693,326.3804,0.846115,0.017641,0.097115,0.359341,0.000306,0.010337,3270.335,0.825481,0,0.920107,0.118091,0,0.073559,0.00351,623.3481,102296.9
0.065271,0.373753,0.412828,3.680211,0.399808,0.367058,0.287159,0.568291,0.742048,0.0352,0.740368,0.646802,0.436256,0.380533,0.54089,0.211354,0.191465,0.157132,0.570198,0.409024,0.760231,1.23595,2.349387,0.109948,0.087061,0.08433,0.067844,0.10592,11.918462,0.366194,0.57001,0.032919,0.026371,0.032751,0.056074,0.214341,0.271571,16.002808,138.5,1.003494,74.2108,4.605587,1.327765,0.619626,0.81507,0.895297,0.129933,142.6375,5.892292,332.4558,0.848413,0.021252,0.043628,0.241021,0.000189,0.011698,13318.8,1.375363,0,0.985353,0.129449,0,0.014442,0.002105,532.922,182083.2
0.066331,0.233127,0.141864,3.549425,0.41607,0.410234,0.27941,0.580767,0.744614,0.053411,1.091649,0.911282,0.577613,0.439573,0.494072,0.206417,0.208445,0.184907,0.236144,0.368328,0.534699,1.403554,1.521522,0.084235,0.07452,0.07747,0.057978,0.106997,7.356046,0.383229,0.89689,0.026588,0.016963,0.028616,0.048631,0.210364,0.229636,36.151224,130.75,1.007972,69.17708,4.586864,1.331623,0.89531,1.032066,0.891823,0.047334,31.91611,5.937405,296.3342,1.644056,0.042874,0.128608,0.291457,0.000309,0.004096,1423.59,1.065404,0,0.958056,0.132802,0,0.040212,0.002349,488.5737,397544
0.131338,0.481277,0.322665,4.658759,0.261192,0.362405,0.236792,0.636629,0.832868,0.075277,0.993947,0.901512,0.646962,0.404285,0.6529,0.234744,0.238649,0.178307,0.68211,0.548454,0.746704,1.089587,1.481656,0.087504,0.100909,0.082525,0.066796,0.10966,4.597632,0.348822,0.493467,0.025937,0.017884,0.041468,0.060393,0.212586,0.291482,86.644703,124.5,1.009358,82.26908,6.03647,1.581483,0.5347,0.904575,0.893211,0.045296,15.53245,4.870168,174.7765,0.715324,0.018085,0.048335,0.392729,0.000173,0.00958,496.0838,0.488319,0,0.890812,0.103291,0,0.097331,0.003531,959.6816,411609.9
0.075809,0.36478,0.454256,3.763169,0.378004,0.426129,0.291569,0.585206,0.760154,0.051797,0.851526,0.924766,0.518102,0.418219,0.615469,0.223517,0.218431,0.181398,0.300214,0.38292,0.780151,1.631623,1.533543,0.101649,0.097949,0.105245,0.066264,0.106279,8.649618,0.36151,0.610208,0.026179,0.02314,0.030573,0.05251,0.212051,0.277812,17.832833,130.75,1.006888,67.81397,4.56921,1.352587,0.711054,0.796193,0.892301,0.064258,38.61522,5.524994,281.8281,0.96418,0.029865,0.103223,0.284463,0.000226,0.005774,2274.928,1.410874,0,0.942077,0.117484,0,0.054604,0.003157,584.8491,305391.4
