@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute output {funny,notfunny}

@data
5.390289,0.902206,5.891057,notfunny
5.390289,0.902206,5.891057,notfunny
3.46418,0.886615,5.839859,notfunny
4.634742,0.90259,5.278215,notfunny
6.232763,0.899094,6.25277,notfunny
4.842848,0.895195,6.183227,notfunny
4.152669,0.881399,6.159069,notfunny
5.343727,0.896865,5.726209,notfunny
5.343727,0.896865,5.726209,notfunny
5.947084,0.898877,5.31117,notfunny
6.434427,0.89449,5.20199,notfunny
6.434427,0.89449,5.20199,notfunny
3.919965,0.88599,6.700689,notfunny
4.962348,0.894097,5.823538,notfunny
4.962348,0.894097,5.823538,notfunny
4.558126,0.884673,5.514094,notfunny
4.558126,0.884673,5.514094,notfunny
4.703869,0.888366,6.019067,notfunny
6.540439,0.896778,4.858698,notfunny
4.753037,0.888196,5.494068,notfunny
4.875517,0.897743,6.28494,notfunny
6.524152,0.898036,5.256334,notfunny
6.338788,0.900245,4.873022,notfunny
6.338788,0.900245,4.873022,notfunny
5.385904,0.891975,5.322289,notfunny
4.301569,0.878738,5.762383,notfunny
3.2193,0.883678,6.487825,notfunny
5.698775,0.907351,5.801169,notfunny
4.498494,0.8864,7.642626,notfunny
4.126602,0.896309,5.982737,notfunny
6.259544,0.896539,5.376111,notfunny
3.806905,0.873301,5.61071,notfunny
3.806905,0.873301,5.61071,notfunny
3.806905,0.873301,5.61071,notfunny
3.806905,0.873301,5.61071,notfunny
3.48089,0.8669,7.494149,notfunny
