@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute voiceProb_sma_amean numeric
@attribute F0_sma_amean numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_maxPos numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {funny,notfunny}

@data
4.114319,-3.226483,-1.579124,-0.003367,-6.17383,3.138997,-5.118868,-5.961022,-4.885115,2.672124,29.4645,0.512402,0.058176,0.046235,0.003096,0.44306,79.3025,0.339792,25.56441,-0.890362,10.37304,-0.001995,4.785894,1845,-0.000002,0.00273,0.993978,0.046515,1039,1.293024,24.8203,funny
0.750186,-7.474893,-8.345139,0.001263,3.086302,2.931688,-3.244797,-3.54419,-2.19012,2.671328,13.51584,0.192378,0.092997,0.113863,0.000901,0.533078,175.4182,0.870164,7.660379,-0.383536,3.90806,-0.001115,3.428368,2049,0.000001,-0.003558,0.496437,0.318322,1371,0.665469,4.272049,funny
0.914933,-10.20488,-10.77947,-0.000062,-2.520658,3.073483,-2.099958,-4.613446,-5.203345,3.688847,19.22478,0.69994,0.110016,0.132048,0.008554,0.357551,48.22889,0.973455,6.306864,-0.008163,6.7356,-0.001264,4.004659,596,0,0.000027,1.734053,0.000738,668,1.776201,12.32286,funny
2.277579,-11.42812,-11.02448,0.00016,-2.6187,2.508456,-0.585126,0.952402,0.016445,2.875422,18.38446,0.503327,0.124854,0.113589,0.007101,0.310638,0.769967,0.622521,7.735729,-1.466256,7.56434,-0.000199,3.698709,1476,0.000002,-0.000654,0.54756,0.056477,77,0.745532,6.738312,funny
-0.168002,-8.745862,-2.352877,-0.000588,0.758396,2.725921,-2.581327,-4.269007,-0.402745,3.148345,17.41991,0.381125,0.098587,0.060652,0.001854,0.377368,31.81166,1.148912,6.870821,-1.199243,7.90501,0.001154,4.198105,1134,-0.000003,0.001062,1.12176,0.453568,2804,1.208693,15.89337,funny
1.877362,-6.651598,-7.669879,-0.001383,-3.982098,3.005388,0.233739,1.070761,1.403049,3.307954,16.36187,0.496673,0.078612,0.088685,0.003962,0.343249,30.35145,1.503171,13.61851,-0.625769,5.93231,0.003153,4.395035,1108,0.000001,0.004673,1.112585,-0.113553,2376,1.207344,13.59542,funny
0.527611,-6.643298,-5.559745,-0.001468,-1.226626,3.107441,-0.935292,-1.037194,-0.121571,2.945789,32.07673,0.408349,0.080315,0.066992,0.001618,0.498268,170.1467,0.997419,7.73777,-0.50033,5.518126,-0.005593,5.116382,15,0.000007,-0.001453,1.197982,0.040424,1260,1.318795,14.03832,funny
1.712889,-5.100043,-7.814251,-0.00138,-4.968691,2.689533,-2.884318,-2.292186,-6.676235,2.867048,22.20844,0.425287,0.064985,0.076551,0.002205,0.446654,91.19432,-0.099911,16.61293,-0.985645,6.154305,-0.001092,4.606391,764,0.000001,0.002505,0.777663,0.023963,205,0.856615,22.60493,funny
3.468088,-4.830195,-5.386266,0.000517,-2.892205,3.322829,-3.017189,-3.790215,-2.539722,3.352641,23.83632,0.537205,0.062525,0.072869,0.004594,0.413696,78.11235,0.508008,16.29616,-0.491662,4.349561,0.002728,3.740638,775,0.000002,0.002661,1.379807,0.288565,414,1.689545,22.10204,funny
0.230089,-13.25448,-14.56131,0.000424,-0.532241,2.963324,-2.189938,-0.129342,-2.205003,2.983637,40.58721,0.436782,0.129572,0.141818,0.005458,0.396241,65.00121,1.08523,4.74834,-0.985807,5.152465,0.001412,3.906974,334,-0.000004,0.002184,2.843533,-0.411545,956,2.880935,7.120597,funny
0.821115,-6.946605,-6.428898,0.000044,1.521008,2.756029,0.200466,-1.526795,-3.498632,3.376619,27.19148,0.503932,0.073942,0.070476,0.003371,0.452167,100.5921,1.074329,6.371084,-0.619334,6.176841,-0.00086,5.36731,2507,-0.000008,-0.00474,1.558572,0.063951,1299,1.566609,17.33743,funny
1.100855,-9.407323,-9.372352,0.00035,-2.341066,4.488926,-3.895707,-2.448814,-3.285546,3.063303,19.89093,0.415608,0.115386,0.122293,0.00364,0.317463,19.66667,1.114106,5.064239,-0.819478,5.743199,0.000091,4.220334,1239,-0.000002,-0.000016,0.984706,-0.213573,2568,1.218183,8.295709,funny
0.200423,-11.62244,-11.67683,0.000396,1.515849,3.415133,-0.309323,0.746871,-0.371016,3.383928,12.75908,0.333333,0.114504,0.114605,0.00238,0.29931,29.96076,1.330802,5.97527,-0.989967,9.887859,-0.000865,3.859256,2858,0.000005,0.001356,0.735804,-0.110621,2065,1.157764,4.798774,funny
