@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_E numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_PeriodicCentroid1 numeric
@attribute output {romantic,notromantic}

@data

0.032032,6.10643,0.000413,1.586895,2.799215,0.114055,0.019338,0.000315,2.355646,0.733576,0.326572,0.443393,0.360812,0.129783,0.140749,0.122032,0.270541,0.099752,28.158142,0.600011,1.003222,0.521219,romantic
0.046049,6.952265,0.000076,1.494528,2.573628,0.152067,0.016898,0.000047,2.468619,0.536151,0.475915,0.332041,0.306824,0.12353,0.139011,0.105506,0.324461,0.060775,14.845236,0.62249,1.00401,0.531814,romantic
0.035119,4.978276,0.000612,1.409334,2.684175,0.131802,0.02002,0.000642,2.058257,0.385018,0.261921,0.323789,0.405463,0.117394,0.097028,0.098675,0.169752,0.081383,37.3552,0.611396,1.005306,0.537989,romantic
0.051257,5.218356,0.000209,1.542719,2.969817,0.135996,0.045304,0.000096,2.54337,0.333053,0.352619,0.377134,0.342482,0.122703,0.09468,0.106565,0.252554,0.086047,29.800272,0.559363,1.003572,0.503245,romantic
0.058088,6.244717,0.000288,1.459409,2.602035,0.163434,0.030023,0.000364,2.567587,0.47942,0.200676,0.389143,0.359822,0.110015,0.088217,0.119717,0.173509,0.077799,49.511297,0.61784,1.004179,0.44667,romantic
0.037489,8.853653,0.000176,1.506461,2.987334,0.120289,0.013652,0.000108,3.53101,0.559522,0.379306,0.329222,0.395253,0.104792,0.147245,0.104335,0.208821,0.097856,29.180106,0.555521,1.00457,0.46986,romantic
0.059159,3.779688,0.00048,1.530328,2.922937,0.160188,0.024246,0.000474,2.832239,0.49174,0.273394,0.341792,0.441794,0.123327,0.124652,0.150304,0.259434,0.085674,28.266832,0.608192,1.004393,0.538102,romantic
0.029791,6.046473,0.000177,1.450225,2.761381,0.143806,0.015427,0.000114,2.310324,0.605984,0.388153,0.635497,0.322665,0.103971,0.11634,0.105606,0.182519,0.067646,39.151844,0.577457,1.004358,0.485231,romantic
0.048734,5.833687,0.000193,1.543902,3.062971,0.159562,0.018112,0.000115,2.413224,0.353802,0.451426,0.26818,0.410182,0.114486,0.101917,0.134711,0.224348,0.087713,28.473266,0.583253,1.003512,0.492449,romantic
0.04148,6.08025,0.000048,1.497369,2.942715,0.149276,0.019785,0.00011,2.764416,0.44479,0.295022,0.64292,0.455738,0.132967,0.102508,0.155905,0.222329,0.09297,16.199639,0.638546,1.004332,0.499978,romantic
0.04524,6.297717,0.000112,1.53347,2.935562,0.143079,0.030066,0.000205,2.723509,0.395169,0.519396,0.345102,0.427107,0.134929,0.121549,0.105797,0.285264,0.093679,21.505967,0.577864,1.003874,0.531929,romantic
0.030667,8.578817,0.000125,1.494931,2.752903,0.109831,0.009187,0.000074,3.02018,0.693392,0.598088,0.606037,0.425657,0.127092,0.136441,0.143345,0.434291,0.085397,8.567158,0.574309,1.003494,0.476562,romantic
0.039803,7.362331,0.000022,1.58279,3.312035,0.132527,0.015419,0.000009,2.485385,0.342774,0.743989,0.343696,0.371507,0.134732,0.154967,0.134434,0.306601,0.122234,8.494839,0.57341,1.002661,0.521989,romantic
0.050091,6.498313,0.000064,1.507963,2.628776,0.157564,0.019163,0.000072,2.222118,0.571885,0.335876,0.338074,0.405286,0.130579,0.112227,0.102532,0.383579,0.099604,10.906158,0.547568,1.002709,0.496791,romantic
0.082554,3.186763,0.000473,1.543622,2.643,0.1758,0.053622,0.000561,2.18898,0.560104,0.59212,0.241565,0.355653,0.109266,0.128313,0.124571,0.241911,0.085318,97.651906,0.56532,1.007659,0.45227,romantic
0.058305,4.586279,0.000019,1.491375,2.681097,0.165794,0.033995,0.000026,2.657272,0.414177,0.319941,0.319129,0.303171,0.115558,0.135376,0.096432,0.273267,0.103919,17.799047,0.559713,1.004937,0.547,romantic
0.018215,6.238258,0.000032,1.650447,2.597143,0.064083,0.010781,0.000032,2.510743,0.506177,0.348649,0.430956,0.379119,0.156599,0.149224,0.159271,0.476242,0.111487,5.319265,0.585989,1.002466,0.46886,romantic
0.052779,4.924207,0.000251,1.671279,2.524986,0.134958,0.022938,0.000303,2.224209,0.512709,0.347656,0.341601,0.425383,0.173785,0.131865,0.115314,0.254235,0.128671,28.139984,0.526329,1.004044,0.49139,romantic
0.034725,4.939571,0.000169,1.589183,2.738075,0.120806,0.03041,0.000149,1.770853,0.535719,0.329745,0.221813,0.455575,0.145738,0.121532,0.110207,0.315552,0.107559,12.984176,0.606257,1.002542,0.514086,romantic
0.030617,4.025075,0.000623,1.500608,2.490706,0.11621,0.0193,0.000476,2.01857,0.256372,0.25452,0.277436,0.359483,0.113058,0.101182,0.104996,0.126604,0.078524,53.944331,0.556458,1.004339,0.457559,romantic
0.067301,6.694359,0.000081,1.496636,2.823835,0.170216,0.023878,0.00012,2.592539,0.76809,0.661953,0.439144,0.390834,0.105973,0.14084,0.129797,0.347153,0.08106,13.303632,0.515562,1.002977,0.465519,romantic
0.040689,4.361103,0.000897,1.443554,2.376237,0.146344,0.028103,0.001242,1.759202,0.286695,0.200352,0.165051,0.315655,0.093132,0.094371,0.092217,0.214005,0.066315,109.09593,0.584653,1.008094,0.533752,romantic
0.051875,5.43749,0.000047,1.508601,2.985051,0.145804,0.034807,0.000044,3.172595,0.535391,0.465783,0.448868,0.509303,0.116145,0.113833,0.120176,0.288555,0.111538,12.353236,0.548894,1.002612,0.500206,romantic
0.035224,9.220519,0.000154,1.488532,2.827217,0.137357,0.014025,0.000192,2.533894,0.476985,0.464888,0.434966,0.327564,0.155588,0.13676,0.115185,0.251439,0.095542,23.112715,0.550454,1.003076,0.542378,romantic
0.033361,4.890752,0.000453,1.454645,2.648213,0.147156,0.018508,0.00086,1.88957,0.492914,0.376037,0.423469,0.315336,0.102157,0.09221,0.09471,0.266396,0.077127,51.507342,0.580401,1.00584,0.440742,romantic
0.039363,7.30536,0.000566,1.50586,2.871437,0.129795,0.017862,0.000384,2.402779,0.433303,0.337963,0.449698,0.338029,0.132523,0.10887,0.148475,0.359093,0.091491,30.251454,0.576975,1.00332,0.518253,romantic
0.066308,4.577324,0.00016,1.473582,2.548218,0.14403,0.050725,0.000158,3.043838,0.418217,0.464611,0.406393,0.315752,0.100176,0.111193,0.114846,0.312157,0.088705,20.166508,0.610175,1.003034,0.518922,romantic
0.065173,2.87755,0.000008,1.495158,2.393114,0.118585,0.06271,0.00001,2.329346,0.262397,0.257666,0.168989,0.295685,0.101264,0.09799,0.090685,0.150955,0.080391,19.204312,0.610553,1.009132,0.391652,romantic
0.029886,7.28677,0.000246,1.450565,2.96639,0.121916,0.014091,0.000395,2.259616,0.601755,0.350505,0.53134,0.496383,0.161586,0.176307,0.170085,0.327797,0.09785,13.570257,0.603682,1.003621,0.512028,romantic
0.055152,5.247394,0.00026,1.496912,2.894127,0.154098,0.039203,0.000255,3.29547,0.395845,0.313542,0.288339,0.429905,0.110148,0.126086,0.11125,0.285068,0.07026,44.915265,0.646327,1.004842,0.438761,romantic
0.05665,3.614428,0.000382,1.471272,2.555517,0.16077,0.036191,0.000419,2.768669,0.295786,0.26312,0.243846,0.267765,0.103277,0.106429,0.098128,0.1893,0.077965,50.148905,0.573599,1.00664,0.447252,romantic
0.024698,7.529939,0.000025,1.433961,2.817286,0.098214,0.009962,0.000053,2.219704,0.444824,0.295126,0.416585,0.322562,0.111883,0.09579,0.101861,0.347785,0.09569,13.219624,0.562038,1.003588,0.462045,romantic
0.081408,4.237648,0.000036,1.511158,2.694504,0.161293,0.04823,0.000025,2.556166,0.620879,0.477694,0.432567,0.327011,0.133457,0.110117,0.109006,0.280615,0.107309,14.665977,0.575392,1.002611,0.498201,romantic
0.038583,7.083166,0.000222,1.434683,2.97652,0.131905,0.007076,0.000154,1.837559,0.852041,0.403836,0.54594,0.390324,0.101346,0.10588,0.128193,0.197952,0.082062,22.26078,0.551903,1.002607,0.491302,romantic
0.058533,6.156427,0.000144,1.500039,2.496775,0.159677,0.032731,0.00015,2.759383,0.387775,0.434098,0.418045,0.400843,0.117762,0.119632,0.164046,0.346864,0.08029,18.162022,0.605947,1.003254,0.503006,romantic
0.024923,5.799456,0.000258,1.458984,2.586063,0.092687,0.014721,0.000253,1.929202,0.468402,0.251172,0.451491,0.309503,0.117466,0.114416,0.134506,0.18356,0.074432,19.902425,0.604628,1.003494,0.523916,romantic
0.038674,6.671751,0.000108,1.48835,2.784022,0.13506,0.027593,0.000091,3.799184,0.369966,0.507121,0.226027,0.406348,0.121994,0.098125,0.114644,0.299941,0.078346,17.560825,0.584137,1.004471,0.518644,romantic
0.045771,6.866933,0.000254,1.575605,2.760441,0.137287,0.016795,0.000156,2.240639,0.465288,0.430708,0.377863,0.373978,0.161079,0.120371,0.1308,0.248939,0.099927,22.128819,0.550904,1.002864,0.506478,romantic
0.123631,3.412093,0.000166,1.467052,2.590768,0.230318,0.028045,0.000287,3.904243,0.582831,0.336264,0.54684,0.449779,0.100065,0.145869,0.146973,0.136214,0.081116,19.338286,0.576941,1.003241,0.498743,romantic
0.048748,4.996528,0.000016,1.429531,2.762122,0.126279,0.035977,0.000011,2.092175,0.36447,0.318784,0.234534,0.328782,0.117177,0.126153,0.098673,0.282202,0.090111,10.835624,0.582557,1.003018,0.479795,romantic
0.032428,4.4988,0.000012,1.500719,2.968309,0.101469,0.018389,0.000013,3.104354,0.472559,0.725075,0.416277,0.317235,0.140856,0.112847,0.12772,0.134099,0.096484,8.129484,0.559225,1.003721,0.505357,romantic
0.041192,6.595399,0.000124,1.397919,2.99892,0.124793,0.01772,0.000093,2.453698,0.666286,0.395473,0.495406,0.341752,0.103329,0.101602,0.115739,0.154741,0.072677,23.738395,0.556041,1.002957,0.491004,romantic
0.033227,8.281346,0.000213,1.458036,2.610327,0.145186,0.008311,0.000079,2.300942,0.392698,0.337742,0.200789,0.557569,0.109493,0.093006,0.076183,0.157086,0.082459,23.843551,0.554805,1.002932,0.504817,romantic
0.034614,6.294055,0.000114,1.533974,3.02413,0.107806,0.01548,0.000201,3.055947,0.63377,0.453732,0.504881,0.364449,0.107403,0.162016,0.10025,0.247839,0.091268,12.39542,0.561192,1.006212,0.419825,romantic
0.04146,6.253571,0.000361,1.523395,2.536229,0.131715,0.02278,0.000302,1.885245,0.378387,0.550804,0.487627,0.425835,0.123829,0.109198,0.099839,0.146885,0.092562,17.745547,0.555417,1.005023,0.438081,romantic
