@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {romantic,notromantic}

@data
0.01164,1.933247,-5.927955,-0.393072,-4.354195,2.475589,0.00155,0.625407,4.820465,820,-0.036813,0.000005,-0.159475,0.118517,-0.000988,1.07459,0.000013,-0.000013,0.112652,romantic
0.006011,1.255185,-3.360845,-1.465212,-3.447182,3.514081,0.000889,0.489599,4.471769,2908,-0.221274,-0.000002,0.12132,-0.032573,-0.002881,0.934663,0.000002,0.000084,-0.201595,romantic
0.009296,2.934412,-5.874689,-0.867029,1.8467,4.346168,0.002199,0.537353,4.488015,1605,0.079256,-0.000007,0.154429,0.040902,0.000399,1.145295,0.000024,0.000033,-0.295686,romantic
0.024004,0.299402,-10.02637,1.088115,-1.664615,0.717634,0.003932,0.490805,5.80817,232,0.201732,0.000004,0.097945,-0.042849,0.000979,0.908841,0.000018,-0.000005,-0.438125,romantic
0.009821,0.952962,-14.03596,0.048982,-3.723702,0.913166,0.002241,0.508776,3.336156,1775,0.160216,-0.000011,0.231032,0.134194,0.000936,1.078705,0.000036,-0.000011,0.056291,romantic
0.005031,3.721145,-7.109633,-1.033348,3.299498,2.714035,0.000931,0.440069,4.105073,60,0.2478,-0.000003,-0.045997,0.124768,-0.000249,1.000813,-0.000043,0.000001,-0.095981,romantic
0.005736,1.912382,-5.161278,-0.224917,-13.16186,7.974444,0.001109,0.530454,4.680592,1190,0.084539,-0.000002,-0.382231,-0.32769,0.000801,1.192322,0.000045,0.000007,0.043776,romantic
0.010417,1.539599,-3.768228,-0.333867,-6.080101,2.700554,0.001288,0.402587,5.897217,2602,-0.84408,-0.000001,-0.318816,-0.025279,-0.00048,0.956878,0.000019,0.000055,0.698025,romantic
0.010489,1.35408,-3.680179,-0.735927,-4.553038,4.062311,0.001027,0.258098,3.493649,1666,0.161879,0.000004,0.208387,0.060379,-0.000567,0.714944,-0.000016,-0.000028,-0.56806,romantic
0.016407,0.894225,-6.927457,0.622226,-0.125407,0.791537,0.00292,0.610941,4.834466,57,0.435311,0.000003,-0.039628,0.073521,-0.000637,1.149624,-0.000029,-0.000021,-0.277185,romantic
0.012029,1.497103,-6.204473,0.23197,-1.748037,3.509102,0.002523,0.925148,5.634166,756,0.821743,0.000003,0.512266,-0.157534,-0.001928,1.296567,0.000083,0.000144,-0.439701,romantic
0.016902,1.560239,-6.875587,-0.38229,-1.417395,2.34378,0.003015,0.596454,5.283187,778,0.340176,-0.000003,0.226762,0.066407,-0.003734,1.134059,0.000048,-0.000035,-0.237195,romantic
0.011833,2.200639,-8.013408,-0.597259,-5.552207,3.453434,0.002506,0.394575,3.928408,377,0.126357,-0.000002,-0.016951,0.065739,0.003075,1.030316,-0.000005,0.000017,-0.536479,romantic
0.01959,1.598456,-7.017858,0.043057,0.497705,1.699958,0.004273,0.588611,3.906434,946,0.081766,-0.000001,-0.024602,0.044737,-0.001574,1.080013,0.000044,-0.000013,-0.915879,romantic
0.005945,1.508409,-3.257228,-0.887499,0.289955,5.096674,0.00049,0.462475,7.295596,2055,0.247666,0.00001,0.281685,0.135871,-0.000372,0.785348,0,0.000188,0.565682,romantic
0.017488,1.622508,-7.867043,-0.658289,0.142795,2.92608,0.003462,0.487215,5.893857,435,-0.075537,-0.000001,0.209441,-0.021593,0.004714,0.968821,0.000007,-0.000047,-0.495593,romantic
0.014141,1.411915,-3.503954,-0.622799,-2.534529,2.064529,0.002344,0.720931,4.466252,647,-0.171262,0.000003,-0.06359,-0.23654,-0.003589,1.418112,0.000062,-0.000001,0.359402,romantic
0.003543,3.509292,-3.271765,-1.089127,-4.949959,6.151969,0.000454,0.296022,5.207429,19,0.011241,0.000006,0.209187,0.037706,-0.001879,0.732233,-0.000087,-0.000141,-0.026374,romantic
