@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute output {romantic,notromantic}

@data

0.066308,2.270657,1.473582,2.182238,0.390409,0.14403,0.050725,0.000138,0.413156,0.203083,0.190424,0.085822,0.418217,0.464611,0.315752,0.100176,0.111193,0.108325,0.114846,0.111495,0.312157,18.432635,20.166508,romantic
0.027694,1.976635,1.556854,2.325464,0.436295,0.098032,0.012467,0.000125,0.474927,0.237499,0.187832,0.068716,0.599024,0.283064,0.397872,0.155196,0.14447,0.132073,0.114309,0.064786,0.382651,10.626056,15.030711,romantic
0.04985,1.106705,1.513645,2.46673,0.433136,0.145944,0.032341,0.000058,0.453516,0.228652,0.214697,0.082242,0.569534,0.283436,0.401885,0.095257,0.103207,0.100705,0.104889,0.076258,0.270877,15.614802,23.630043,romantic
0.03377,0.869064,1.487699,2.287321,0.378583,0.130668,0.031155,0.000536,0.45763,0.228868,0.191924,0.074065,0.4543,0.279729,0.349642,0.113326,0.158447,0.15623,0.10747,0.051818,0.201281,80.313554,58.7164,romantic
0.041582,0.585985,1.535093,2.343081,0.379412,0.164311,0.026228,0.000147,0.484566,0.246227,0.207954,0.083019,0.522218,0.324653,0.423816,0.111059,0.120711,0.11375,0.094351,0.055008,0.278771,45.137392,51.532995,romantic
0.044576,1.412044,1.449353,2.144307,0.477967,0.162037,0.015101,0.000331,0.424647,0.21313,0.185604,0.079682,0.267403,0.213022,0.303858,0.105158,0.125992,0.135981,0.112246,0.059157,0.121375,37.125393,66.408836,romantic
0.035287,0.916974,1.5099,2.224701,0.419996,0.120293,0.015661,0.000039,0.305093,0.17775,0.184946,0.07467,0.437878,0.473519,0.359686,0.130614,0.119611,0.117167,0.106509,0.174047,0.18097,7.812481,13.477334,romantic
0.031158,1.835288,1.451554,2.048849,0.361601,0.125312,0.006962,0.000018,0.382819,0.19523,0.183385,0.072769,0.203309,0.199474,0.316413,0.107584,0.105273,0.087309,0.0979,0.074284,0.09034,10.91518,12.244184,romantic
0.030957,1.879488,1.60903,2.579105,0.340971,0.129095,0.009419,0.000017,0.368103,0.190744,0.175506,0.088441,0.472239,0.459463,0.456715,0.15234,0.133233,0.135248,0.159832,0.102575,0.240929,7.100831,7.206786,romantic
0.081408,1.782474,1.511158,2.211435,0.335095,0.161293,0.04823,0.000022,0.440962,0.214348,0.184813,0.071891,0.620879,0.477694,0.327011,0.133457,0.110117,0.105752,0.109006,0.054961,0.280615,11.848407,14.665977,romantic
