@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.035739,5.910681,0.000027,1.577329,3.03498,0.129749,0.014434,0.000029,2.263177,0.459145,0.567725,0.430434,0.400604,0.153813,0.137984,0.133399,0.210503,0.105468,7.010522,0.617811,1.002904,0.478599,61.40604,3.826212,1.217435,0.647904,0.421473,0.870499,0.056199,84.28444,6.40779,534.14,1.155654,0.029584,0.095202,0.231363,0.000551,0.00412,6856.08,2.588129,0,0.906791,0.094833,0,0.084577,0.001568,357.5709,83720.02
0.043882,5.898708,0.000093,1.503962,2.434497,0.148825,0.026403,0.000105,2.312876,0.447863,0.25458,0.369607,0.393212,0.120488,0.108581,0.132974,0.301906,0.098832,37.136957,0.524074,1.005247,0.445512,69.27933,4.494323,1.32968,0.682144,0.720347,0.892585,0.16546,145.2042,5.838396,346.2776,1.301393,0.032823,0.032353,0.231259,0.000274,0.013201,12266.9,0.96293,0,0.677763,0.057691,0,0.218546,0.003231,503.2075,134389.9
0.067523,3.510841,0.000666,1.513657,2.573323,0.164298,0.02841,0.000762,1.949094,0.19641,0.193657,0.187513,0.286158,0.098602,0.096926,0.104392,0.176627,0.07609,85.140008,0.598031,1.004306,0.554135,95.8277,6.194202,1.504573,0.638128,1.412861,0.90501,0.169118,97.29797,5.557917,166.6543,0.769311,0.012965,0.019802,0.294739,0.000061,0.018361,6872.977,0.25608,0,0.950732,0.108047,0,0.046872,0.003039,723.2601,106705.7
0.018855,5.512011,0.000307,1.508161,3.089519,0.089144,0.008687,0.000224,1.861355,0.254267,0.24486,0.343007,0.471431,0.098569,0.106889,0.102418,0.22703,0.100146,28.149583,0.552332,1.004121,0.518859,50.36423,3.655264,1.221728,0.868393,0.415151,0.879635,0.052028,63.91687,5.922287,89.81263,0.573788,0.019671,0.097396,0.095839,0.000338,0.003713,2316.22,0.767898,0,0.932756,0.101486,0,0.062764,0.002707,208.9211,27442.57
0.041582,4.516581,0.00008,1.535093,2.658917,0.164311,0.026228,0.000215,2.013374,0.522218,0.324653,0.353868,0.423816,0.111059,0.120711,0.094351,0.278771,0.078845,51.532995,0.561786,1.010132,0.409617,72.05335,4.942126,1.424437,0.648713,0.846818,0.893905,0.081468,32.87048,5.255319,505.3004,0.883527,0.013102,0.058251,0.493595,0.000307,0.012555,2255.313,0.894213,0,0.822903,0.094202,0,0.145831,0.004647,455.7645,109422.3
0.035849,6.158194,0.000105,1.465162,2.780834,0.14236,0.014271,0.000064,2.380979,0.311034,0.244745,0.285953,0.37031,0.135141,0.117032,0.119063,0.237805,0.093287,34.644781,0.589777,1.004702,0.472546,72.09898,4.19503,1.234925,0.779718,0.92536,0.892994,0.096667,90.03429,6.622772,160.5259,0.608352,0.014371,0.091859,0.190522,0.000179,0.007611,5062.448,0.659376,0,0.996671,0.099797,0,0.00332,0.001761,384.7001,30430.53
0.047565,5.682855,0.000174,1.498418,2.611541,0.156452,0.022079,0.00019,2.668779,0.449928,0.328994,0.277625,0.293428,0.104151,0.098195,0.11444,0.320715,0.078987,28.446375,0.552944,1.005762,0.502983,76.81581,4.778298,1.338633,0.741658,0.957986,0.895311,0.121964,109.7448,5.947362,313.1566,1.265263,0.022246,0.053326,0.171451,0.000349,0.006264,7263.62,0.548897,0,0.609188,0.077383,0,0.238237,0.005177,516.0613,59850.72
0.117208,1.982751,0.000421,1.447149,2.635792,0.202845,0.034064,0.00036,2.112278,0.303873,0.212054,0.250969,0.363268,0.13057,0.107115,0.129471,0.108515,0.090109,61.246229,0.551366,1.004644,0.51131,100.8699,7.118438,1.662661,0.487297,1.113045,0.89191,0.159452,88.27521,4.753358,60.26924,0.270537,0.005381,0.00297,0.156161,0.000074,0.014182,3272.713,0.1349,0,0.843542,0.110951,0,0.132067,0.004544,1362.148,140488.6
0.060059,7.209919,0.000166,1.491135,2.736175,0.169477,0.017037,0.000074,2.892071,0.328503,0.285926,0.3845,0.540166,0.133321,0.128957,0.128521,0.216115,0.090323,19.189091,0.573719,1.00361,0.47569,74.3488,4.507379,1.331247,0.526909,0.5288,0.875219,0.078692,73.08117,5.60817,200.2824,0.892475,0.020663,0.014403,0.032125,0.000211,0.004154,2693.039,0.514856,0,0.882157,0.117507,0,0.104025,0.003469,672.4478,51703.95
0.033718,7.12293,0.00008,1.462031,2.546572,0.127489,0.012622,0.000054,2.149033,0.355481,0.327588,0.273721,0.333257,0.098717,0.113067,0.109141,0.314549,0.073309,13.906688,0.581451,1.002698,0.461764,64.87022,3.955007,1.219987,0.827103,0.705797,0.892679,0.134652,104.5614,6.275896,244.5467,0.793345,0.01784,0.062137,0.092741,0.000162,0.007865,6408.559,0.551783,0,0.860852,0.10377,0,0.119866,0.003841,390.9773,31782.73
