@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute output {romantic,notromantic}

@data
1.472095,42.70353,0.046676,0.004816,notromantic
1.472095,42.70353,0.046676,0.004816,notromantic
1.167944,102.7687,0.067407,0.008833,notromantic
1.206695,79.75022,0.091187,0.003182,notromantic
1.141491,148.7198,0.051342,0.007761,notromantic
1.566753,70.85562,0.010469,0.01857,notromantic
1.117917,170.6964,0.132639,0.013489,notromantic
1.117917,170.6964,0.132639,0.013489,notromantic
1.467258,48.97509,0.020533,0.007793,notromantic
1.530552,22.26867,0.043126,0.020932,notromantic
1.19045,84.52229,0.045404,0.003565,notromantic
1.19045,84.52229,0.045404,0.003565,notromantic
1.19045,84.52229,0.045404,0.003565,notromantic
1.393443,34.56361,0.065257,0.009783,notromantic
1.148567,101.0439,0.026463,0.002331,notromantic
1.148567,101.0439,0.026463,0.002331,notromantic
1.334113,39.45985,0.093355,0.006647,notromantic
1.334113,39.45985,0.093355,0.006647,notromantic
1.334113,39.45985,0.093355,0.006647,notromantic
1.350592,85.31716,0.030078,0.005961,notromantic
1.256977,86.04478,0.015978,0.006513,notromantic
1.474498,64.39119,0.02949,0.007429,notromantic
1.474498,64.39119,0.02949,0.007429,notromantic
1.201058,169.8052,0.055865,0.015542,notromantic
1.508952,15.7461,0.171018,0.008784,notromantic
1.112908,97.94457,0.125471,0.005581,notromantic
1.112908,97.94457,0.125471,0.005581,notromantic
1.648118,20.35709,0.056465,0.013912,notromantic
1.648118,20.35709,0.056465,0.013912,notromantic
1.382722,195.4057,0.030302,0.014487,notromantic
