@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[2]_kurtosis numeric
@attribute mfcc_sma[5]_maxPos numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[10]_skewness numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute pcm_zcr_sma_minPos numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute mfcc_sma_de[3]_min numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[5]_max numeric
@attribute mfcc_sma_de[5]_linregc2 numeric
@attribute mfcc_sma_de[8]_skewness numeric
@attribute mfcc_sma_de[9]_linregc1 numeric
@attribute pcm_zcr_sma_de_skewness numeric
@attribute output {jazzy,notjazzy}

@data
-6.097003,-0.105892,2.422077,1072,2.644611,-0.215021,2.885387,852,-0.000001,-2.881698,0.000001,3.217345,0.002028,-0.062374,-0.000004,0.256469,notjazzy
-5.043816,-0.949196,5.131385,1043,3.31,-0.081072,3.631441,691,-0.000008,-5.231574,0.000004,5.587341,0.011202,-0.116259,0.000011,-0.336651,notjazzy
7.174468,-0.837234,4.447561,1172,2.801357,-0.490931,3.705108,944,0,-3.719505,-0.000004,5.128428,-0.01287,0.116729,0.000007,0.278609,notjazzy
-1.696051,-0.707246,3.492435,1945,3.328796,0.309218,3.497963,2319,-0.000003,-3.986724,0.000005,4.331975,0.010916,0.159722,-0.000005,0.463672,notjazzy
-3.842684,0.106545,2.854267,1873,2.647996,0.213191,2.888226,1187,-0.000002,-2.452467,-0.000003,3.135337,-0.001441,0.129598,0.000003,0.04827,notjazzy
-2.047504,0.55953,4.940887,2088,3.107666,0.205848,2.976255,982,-0.000001,-6.64814,-0.000001,4.450212,0.006227,0.10074,-0.000003,-0.50991,notjazzy
2.446285,0.287572,3.579068,841,3.248742,-0.173853,3.118766,1710,0.000001,-4.922458,-0.000002,5.59575,-0.007258,0.026671,-0.000002,0.013595,notjazzy
-3.954368,0.43407,5.981363,2210,2.584547,-0.028557,2.900878,234,-0.000011,-3.589131,0.000003,4.794175,-0.00982,-0.036219,-0.000003,-0.097989,notjazzy
-3.954368,0.43407,5.981363,2210,2.584547,-0.028557,2.900878,234,-0.000011,-3.589131,0.000003,4.794175,-0.00982,-0.036219,-0.000003,-0.097989,notjazzy
-5.597293,0.450072,3.531836,5,2.802546,-0.038875,3.07596,425,0.00001,-3.287717,0.000005,4.927236,-0.001904,-0.138278,-0.000002,-0.313453,notjazzy
-5.597293,0.450072,3.531836,5,2.802546,-0.038875,3.07596,425,0.00001,-3.287717,0.000005,4.927236,-0.001904,-0.138278,-0.000002,-0.313453,notjazzy
-4.655708,0.634466,3.289158,1684,3.282468,-0.393078,3.675615,977,0.000004,-4.591418,0.000005,6.779716,0.006176,0.036171,0.000004,-0.649248,notjazzy
-0.71524,-0.365057,3.029593,1937,3.722619,0.339116,2.988593,671,-0.000005,-2.995712,-0.000003,4.648919,-0.005409,-0.102503,0.000003,-0.509204,notjazzy
-0.71524,-0.365057,3.029593,1937,3.722619,0.339116,2.988593,671,-0.000005,-2.995712,-0.000003,4.648919,-0.005409,-0.102503,0.000003,-0.509204,notjazzy
-0.272589,0.141955,3.3054,487,2.617434,-0.115903,3.350651,1697,0.000004,-2.894082,0,3.497173,-0.005174,-0.125553,0.000004,-0.297247,notjazzy
-4.386868,0.036316,3.029082,2173,2.455632,-0.189051,3.249713,1077,-0.000004,-3.82564,-0.000002,5.361983,0.005724,0.086919,-0.000007,-0.396451,notjazzy
-4.386868,0.036316,3.029082,2173,2.455632,-0.189051,3.249713,1077,-0.000004,-3.82564,-0.000002,5.361983,0.005724,0.086919,-0.000007,-0.396451,notjazzy
-10.30414,1.190971,4.925101,1191,4.030111,0.200501,3.095067,1890,-0.000015,-3.724084,0.000003,4.573733,0.001796,-0.003315,0.000002,-0.155683,notjazzy
-1.003475,0.022558,3.743844,2266,3.045564,-0.135855,3.081379,2410,-0.000005,-3.392648,-0.000004,4.321711,-0.009674,0.136951,0.000002,0.490237,notjazzy
-7.228828,0.397519,3.131262,2149,2.651528,0.033189,3.952224,1300,-0.000014,-2.612275,0.000002,4.21134,0.012324,0.01572,0.000004,0.160004,notjazzy
-7.228828,0.397519,3.131262,2149,2.651528,0.033189,3.952224,1300,-0.000014,-2.612275,0.000002,4.21134,0.012324,0.01572,0.000004,0.160004,notjazzy
-7.228828,0.397519,3.131262,2149,2.651528,0.033189,3.952224,1300,-0.000014,-2.612275,0.000002,4.21134,0.012324,0.01572,0.000004,0.160004,notjazzy
-8.822045,1.072666,3.565534,2593,4.520105,-0.378794,3.799306,2183,-0.000011,-3.047504,-0.000001,3.529868,0.01545,0.043243,-0.000013,-0.048595,notjazzy
-3.608697,0.84471,3.26082,1974,2.818356,0.367367,3.244519,700,-0.000004,-2.515542,-0.000012,5.084349,0.00925,-0.082472,-0.000008,0.822611,notjazzy
-5.812531,0.053721,2.54181,89,2.607605,0.045668,2.654052,2203,-0.000007,-3.112445,0.000002,4.830302,0.009804,0.09373,0.000003,-1.533032,notjazzy
-2.94243,0.217532,3.628674,2306,2.778466,-0.102206,2.697363,641,-0.000002,-3.255299,-0.000001,3.814474,0.008697,0.103027,0,0.295813,notjazzy
-4.812574,0.175868,3.457412,773,2.566194,-0.318876,3.115304,780,0.000002,-3.738525,-0.000012,5.497886,0.037873,-0.149398,0.000004,0.23943,notjazzy
-4.812574,0.175868,3.457412,773,2.566194,-0.318876,3.115304,780,0.000002,-3.738525,-0.000012,5.497886,0.037873,-0.149398,0.000004,0.23943,notjazzy
-4.812574,0.175868,3.457412,773,2.566194,-0.318876,3.115304,780,0.000002,-3.738525,-0.000012,5.497886,0.037873,-0.149398,0.000004,0.23943,notjazzy
-1.574112,0.234828,3.840066,781,3.149863,-0.052347,3.34237,90,0.000007,-3.550081,-0.000003,5.833127,-0.006551,0.19153,0.000003,-0.211079,notjazzy
-3.275273,-0.065547,2.854403,128,3.375888,-0.150211,3.234952,1594,-0.000004,-4.281901,-0.000014,5.271092,-0.004639,0.028339,0.000002,-0.660098,notjazzy
-1.244572,0.331622,3.253504,1236,2.503488,-0.085713,3.030072,1901,0.000003,-2.503482,-0.000007,4.349571,0.005974,-0.065338,0.000002,0.028963,notjazzy
-1.244572,0.331622,3.253504,1236,2.503488,-0.085713,3.030072,1901,0.000003,-2.503482,-0.000007,4.349571,0.005974,-0.065338,0.000002,0.028963,notjazzy
-1.244572,0.331622,3.253504,1236,2.503488,-0.085713,3.030072,1901,0.000003,-2.503482,-0.000007,4.349571,0.005974,-0.065338,0.000002,0.028963,notjazzy
-5.107969,0.479664,3.344364,2441,3.238051,0.087651,2.86712,2903,-0.000007,-4.509757,-0.000004,6.659562,0.00422,0.207137,0.000003,-1.116033,notjazzy
-6.982772,1.0354,4.261055,1347,2.981214,-0.012188,3.052006,1596,0.000005,-2.981675,-0.000011,4.24319,0.007029,-0.010693,0.000003,-0.384172,notjazzy
-6.982772,1.0354,4.261055,1347,2.981214,-0.012188,3.052006,1596,0.000005,-2.981675,-0.000011,4.24319,0.007029,-0.010693,0.000003,-0.384172,notjazzy
-6.982772,1.0354,4.261055,1347,2.981214,-0.012188,3.052006,1596,0.000005,-2.981675,-0.000011,4.24319,0.007029,-0.010693,0.000003,-0.384172,notjazzy
-6.131784,0.276887,2.784492,696,2.694255,0.10396,2.828352,2916,0.000001,-4.143525,-0.000002,5.76043,0.001841,0.120985,-0.000001,-0.446036,notjazzy
-6.131784,0.276887,2.784492,696,2.694255,0.10396,2.828352,2916,0.000001,-4.143525,-0.000002,5.76043,0.001841,0.120985,-0.000001,-0.446036,notjazzy
-12.52684,0.226113,3.517662,2150,2.755181,0.056772,2.721527,2062,0,-4.47816,0.000001,4.177431,-0.005748,0.072487,0,-0.016007,notjazzy
-12.52684,0.226113,3.517662,2150,2.755181,0.056772,2.721527,2062,0,-4.47816,0.000001,4.177431,-0.005748,0.072487,0,-0.016007,notjazzy
-12.52684,0.226113,3.517662,2150,2.755181,0.056772,2.721527,2062,0,-4.47816,0.000001,4.177431,-0.005748,0.072487,0,-0.016007,notjazzy
-5.061733,0.141756,3.135054,2543,3.491722,0.218397,2.505765,871,0.000004,-2.345718,0,3.201884,-0.000391,0.055723,-0.000001,0.450792,notjazzy
-2.881164,0.747687,3.991944,311,2.960002,-0.020118,3.366024,1946,-0.00002,-3.514703,0.000005,5.197055,0.007438,0.135103,-0.000004,-0.627184,notjazzy
-2.881164,0.747687,3.991944,311,2.960002,-0.020118,3.366024,1946,-0.00002,-3.514703,0.000005,5.197055,0.007438,0.135103,-0.000004,-0.627184,notjazzy
-4.624796,0.414853,3.154089,15,3.022846,-0.36706,3.368339,799,0.000015,-3.971774,0.000003,3.282012,-0.002552,-0.013152,-0.000003,0.107941,notjazzy
-4.654275,0.268935,2.756897,2290,2.615489,-0.20971,2.758649,1669,-0.000005,-6.462186,-0.000007,10.18064,-0.008465,-0.071407,-0.000008,-0.489061,notjazzy
-6.700217,0.1055,2.206534,1036,3.054486,0.253176,3.286549,1485,0.000002,-3.078984,0.000009,4.773803,0.007536,-0.201909,0.000004,-3.157066,notjazzy
