@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_16 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {jazzy,notjazzy}

@data
1.567793,0.440632,3.592768,0.36861,0.617388,0.06374,0.066451,0.090463,0.107978,0.05722,0.183576,0.193717,53.23156,4.081171,1.305867,1.071415,0.726195,0.878297,0.028438,27.12163,5.974398,149.2392,1.147943,0.051616,0.222472,0.157673,0.000338,0.001907,1130.398,2.755362,0,0.926764,0.091476,0,0.067917,0.00238,291.1035,233025.5,jazzy
-0.110529,0.555989,3.428899,0.41007,0.567359,0.064601,0.064986,0.068696,0.054765,0.028806,0.175302,0.186946,83.94033,5.689605,1.468593,0.661194,1.174467,0.897619,0.114773,54.57651,5.382962,393.1897,1.990806,0.037852,0.047985,0.280312,0.00013,0.014196,4045.616,0.746514,0,0.972703,0.108007,0,0.02657,0.002502,687.0414,257269,jazzy
2.903182,0.505149,3.276226,0.400198,0.44592,0.055671,0.056906,0.150771,0.204033,0.039134,0.186079,0.197737,68.94804,3.947284,1.116138,0.82965,0.920467,0.839763,0.103303,68.4449,7.595104,2771.444,7.742378,0.110413,0.069645,1.162801,0.002242,0.010278,2981.626,4.942109,0,0.873502,0.107823,0,0.11057,0.004025,375.4302,69983.49,jazzy
-0.380129,0.479727,2.991082,0.597221,0.543344,0.070802,0.077988,0.106557,0.044836,0.048107,0.174487,0.186083,72.06974,5.121593,1.459994,0.539863,0.576348,0.885515,0.101819,77.91722,4.81791,429.6544,1.577786,0.031036,0.084058,0.114181,0.000361,0.011022,7265.684,1.014652,0,0.89747,0.101232,0,0.092079,0.003215,1013.918,380354.5,jazzy
2.505092,0.642696,3.31324,0.410371,0.55722,0.064187,0.060869,0.059923,0.034761,0.024804,0.183913,0.193449,106.6838,7.137543,1.619931,0.612824,1.761069,0.897193,0.055204,13.63463,5.425002,649.2035,1.236365,0.014603,0.022799,0.916986,0.000139,0.008754,402.1283,0.97559,0,0.981358,0.154832,0,0.018306,0.002526,894.9139,180251.9,jazzy
0.199817,0.52403,3.300681,0.487233,0.541947,0.074994,0.077927,0.072109,0.083045,0.023007,0.173453,0.183517,69.35553,4.292406,1.274491,0.722523,0.818264,0.889922,0.060766,34.50455,6.040276,172.9523,0.771502,0.021508,0.078874,0.154158,0.000289,0.005994,1133.916,0.808681,0,0.948069,0.12664,0,0.049267,0.002953,441.5782,42996.93,jazzy
0.982948,0.51567,4.28477,0.524865,0.585515,0.066916,0.069331,0.127754,0.067018,0.035768,0.180672,0.191943,82.36292,5.209508,1.406358,0.654998,0.910969,0.885521,0.065566,41.1044,5.400087,1746.771,3.853515,0.036672,0.086641,0.51578,0.000555,0.007406,2552.29,2.546806,0,0.808921,0.093559,0,0.154671,0.00405,591.8906,111769.3,jazzy
-0.421504,0.670115,2.534623,0.459886,0.418976,0.082702,0.084337,0.102142,0.098279,0.023863,0.176711,0.194142,83.11059,4.798925,1.305206,0.718443,1.244334,0.899329,0.074502,48.23072,6.59429,328.4405,1.329889,0.029115,0.040448,0.627123,0.000139,0.004649,1570.731,1.354931,0,0.978029,0.094164,0,0.021502,0.002538,487.8511,252358.2,jazzy
-0.469977,0.625933,2.921955,0.425399,0.602922,0.06622,0.066971,0.06598,0.049422,0.045906,0.171082,0.178491,79.53165,5.84087,1.557531,0.584615,0.962541,0.897792,0.098363,33.36593,4.722553,328.5038,1.143105,0.020118,0.030268,0.325312,0.000216,0.015261,1588.036,0.652392,0,0.888149,0.111451,0,0.099406,0.003647,1144.983,349431.8,jazzy
0.928147,0.5199,3.896465,0.44859,0.504221,0.079725,0.074533,0.091563,0.040279,0.028046,0.177246,0.187882,80.7183,4.875517,1.333104,0.81034,1.24119,0.897743,0.141587,120.3442,6.28494,840.9202,1.640119,0.017319,0.061018,0.640534,0.000261,0.016333,14964.35,0.941782,0,0.971372,0.161862,0,0.027827,0.002143,452.5185,47185.26,jazzy
-0.554521,0.608141,2.828641,0.45215,0.575629,0.069102,0.072179,0.071323,0.042578,0.033975,0.181235,0.192891,86.19752,5.703864,1.472852,0.599662,1.153819,0.901565,0.102649,43.33709,5.34779,226.957,0.775989,0.01088,0.025252,0.27095,0.000124,0.010097,2839.58,0.294999,0,0.91478,0.117451,0,0.078009,0.003771,733.5223,186792.5,jazzy
0.683591,0.518051,3.722328,0.515356,0.614869,0.070026,0.079579,0.073945,0.037036,0.028643,0.180314,0.187616,63.42301,4.279426,1.305023,0.878565,0.700602,0.888657,0.043512,31.21806,5.814347,472.2183,1.076181,0.024566,0.140511,0.236383,0.000237,0.003183,962.5031,1.545231,0,0.605193,0.057092,0,0.239094,0.003517,357.93,86671.88,jazzy
0.633099,0.579932,2.510037,0.479422,0.459331,0.06603,0.071048,0.101309,0.073465,0.021251,0.179918,0.19075,64.51136,3.947673,1.215549,0.688228,0.508321,0.878421,0.094017,74.00348,6.621455,196.8071,1.764248,0.049676,0.026446,0.052144,0.000405,0.006986,4874.64,1.46248,0,0.878828,0.066215,0,0.10656,0.001293,458.5906,279080.1,jazzy
0.734852,0.413951,3.916408,0.655021,0.640682,0.063882,0.063917,0.115395,0.051646,0.022843,0.179096,0.191156,56.51195,3.611753,1.216093,0.597433,0.427948,0.874193,0.063374,66.78295,5.963506,285.5219,0.477559,0.014744,0.084752,0.136975,0.000487,0.004503,3621.103,1.536164,0,0.873502,0.086651,0,0.11057,0.003045,352.5583,33586.49,jazzy
0.107127,0.54881,3.378767,0.503177,0.627157,0.07767,0.072058,0.067894,0.070938,0.028139,0.177794,0.191123,93.82635,5.720558,1.425369,0.662422,1.381037,0.902167,0.075664,25.66266,6.074207,397.7486,1.522183,0.028754,0.042373,0.357498,0.000187,0.01415,2320.162,0.84541,0,0.924101,0.117245,0,0.070185,0.003552,618.2959,128815.1,jazzy
0.246645,0.502329,4.317724,0.494755,0.557846,0.064464,0.06691,0.142718,0.099226,0.027701,0.178786,0.189904,63.32812,3.755793,1.17568,0.874779,0.768993,0.880932,0.05379,42.6282,6.73033,542.2685,1.669501,0.03817,0.196684,0.275263,0.00035,0.00388,2102.44,1.905747,0,0.856858,0.100462,0,0.122734,0.004297,401.6248,87970.68,jazzy
0.751776,0.507644,3.779293,0.480835,0.543308,0.075543,0.074574,0.076865,0.07485,0.032159,0.178596,0.188745,77.25115,4.824939,1.337219,0.782292,1.073892,0.89264,0.078189,47.04501,6.220193,494.102,1.982246,0.044931,0.083349,0.41263,0.000254,0.00786,3136.809,1.333542,0,0.87217,0.09267,0,0.111563,0.004149,525.1157,288091.9,jazzy
-0.413263,0.600797,2.354835,0.458515,0.617472,0.058234,0.064776,0.066896,0.061783,0.032765,0.183502,0.195272,81.13039,5.838467,1.539977,0.535577,1.058725,0.888663,0.100332,53.48871,4.774079,129.9595,0.167844,0.008219,0.015492,0.253915,0.000151,0.013851,4547.586,0.603716,0,0.98269,0.144211,0,0.017022,0.00252,1056.436,343605,jazzy
0.375058,0.47788,4.598681,0.488362,0.584058,0.078915,0.083769,0.090878,0.068835,0.026175,0.172666,0.186513,71.43073,4.558126,1.330457,0.817076,0.666199,0.884673,0.024189,5.038738,5.514094,466.2477,1.272653,0.021818,0.161616,0.048162,0.000188,0.005697,104.6973,0.429245,0,0.753662,0.125768,0,0.185779,0.005747,607.5722,121657.1,jazzy
1.475932,0.625573,2.399213,0.434775,0.553061,0.063267,0.0587,0.080806,0.044577,0.015658,0.184298,0.193617,55.35686,3.448691,1.160088,0.901968,0.694428,0.884466,0.185168,166.1819,6.63795,67.71308,0.21833,0.005853,0.159458,0.232145,0.000168,0.007136,7646.28,0.461664,0,0.738349,0.081227,0,0.193319,0.004066,255.8751,4833.377,jazzy
-3.175468,0.632676,2.955461,0.471395,0.49664,0.073814,0.069816,0.06495,0.101457,0.02512,0.176745,0.189882,75.44663,3.927673,1.222616,0.632537,0.731149,0.869572,0.224592,186.7383,6.379764,131.2602,0.521132,0.010463,0.015463,0.025783,0.000212,0.018203,19839.26,0.300791,0,0.904128,0.131694,0,0.086738,0.003469,888.9507,26057.59,jazzy
-0.103901,0.53842,3.112107,0.640689,0.549392,0.066415,0.066009,0.119738,0.104881,0.041646,0.154585,0.158202,81.12255,6.178005,1.612316,0.41153,0.524069,0.884075,0.106362,49.78186,4.280085,586.7565,2.299809,0.037431,0.027835,0.08048,0.000164,0.021093,4095.241,0.405124,0,0.870173,0.087834,0,0.113047,0.003371,1435.583,572718.2,jazzy
-1.317457,0.535875,3.386896,0.408844,0.552079,0.066291,0.070831,0.100057,0.046552,0.031109,0.180062,0.190828,79.13048,4.736278,1.334113,0.669986,1.032055,0.889492,0.069013,39.45985,5.954416,589.6779,1.529155,0.024325,0.093355,0.498293,0.000162,0.006647,2284.232,1.426797,0,0.890147,0.122009,0,0.097851,0.003847,642.0856,134177.3,jazzy
-0.02488,0.294568,4.12475,0.505141,0.683277,0.067545,0.075988,0.079061,0.064512,0.032165,0.179118,0.191015,66.46955,4.772296,1.463426,0.438909,0.355257,0.86477,0.061062,63.58064,4.440531,835.0403,1.699198,0.027596,0.029058,0.077484,0.000564,0.007565,5141.602,1.386642,0,0.792277,0.103155,0,0.164684,0.005176,704.4632,242676,jazzy
-0.392148,0.617575,2.967965,0.449499,0.500603,0.077112,0.070236,0.061219,0.064393,0.023952,0.174026,0.187505,87.31121,5.017959,1.340294,0.751807,1.176837,0.894045,0.065813,28.58073,6.35096,340.467,1.094909,0.022677,0.027157,0.181227,0.000216,0.008448,2142.01,0.646114,0,0.894141,0.1181,0,0.094716,0.003596,729.729,452086.4,jazzy
0.171115,0.464772,2.191528,0.444043,0.511746,0.071509,0.06952,0.089919,0.069452,0.029074,0.173991,0.189107,63.12561,4.131831,1.27716,0.696442,0.533504,0.884883,0.08237,62.60399,5.744202,269.4789,1.190951,0.035435,0.08991,0.082202,0.000331,0.006887,2593.409,0.769488,0,0.836884,0.082805,0,0.1366,0.002864,515.8002,194237.4,jazzy
1.387412,0.567903,4.209131,0.453031,0.571953,0.073714,0.07199,0.069182,0.054566,0.025731,0.182056,0.190399,63.27676,3.993947,1.254613,0.738333,0.561734,0.880938,0.076926,63.70254,6.281883,314.7088,0.677064,0.02296,0.097677,0.109064,0.000322,0.008938,4413.421,1.26361,0,0.909454,0.094368,0,0.082402,0.002514,373.0376,109684.5,jazzy
1.033517,0.492024,4.39222,0.569406,0.646467,0.06733,0.067277,0.077366,0.073424,0.026035,0.180408,0.190862,57.41004,3.770491,1.207728,1.067395,0.860848,0.883725,0.040017,27.99628,6.464512,216.2873,1.224115,0.040213,0.385465,0.290918,0.000379,0.00404,859.2067,1.826512,0,0.938748,0.103218,0,0.057538,0.003292,283.1024,48633.66,jazzy
1.920479,0.495647,4.278014,0.436121,0.676187,0.068861,0.069657,0.077179,0.057567,0.022196,0.179214,0.191971,65.13124,4.470109,1.324674,0.87414,0.823715,0.889938,0.064207,52.25584,5.876013,375.5585,1.06371,0.029683,0.108141,0.333785,0.000353,0.005518,3962.941,1.060194,0,0.816245,0.091218,0,0.150089,0.003502,351.6424,142079.4,jazzy
-0.368969,0.605063,1.592731,0.466424,0.550203,0.07433,0.07432,0.085455,0.045792,0.030746,0.178773,0.189365,102.2827,6.745529,1.58434,0.57937,1.404288,0.894539,0.140532,37.66644,5.247164,63.22726,0.614229,0.012746,0.00568,0.07519,0.000212,0.026436,1944.623,0.169982,0,0.806924,0.104604,0,0.155901,0.004595,1169.098,264923.6,notjazzy
-0.619199,0.5934,2.80601,0.508029,0.610902,0.070372,0.06618,0.07119,0.033594,0.039015,0.175698,0.186656,96.91132,6.372011,1.547191,0.561277,1.185465,0.893295,0.092637,44.15475,5.22884,388.1315,1.176356,0.018766,0.02468,0.12293,0.000166,0.010084,2949.16,0.463364,0,0.980027,0.124271,0,0.019587,0.002757,1016.725,192355.3,notjazzy
-0.310468,0.552277,4.862696,0.459749,0.610323,0.104237,0.100632,0.080044,0.047674,0.04667,0.180614,0.187633,62.79319,4.586298,1.396702,0.904676,0.932193,0.894943,0.058764,14.96793,5.231251,336.8017,0.852421,0.022655,0.135163,0.339992,0.00025,0.012619,480.7814,1.310367,0,0.767643,0.097133,0,0.178486,0.004888,496.1106,327341.6,notjazzy
2.307057,0.556805,5.05597,0.40047,0.554556,0.067069,0.070148,0.092642,0.064279,0.021463,0.180712,0.19093,51.76452,3.989058,1.297576,1.018827,0.600252,0.880362,0.068099,33.43679,5.362283,503.0958,1.719699,0.043033,0.2855,0.323089,0.000449,0.007876,1426.887,1.698128,0,0.861518,0.091195,0,0.119384,0.003127,317.1322,94984.14,notjazzy
0.775202,0.590083,2.649229,0.483688,0.543139,0.070415,0.066963,0.080646,0.032404,0.028843,0.179578,0.188456,93.45463,5.991272,1.485387,0.667035,1.454324,0.903073,0.061407,19.76825,5.64449,200.1191,0.632476,0.011873,0.030287,0.533006,0.000145,0.006762,561.8241,0.555626,0,0.900133,0.127894,0,0.089953,0.004894,717.5693,154503,notjazzy
