@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute output {lonely,notlonely}

@data
51.76831,1.186368,0.869471,0.863635,122.4382,6.103511,0.001054,0.011465,3.512683,lonely
48.5899,1.202621,0.557643,0.865492,185.7884,5.342541,0.000359,0.012682,2.541478,lonely
67.57554,1.111113,0.628355,0.877132,139.9864,7.385295,0.000194,0.011629,1.044716,lonely
60.83692,1.271171,0.831692,0.88204,26.73874,5.973247,0.000418,0.004732,2.184597,lonely
52.64924,1.228252,0.621274,0.871245,85.00336,5.667656,0.000446,0.002861,1.025045,lonely
84.985,1.308234,0.667933,0.885793,59.61254,6.459326,0.000253,0.005468,1.242484,lonely
44.63512,0.978092,1.003257,0.850223,145.773,7.328512,0.000852,0.008173,4.220094,lonely
61.40604,1.217435,0.647904,0.870499,84.28444,6.40779,0.000551,0.00412,2.588129,lonely
62.82619,1.317402,0.767787,0.88511,52.08278,5.843104,0.000397,0.00602,1.191887,lonely
54.2971,1.110993,0.885204,0.875515,133.2414,6.782318,0.000391,0.008571,1.288466,lonely
64.01995,1.299943,0.943249,0.900862,107.6784,5.899898,0.00015,0.006556,0.680234,lonely
89.9511,1.436883,0.623352,0.895329,103.7443,5.600109,0.000094,0.013281,0.214584,lonely
61.81142,1.589143,0.667344,0.881745,29.36555,4.133678,0.000412,0.01412,2.574182,lonely
80.94971,1.38295,0.733375,0.899348,24.52263,5.721194,0.000193,0.008454,0.666737,lonely
57.02025,1.141491,0.65412,0.870555,148.7198,6.77677,0.000304,0.007761,1.117186,lonely
72.82255,1.238379,0.590189,0.871446,67.63502,6.748396,0.000528,0.00318,1.927287,lonely
78.90321,1.315297,0.624715,0.901684,108.8899,6.004067,0.000075,0.006598,0.232677,lonely
66.11146,1.321386,0.584754,0.880315,136.5198,5.385152,0.000254,0.005878,0.770544,lonely
77.85064,1.19846,0.71601,0.881828,147.7706,7.002161,0.000304,0.013727,0.715495,lonely
58.55384,1.096905,0.992851,0.861712,99.10476,7.388608,0.000659,0.005071,1.979596,lonely
65.37476,1.477763,0.57573,0.879478,34.85811,4.724573,0.000448,0.003507,0.958314,lonely
69.24666,1.239799,0.790436,0.90102,166.1587,6.371721,0.000061,0.010182,0.471517,lonely
68.79725,1.325015,0.663292,0.877611,31.39178,5.784667,0.000278,0.003871,1.299162,lonely
63.32812,1.17568,0.874779,0.880932,42.6282,6.73033,0.00035,0.00388,1.905747,lonely
79.18691,1.302012,0.51991,0.867637,114.7342,6.112398,0.000598,0.00596,1.67073,lonely
