@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.131545,0.00025,2.216934,3.177913,0.775405,0.411645,0.171035,0.438114,0.592799,1.994462,0.04367,0.000166,0.291591,0.436358,0.12966,0.033239,0.028795,0.898068,0.719428,0.514621,0.000104,0.172947,0.585437,1.389432,0.105546,0.114268,0.262712,0.319513,0.429721,0.093347,0.156814,0.208187,0.177544,0.047288,0.039987,0.046406,0.049886,0.022816,0.081656,49.737255,120.25,1.004984
0.170916,0.000255,2.000101,2.694999,0.739068,0.583788,0.235026,0.450272,0.576204,1.935878,0.021693,0.000269,0.249791,0.327849,0.110665,0.032229,0.012302,0.661467,0.199354,0.19899,0.000063,0.201127,0.446295,0.836972,0.113018,0.098599,0.256251,0.45724,0.160096,0.129431,0.142682,0.1714,0.187758,0.049352,0.028382,0.041955,0.035271,0.022081,0.069527,56.08934,134,1.005717
0.064917,0.000139,2.273678,3.098836,0.769071,0.519035,0.146528,0.384884,0.524066,2.019347,0.0075,0.000122,0.279961,0.379675,0.112052,0.020465,0.007542,0.970528,0.468579,0.295592,0.000101,0.220654,0.602252,1.316882,0.10744,0.122846,0.257204,0.490168,0.535143,0.113746,0.192311,0.198443,0.211728,0.046386,0.042973,0.050861,0.040311,0.02496,0.080967,24.432277,157,1.00319
0.061585,0.00016,2.645851,3.405769,0.769169,0.230356,0.133098,0.310641,0.422342,1.965249,0.009501,0.000098,0.263091,0.397625,0.183021,0.023689,0.016922,1.469486,0.790042,0.427943,0.000138,0.242078,0.708484,1.658873,0.148423,0.16897,0.258007,2.241775,0.624587,0.127552,0.173634,0.189969,0.303116,0.063748,0.039945,0.047708,0.071195,0.042213,0.080901,15.869933,145,1.002793
0.106545,0.000475,2.356484,2.981782,0.696907,0.468478,0.132329,0.486719,0.632332,1.994904,0.03079,0.000356,0.287289,0.462039,0.126553,0.042074,0.018194,0.707474,0.690948,0.314755,0.000117,0.193023,0.622438,1.370956,0.10091,0.125445,0.262375,0.459657,0.311685,0.088997,0.123826,0.249082,0.285271,0.045439,0.03987,0.031353,0.031493,0.025341,0.078703,70.988108,136.5,1.005897
0.029165,0.000147,2.213314,2.997657,0.756177,0.522464,0.09661,0.422361,0.546065,1.999033,0.004683,0.000066,0.294209,0.356998,0.109508,0.017246,0.009435,1.101918,0.513452,0.614198,0.000042,0.206785,0.526473,0.956869,0.121427,0.177507,0.264855,0.571646,0.504982,0.139093,0.139537,0.155574,0.1837,0.050108,0.036313,0.040549,0.056027,0.026561,0.082872,11.789558,158,1.002615
0.068653,0.000053,2.579783,3.134069,0.754901,0.344291,0.140797,0.388336,0.491946,1.962681,0.01833,0.000018,0.264771,0.422031,0.180928,0.019609,0.011645,1.696786,0.679785,0.506773,0.000023,0.243103,0.752284,1.996977,0.128786,0.131314,0.289592,2.715718,0.774803,0.136686,0.167189,0.171462,0.216344,0.073817,0.065448,0.053686,0.060715,0.049964,0.069926,16.464359,137.75,1.004136
0.148416,0.000243,2.156609,3.556272,0.77466,0.403851,0.218491,0.440552,0.551499,1.996219,0.015494,0.000364,0.2746,0.464137,0.106055,0.024841,0.010877,0.708309,0.514367,0.385686,0.000129,0.205402,0.698396,1.113844,0.110988,0.088224,0.260256,0.43656,0.325744,0.153918,0.154414,0.15455,0.230018,0.061774,0.029848,0.035622,0.033455,0.024194,0.08072,27.144961,131.5,1.00275
0.247338,0.000301,2.120109,2.677228,0.722428,0.519965,0.200788,0.519,0.639605,1.946563,0.036833,0.000259,0.280142,0.439538,0.11074,0.029339,0.021634,0.722717,0.423763,0.381533,0.000091,0.193368,0.586153,0.749579,0.109527,0.108903,0.259002,0.639815,0.298805,0.110163,0.138437,0.21822,0.207057,0.05937,0.03533,0.038819,0.039635,0.021508,0.074606,91.815284,143,1.005804
0.16757,0.000105,2.217991,2.868684,0.758476,0.543698,0.172459,0.496277,0.622646,1.974676,0.029524,0.000084,0.291588,0.396357,0.127668,0.029905,0.018951,0.819835,0.436003,0.207134,0.000021,0.17625,0.467993,1.23,0.091834,0.095186,0.258732,0.69094,0.328058,0.107803,0.146592,0.215979,0.203312,0.038748,0.03673,0.042204,0.024144,0.030745,0.079731,36.571489,140.75,1.0047
