@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[3]_linregerrQ numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[6]_min numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[9]_minPos numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[9]_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[9]_min numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {lonely,notlonely}

@data
0.042855,13.99169,7.360001,31.86961,-6.061378,-19.68822,-7.347338,250,-5.441648,5.149931,-4.35926,0.093164,0.039485,0.000002,0.629862,-0.259043,0.00715,0.000725,-0.000006,0.096348,5.031493,2953,0.79878,0.000799,5.000716,-5.000547,0.042947,0.774746,3.948771,0.011615,0.000004,5.614597,1.15459,lonely
0.103318,-0.900227,-9.915732,25.95385,2.482746,-17.26098,1.578504,1478,-1.823926,6.251089,-3.938641,0.505142,0.074109,0.00001,0.371345,1.086312,0.019985,0.003707,-0.000005,-0.659549,4.069554,1336,1.297666,0.000434,4.345155,-5.674598,-0.077174,1.186501,3.753562,0.067211,0.000107,16.29193,-0.420513,lonely
0.02637,3.866944,-0.798982,8.65227,1.769633,-11.37301,2.099098,779,-0.445572,4.399782,-1.657598,0.092559,0.021649,0.000003,0.482306,0.327092,0.002326,0.000293,-0.000004,-1.097128,3.540666,2044,0.641576,-0.00006,3.2867,-2.681073,0.165928,0.61233,3.190526,0.010889,0.000004,7.629647,-0.353842,lonely
0.033636,13.06899,0.266957,28.36186,-12.27259,-28.83572,-16.89284,1819,-6.572464,8.996326,-4.414712,0.429522,0.056437,0.000002,0.570667,-0.24591,0.00619,0.000798,0.00001,-0.538793,4.744939,1342,0.863872,0.003666,4.446183,-4.306029,0.199223,0.905376,5.434015,0.08784,0.000069,37.39025,1.058017,lonely
0.091558,-3.853307,-9.139181,14.20958,3.212052,-15.05085,-3.083686,640,-4.747235,4.607206,-5.426916,0.201452,0.107143,-0.000002,0.450277,0.411223,0.008649,0.001935,0.000003,0.505116,3.872647,1088,0.72575,-0.000279,3.256968,-3.934949,-0.083507,0.758703,3.36638,0.016636,0.000024,3.621211,-0.036223,lonely
0.102035,-0.348097,-11.32517,14.29116,-8.2182,-21.05477,-2.72511,145,-3.441741,4.923211,-2.634842,0.366001,0.140512,-0.000003,0.367782,0.722818,0.014741,0.0033,0.000005,-1.050651,5.795229,966,1.074337,-0.002276,4.127247,-3.676657,0.590808,1.011936,4.078679,0.039443,0.000072,5.100358,-0.556522,lonely
0.048502,0.812734,-9.823784,11.5516,-1.43034,-13.98234,0.249347,1272,-2.222023,3.912951,-2.325357,0.329099,0.101503,0.000005,0.364411,1.004201,0.009639,0.001673,-0.000001,-1.012057,3.404731,391,0.988054,0.005096,3.707931,-3.499818,0.120413,0.942623,3.339259,0.04634,0.000087,5.491252,-0.412941,lonely
0.034642,0.8819,-7.43185,17.8663,0.879849,-18.74743,0.232556,1842,0.120862,5.025117,-1.481175,0.286146,0.065939,0.000017,0.350542,0.637753,0.006884,0.000908,0,-1.047518,3.793498,759,1.151045,0.002596,4.276325,-4.351304,0.015537,1.128289,3.30699,0.060012,0.000075,10.79133,-0.63657,lonely
0.073575,14.00945,0.897068,22.79514,-6.900847,-18.98021,-2.007777,95,-5.196549,5.050441,3.33481,0.379915,0.047891,-0.000007,0.491348,0.050167,0.010288,0.000944,-0.000001,-1.118949,5.441874,1934,0.901485,-0.003968,6.46714,-3.35051,0.204541,0.787151,5.584987,0.059226,0.00003,60.92897,0.091651,lonely
0.131685,4.555279,-9.767341,25.11373,-1.355819,-18.05814,-0.189796,1060,0.816475,5.972669,7.267962,0.527526,0.093483,-0.00002,0.384929,0.833117,0.019057,0.003553,-0.000001,-0.931942,5.065253,2644,1.072817,-0.002258,3.796861,-4.46313,0.14756,1.129132,3.251579,0.089958,0.000122,20.36719,-0.071754,lonely
0.082188,5.396962,-7.583258,26.29172,3.903148,-18.85007,0.244894,2345,1.266107,6.168825,0.11632,0.267393,0.08588,0.000019,0.51938,0.267466,0.018854,0.002689,0.000007,-1.174719,4.809256,1235,1.333466,-0.003919,4.496024,-4.429773,0.144469,1.300678,3.812134,0.049728,0.000094,6.215049,-0.154949,lonely
0.147512,2.303952,-6.74911,28.32525,-1.139865,-22.10462,-7.482575,471,-3.652423,4.99479,1.94157,0.510587,0.078435,-0.000007,0.527766,0.231995,0.024908,0.003436,0.000001,-1.047816,4.671072,1959,0.974556,-0.001513,4.376766,-4.204292,0.079114,1.205024,4.026292,0.09268,0.000157,18.81501,0.021565,lonely
0.065235,8.918916,-2.484069,12.86333,-5.680154,-20.27694,-6.136765,0,-7.48398,5.497852,-7.108529,0.173624,0.071599,0.000007,0.477633,0.865245,0.008961,0.001268,0.000004,-0.866,3.905054,2530,0.94548,0.001286,3.411118,-4.39013,-0.052678,1.162293,3.81898,0.032305,0.000019,7.393617,0.146363,lonely
0.183456,7.005663,-10.69882,25.6392,-0.981464,-20.19875,2.798741,1102,0.476226,6.303787,-5.525142,0.448881,0.113062,-0.000011,0.512886,-0.022952,0.031196,0.005584,0.000007,-0.635151,4.663583,361,1.571134,0.002109,3.476068,-6.284389,0.047575,1.086085,3.50238,0.068119,0.000141,8.717834,-0.059828,lonely
0.075201,6.926609,-2.276009,37.60929,-7.512174,-20.06582,-6.929905,1409,-2.575783,6.227483,0.141332,0.412583,0.051341,0.000008,0.522828,-0.142995,0.012789,0.001769,-0.000015,-0.732939,4.559784,2819,1.207407,-0.003637,4.038205,-4.582343,0.201629,1.042883,4.496539,0.066788,0.000083,24.03868,-0.097543,lonely
0.013932,19.01038,6.86176,25.04981,-4.559511,-28.9391,-13.61358,1334,-2.031454,5.442281,-5.272917,0.07441,0.027197,0.000003,0.62778,-0.075257,0.002456,0.000282,-0.000003,-0.994249,4.408751,2029,0.786704,0.000625,5.127923,-5.362657,-0.218367,1.073737,5.760339,0.012825,0.000002,12.44279,0.616351,lonely
0.112525,3.429476,-4.313413,9.424575,-3.661233,-14.22806,-1.562922,727,-3.387716,4.145119,1.670022,0.332728,0.053708,0.000002,0.348437,1.158708,0.021439,0.001857,-0.000004,-1.135006,3.584146,2851,0.669261,-0.000766,3.440804,-3.114162,0.065261,0.780599,3.601135,0.068784,0.000037,30.8246,-0.135568,lonely
0.048454,16.68463,4.328138,17.53462,-2.314104,-26.47198,-7.123857,40,-10.90172,6.60231,-12.34951,0.277072,0.042446,0,0.525002,0.251041,0.006975,0.001015,-0.000003,-1.522445,5.752125,2696,0.745667,0.000402,5.195513,-4.230077,-0.205578,1.03523,5.14786,0.051845,0.000026,40.21011,0.109786,lonely
0.059085,7.820356,-4.635616,24.71859,-1.858671,-18.13985,-0.171337,2541,-0.27244,5.678546,-2.758067,0.318814,0.035129,0.000002,0.43637,0.4446,0.012331,0.001192,-0.000006,0.161761,4.517573,2698,1.406269,-0.002503,4.706494,-3.653091,0.26694,1.034112,3.477661,0.062734,0.000045,21.94647,0.250449,lonely
0.104723,-1.386663,-8.758908,13.148,-1.923912,-21.21003,-2.390009,619,-6.012553,4.580751,-3.458104,0.427707,0.091557,0.000002,0.44347,0.535371,0.014357,0.002536,-0.000006,-1.001891,3.802709,2683,0.886755,-0.002026,4.436976,-3.416276,-0.237222,0.806115,3.66475,0.060315,0.000091,15.53213,-0.678648,lonely
0.203892,16.18921,-6.763606,31.74907,-7.263769,-25.38552,-2.293726,810,0.603145,7.033963,-1.684254,0.406534,0.076028,-0.000008,0.407939,0.715232,0.044704,0.005632,-0.000004,-1.468105,5.678869,2198,1.544739,0.000271,4.212312,-7.888866,-0.031561,1.411857,3.785384,0.076407,0.000179,7.780673,-0.221285,lonely
0.07963,9.090597,-3.086487,35.63645,-2.669639,-32.0321,-2.331776,459,3.76229,6.684513,-6.021572,0.465215,0.0442,-0.000003,0.527481,-0.420007,0.01524,0.001385,-0.000023,-1.150542,7.859449,463,0.777078,0.005029,5.063865,-5.992537,-0.070118,0.642201,5.504893,0.090018,0.000078,41.24737,-1.022863,lonely
0.060975,5.566931,-4.482828,15.2515,-6.030898,-18.43294,-2.306708,1852,-0.173915,4.315232,-2.17737,0.195402,0.050918,0.000009,0.388482,0.365624,0.009445,0.001724,0.000006,-0.938138,3.93909,1468,0.892041,-0.001262,3.729604,-4.14522,-0.037044,0.868381,3.468976,0.032486,0.000032,8.544306,-0.53421,lonely
