@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {lonely,notlonely}

@data

-0.000006,0.63725,1.02,-7.82462,-9.719875,15.09293,37.49364,23.6314,6.045148,-18.19098,-8.36883,-1.461639,0.004435,-8.084598,-9.29663,-13.0107,0.138318,-5.903522,-8.28324,20.30116,0.349062,0.337568,0.354786,0.43306,0.526321,0.02263,0.002347,0.000004,-0.002071,-0.729537,3.966237,3.604444,1.01735,0.082929,3.267928,0.000063,10.31905,lonely
-0.000006,0.561358,0.639612,-8.704226,-10.21679,10.66995,27.83117,19.65911,5.307905,-16.08758,7.448048,-2.372999,-0.0001,-2.223431,3.10317,-21.82998,-0.88184,0.485547,-0.025677,26.1418,0.46461,0.45614,0.571503,0.578732,-0.304303,0.017028,0.00248,0.000004,-0.00514,-0.876089,4.063618,3.19937,1.065377,-0.020187,3.188254,0.000094,10.829,lonely
0.000001,2.522132,7.820356,-4.635616,-4.663552,19.10783,30.00079,24.71859,6.085978,-22.45494,-1.858671,-0.171337,0.001469,-2.365981,1.601547,-21.1318,-4.179599,-2.300147,-2.758067,10.79859,0.318814,0.313975,0.43637,0.42535,0.4446,0.012331,0.001192,-0.000006,0.01132,0.161761,4.517573,4.064458,1.406269,0.26694,3.477661,0.000045,21.94647,lonely
0.000002,2.328804,12.23586,-2.424653,-0.509744,17.10513,34.61482,18.39888,4.755423,-14.56564,1.450653,-0.014442,-0.000146,0.204061,-0.84358,-19.35611,-2.810284,-2.358764,-1.863775,9.926353,0.405929,0.398669,0.345304,0.348476,0.732912,0.02497,0.003337,0.000005,-0.002172,-1.348127,4.824419,4.448467,0.755898,0.035591,3.788095,0.000078,20.9088,lonely
0.000001,2.674988,11.52339,-0.824652,-1.024921,18.12014,37.07371,24.37698,4.646502,-21.58734,-4.855033,-5.930628,0.001636,-8.373618,1.468567,-23.99388,-1.344875,2.032332,3.931319,13.61885,0.475499,0.466425,0.547999,0.570695,-0.005539,0.014127,0.00131,0.000005,-0.009985,-1.017765,4.654982,4.189786,0.799913,-0.096612,4.261598,0.000068,45.48404,lonely
0,1.876087,7.356073,-5.299571,-3.703373,11.43777,23.76741,13.49212,4.183598,-21.8781,-5.083259,-5.822959,0.001248,-7.686485,-4.359893,-18.04097,-4.246356,-3.325737,-3.190426,7.683779,0.369026,0.350272,0.406109,0.435497,0.564702,0.013285,0.001875,-0.000004,0.005095,-1.255337,5.343716,4.333374,0.837262,-0.10331,4.015488,0.000069,22.90215,lonely
0.000005,0.493913,0.391987,-9.719025,-10.5046,9.878558,30.56923,25.7629,4.766814,-25.25912,-3.828666,-1.017555,0.003573,-6.353648,-4.929637,-17.77641,-2.810923,-2.788335,-7.395942,9.290093,0.490018,0.46219,0.473966,0.534064,0.203622,0.015124,0.002651,0.000002,-0.002906,-0.817162,4.287621,3.887755,1.433174,0.226585,3.82737,0.00015,14.89933,lonely
-0.000002,1.30632,2.760144,-8.759192,-8.93166,19.59329,50.18162,38.49838,7.107237,-27.18757,-4.13293,-4.719928,0.000977,-6.179123,-2.369024,-27.66678,-4.892735,-3.035795,-1.652818,16.27825,0.490018,0.477314,0.488244,0.527387,0.411657,0.023232,0.004206,0,-0.000194,-0.767691,5.311218,3.775926,1.515859,0.333652,3.470697,0.000239,8.897659,lonely
0.000003,1.646265,5.230064,-4.281913,-5.036161,21.60786,38.65239,43.9953,5.624768,-20.93589,1.426581,-2.198946,0.001005,-3.700298,-3.578883,-20.24912,-5.866886,-2.470629,-2.300842,11.38476,0.223836,0.217786,0.452443,0.378002,0.672773,0.018616,0.002251,0,0.005426,-0.874071,5.280156,4.679261,1.248036,0.279006,3.923146,0.000027,13.04241,lonely
0.000001,1.538931,8.968204,-1.135631,-2.813982,16.80967,36.32602,15.77421,6.127365,-26.39729,-10.01242,-9.040959,0.004379,-15.58127,-11.96127,-28.00677,-11.28849,-3.657281,-6.53141,13.92948,0.396854,0.379915,0.47436,0.549444,0.770196,0.017573,0.000958,-0.000014,0.017193,-1.805115,3.409435,3.383226,0.999911,-0.097957,3.071082,0.000026,116.5667,lonely
