@attribute Std_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_10 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_1 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {lonely,notlonely}

@data

0.043016,0.000033,2.731389,3.048123,7.235309,0.493841,0.465248,0.444503,0.198392,0.368425,2.016504,0.000021,0.289149,0.134823,0.126559,0.016048,0.068481,0.075839,2.010283,0.794342,0.834076,0.40536,0.392201,0.000028,0.193043,0.289069,0.42321,0.642138,1.493367,0.133533,0.12402,0.108168,0.11345,0.26181,1.00781,0.253651,0.093576,0.099126,0.143251,0.239622,0.148189,0.212918,0.312627,0.056911,0.047357,0.034519,0.036053,0.041372,0.034231,0.030559,0.04425,0.061055,0.079277,0.121223,0.217794,0.167548,6.67199,7.057017,159,1.002487,lonely
0.112448,0.000231,2.518263,2.639832,7.796886,0.504161,0.271763,0.3351,0.298662,0.4689,1.985236,0.000104,0.262216,0.122536,0.120367,0.021997,0.081136,0.070134,0.961963,0.44859,0.383434,0.431454,0.264267,0.000062,0.201637,0.262986,0.301603,0.604836,1.620772,0.139684,0.118359,0.124245,0.099221,0.266685,0.398519,0.209178,0.10215,0.130841,0.11404,0.156528,0.165856,0.134569,0.169752,0.060636,0.034202,0.041288,0.041024,0.03365,0.024505,0.016493,0.040722,0.064415,0.074752,0.115018,0.20932,0.149923,23.180958,33.976714,159,1.002814,lonely
0.112313,0.00028,2.578358,3.177781,11.725047,0.507425,0.311112,0.312357,0.314262,0.45138,1.963741,0.000318,0.286981,0.133791,0.133866,0.037589,0.068737,0.081039,0.829492,0.643361,0.517434,0.370616,0.392899,0.000143,0.192849,0.229596,0.335808,0.566149,1.565722,0.097839,0.092312,0.098727,0.103636,0.256901,0.283817,0.274804,0.07172,0.117539,0.131918,0.194986,0.236292,0.271514,0.174329,0.043079,0.036031,0.031785,0.035816,0.024234,0.023796,0.019831,0.044413,0.072936,0.088489,0.117098,0.212981,0.172445,44.684108,29.204137,140,1.003647,lonely
0.037354,0.000137,2.750201,2.795239,7.288193,0.487582,0.466953,0.453734,0.227403,0.456191,2.013605,0.000106,0.196752,0.13165,0.120576,0.025014,0.067674,0.070631,1.446633,0.550082,0.371236,0.384164,0.200139,0.000037,0.21075,0.351711,0.433003,0.553191,1.673154,0.126347,0.112855,0.14965,0.111697,0.262789,0.554213,0.253335,0.105328,0.151097,0.135909,0.210394,0.167693,0.266225,0.237768,0.062075,0.045832,0.042494,0.040526,0.034606,0.032562,0.035967,0.045803,0.070294,0.080197,0.121341,0.216048,0.1135,16.57061,20.552737,159.5,1.003674,lonely
0.045211,0.000572,2.4277,2.576291,6.271234,0.553311,0.426436,0.485278,0.262716,0.433429,1.956657,0.000553,0.27873,0.142404,0.145478,0.025413,0.084423,0.078033,1.868417,0.388716,0.313302,0.224501,0.192531,0.000183,0.201214,0.330648,0.271953,0.424056,1.008746,0.124471,0.123452,0.132051,0.124448,0.261404,0.560248,0.253772,0.083216,0.104824,0.142405,0.16203,0.210302,0.208293,0.244677,0.04577,0.046212,0.032016,0.02902,0.045155,0.051678,0.079642,0.032771,0.055262,0.067141,0.105352,0.217677,0.221261,52.483311,28.976685,158.5,1.006896,lonely
0.056116,0.000051,2.844016,2.965681,6.365377,0.430553,0.371344,0.482893,0.220657,0.418068,1.950769,0.00006,0.2787,0.136638,0.165396,0.022416,0.075457,0.073871,1.391198,0.690265,0.461392,0.39731,0.577709,0.000034,0.195275,0.293641,0.567011,0.549964,1.275847,0.121377,0.119719,0.160181,0.115712,0.259652,0.779745,0.473005,0.085109,0.09946,0.206098,0.189491,0.178998,0.185642,0.258193,0.057637,0.040009,0.058419,0.031078,0.051869,0.055262,0.065051,0.037988,0.060745,0.072246,0.108598,0.218069,0.228057,7.634609,10.22816,148.75,1.002655,lonely
0.064874,0.000145,2.985738,2.830037,11.047158,0.422783,0.330052,0.336879,0.260032,0.435893,1.959156,0.000092,0.271825,0.125116,0.128906,0.021442,0.070842,0.075368,1.150624,0.355697,0.366821,0.23014,0.245005,0.000087,0.220655,0.253076,0.347363,0.5726,1.407157,0.142077,0.11358,0.143038,0.10357,0.255271,0.545961,0.298652,0.095842,0.1115,0.126922,0.144277,0.202215,0.170169,0.194864,0.04879,0.055294,0.04291,0.030276,0.022354,0.028238,0.052468,0.039936,0.065779,0.075423,0.115105,0.212152,0.107277,16.374416,21.350377,136,1.004118,lonely
0.109922,0.000119,2.786703,2.911025,8.795356,0.467911,0.365156,0.40296,0.323721,0.478269,1.97476,0.000085,0.290927,0.142319,0.144212,0.036589,0.077158,0.080875,0.754682,0.723833,0.426943,0.225316,0.195504,0.000095,0.20689,0.256919,0.353421,0.558224,1.181765,0.1429,0.12302,0.130806,0.108487,0.258492,0.431637,0.333606,0.097619,0.15856,0.169669,0.246998,0.229573,0.206608,0.215317,0.047633,0.032698,0.042385,0.031008,0.024174,0.027366,0.02293,0.039914,0.059921,0.076031,0.114033,0.210242,0.131891,25.340502,29.629647,137.75,1.003303,lonely
0.110492,0.000124,3.041596,3.140468,9.187879,0.360173,0.346652,0.385039,0.283381,0.491101,1.976002,0.000128,0.276981,0.168484,0.168599,0.039758,0.082641,0.082701,0.991187,0.480112,0.578712,0.332938,0.341085,0.000034,0.173865,0.257747,0.375218,0.645356,0.993869,0.109596,0.110422,0.103858,0.109799,0.258797,0.437453,0.704348,0.085164,0.122498,0.181211,0.202235,0.341631,0.211695,0.244399,0.05497,0.036557,0.031115,0.037263,0.026483,0.025053,0.028895,0.043249,0.06052,0.074394,0.098531,0.216415,0.188484,32.96413,38.110943,130.75,1.004894,lonely
0.037203,0.000394,2.656094,2.998489,8.493198,0.45259,0.392441,0.450094,0.242532,0.447609,2.007557,0.000296,0.282273,0.16919,0.153229,0.036564,0.070654,0.078448,0.935564,0.640103,0.363384,0.280681,0.212907,0.000233,0.205061,0.319318,0.390374,0.758617,1.144018,0.127206,0.142729,0.140895,0.105386,0.260441,0.361719,0.305414,0.083789,0.129166,0.175055,0.16298,0.183812,0.269284,0.284938,0.054873,0.036727,0.033622,0.035997,0.026239,0.026382,0.036507,0.045133,0.067314,0.079471,0.117179,0.214705,0.107662,42.727722,52.906356,120.25,1.006341,lonely
0.044054,0.000147,2.59471,2.975346,10.473801,0.425431,0.298731,0.331924,0.212223,0.405349,1.944569,0.000069,0.277731,0.132487,0.130228,0.017781,0.075237,0.08209,1.164029,0.519759,0.350924,0.261665,0.41512,0.000103,0.184361,0.336147,0.354281,0.589559,1.620804,0.126523,0.158614,0.13007,0.102147,0.259021,0.594911,0.189686,0.107472,0.11526,0.135481,0.276651,0.316553,0.191394,0.206871,0.046664,0.048489,0.044493,0.048185,0.027516,0.036156,0.055282,0.037516,0.068655,0.077762,0.110847,0.208809,0.154618,13.469261,16.782502,155,1.002648,lonely
