@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data
79.91032,5.301417,1.434284,1.022337,0.903096,42.81767,125.4185,0.009778,0.079574,0.031666,0.132109,529.0995,energetic
57.54395,3.574767,1.153719,0.853556,0.883183,39.79175,429.0712,0.019366,0.480344,0.004966,1.578773,232.2376,energetic
67.69045,3.77352,1.16472,1.061229,0.882184,66.08259,168.447,0.012242,0.173141,0.007409,0.959659,354.6034,energetic
87.64703,5.977157,1.511768,1.235608,0.897224,63.34666,169.3896,0.018406,0.128868,0.016895,0.348227,736.7749,energetic
80.40963,4.623583,1.278807,1.166066,0.897269,61.39973,104.9832,0.013454,0.115454,0.005505,0.460435,438.1311,energetic
109.8734,7.049139,1.609718,1.313022,0.883013,55.48463,730.3002,0.020281,1.627712,0.011684,1.388189,1009.605,energetic
81.13039,5.838467,1.539977,1.058725,0.888663,53.48871,129.9595,0.008219,0.253915,0.013851,0.603716,1056.436,energetic
88.92566,6.10674,1.534148,1.039741,0.896601,52.05553,181.5959,0.015605,0.131268,0.010805,0.170854,929.0243,energetic
96.96437,6.433118,1.555601,1.195609,0.895188,28.59062,157.4614,0.007526,0.136832,0.015538,0.167865,1101.054,energetic
89.92271,5.910111,1.49747,1.211769,0.89981,38.43682,206.9065,0.0218,0.306421,0.013487,0.697009,892.9016,energetic
93.39812,6.706985,1.630059,1.138296,0.889359,35.11786,362.0771,0.035622,0.287836,0.011903,0.820033,1216.143,energetic
84.77902,5.219128,1.381958,1.119209,0.903281,101.266,82.01919,0.007858,0.12437,0.013119,0.268018,563.1613,energetic
74.13651,5.214452,1.459613,0.87706,0.897958,42.10766,117.7576,0.019829,0.1995,0.007977,0.776476,717.1861,energetic
113.0487,7.142941,1.614164,1.723879,0.893345,68.08117,1621.231,0.039279,1.393104,0.026593,2.314024,1110.052,energetic
67.09225,4.205319,1.27256,1.081186,0.90019,59.69096,378.9467,0.008201,0.691316,0.017506,1.144355,358.6754,energetic
90.96855,5.44732,1.3878,1.353168,0.895315,28.3097,315.9466,0.010956,0.19441,0.005673,0.471723,556.6192,energetic
90.94962,5.806001,1.464411,1.376757,0.903954,70.4726,62.18973,0.004343,0.09185,0.017007,0.176692,751.8802,energetic
96.55595,6.215906,1.504487,1.415459,0.903747,107.1398,193.5576,0.012606,0.176401,0.029957,0.215676,823.5402,energetic
87.67657,5.488728,1.433206,0.934728,0.891662,79.11507,144.5809,0.005775,0.064347,0.015369,0.113922,711.1255,energetic
101.0911,6.499145,1.549168,1.173622,0.890913,49.87999,278.5972,0.025757,0.061659,0.014896,0.26236,1335.563,energetic
93.86888,6.116222,1.513105,1.220576,0.901991,47.04994,159.9492,0.003793,0.161897,0.015199,0.337195,941.6269,energetic
98.06466,6.809497,1.620233,1.224084,0.899699,33.72221,140.4393,0.002881,0.149731,0.008824,0.205747,1112.227,energetic
85.39177,5.864349,1.522657,1.065072,0.889437,69.26626,54.43422,0.010816,0.246198,0.022842,0.368333,685.9237,energetic
76.38021,4.595041,1.307181,1.38512,0.898188,55.08501,390.5856,0.016287,0.504645,0.008639,1.450868,438.066,energetic
98.98162,7.037627,1.651592,1.41267,0.890766,20.66803,145.7988,0.017569,0.24353,0.026714,0.461787,1387.315,energetic
48.4742,3.081789,1.112845,0.693185,0.885537,57.72443,126.7817,0.013277,0.223871,0.009442,1.152093,259.0434,energetic
90.93359,6.24248,1.561792,1.13952,0.900204,35.56275,180.255,0.019879,0.141364,0.01647,0.378009,1053.673,energetic
89.19305,5.658293,1.447523,1.15758,0.899784,50.38681,86.00226,0.007858,0.194131,0.008358,0.244296,684.6044,energetic
66.24829,4.997484,1.456943,0.951165,0.893543,8.38335,149.3183,0.018425,0.239006,0.004521,0.563682,411.9842,energetic
90.57838,6.007513,1.503901,1.254309,0.901576,40.78744,72.54185,0.00844,0.129058,0.01978,0.182121,741.6727,energetic
81.15505,5.494388,1.461546,1.010667,0.899787,11.13676,130.4316,0.018407,0.099847,0.003066,0.44526,657.7571,energetic
79.95702,5.271354,1.418938,1.13016,0.904784,43.02678,241.7206,0.016295,0.128669,0.012674,0.496982,565.7095,energetic
65.20267,5.749194,1.652498,0.707173,0.887398,11.97248,290.9092,0.015592,0.55569,0.008918,0.543431,1403.991,energetic
78.21764,5.271282,1.421945,1.251955,0.903153,32.80224,147.8803,0.013143,0.146424,0.011129,0.291515,486.6504,energetic
97.37951,6.869071,1.62904,1.261331,0.890257,33.19081,76.69308,0.003451,0.11357,0.024657,0.096444,1053.175,energetic
70.55539,4.143742,1.233372,0.777148,0.882765,21.80855,251.4754,0.028136,0.178225,0.008608,1.212369,444.4771,energetic
95.34764,6.799208,1.632225,1.159034,0.896562,46.51118,303.7355,0.020274,0.245153,0.024041,0.38232,1228.803,energetic
89.30832,5.947084,1.49943,1.145207,0.898877,62.48883,74.59925,0.003887,0.174779,0.010133,0.157071,724.3481,energetic
97.08329,6.823105,1.631099,1.18278,0.887781,83.22688,89.16225,0.012782,0.322953,0.019384,0.198261,1257.594,energetic
69.84287,4.77536,1.365756,0.994561,0.899404,29.51966,329.4914,0.024676,0.264603,0.009549,0.53046,429.4395,energetic
93.49349,6.202429,1.530939,1.299746,0.901265,31.43292,66.55591,0.006005,0.15014,0.017073,0.12992,889.5741,energetic
65.99374,4.078842,1.284039,0.49643,0.865877,54.94199,186.2605,0.041635,0.043296,0.005006,1.123177,597.6631,energetic
95.27518,6.946262,1.703366,1.02643,0.896781,38.29503,1504.192,0.028073,0.401301,0.018885,2.354506,1247.362,energetic
77.78482,5.528721,1.491741,0.917833,0.901392,27.7797,346.8097,0.021834,0.164359,0.00864,0.443328,676.106,energetic
