@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[10]_skewness numeric
@attribute mfcc_sma_de[10]_kurtosis numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {energetic,notenergetic}

@data

0.033433,0.000013,0.014363,-0.168002,2.068658,10.47182,-8.745862,-2.352877,-5.485316,-15.9709,3.422348,1.854262,-18.58884,0.758396,-1.307422,-21.52225,25.34719,-2.119295,11.32865,17.41991,0.009679,0.098587,0.154257,0.377368,0.55849,8.292927,6.870821,-1.199243,0.001154,4.198105,1.12176,1.097653,2884,-0.009049,0.092642,3.431242,0.001464,-0.000004,15.89337,energetic
0.037058,0.000005,0.029597,0.551209,3.134629,-2.695177,-10.97602,-9.372165,-3.184983,-13.4556,2.852494,-0.666634,-20.17324,-0.53687,-0.459738,-27.18504,27.25766,-2.99638,11.77679,19.2631,0.019359,0.11833,0.142416,0.318073,1.423227,11.8817,10.34822,-0.557575,-0.004187,4.307951,0.939702,1.048828,1268,0.006053,0.121635,3.188204,-0.000675,0,13.61569,energetic
0.067747,0.00001,0.052189,0.544002,2.452354,-3.226908,-13.18103,-12.18453,-3.153484,-15.3939,3.758724,1.459148,-18.06784,-2.732049,-6.385563,-18.31324,23.10885,-3.225322,7.429092,16.69571,0.010284,0.13197,0.13372,0.319681,1.393467,15.26948,7.721258,-0.750305,0.000036,5.163156,1.195329,1.250239,1055,-0.006705,0.014617,3.71226,0.001187,-0.000001,8.594309,energetic
0.022176,0.000001,0.020853,0.802004,3.871013,-3.088625,-9.734273,-9.329261,-5.153441,-11.90033,3.510851,-0.123786,-15.71646,0.7572,2.71218,-17.37798,24.17779,1.195954,10.34671,15.60267,0.035088,0.104754,0.142909,0.298984,0.847355,84.20776,6.090179,-0.73445,0.001013,3.774509,0.854186,0.957735,1288,-0.004863,-0.021048,3.089744,0.001495,0.000005,6.928871,energetic
0.025573,-0.000001,0.02654,0.419189,2.448993,-2.807011,-11.12288,-11.30319,-5.774026,-21.52023,2.852109,0.021917,-16.96097,-0.906366,-4.587197,-17.28874,18.38181,-0.939881,15.02831,14.08188,0.016939,0.11276,0.13156,0.347666,1.181916,7.564034,6.953465,-0.331183,0.000924,4.632939,1.307403,1.205339,319,0.00911,-0.142111,3.357294,-0.001786,0,6.020337,energetic
0.011807,0,0.011162,0.5849,2.517843,0.313535,-9.040493,-9.09562,-4.934434,-14.68613,3.050127,-2.067079,-23.16455,-2.509904,-1.360062,-24.71536,18.67109,-0.487846,7.870222,17.76119,0.016939,0.096633,0.142379,0.40902,0.800216,3.380234,5.552792,-0.498497,-0.005784,4.089956,1.136085,1.193484,539,0.002788,-0.118821,3.232893,0.000362,0.000004,6.312341,energetic
0.076429,-0.00001,0.091884,-0.113874,3.560086,-2.920563,-12.00998,-13.19413,-4.163485,-7.830959,2.996453,2.255713,-10.90702,-0.223259,1.192971,-11.93204,12.6152,-0.278268,14.30821,14.7116,0.019359,0.108337,0.138124,0.264472,1.458278,111.8552,6.449113,0.069591,0.00178,3.577783,0.774088,0.908424,2153,-0.005919,0.040077,3.433932,-0.000917,0.000002,4.306048,energetic
0.050961,0.000001,0.049956,1.094146,7.172031,-6.478956,-13.10797,-12.84598,-3.33264,-11.16788,3.333338,1.577526,-16.16429,0.092146,-0.040507,-10.07728,16.64916,-2.665764,9.592422,16.8022,0.020569,0.133511,0.136476,0.330437,1.136257,13.5446,14.25034,-0.011298,-0.002439,3.630768,0.905631,1.07527,861,-0.002859,-0.037544,2.981147,-0.001137,0.000002,9.015042,energetic
0.037158,-0.000004,0.043591,0.728276,3.724132,-0.88237,-11.96389,-13.36953,1.415535,-18.09775,3.701676,0.327678,-16.42011,-2.775379,-4.313784,-17.22663,26.10247,0.522092,16.25169,16.15096,0.015124,0.124918,0.117352,0.323598,0.945621,16.6401,5.081402,-0.233735,-0.000928,4.572023,1.179233,1.250725,2692,-0.008578,0.028944,3.405649,-0.001592,-0.000006,5.339284,energetic
0.016577,0.000008,0.004962,2.392424,11.24203,8.035118,-6.105476,-6.856317,-0.945101,-21.54424,2.925546,-7.610353,-33.5938,-10.44095,-8.981609,-27.17299,51.27432,-0.532135,32.54151,71.69061,0.019359,0.068315,0.149138,0.51714,0.223275,1.564991,20.29458,-1.124963,-0.002952,4.305738,0.881785,0.827669,2866,0.014294,0.142743,3.635721,0.000024,-0.000003,23.61141,energetic
0.027515,0.000008,0.016127,0.420006,2.231346,-1.919537,-8.435692,-5.876325,-7.845027,-10.026,2.71404,-2.297694,-14.29722,-1.819559,0.516364,-17.24951,16.03505,-0.956456,13.71606,14.39015,0.036298,0.103534,0.162324,0.409662,0.439275,5.348175,5.103854,-0.234757,-0.001441,3.417615,0.758002,0.867991,2463,-0.007991,-0.080806,3.443595,0.002684,-0.000001,3.60735,energetic
0.04471,0.000013,0.025264,0.304718,2.562848,-0.165711,-9.42245,-5.746562,-5.52898,-16.78773,2.729899,-0.226203,-18.692,0.283975,-4.571018,-17.07553,29.88255,0.515767,13.0412,16.66077,0.013914,0.100457,0.127604,0.448505,0.376611,1.728442,7.824006,-0.228009,-0.00142,4.357418,1.133909,1.004721,1222,0.00067,0.066045,3.362582,-0.000087,0,8.499177,energetic
0.066178,0.000003,0.061522,0.501306,3.321887,-2.858695,-11.52319,-9.946886,-5.10056,-12.12701,3.07093,-4.212983,-16.3284,-3.333601,-2.473284,-18.78425,23.87815,-2.108718,8.472945,20.55086,0.038113,0.119352,0.142147,0.327307,1.39137,11.57549,5.608743,-0.698503,0.001601,3.97869,0.650626,0.790713,2662,-0.002649,-0.095656,3.400887,0.002441,-0.000005,4.302426,energetic
0.053954,0.000001,0.052649,-0.335559,2.810538,-5.141936,-10.55961,-12.8984,-13.19604,-22.45477,2.558786,-3.580025,-15.06294,-2.626828,0.003022,-13.59748,11.63488,-6.102293,8.325416,11.80568,0.0732,0.109323,0.185508,0.357359,0.960485,29.13487,4.366102,-0.192398,0.001369,3.457727,0.543077,0.638584,1609,0.007072,-0.021814,3.042673,-0.001453,0.000004,3.306051,energetic
0.039436,-0.000001,0.040511,0.427173,2.755198,-1.638514,-8.801954,-9.015392,-5.163249,-9.837016,3.430031,3.81789,-8.698846,4.34218,2.25984,-10.80616,13.54757,-0.575133,12.13438,11.19937,0.012704,0.060562,0.146245,0.256839,1.721335,293.8279,4.364008,-0.588595,0.000096,4.113387,0.557974,0.930372,2503,-0.001593,-0.065894,3.138618,0.001059,-0.000002,4.874416,energetic
