@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_amean numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {energetic,notenergetic}

@data

0.007982,0.037037,-0.000003,0.040918,0.516978,2.550428,-7.442993,-7.26616,3.818211,-2.525203,-10.70646,2.998517,-3.455689,-4.809227,-9.274739,1.664286,-3.148998,10.03126,-16.9506,7.62939,3.28147,0.078897,0.132745,0.33003,1.434432,4.332255,-0.000014,1.547395,6.866377,0.744555,0.674874,0.003071,-0.001736,0.006885,4.487823,117.6191,0,-0.000056,energetic
0.003805,0.052813,-0.000002,0.055393,0.65909,5.175577,-11.82384,-13.28869,3.352396,-6.817595,-15.9482,3.492031,2.209419,-1.666646,-18.67989,-0.298429,-0.698234,23.23691,-23.52822,12.41395,4.152039,0.132187,0.155028,0.34949,1.215894,4.201124,-0.000006,0.537426,7.142126,1.336905,1.262981,0.006112,-0.002483,0.01088,12.5657,120.7265,0,-0.000047,energetic
0.002903,0.029082,-0.000001,0.030009,2.169695,9.729561,-5.727335,-5.387691,5.785675,5.096101,-15.05199,2.913553,2.863924,2.364385,-35.08329,-7.854295,2.844417,44.5071,-23.02706,16.22342,5.019589,0.060529,0.140668,0.411659,0.597515,2.286792,0.000015,0.73591,8.363413,2.102722,2.786357,-0.002556,0.004257,0.015309,17.71038,89.05051,-0.033151,-0.000021,energetic
0.005174,0.040359,0.000004,0.035074,1.477486,7.28976,-5.793919,-5.81568,4.424915,2.287391,-19.79283,3.3422,-0.032774,3.754437,-24.82627,-4.477405,0.160383,32.87112,-20.18076,17.08719,4.674039,0.059442,0.146611,0.42809,0.453312,2.045318,-0.000002,1.155851,9.302032,1.155794,1.512797,0.006728,0.00295,0.00945,33.06567,125.7647,0.107897,0.000086,energetic
0.012821,0.092711,-0.000003,0.096823,0.787373,3.44382,-13.90463,-15.83045,4.809167,-1.667891,-19.38381,3.076802,0.50712,2.174995,-23.1655,-3.06334,-0.706696,21.77017,-19.83674,17.99036,4.31917,0.154494,0.134497,0.353917,0.995342,3.541883,-0.000052,-0.171481,6.063477,1.626661,2.003589,-0.01166,-0.000689,0.023378,6.729334,124.6732,0.069183,0.000087,energetic
0.005276,0.021402,0.000002,0.01901,0.418209,2.291522,-9.823784,-9.2463,3.381828,-4.403711,-11.25155,3.124205,-1.180344,-1.70023,-16.10892,0.249347,3.661695,15.49868,-18.52893,15.15395,3.937654,0.101503,0.111284,0.364411,1.004201,3.513135,-0.000004,0.924611,5.442707,1.082919,0.988054,0.003471,0.001188,0.009335,5.491252,122.1321,0.151005,0.00023,energetic
0.011311,0.038959,0.000007,0.028759,0.743675,3.270214,-8.212558,-8.618701,2.964612,-13.08559,-13.80014,2.465724,-5.296342,-4.600387,-13.58708,0.760642,-0.541361,12.34819,-20.22897,10.79318,5.258515,0.113792,0.137565,0.405495,1.245605,4.048856,-0.00005,1.509441,6.058825,0.95256,0.836418,-0.006503,-0.001609,0.005974,6.201599,127.7681,0,-0.000083,energetic
0.024602,0.063858,0,0.063168,0.331246,2.667372,-13.12992,-12.87532,2.120694,-1.798156,-13.35688,3.097054,-4.29685,-3.802065,-12.85845,-1.69906,3.318076,20.8526,-14.05183,10.59375,3.768314,0.140821,0.130619,0.23218,1.805015,7.705041,0.000049,1.234262,5.775465,1.012269,1.058149,-0.0014,0.002021,0.011279,4.737892,69.14832,0,-0.000001,energetic
0.003038,0.049987,0.000002,0.047549,0.560333,2.900053,-10.53392,-9.236941,3.356439,-2.680059,-14.56418,3.089647,-3.420775,-1.713286,-21.85608,-1.545719,-2.108094,38.23656,-24.44106,15.85009,4.519192,0.092413,0.139194,0.374842,0.910675,3.047266,-0.000014,1.100628,5.462718,1.045897,1.4304,0.000247,-0.000568,0.009307,4.110679,117.6107,0,-0.000083,energetic
0.004013,0.039295,0.000003,0.034923,0.608106,2.93698,-13.08226,-12.88037,3.322645,-2.259772,-16.3237,3.205677,0.695361,1.774174,-14.71787,-1.154065,-0.268696,19.35805,-17.0816,17.61952,5.063618,0.130167,0.146246,0.35551,1.264546,4.401257,0.000007,1.209867,8.971004,1.293898,1.065702,0.017962,0.002483,0.012597,7.888486,124.4116,-0.00647,-0.000034,energetic
0.005097,0.030758,-0.000003,0.034646,1.54612,6.508484,-5.604851,-7.330883,4.508074,-5.303843,-11.50399,2.618378,4.460315,2.858937,-12.63455,0.532497,3.536951,16.65443,-9.778066,9.9697,3.871665,0.061487,0.11909,0.379959,0.687965,2.842994,0.000023,0.989973,6.998632,0.999203,1.10273,0.000012,-0.000459,0.009561,7.077871,125.3895,0,-0.000062,energetic
0.006153,0.057079,0,0.057795,0.636114,4.054989,-11.10721,-10.6243,3.016315,0.184489,-12.9908,3.856052,1.803341,1.124088,-11.90693,2.547627,0.01193,23.54991,-19.01762,13.0874,4.854216,0.088996,0.12902,0.342512,1.232905,3.466177,0.000012,0.503179,4.864963,1.357503,1.605034,-0.003974,-0.000265,0.009707,4.857978,97.54958,0,-0.000064,energetic
