@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowMidBPMRatio numeric
@attribute BeatHisto_MeanACR numeric
@attribute output {sleepy,notsleepy}

@data

0.07027,0.056676,-52.07307,5.90855,1.18482,0.120318,0.454893,0.000214,0.628213,0.419508,0.14781,0.618535,0.5066,0.420152,0.403851,0.044484,0.029794,0.197979,0.334498,0.309048,0.774938,0.101322,3.653309,0.157101,0.060575,0.049668,0.152057,50.375117,0.749311,0.544652,sleepy
0.049614,0.034933,-53.225519,6.018448,2.275072,0.294474,0.063135,0.000156,0.621529,0.427606,0.118028,0.518835,0.425279,0.402037,0.412434,0.029806,0.019803,0.177852,0.267142,0.309848,0.589635,0.151348,4.018515,0.108778,0.035687,0.038863,0.158224,16.416201,0.75,0.552945,sleepy
0.033193,0.023904,-60.631055,8.197003,1.995803,0.7796,0.326666,0.000036,0.67337,0.350551,0.091363,0.594368,0.558177,0.419011,0.401679,0.022688,0.017677,0.20513,0.276392,0.309058,0.483803,0.126273,4.344907,0.136482,0.048103,0.035359,0.146167,11.880733,0.740741,0.553298,sleepy
0.080348,0.060769,-51.948104,4.410896,1.160483,0.805882,0.709406,0.000078,0.256924,0.263732,0.135632,0.516091,0.463807,0.400237,0.391564,0.040103,0.041976,0.18361,0.320763,0.4144,0.519785,0.10655,4.044733,0.167664,0.055577,0.056253,0.152362,12.837278,0.747619,0.557706,sleepy
0.043919,0.035035,-54.5865,8.44099,1.748426,1.117261,0.214711,0.000202,0.586659,0.321454,0.118058,0.554026,0.559381,0.426068,0.378083,0.024717,0.013198,0.217369,0.382686,0.392842,0.528463,0.185587,4.022125,0.13843,0.055363,0.062843,0.162237,14.968245,0.769608,0.527495,sleepy
0.067142,0.057372,-60.294098,8.514495,0.45645,0.396339,-0.576035,0.000036,0.63574,0.312847,0.166614,0.54634,0.444741,0.443102,0.433042,0.023499,0.029619,0.216202,0.282368,0.281709,0.537258,0.144302,4.360281,0.111261,0.047521,0.047681,0.15207,9.699066,0.748663,0.516851,sleepy
0.04025,0.023103,-47.512941,7.241527,0.252772,0.604399,0.109748,0.000923,0.577843,0.44835,0.127498,0.434597,0.386663,0.404022,0.452075,0.020881,0.009453,0.172613,0.324857,0.303417,0.415644,0.122264,3.571113,0.12963,0.042217,0.037415,0.156412,30.774749,0.831776,0.58979,sleepy
0.031867,0.025672,-60.581998,7.77835,1.383588,1.00891,0.589273,0.000029,0.505404,0.394023,0.103184,0.442976,0.460902,0.48809,0.474099,0.034203,0.015611,0.212828,0.325183,0.268736,0.591131,0.101833,4.649559,0.113322,0.037946,0.026967,0.15526,7.509051,0.666667,0.552165,sleepy
0.04604,0.03847,-53.413433,9.233508,2.631501,0.744291,0.541654,0.000109,0.634737,0.345081,0.131427,0.54125,0.444764,0.395923,0.396552,0.02166,0.011548,0.181822,0.25408,0.304882,0.698256,0.115161,3.875035,0.121478,0.033995,0.032476,0.142337,15.813846,0.73494,0.578669,sleepy
0.054077,0.03377,-51.176883,5.185456,0.869064,0.792078,0.023859,0.000476,0.579133,0.372047,0.130668,0.586419,0.442911,0.435037,0.45763,0.042119,0.021237,0.209747,0.300872,0.372563,0.467489,0.10747,3.477519,0.146274,0.038251,0.033302,0.158797,80.313554,0.623932,0.58963,sleepy
0.043256,0.029547,-58.194629,7.84109,2.682553,0.601406,0.130674,0.000023,0.613188,0.244659,0.113292,0.531634,0.473832,0.413221,0.371782,0.019493,0.015999,0.178557,0.298046,0.288642,0.568436,0.193972,4.590787,0.140011,0.041122,0.055591,0.150413,6.282758,0.685294,0.573634,sleepy
0.079466,0.060198,-47.791245,6.053606,0.622584,0.531048,-0.123546,0.00031,0.654433,0.271164,0.176323,0.455565,0.439899,0.321047,0.473337,0.0284,0.021377,0.252218,0.214667,0.374113,0.628762,0.147803,3.826935,0.150983,0.049503,0.05915,0.159951,35.770066,0.671111,0.565815,sleepy
0.055901,0.040312,-53.011713,7.517452,1.747559,0.481515,-0.016128,0.000054,0.688444,0.383492,0.152995,0.409111,0.368901,0.325085,0.378173,0.018161,0.016673,0.178556,0.293349,0.318602,0.401246,0.151388,4.507842,0.105491,0.044161,0.053414,0.155703,9.364534,0.664021,0.580251,sleepy
0.035709,0.026015,-53.050986,8.250399,1.688401,1.02365,-0.181765,0.000192,0.490223,0.401369,0.105755,0.445193,0.488948,0.388983,0.440907,0.024666,0.012952,0.190907,0.265332,0.361415,0.398514,0.119777,3.757289,0.123022,0.04045,0.038538,0.155912,13.420443,0.993617,0.595433,sleepy
0.040373,0.030104,-60.611712,8.12965,0.957557,0.615754,0.671795,0.000037,0.64294,0.521754,0.104341,0.45354,0.412584,0.419516,0.391071,0.027102,0.023483,0.187427,0.324182,0.318432,0.649713,0.130757,4.459833,0.097502,0.039481,0.048326,0.154663,6.553402,0.693032,0.529858,sleepy
0.05478,0.04356,-49.781594,5.776916,1.855319,1.302264,0.376886,0.000155,0.591584,0.228231,0.131479,0.472713,0.409913,0.403277,0.387273,0.025895,0.020339,0.291881,0.338836,0.350155,0.505819,0.181391,3.927644,0.111992,0.053689,0.062447,0.150775,12.72787,0.610577,0.563421,sleepy
0.059316,0.051129,-53.505708,6.468031,1.658888,0.957673,0.786055,0.000114,0.43009,0.303527,0.137628,0.619287,0.549972,0.409845,0.429577,0.031459,0.025021,0.214135,0.408631,0.376467,0.801311,0.162912,4.314118,0.136808,0.066316,0.055872,0.152977,10.547323,0.859524,0.56739,sleepy
0.069536,0.054482,-50.397848,7.189082,1.753633,0.075421,0.790015,0.000152,0.646099,0.339067,0.158879,0.493323,0.448803,0.388398,0.400755,0.02729,0.01908,0.192462,0.287986,0.253577,0.605858,0.114996,4.05884,0.118477,0.039661,0.044987,0.152304,10.60227,0.674731,0.604174,sleepy
