@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {sleepy,notsleepy}

@data

0.021879,0.022758,-1.591235,-1.509794,1.72243,1.657152,3.567829,-3.613199,0.037946,11.31764,0.010315,0.000004,6.829522,-0.000009,0.477264,4.0374,3.070823,3.438897,0.841509,0.105535,3.01298,-3.136571,777,2.953137,2.933097,742,0.718437,0.847608,-0.00001,0.000022,0.004689,-0.194587,0.081348,0.000523,1440,sleepy
0.004791,0.003268,1.824503,2.961401,0.449124,0.375384,3.554759,-5.645274,0.033828,6.832602,0.0041,0,17.68956,0.000009,0.584394,4.354432,4.392562,4.449698,0.880444,-0.043737,4.754684,-5.228577,949,4.64076,5.011727,1426,0.853731,0.923978,0.000032,0.000013,0.003599,-0.807749,0.156159,0.000859,2129,sleepy
0.010091,0.012262,5.81257,4.062107,-11.03039,-12.4443,3.489486,-12.75259,0.043735,7.548162,0.00486,0,16.73251,0.000002,0.708746,4.389824,4.666833,4.56319,1.715188,-0.117459,4.965121,-4.796605,375,4.110667,4.804327,376,1.282812,1.132613,0.000016,0.000008,0.002791,-0.949065,0.117984,0.000574,2356,sleepy
0.018572,0.01851,-5.662008,-5.789108,0.043844,0.042159,3.191828,-1.944325,0.052485,6.350583,0.024581,0.000016,13.05298,-0.000006,1.134565,4.037219,3.791507,4.202411,1.09046,0.061461,4.162643,-4.221601,2461,3.827856,4.392985,378,0.786694,0.88696,-0.000007,0.000116,0.010783,0.787883,0.145632,0.000867,2933,sleepy
0.00524,0.002663,1.195223,4.271746,-3.94101,-6.115634,2.789527,3.757487,0.045198,31.89426,0.008119,0,64.03941,-0.000003,0.554452,7.075503,5.075636,3.896262,0.857862,-0.065015,5.519225,-3.474392,2036,6.299598,3.328621,40,0.634274,0.796423,-0.000005,0.000041,0.006402,0.079661,0.133141,0.000534,639,sleepy
0.023496,0.019944,-5.983247,-3.339827,-6.051773,-8.082114,2.892013,-1.319188,0.081369,9.134003,0.00911,0.000002,9.717613,-0.000006,0.441892,4.837202,4.170585,4.548151,0.833691,-0.041343,3.84571,-3.779293,456,3.359942,2.811065,778,0.708436,0.841686,0.000026,0.000041,0.006419,0.304694,0.105614,0.000788,681,sleepy
0.008139,0.005322,-0.268331,0.485996,-10.42023,-11.40368,3.312015,-0.427583,0.05702,2.479876,0.001221,0,4.157279,0.000002,0.221479,3.119865,3.025976,2.958424,0.778754,-0.120124,3.019959,-2.765593,2943,2.809888,2.80101,603,0.618161,0.786235,0.000043,0.000007,0.002706,-0.035179,0.075778,0.000382,2661,sleepy
0.009951,0.010901,3.75537,2.72511,-2.509735,-4.640077,4.133493,-8.959698,0.031462,14.4334,0.010762,0.000001,25.65872,0.000001,0.523332,4.196404,3.71786,3.736548,1.008272,-0.12538,4.227749,-3.905094,786,3.618279,3.612954,2946,0.844752,0.919142,-0.000024,0.000013,0.003627,-0.30917,0.115625,0.000716,2617,sleepy
0.00443,0.004823,2.627483,2.300005,1.062706,0.77511,3.62945,-1.744492,0.03819,27.31189,0.00935,0.000001,25.35418,-0.000009,0.816675,6.645337,7.413315,4.41768,0.913406,-0.015722,5.087759,-4.451577,913,4.684421,5.648874,826,0.74997,0.86602,0.00002,0.000092,0.009566,-0.231468,0.115148,0.000449,2385,sleepy
0.018198,0.014071,-7.444642,-5.970572,-7.583327,-6.017409,3.539752,-6.215981,0.05792,32.00138,0.015041,0.000002,29.2199,0.000001,0.32976,4.935994,5.094329,5.412259,0.87088,-0.023504,4.835554,-6.344523,125,5.677809,3.936198,1367,0.742033,0.861503,-0.00001,0.000032,0.005688,1.129881,0.121214,0.000358,178,sleepy
0.018751,0.019692,-2.506269,-1.336471,-2.799677,-0.709157,2.921035,-2.792145,0.057853,26.40357,0.027366,0.000006,29.97024,0.000015,0.848606,5.294588,3.651314,5.759874,1.561886,-0.013474,3.946963,-4.698005,963,3.5754,3.850633,2567,1.132024,1.063971,0.000013,0.000084,0.009151,1.269379,0.188276,0.000817,2291,sleepy
0.017228,0.017854,-1.225308,-1.529608,-8.060889,-9.838346,3.375384,-4.632519,0.066959,11.0261,0.007621,0.000002,8.543332,-0.000005,0.516248,6.041569,4.962387,4.659261,0.867099,0.13831,4.511022,-3.534093,351,3.727964,4.882317,1451,0.755421,0.869166,0.000048,0.000031,0.005575,0.403978,0.177039,0.000944,2979,sleepy
0.00711,0.011028,0.890456,-4.580593,4.285396,5.447218,3.654547,-5.979048,0.029886,24.74798,0.005059,0,22.58096,-0.000001,0.350545,4.150372,4.089586,3.141315,0.809044,0.083649,3.586203,-3.40081,2371,3.656088,3.081434,988,0.655927,0.809897,0.000025,0.000011,0.003312,0.168928,0.163442,0.000514,2308,sleepy
0.020984,0.017778,-4.033612,-3.347955,-0.387635,1.534562,2.777508,0.352558,0.05822,3.070452,0.012506,0.000006,7.635667,0.000002,1.16368,4.180742,4.306057,3.885256,1.28146,0.11678,3.714149,-4.39358,344,3.80143,4.093192,344,0.966862,0.983292,0.000028,0.000043,0.006519,0.242628,0.150759,0.001776,41,sleepy
0.014953,0.011559,-5.00271,-5.277593,-1.41821,-1.931181,3.950516,-4.322478,0.054483,25.42579,0.019776,0.000003,19.13575,-0.000003,0.648105,6.030873,6.105523,4.709704,1.382494,0.116655,4.665382,-5.311198,1877,3.737163,4.276751,1873,1.058156,1.028668,0.000059,0.000054,0.007344,0.669917,0.14685,0.000654,2949,sleepy
0.005628,0.006538,0.144448,-1.428617,4.272842,4.34807,3.368608,-1.729209,0.023753,34.52465,0.004756,0,23.45085,0.000008,0.461457,4.720471,4.368129,3.368103,0.964802,0.159488,5.367757,-4.123088,740,3.911947,3.381735,235,0.612444,0.782589,0.000034,0.000015,0.003868,3.111524,0.130811,0.000515,68,sleepy
0.021688,0.021414,-3.322296,-3.415835,-0.668778,0.346416,3.197,-0.792942,0.039555,38.7375,0.01809,0.000005,25.88701,0.000002,0.458145,3.079791,3.487746,3.214113,0.957255,-0.05018,3.081063,-2.960114,943,3.006905,3.050678,357,0.807255,0.898474,0.000034,0.000035,0.005896,0.542782,0.088647,0.000462,1070,sleepy
0.003491,0.004046,0.963804,0.98569,5.243012,3.716152,3.067687,0.395026,0.02575,15.97052,0.002912,0,45.73227,-0.000004,0.307092,4.734154,6.690104,3.568247,0.639061,0.124197,4.765955,-3.164674,1287,3.770556,2.961489,498,0.557181,0.746446,-0.000013,0.000005,0.002328,1.205183,0.143069,0.000343,1409,sleepy
0.005485,0.002124,-1.028846,5.284949,4.430625,-1.352435,2.755928,-4.41142,0.036825,54.17584,0.008317,0,98.45472,-0.000007,0.463908,4.192574,4.027981,5.281264,0.997832,0.34456,4.41036,-3.397393,379,3.45627,4.820475,1587,0.737717,0.858935,-0.000001,0.000062,0.0079,0.923397,0.132405,0.000561,2237,sleepy
0.016627,0.017535,2.273946,0.770454,-8.100187,-7.159884,3.219053,-1.71451,0.045143,21.4308,0.009945,0.000001,34.50204,-0.000009,0.387361,5.353436,3.906083,3.754552,0.560222,0.0322,4.292071,-2.976973,813,3.892499,3.209289,2912,0.558526,0.747352,-0.000022,0.000018,0.004273,-0.086881,0.14404,0.000346,2790,sleepy
0.015589,0.0153,-8.732294,-8.042603,-1.083875,-2.529913,2.936087,-0.237133,0.07307,3.513051,0.004929,0.000001,10.89681,0.000002,0.308141,3.378801,3.151239,2.897417,0.896815,-0.007408,3.162598,-3.279125,323,2.900309,3.353719,1808,0.693847,0.832979,-0.000006,0.000028,0.005334,0.048449,0.065175,0.000259,1597,sleepy
0.00736,0.007006,-7.692408,-6.29406,6.796465,6.591604,3.032114,-0.298148,0.055852,14.10331,0.007858,0.000002,11.68328,0.000002,0.489245,5.019695,4.737319,4.279561,0.940743,0.201307,4.031991,-4.356608,927,3.968859,3.493798,691,0.750426,0.866273,0.000046,0.000078,0.008804,0.425208,0.067551,0.00029,66,sleepy
0.014407,0.015022,-4.307635,-4.67594,-2.473686,-3.083026,3.258904,-3.861345,0.056825,47.64222,0.025949,0.000007,33.87527,0,0.484605,5.777019,4.24317,4.17291,0.929965,0.203492,3.940303,-3.639312,1418,3.549418,4.279225,1445,0.649179,0.805724,-0.000003,0.000069,0.008333,-0.176455,0.107892,0.000595,464,sleepy
