@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sleepy,notsleepy}

@data
2.749841,0.960879,0.925721,0.819874,45.76253,9.502726,0.000482,1410.513,8.937987,0.004559,295.3088,8331.127,sleepy
3.693399,1.149163,0.783123,0.778608,33.10669,7.27872,0.00038,812.6769,1.137468,0.001904,337.3818,80215.49,sleepy
3.469495,1.140379,1.125461,0.750886,63.49095,6.928069,0.00019,1959.708,1.391506,0.001869,249.082,12759.49,sleepy
4.293598,1.35979,0.64595,0.497118,69.75589,4.935166,0.00032,4420.037,0.84875,0.00332,269.3071,124748.6,sleepy
3.981999,1.238197,0.813997,0.689287,170.8725,6.257938,0.000356,13342.28,0.90936,0.003893,346.8665,46770.24,sleepy
2.811514,1.026385,0.878126,0.575815,219.709,7.665655,0.00034,14058.32,2.413652,0.001395,411.1086,116545.6,sleepy
3.672346,1.145153,0.991941,0.889802,72.15189,7.087312,0.000228,2217.778,1.543356,0.002261,276.5619,43452.51,sleepy
4.386392,1.229215,0.76734,1.185457,98.55378,7.178405,0.000608,4114.633,1.830697,0.005446,454.3807,168350.3,sleepy
5.153621,1.398772,0.664261,1.027941,79.16811,5.822474,0.000168,2652.846,0.689565,0.004886,558.103,208751.5,sleepy
3.639872,1.210075,0.760126,0.485062,98.20224,6.454513,0.000403,4665.643,2.414644,0.002702,395.0876,25574.28,sleepy
6.745529,1.58434,0.57937,1.404288,37.66644,5.247164,0.000212,1944.623,0.169982,0.004595,1169.098,264923.6,notsleepy
6.372011,1.547191,0.561277,1.185465,44.15475,5.22884,0.000166,2949.16,0.463364,0.002757,1016.725,192355.3,notsleepy
4.586298,1.396702,0.904676,0.932193,14.96793,5.231251,0.00025,480.7814,1.310367,0.004888,496.1106,327341.6,notsleepy
3.989058,1.297576,1.018827,0.600252,33.43679,5.362283,0.000449,1426.887,1.698128,0.003127,317.1322,94984.14,notsleepy
5.991272,1.485387,0.667035,1.454324,19.76825,5.64449,0.000145,561.8241,0.555626,0.004894,717.5693,154503,notsleepy
5.178074,1.364704,0.652828,1.376088,96.6728,6.030396,0.00008,10263.09,0.213035,0.002363,573.112,36859.33,notsleepy
3.938178,1.322379,0.713913,0.429563,24.13971,5.105354,0.000193,712.5911,1.388688,0.002695,553.2341,501689.5,notsleepy
4.15669,1.263663,0.849902,0.8427,21.97851,6.114048,0.000205,998.6509,0.882444,0.004558,345.7262,36792.39,notsleepy
5.969514,1.503183,0.564389,1.233892,50.13089,5.390502,0.000185,4011.944,0.910102,0.002833,754.8105,266566.1,notsleepy
5.969514,1.503183,0.564389,1.233892,50.13089,5.390502,0.000185,4011.944,0.910102,0.002833,754.8105,266566.1,notsleepy
4.460188,1.357732,0.688877,0.586157,62.36436,5.408779,0.000199,3284.328,0.923805,0.004653,630.7932,331120.6,notsleepy
4.460188,1.357732,0.688877,0.586157,62.36436,5.408779,0.000199,3284.328,0.923805,0.004653,630.7932,331120.6,notsleepy
5.081059,1.421614,0.635584,0.916192,15.54126,5.212549,0.000139,459.4359,0.419894,0.004095,740.4802,221418.3,notsleepy
4.528807,1.325035,0.94968,1.085796,28.58048,5.697819,0.000263,2133.724,0.44745,0.002737,246.7887,25013.56,notsleepy
5.823932,1.50014,0.570868,1.117096,134.4754,5.265652,0.000114,18488.68,0.540236,0.005165,833.7963,301631.8,notsleepy
5.823932,1.50014,0.570868,1.117096,134.4754,5.265652,0.000114,18488.68,0.540236,0.005165,833.7963,301631.8,notsleepy
4.898048,1.363813,0.673835,0.927552,91.45646,5.811602,0.000086,5794.494,0.667146,0.00547,442.5963,149866.9,notsleepy
6.124872,1.68917,0.524445,0.847764,16.89071,4.003211,0.000371,522.1224,1.125897,0.004606,1599.696,1815577,notsleepy
6.124872,1.68917,0.524445,0.847764,16.89071,4.003211,0.000371,522.1224,1.125897,0.004606,1599.696,1815577,notsleepy
4.201738,1.297793,0.584468,0.606354,194.6522,5.47068,0.00018,28798.79,0.840753,0.003039,590.5922,213853.9,notsleepy
5.876019,1.515703,0.592196,1.129026,72.52674,5.261323,0.000072,4353.963,0.401306,0.003568,728.8981,167857.2,notsleepy
5.876019,1.515703,0.592196,1.129026,72.52674,5.261323,0.000072,4353.963,0.401306,0.003568,728.8981,167857.2,notsleepy
5.364002,1.472095,0.524865,0.787024,42.70353,5.029482,0.000264,2206.586,0.783191,0.005191,842.9282,289864.6,notsleepy
