@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.034273,0.022247,-53.865811,6.972671,1.509161,0.855194,0.680761,0.000461,0.614748,0.474368,0.094188,0.490543,0.479264,0.402481,0.420968,0.020008,0.014973,0.175844,0.397078,0.277498,0.455158,0.155889,4.41959,0.1325,0.04998,0.060919,0.156268,12.864704,0.664935,0.634674,50.95894,3.349862,1.140421,1.042389,0.587232,0.87612,0.06165,71.79997,6.744048,207.4865,1.042757,0.040031,0.148328,0.242909,0.000491,0.002705,2761.972,2.314763,0,0.863515,0.092878,0,0.117935,0.00339,244.1164,29868.42
0.07027,0.056676,-52.07307,5.90855,1.18482,0.120318,0.454893,0.000214,0.628213,0.419508,0.14781,0.618535,0.5066,0.420152,0.403851,0.044484,0.029794,0.197979,0.334498,0.309048,0.774938,0.101322,3.653309,0.157101,0.060575,0.049668,0.152057,50.375117,0.749311,0.544652,57.73223,3.994681,1.287206,0.844246,0.777369,0.874294,0.030468,23.8622,5.448826,315.1365,1.728949,0.049284,0.263469,0.502603,0.000796,0.001498,656.5668,1.708702,0,0.930759,0.124535,0,0.06449,0.004379,606.5364,426031.9
0.049614,0.034933,-53.225519,6.018448,2.275072,0.294474,0.063135,0.000156,0.621529,0.427606,0.118028,0.518835,0.425279,0.402037,0.412434,0.029806,0.019803,0.177852,0.267142,0.309848,0.589635,0.151348,4.018515,0.108778,0.035687,0.038863,0.158224,16.416201,0.75,0.552945,68.58876,4.250746,1.257639,0.846899,0.851642,0.882004,0.096779,74.8112,6.508675,396.1291,0.980544,0.026781,0.122741,0.198613,0.000305,0.007826,5698.647,1.581624,0,0.912117,0.11137,0,0.080213,0.002661,389.0908,125165.9
0.033193,0.023904,-60.631055,8.197003,1.995803,0.7796,0.326666,0.000036,0.67337,0.350551,0.091363,0.594368,0.558177,0.419011,0.401679,0.022688,0.017677,0.20513,0.276392,0.309058,0.483803,0.126273,4.344907,0.136482,0.048103,0.035359,0.146167,11.880733,0.740741,0.553298,55.18809,3.123169,1.04815,0.897417,0.623334,0.874136,0.06172,69.83909,8.086623,189.4032,1.333166,0.054596,0.123812,0.130957,0.000619,0.002514,2495.484,5.498868,0,0.845539,0.080874,0,0.13069,0.002177,253.749,80045.23
0.080348,0.060769,-51.948104,4.410896,1.160483,0.805882,0.709406,0.000078,0.256924,0.263732,0.135632,0.516091,0.463807,0.400237,0.391564,0.040103,0.041976,0.18361,0.320763,0.4144,0.519785,0.10655,4.044733,0.167664,0.055577,0.056253,0.152362,12.837278,0.747619,0.557706,64.26714,4.623529,1.375121,0.848838,0.584361,0.878512,0.073127,80.23886,5.319217,391.9687,2.347634,0.066574,0.321051,0.08502,0.000481,0.004205,3494.07,1.62379,0,0.972703,0.134239,0,0.02657,0.002206,572.7493,511834.1
0.043919,0.035035,-54.5865,8.44099,1.748426,1.117261,0.214711,0.000202,0.586659,0.321454,0.118058,0.554026,0.559381,0.426068,0.378083,0.024717,0.013198,0.217369,0.382686,0.392842,0.528463,0.185587,4.022125,0.13843,0.055363,0.062843,0.162237,14.968245,0.769608,0.527495,59.43557,3.474258,1.155927,0.64935,0.499404,0.868195,0.064209,73.02709,6.519572,517.824,1.325333,0.028294,0.095209,0.1522,0.000661,0.004101,4183.406,1.76856,0,0.800266,0.112613,0,0.159947,0.004198,402.4468,36423.12
0.067142,0.057372,-60.294098,8.514495,0.45645,0.396339,-0.576035,0.000036,0.63574,0.312847,0.166614,0.54634,0.444741,0.443102,0.433042,0.023499,0.029619,0.216202,0.282368,0.281709,0.537258,0.144302,4.360281,0.111261,0.047521,0.047681,0.15207,9.699066,0.748663,0.516851,35.14821,2.765838,1.171583,0.782015,0.270467,0.853278,0.160086,91.84317,4.92648,560.6961,1.447686,0.061029,0.13951,0.148162,0.001294,0.026856,13377.19,6.080771,0,0.695739,0.091164,0,0.211827,0.004908,562.233,192515.4
0.04025,0.023103,-47.512941,7.241527,0.252772,0.604399,0.109748,0.000923,0.577843,0.44835,0.127498,0.434597,0.386663,0.404022,0.452075,0.020881,0.009453,0.172613,0.324857,0.303417,0.415644,0.122264,3.571113,0.12963,0.042217,0.037415,0.156412,30.774749,0.831776,0.58979,60.72321,3.834434,1.222971,0.83225,0.746074,0.895339,0.164673,137.8829,6.439735,50.7545,0.514541,0.019021,0.043223,0.097224,0.000138,0.006204,4989.007,0.833528,0,0.862184,0.099291,0,0.118902,0.003688,244.2134,7439.165
0.031867,0.025672,-60.581998,7.77835,1.383588,1.00891,0.589273,0.000029,0.505404,0.394023,0.103184,0.442976,0.460902,0.48809,0.474099,0.034203,0.015611,0.212828,0.325183,0.268736,0.591131,0.101833,4.649559,0.113322,0.037946,0.026967,0.15526,7.509051,0.666667,0.552165,60.00479,3.249671,1.069854,1.087895,0.775526,0.870029,0.097083,87.5453,7.716287,583.1602,1.244662,0.029743,0.432969,0.139566,0.000358,0.012133,6985.223,1.104575,0,0.8502,0.091316,0,0.127445,0.003714,310.9227,56175.88
0.04604,0.03847,-53.413433,9.233508,2.631501,0.744291,0.541654,0.000109,0.634737,0.345081,0.131427,0.54125,0.444764,0.395923,0.396552,0.02166,0.011548,0.181822,0.25408,0.304882,0.698256,0.115161,3.875035,0.121478,0.033995,0.032476,0.142337,15.813846,0.73494,0.578669,57.97261,3.185564,1.102469,0.610025,0.425021,0.870487,0.078518,86.15623,6.678225,195.6898,0.582637,0.018093,0.043366,0.052783,0.000389,0.004836,3879.19,0.997668,0,0.923435,0.11208,0,0.07075,0.002704,416.6789,17838.07
0.054077,0.03377,-51.176883,5.185456,0.869064,0.792078,0.023859,0.000476,0.579133,0.372047,0.130668,0.586419,0.442911,0.435037,0.45763,0.042119,0.021237,0.209747,0.300872,0.372563,0.467489,0.10747,3.477519,0.146274,0.038251,0.033302,0.158797,80.313554,0.623932,0.58963,61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6
0.043256,0.029547,-58.194629,7.84109,2.682553,0.601406,0.130674,0.000023,0.613188,0.244659,0.113292,0.531634,0.473832,0.413221,0.371782,0.019493,0.015999,0.178557,0.298046,0.288642,0.568436,0.193972,4.590787,0.140011,0.041122,0.055591,0.150413,6.282758,0.685294,0.573634,77.26224,4.289406,1.214071,0.608973,0.722235,0.888508,0.09198,187.0024,7.187244,355.3151,1.716355,0.04002,0.082082,0.138569,0.00016,0.003591,11260.26,1.732187,0,0.989348,0.112387,0,0.010546,0.000654,358.1641,76871.97
0.079466,0.060198,-47.791245,6.053606,0.622584,0.531048,-0.123546,0.00031,0.654433,0.271164,0.176323,0.455565,0.439899,0.321047,0.473337,0.0284,0.021377,0.252218,0.214667,0.374113,0.628762,0.147803,3.826935,0.150983,0.049503,0.05915,0.159951,35.770066,0.671111,0.565815,71.77486,4.603392,1.360617,0.53308,0.613439,0.884335,0.12114,146.2867,5.417031,116.0303,0.340772,0.010943,0.028679,0.120586,0.000334,0.006719,7769.744,0.719464,0,0.834221,0.082348,0,0.138388,0.00347,669.6684,87530.75
0.055901,0.040312,-53.011713,7.517452,1.747559,0.481515,-0.016128,0.000054,0.688444,0.383492,0.152995,0.409111,0.368901,0.325085,0.378173,0.018161,0.016673,0.178556,0.293349,0.318602,0.401246,0.151388,4.507842,0.105491,0.044161,0.053414,0.155703,9.364534,0.664021,0.580251,88.55965,4.259604,1.177292,0.697574,1.165233,0.895859,0.159883,168.2968,7.569895,158.469,0.416022,0.008078,0.013164,0.128457,0.000074,0.006697,5170.921,0.758088,0,0.940746,0.119207,0,0.05578,0.003355,462.6294,19298.5
0.035709,0.026015,-53.050986,8.250399,1.688401,1.02365,-0.181765,0.000192,0.490223,0.401369,0.105755,0.445193,0.488948,0.388983,0.440907,0.024666,0.012952,0.190907,0.265332,0.361415,0.398514,0.119777,3.757289,0.123022,0.04045,0.038538,0.155912,13.420443,0.993617,0.595433,61.27021,3.228047,1.050636,1.060894,0.893273,0.878656,0.089049,125.0017,7.897163,425.5464,1.516097,0.031841,0.146731,0.359571,0.00043,0.007257,12910.49,1.329067,0,0.856192,0.123438,0,0.12321,0.003898,266.6132,16742.82
0.040373,0.030104,-60.611712,8.12965,0.957557,0.615754,0.671795,0.000037,0.64294,0.521754,0.104341,0.45354,0.412584,0.419516,0.391071,0.027102,0.023483,0.187427,0.324182,0.318432,0.649713,0.130757,4.459833,0.097502,0.039481,0.048326,0.154663,6.553402,0.693032,0.529858,51.73104,3.151563,1.079172,0.928426,0.579442,0.87569,0.140277,155.2047,7.080297,566.0012,2.64357,0.071911,0.101048,0.24398,0.000415,0.012046,18107.48,2.504889,0,0.86285,0.103979,0,0.118419,0.003359,326.354,226228.4
