@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.059101,0.040289,0.068576,-50.733182,2.10864,-0.113856,0.653606,0.645262,0.485239,7.250882,0.215291,0.127487,0.593011,0.999558,0.444189,0.45499,0.34632,0.399595,0.462639,0.15618,0.057863,0.019675,0.372933,0.325381,0.357717,0.465721,0.12069,0.080653,0.095553,3.800916,0.231848,0.045858,0.035283,0.148818,0.206956,7579.60386,27.120771,68.13174,4.418307,1.300731,0.699422,0.715286,0.893781,0.17521,165.4781,5.748399,299.3801,1.324291,0.027309,0.060363,0.263977,0.000154,0.010622,10847.97,0.933525,0,0.908123,0.096477,0,0.083492,0.002352,438.3566,170658.9
0.054077,0.03377,0.156249,-51.176883,0.869064,0.289288,0.792078,0.023859,0.33589,6.295712,0.372047,0.130668,0.573692,1.070959,0.586419,0.442911,0.333181,0.435037,0.45763,0.191924,0.061691,0.021237,0.300872,0.372563,0.255451,0.467489,0.10747,0.079384,0.051818,3.477519,0.20421,0.038251,0.036639,0.158797,0.209872,8442.285843,80.313554,61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6
0.047435,0.036888,0.059982,-57.486329,1.961622,0.429919,1.334322,0.666942,-0.026121,6.977347,0.356544,0.117488,0.542454,1.060723,0.575415,0.637245,0.555498,0.481928,0.453559,0.209851,0.089813,0.014336,0.343485,0.284713,0.33242,0.610259,0.114584,0.158621,0.098583,3.921659,0.287977,0.046625,0.038556,0.14529,0.21815,4675.274133,11.702072,54.59943,3.686093,1.20736,0.62822,0.31633,0.861804,0.040935,39.54133,6.283993,345.5881,1.645562,0.065523,0.094979,0.054494,0.000718,0.00351,1851.771,2.697834,0,0.593209,0.078547,0,0.241473,0.004561,405.784,61014.18
0.125403,0.118655,0.159765,-52.411046,1.256194,1.531482,0.749935,0.283281,0.322969,4.658267,0.491066,0.272307,0.550263,1.05279,0.492094,0.470416,0.983592,0.420546,0.42052,0.191647,0.030478,0.044239,0.423134,0.347847,0.649662,0.6648,0.240492,0.091969,0.050823,4.292388,0.289347,0.076943,0.079166,0.156923,0.213464,5672.221403,9.269874,97.45518,6.605201,1.640716,0.389393,0.815986,0.858301,0.061885,58.09771,4.8229,384.1403,1.59914,0.035595,0.031656,0.175741,0.000994,0.003887,1921.084,1.142628,0,0.829561,0.141165,0,0.141484,0.005474,1272.514,858798.3
0.125403,0.118655,0.159765,-52.411046,1.256194,1.531482,0.749935,0.283281,0.322969,4.658267,0.491066,0.272307,0.550263,1.05279,0.492094,0.470416,0.983592,0.420546,0.42052,0.191647,0.030478,0.044239,0.423134,0.347847,0.649662,0.6648,0.240492,0.091969,0.050823,4.292388,0.289347,0.076943,0.079166,0.156923,0.213464,5672.221403,9.269874,97.45518,6.605201,1.640716,0.389393,0.815986,0.858301,0.061885,58.09771,4.8229,384.1403,1.59914,0.035595,0.031656,0.175741,0.000994,0.003887,1921.084,1.142628,0,0.829561,0.141165,0,0.141484,0.005474,1272.514,858798.3
0.059316,0.051129,0.073294,-53.505708,1.658888,0.299105,0.957673,0.786055,-0.296822,6.814748,0.303527,0.137628,0.530141,1.035451,0.619287,0.549972,0.834603,0.409845,0.429577,0.173259,0.066129,0.025021,0.408631,0.376467,0.497595,0.801311,0.162912,0.106768,0.107224,4.314118,0.23051,0.066316,0.062974,0.152977,0.212191,5619.184009,10.547323,83.22591,4.901288,1.335278,0.60982,0.671885,0.8623,0.041922,51.71152,6.383721,1051.036,2.977135,0.058979,0.105416,0.0856,0.000763,0.003043,2701.538,1.547366,0,0.960053,0.129539,0,0.038377,0.002321,567.1882,276564.9
0.048008,0.038914,0.158866,-56.112296,0.601323,0.505881,0.286126,0.53327,0.349719,7.723648,0.285477,0.116437,0.549724,1.078786,0.626297,0.498128,0.619852,0.448096,0.452818,0.192669,0.061497,0.030904,0.419403,0.368963,0.57508,0.568149,0.185868,0.124272,0.136085,4.654188,0.338,0.062496,0.04816,0.156021,0.216551,4332.718973,10.309619,50.34539,3.734515,1.270934,0.629472,0.237071,0.86724,0.058937,70.57309,5.269555,635.5444,1.990413,0.061238,0.113937,0.06156,0.000629,0.005159,5030.83,2.291442,0,0.872836,0.072366,0,0.111067,0.001708,436.3165,391648.7
0.075519,0.056497,0.107394,-49.616929,1.315524,0.592758,0.496697,0.685299,0.438263,5.419124,0.453961,0.125561,0.607772,1.091522,0.49844,0.550855,0.486736,0.42499,0.467445,0.209087,0.069658,0.024698,0.31597,0.34931,0.430956,0.434508,0.112453,0.068637,0.058693,3.703886,0.151931,0.043302,0.036479,0.15397,0.21286,10614.829227,80.603175,69.95655,5.222377,1.478536,0.74447,0.831857,0.888808,0.061826,37.99405,4.956841,444.3104,2.514541,0.056812,0.133905,0.453586,0.000361,0.007731,1560.036,1.401955,0,0.89747,0.130445,0,0.092079,0.004219,600.4154,356908.6
0.054283,0.035294,0.057768,-52.310541,1.631374,1.39964,0.579138,-0.28155,0.03507,4.725404,0.478323,0.125525,0.539088,1.068194,0.438183,0.371689,0.307472,0.392792,0.440876,0.187099,0.034289,0.010127,0.238903,0.271882,0.331815,0.442996,0.133073,0.081728,0.04793,3.85925,0.21272,0.041931,0.040737,0.157803,0.215677,6660.728341,29.084143,74.24215,4.400262,1.265009,0.812879,1.053175,0.896506,0.160788,119.223,6.45701,180.9661,0.662585,0.012346,0.037899,0.171415,0.000183,0.020737,11400.73,0.361788,0,0.942077,0.120823,0,0.054604,0.00352,387.4467,9165.09
0.021491,0.016864,0.038413,-59.300625,2.82409,0.600471,0.932688,0.022274,0.512661,5.589179,0.406365,0.079277,0.513648,0.965035,0.528204,0.454826,0.33611,0.42391,0.454914,0.197195,0.049361,0.006985,0.271765,0.367592,0.479566,0.724796,0.142502,0.10776,0.116765,4.510378,0.162017,0.050423,0.03869,0.156268,0.218081,4915.307425,11.080472,46.89519,2.587787,0.96711,1.119779,0.494862,0.858859,0.055152,49.73011,8.048029,146.1436,0.231961,0.010592,0.259415,0.124107,0.000456,0.004056,1936.274,1.949684,0,0.938748,0.092919,0,0.057538,0.001539,190.3703,8226.166
