@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_minPos numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_stddev numeric
@attribute output {sleepy,notsleepy}

@data

0.014407,0.015022,0.013462,4.405614,-4.307635,-0.828063,2878,-3.083026,2146,1438,259,-0.341057,-6.656412,-5.423159,-3.861345,0.056825,0.059067,323,0.025949,-0.000002,6.58207,0,0.609991,5.777019,1.08762,0.705943,4.17291,0.203492,3.940303,4.847769,1418,3.549418,7.756415,1445,0.649179,0.805724,-0.000003,0.000069,0.107892,0.000595,0.024386,sleepy
0.018572,0.01851,0.017734,2.092402,-5.662008,-0.387052,1109,0.042159,1360,1011,2281,-0.13038,2.863401,1.688835,-1.944325,0.052485,0.054983,2935,0.024581,-0.000003,4.023475,-0.000006,0.774151,4.037219,-0.359029,1.009348,4.202411,0.061461,4.162643,5.575707,2461,3.827856,7.755573,378,0.786694,0.88696,-0.000007,0.000116,0.145632,0.000867,0.02945,sleepy
0.007922,0.00952,0.005294,1.563144,-0.388701,-0.153498,19,3.993792,1549,641,344,0.477483,-7.276955,-7.311371,1.358677,0.047201,0.052188,761,0.004505,0.000004,6.663559,0.000009,-0.681557,7.320426,-0.03511,1.290101,4.863284,0.190181,5.089512,5.93043,928,4.225187,11.2963,1196,1.122652,1.059563,-0.000017,0.000045,0.139901,0.001026,0.032031,sleepy
0.02067,0.019457,0.015693,4.939857,-12.8508,0.007978,1440,-21.24496,2870,350,328,-0.281326,-0.758698,-2.952714,-5.520122,0.122348,0.134852,2503,0.025434,-0.000001,10.29095,0.000006,-0.418912,6.865802,-0.055538,0.836866,3.640356,0.22745,5.296786,6.191838,2729,3.877503,6.792752,1166,0.750914,0.866567,0.00002,0.000163,0.13619,0.000656,0.025611,sleepy
0.02067,0.019457,0.015693,4.939857,-12.8508,0.007978,1440,-21.24496,2870,350,328,-0.281326,-0.758698,-2.952714,-5.520122,0.122348,0.134852,2503,0.025434,-0.000001,10.29095,0.000006,-0.418912,6.865802,-0.055538,0.836866,3.640356,0.22745,5.296786,6.191838,2729,3.877503,6.792752,1166,0.750914,0.866567,0.00002,0.000163,0.13619,0.000656,0.025611,sleepy
0.018751,0.019692,0.019092,1.85715,-2.506269,-1.914984,475,-0.709157,2645,1485,783,-0.086712,-6.471115,-9.426827,-2.792145,0.057853,0.052782,542,0.027366,0,5.805799,0.000015,-0.000439,5.294588,0.064489,1.067062,5.759874,-0.013474,3.946963,4.74112,963,3.5754,8.016566,2567,1.132024,1.063971,0.000013,0.000084,0.188276,0.000817,0.028579,sleepy
0.012897,0.013838,0.015045,1.74734,-4.791303,-1.040449,839,0.642051,858,2707,0,-0.078291,-0.381338,-2.455099,-0.403899,0.046091,0.05125,2599,0.023525,0,6.812814,0.000007,0.015369,6.411528,0.589379,1.605131,5.246153,0.047918,5.407129,5.187606,952,4.69485,8.52371,1307,0.873558,0.93465,0.000069,0.000168,0.176708,0.000973,0.031199,sleepy
0.02588,0.02166,0.025111,2.112225,-8.565042,-0.336806,1078,0.963922,991,1765,269,-0.088435,-8.906866,-9.989184,-4.481117,0.072377,0.065892,2929,0.028416,0.000011,4.401358,-0.000009,0.797615,6.048848,0.696627,1.169384,5.221541,0.117348,3.69386,7.253862,1919,4.362222,9.472754,698,1.161002,1.077515,0.000017,0.000254,0.122796,0.001405,0.037485,sleepy
0.009168,0.008224,0.004284,0.987178,-3.901015,0.347005,1217,-0.303588,192,1379,716,0.103769,-0.43002,1.553734,-2.616196,0.051969,0.053589,212,0.004488,0.000004,6.545958,-0.000003,-0.549049,4.998296,-0.010464,0.869874,3.666967,-0.154833,3.68965,3.715145,639,3.7889,7.538664,2930,0.830161,0.911134,0.000032,0.000023,0.096213,0.000611,0.02472,sleepy
0.004834,0.003705,0.002461,1.138072,4.298515,-0.809018,1939,4.112556,507,298,1776,-0.326459,-0.422061,0.937498,0.706957,0.020417,0.017545,1424,0.004243,0,5.201113,-0.000003,-0.182933,4.242512,-0.126328,0.905926,4.500905,0.026225,3.785027,5.236526,580,3.486468,6.961797,2668,0.865891,0.930533,-0.000003,0.000004,0.115679,0.000821,0.028653,sleepy
