@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.052489,0.040884,0.069921,0.146136,0.856491,0.245417,-0.378052,0.000015,1.453829,1.782757,7.220326,0.432513,0.145405,0.501535,0.684484,2.628919,0.377201,0.117791,0.019369,0.039893,0.008675,0.329632,0.246013,0.388283,1.268688,0.091752,0.141933,0.022052,0.007038,4.454733,0.505997,0.068715,0.084819,0.16201,0.26679,0.178498,0.048252,0.010496,0.019104,0.039048,0.097908,0.20918,9.656816,0.49999
0.084079,0.067688,0.157607,-0.379265,1.672949,-0.243035,0.073318,0.000064,1.598787,1.969589,7.753875,0.388723,0.141771,0.572871,0.755867,2.712071,0.447143,0.14283,0.03908,0.084575,0.040401,0.486737,0.308514,0.438865,2.16848,0.11325,0.141884,0.040055,0.061618,4.029895,0.709529,0.105505,0.137149,0.196396,0.308663,0.322963,0.060757,0.016984,0.026508,0.037428,0.102546,0.206882,13.117993,0.474962
0.048872,0.035801,0.063208,1.17871,1.87156,0.627915,0.035297,0.000172,1.492806,1.991936,6.323297,0.430645,0.118109,0.571462,0.737126,2.728448,0.46533,0.137773,0.020887,0.065301,0.017716,0.494362,0.326427,0.40408,1.438499,0.139271,0.118975,0.024688,0.028563,4.343252,0.808144,0.084245,0.106963,0.176117,0.291674,0.346633,0.042147,0.008582,0.020986,0.037176,0.103347,0.218523,18.998475,0.446497
0.038423,0.032117,0.049432,0.763947,2.163058,0.926909,0.815112,0.000096,1.638745,2.008768,8.015653,0.390818,0.098305,0.520366,0.70533,2.726627,0.37161,0.184452,0.024791,0.060846,0.019642,0.284664,0.335659,0.363413,1.314145,0.133175,0.137492,0.025221,0.032756,4.356427,0.794322,0.113621,0.120857,0.183736,0.219669,0.272542,0.046693,0.016871,0.022222,0.034241,0.096292,0.207744,7.920908,0.456468
0.031182,0.019713,0.113682,1.015446,1.00072,0.49643,0.301723,0.000192,1.502944,2.007403,6.136796,0.487977,0.094881,0.572097,0.737386,2.686061,0.412652,0.137083,0.026019,0.059341,0.013091,0.348383,0.386441,0.349085,1.093242,0.156037,0.115394,0.029071,0.022395,4.050086,0.355848,0.082737,0.08775,0.141977,0.246551,0.200179,0.044857,0.009377,0.017817,0.040073,0.094395,0.213694,18.433337,0.521824
0.046748,0.040116,0.047587,1.866901,1.457022,0.008267,-1.001137,0.000151,1.588462,2.010651,5.531072,0.269754,0.131489,0.450534,0.685339,2.773687,0.37856,0.177079,0.010641,0.059296,0.006385,0.639152,0.376002,0.400548,1.906303,0.160318,0.206886,0.018726,0.006555,4.063661,0.548172,0.111326,0.127,0.203327,0.21922,0.393175,0.04947,0.010599,0.013448,0.037938,0.102926,0.215237,21.112887,0.467712
0.05478,0.04356,0.06775,0.556071,1.855319,0.304434,0.105723,0.000225,1.50808,1.965266,8.426727,0.362218,0.131479,0.561082,0.751481,2.713117,0.387273,0.103452,0.025895,0.045521,0.013722,0.384965,0.338836,0.508481,2.327033,0.142789,0.181391,0.028921,0.013829,3.927644,0.506982,0.103461,0.131477,0.169142,0.306243,0.293887,0.062447,0.016136,0.016726,0.039098,0.099154,0.21434,15.37202,0.508101
0.082187,0.055858,0.162726,0.453818,1.410927,-0.098434,0.018412,0.000334,1.514186,2.038264,6.644936,0.459692,0.154112,0.61128,0.784161,2.737198,0.473392,0.141763,0.034646,0.077019,0.023824,0.321887,0.28962,0.362592,0.889685,0.155724,0.096686,0.027674,0.029893,3.668544,0.561576,0.062124,0.147775,0.118089,0.138064,0.219442,0.045885,0.012259,0.02493,0.049106,0.094244,0.21728,33.62659,0.46513
0.052501,0.037691,0.069344,1.328677,1.365142,0.513472,0.018063,0.000191,1.575104,2.020754,7.801543,0.388192,0.135467,0.557763,0.733236,2.707729,0.41902,0.155656,0.026193,0.065344,0.011856,0.303788,0.397479,0.400945,1.642442,0.149295,0.161439,0.023838,0.014846,4.075547,0.581992,0.113178,0.120935,0.151457,0.219699,0.258711,0.055497,0.009934,0.01731,0.042584,0.103621,0.212358,21.617848,0.488042
0.046426,0.033066,0.057599,0.616391,1.772672,0.40999,0.016984,0.0003,1.575555,2.202178,5.793666,0.387024,0.120981,0.556327,0.716254,2.732691,0.334745,0.125028,0.027876,0.062343,0.019488,0.399011,0.333161,0.426448,1.629303,0.147906,0.19163,0.02975,0.034167,3.811286,0.754667,0.10518,0.181913,0.211833,0.360937,0.162576,0.05748,0.018164,0.025242,0.045103,0.099719,0.216524,21.934424,0.479255
