@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {calm,notcalm}

@data
77.92246,4.771866,0.894549,83.60906,6.094802,0.010289,0.934262,467.8967,calm
82.36292,5.209508,0.885521,41.1044,5.400087,0.007406,2.546806,591.8906,calm
64.66754,4.152669,0.881399,97.4366,6.159069,0.002641,1.300525,469.4949,calm
63.06227,4.08061,0.885534,81.84519,6.185971,0.005622,1.385922,442.4589,calm
44.3937,3.054128,0.874745,51.91369,6.662965,0.004249,1.758683,138.8548,calm
56.24051,3.53523,0.877603,129.5784,7.032297,0.004484,1.875889,251.9029,calm
72.34987,5.029795,0.90694,141.2979,5.606489,0.007304,0.338715,331.2756,calm
66.43505,4.485531,0.876681,59.05139,5.793668,0.006198,3.626236,545.5639,calm
70.41097,4.698001,0.888837,61.13974,5.542503,0.005894,0.817619,516.3791,calm
67.4733,4.092115,0.889812,38.54265,6.431507,0.005448,1.085748,372.3907,calm
86.83693,5.639777,0.889732,50.27607,5.485397,0.006234,0.348001,902.6048,calm
84.71767,6.024301,0.893664,92.08102,4.855807,0.008207,0.716096,866.4882,calm
65.70418,3.693399,0.877492,33.10669,7.27872,0.004148,1.137468,337.3818,calm
69.95655,5.222377,0.888808,37.99405,4.956841,0.007731,1.401955,600.4154,calm
68.27168,4.54639,0.878114,52.31977,5.243713,0.007262,0.544204,564.9392,calm
67.32638,3.88916,0.883563,181.4018,6.528587,0.005277,0.793097,449.2391,calm
66.10013,4.38968,0.89253,129.7412,5.665885,0.009558,0.906938,516.675,calm
71.31653,4.972831,0.880422,88.43286,5.4403,0.005963,0.885926,627.5291,calm
93.17319,5.612333,0.903455,161.7206,5.911946,0.012453,0.312048,743.1881,calm
58.70961,3.304493,0.86612,57.1634,6.170451,0.008008,0.570134,477.5907,calm
104.2844,7.374324,0.890275,40.24111,4.678041,0.019249,0.210846,1661.889,calm
35.14821,2.765838,0.853278,91.84317,4.92648,0.026856,6.080771,562.233,calm
45.91265,3.220963,0.863842,48.18191,5.687514,0.001462,2.613689,383.8548,calm
60.83042,3.822676,0.87453,86.05799,6.168339,0.00417,1.794626,422.5171,calm
49.86349,3.143856,0.871405,59.35214,6.958207,0.003943,1.812279,280.926,calm
81.88851,5.388598,0.89979,121.6589,5.653671,0.013928,0.366696,543.3046,calm
57.32005,3.739837,0.876172,147.3389,5.627464,0.010042,1.6662,487.7793,calm
95.20202,5.872113,0.891836,113.5938,5.513315,0.007928,0.2761,955.0565,calm
52.29612,4.217147,0.890249,49.23406,5.344937,0.006721,0.641592,162.0736,calm
49.925,3.509905,0.878891,163.5986,6.067336,0.005093,1.188867,243.6544,calm
65.27656,3.57676,0.888381,285.3341,7.064065,0.012297,1.32519,373.2025,calm
59.90077,4.005444,0.885432,59.88974,5.956501,0.007085,1.698898,337.57,calm
84.41511,5.094339,0.881129,61.86778,5.439697,0.003599,0.677888,786.2035,calm
59.68579,3.20707,0.872474,230.6132,7.807652,0.010249,4.705196,258.6967,calm
70.65088,3.980672,0.892718,177.2409,6.450833,0.011822,0.264318,501.6017,calm
55.7863,3.515979,0.890371,74.89761,6.451879,0.004874,1.163916,294.7757,calm
83.48488,4.208865,0.894823,159.8567,7.152281,0.011758,1.347624,475.5044,calm
60.93143,4.052581,0.878259,37.65024,6.030637,0.009411,1.370211,402.1085,calm
67.69045,3.77352,0.882184,66.08259,7.195129,0.007409,0.959659,354.6034,calm
56.35631,3.619567,0.874396,42.35477,6.469869,0.003738,1.784429,310.133,calm
66.17975,4.161223,0.893061,134.1624,6.367987,0.007681,0.900302,317.6834,calm
69.65752,3.990377,0.890163,171.5949,6.695805,0.01475,0.716815,361.6678,calm
72.44705,4.466155,0.881809,89.01556,6.263557,0.007784,3.257461,473.2725,calm
70.81358,4.275052,0.874559,114.1254,6.681299,0.005079,3.893181,446.5482,calm
53.71914,4.107928,0.891224,27.33502,5.227595,0.007785,1.579169,308.9475,calm
68.00964,3.826408,0.881672,71.13964,6.723567,0.005313,0.316257,357.017,calm
63.36265,3.961053,0.877492,81.62851,5.833874,0.004775,0.707322,541.8513,calm
40.01483,2.428394,0.867148,177.0234,7.186577,0.015321,5.043708,224.5843,calm
50.42712,2.92874,0.874483,70.36911,7.230905,0.006216,1.383799,169.1659,calm
60.70643,4.046068,0.879294,26.26073,5.893029,0.003503,0.822893,337.9177,calm
54.58904,3.135134,0.832312,162.235,6.685891,0.011533,1.950268,459.5769,calm
69.03368,4.084638,0.88598,89.08819,6.817334,0.003099,1.174456,336.0701,calm
57.41004,3.770491,0.883725,27.99628,6.464512,0.00404,1.826512,283.1024,calm
50.37722,3.00724,0.857267,22.96205,7.186649,0.005562,2.543804,301.3426,calm
65.13578,3.896423,0.851344,244.4094,6.546013,0.006141,0.697383,356.3977,calm
82.94579,4.193573,0.884859,148.6869,7.410621,0.004856,1.061474,448.8277,calm
52.92213,3.341186,0.876726,115.8003,6.83486,0.007131,1.859445,270.4752,calm
51.34052,2.805994,0.868308,272.0353,6.613613,0.009637,2.768836,332.7334,calm
77.88818,5.289005,0.894338,73.35063,5.320038,0.009167,0.948729,584.2173,calm
71.79834,4.64318,0.89293,42.68181,5.908078,0.003335,0.50316,418.3027,calm
86.07135,5.585228,0.892559,84.923,5.160961,0.012491,0.715041,1097.646,calm
101.0544,5.71689,0.888337,72.68625,6.920188,0.003235,3.011456,501.4327,calm
74.77005,3.787186,0.885154,181.2457,7.354431,0.005789,0.809856,417.8757,calm
66.06512,4.594635,0.890456,43.89888,5.55706,0.003483,1.068606,474.7924,calm
69.51684,4.534058,0.889283,42.94338,5.78136,0.004998,0.611024,378.6128,calm
62.04517,4.139946,0.870838,60.71574,5.23611,0.007013,0.498035,836.6431,calm
