@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[8]_linregc2 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute F0_sma_minPos numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute output {calm,notcalm}

@data
0.019063,0.003595,6.107712,-0.190063,2.606615,-4.678771,-4.554052,-6.473291,-3.902864,0.014519,0.185723,0.044769,0.043588,0.013207,0.6026,0.661862,0.201751,2.399857,10,17.44472,1.003154,2602,0.645294,3.284593,0.000794,0.000006,4.858734,calm
0.071578,0.021342,0.642899,0.5471,2.401115,-5.672082,2.035343,4.968352,-2.780017,0.00726,0.119177,0.034548,0.024069,0.019881,0.458622,0.521656,0.956056,3.907012,0,9.039725,-1.596351,746,0.351268,3.224756,-0.001581,-0.000005,3.42276,calm
0.110132,0.024944,-6.800927,0.252121,17.28667,2.870499,-0.072288,-0.942615,-0.012465,0.00726,0.330309,0.07266,0.050997,0.047362,0.370363,0.343617,0.811752,2.8364,0,9.519568,-1.475138,2935,0.835302,3.854456,0.000214,0.000001,3.764391,calm
0.03421,0.007392,-3.265954,-0.61797,14.23154,-2.453928,-6.858328,-4.655159,-3.64653,0.018149,0.326679,0.055856,0.050593,0.022388,0.497233,0.504193,0.040793,2.906044,6,20.78711,-0.248038,142,0.594342,4.259584,-0.000603,0.000003,3.70611,calm
0.044703,0.006441,-12.39104,-1.015045,22.28252,-2.767592,4.396485,-5.333047,-6.888534,0,0.646098,0.106985,0.102383,0.114787,0.454038,0.452769,0.354681,1.680777,0,12.91733,-0.067024,2726,2.91093,3.962293,0.000654,-0.000008,4.321908,calm
0.066826,0.008925,-0.809311,-0.258655,19.01473,16.98043,1.062287,9.666548,0.78634,0.005445,0.214156,0.048186,0.011984,0.037502,0.500485,0.704393,0.419967,2.154901,0,20.95057,-0.743499,975,0.76139,2.735502,-0.000299,-0.000002,3.060338,calm
0.071222,0.009678,0.187266,-0.637213,23.53381,8.110516,-3.724172,4.994484,-2.823279,0.00484,0.219601,0.027621,0.033086,0.0255,0.46379,0.512105,0.225513,2.635284,0,31.24801,-1.471364,1789,0.482199,5.748165,-0.001852,0,4.423184,calm
0.020906,0.007591,-0.730536,-1.083694,7.749453,-9.301011,2.33289,-4.624055,-2.668981,0.010284,0.120992,0.04755,0.059385,0.020948,0.396661,0.455003,0.191706,2.675163,0,7.319878,-1.759034,2647,0.497051,3.503663,0.001175,-0.000001,3.468917,calm
0.077648,0.007816,-3.699706,-1.136019,10.6169,-3.933151,0.73487,-2.412322,0.26049,0.013309,0.440411,0.067739,0.081675,0.055599,0.417201,0.509837,0.695801,2.87858,4,21.04851,-1.367628,1208,0.800816,3.985217,-0.001729,-0.000006,3.272028,calm
0.063009,0.018443,1.026749,-0.874971,11.5639,-7.998054,-2.549335,0.238344,-4.063913,0.013309,0.275257,0.05469,0.057797,0.0211,0.626422,0.593236,-0.158932,1.877883,0,11.72906,-0.600647,576,0.673769,4.485857,0.00192,0.000007,4.48425,calm
