@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {calm,notcalm}

@data
0.064482,0.008013,-1.081338,-0.912486,17.8826,1.112604,-8.165167,-7.233751,-4.816131,0.527526,0.040321,0.00001,0.025996,0.002703,5.879241,0.608353,-0.214866,2.051924,29.60422,-0.363429,2870,0.900404,4.90323,4.205572,0.000655,-0.000001,4.182413,1.089907,0.000032,2528,calm
0.054242,0.009881,-2.27736,-0.546025,16.84629,3.528969,-0.006783,1.500805,-0.267952,0.428312,0.032578,0.000005,0.025262,0.00142,5.202124,0.350038,0.856304,2.876584,14.27669,-1.365398,1013,0.548909,5.004323,3.643461,-0.001057,0.000002,3.712185,0.718201,0.000006,1373,calm
0.033721,0.011505,3.470311,-0.030271,14.00956,-2.632288,-16.02331,-5.62752,-6.89325,0.120387,0.045391,-0.000002,0.04865,0.000111,3.659712,0.497769,-0.017294,2.216837,33.12482,-1.468783,1517,0.537911,5.252628,4.234586,-0.004251,0.000003,5.454317,0.846355,0,1623,calm
0.082903,0.018198,-7.444642,-0.26098,3.598993,-6.017409,-18.29762,-12.15684,-5.112994,0.46824,0.05792,0.00001,0.043575,0.00128,3.785286,0.462181,0.660176,3.14193,29.2199,-0.934538,2206,0.525225,4.53758,5.094329,0.003734,0.000006,5.677809,0.742033,-0.00001,178,calm
0.115567,0.028744,-7.856803,-0.887163,15.75766,-0.168337,-4.564458,-3.067206,-0.246033,0.54144,0.079426,0.000004,0.073695,0.003258,3.087687,0.422218,0.414365,2.185117,8.087649,-0.392805,204,1.120856,4.402379,3.901172,0.000113,-0.000003,3.538146,0.811312,0.000047,2743,calm
0.049595,0.014596,-2.441282,0.360438,18.96228,4.248222,1.691675,0.52639,-6.742243,0.321234,0.050247,0.000002,0.046658,0.000736,3.640035,0.575352,-0.271911,2.121999,11.35061,-1.751078,2075,0.548811,4.467088,4.849045,-0.000348,-0.000001,4.671272,0.707775,0.000044,374,calm
0.113928,0.016382,-1.650146,-0.898805,17.43113,-2.190075,-1.120768,-1.767823,-3.387198,0.556564,0.04915,0.000002,0.046698,0.002663,5.577724,0.484074,-0.120377,1.926836,23.64678,-1.433722,2747,0.563289,5.343256,3.778766,-0.0012,0,4.997396,0.785752,-0.00001,1808,calm
0.091509,0.016935,-5.522445,-0.336637,17.38854,2.080253,-12.94168,-9.194802,-6.217273,0.395644,0.07584,0.000001,0.073637,0.003397,2.860559,0.478026,0.407556,1.965443,13.86548,-1.002074,432,0.834046,4.488955,4.58362,-0.001661,-0.000009,4.249163,1.056469,-0.000032,619,calm
0.202555,0.035466,-3.630652,-1.070472,9.590285,1.440033,1.722121,2.855357,-1.227606,0.377496,0.098141,-0.000001,0.099758,0.002871,2.009308,0.243987,-0.102591,1.666474,18.87582,-1.718101,1054,0.612016,3.821033,3.566977,0.002631,0.000003,3.583606,0.828787,0.000036,808,calm
0.091768,0.009452,-3.521215,-0.445087,21.61847,6.296246,-5.443664,-5.439994,-2.380079,0.474289,0.04418,0.000019,0.015741,0.002239,4.229637,0.464302,0.057707,2.126669,18.11213,-0.080797,214,1.431093,4.107064,4.053093,0.005914,0.000008,4.436763,1.46407,0.000043,139,calm
0.013697,0.005531,2.321974,-0.521834,2.91655,-9.900345,0.172901,-0.299398,2.250545,0.124017,0.05765,0,0.057576,0.000307,0.727167,0.486519,0.418008,2.639634,6.975471,-0.759417,1042,0.610329,3.628458,3.634571,-0.003161,-0.000006,3.115676,0.90683,0.000034,59,calm
0.048559,0.010073,-2.202702,-1.214724,10.74518,-6.529197,-9.341393,-4.103426,-4.533047,0.350272,0.059728,-0.000006,0.068208,0.001404,3.80734,0.694983,0.046489,1.778131,11.93171,-1.094886,1288,0.594837,4.822787,5.207969,0.001066,0,3.873767,0.562952,-0.000091,2176,calm
0.087169,0.038057,-8.150884,-0.123377,5.406803,-9.433257,-0.140759,-0.526793,-3.008618,0.30127,0.087487,-0.000002,0.090331,0.001047,1.243793,0.431884,0.605594,2.822778,7.891667,-1.174546,1112,0.712648,4.736773,4.016361,-0.000379,0.000001,3.235924,1.035425,0.000069,2074,calm
0.090724,0.012137,-2.987263,-0.99741,17.29774,1.823647,5.739871,0.134886,-2.048486,0.428917,0.052097,0.000003,0.048024,0.002078,2.533865,0.444958,0.604736,2.20532,18.86726,-1.160767,272,1.049352,5.017827,4.746573,-0.000222,-0.000007,3.687187,1.014206,0.000068,2114,calm
0.082115,0.010724,-0.208574,-0.492138,17.79393,0.791252,-13.97223,-3.715698,-3.346115,0.452511,0.03573,0.000008,0.023735,0.001376,6.909919,0.600236,0.302286,2.472878,38.97534,-1.121281,2937,0.658325,4.600921,4.454737,-0.001548,0.000007,3.729059,0.983524,0.000034,264,calm
0.118146,0.01791,-2.513028,-1.304133,21.15913,2.774019,-7.420923,-6.026459,-3.35446,0.444041,0.051423,-0.000012,0.069227,0.0029,3.992628,0.551322,-0.001695,2.157251,23.09991,-0.385284,1293,0.87381,4.707035,5.44368,-0.000451,0.000001,3.923404,0.946733,0.000016,2482,calm
0.024668,0.00706,1.559162,-0.490019,8.910933,-7.665792,-8.493782,-5.985259,-5.505029,0.194192,0.049515,-0.000003,0.053272,0.000268,2.981121,0.4678,0.165301,2.248766,15.15191,-0.920205,1092,0.5902,3.956383,3.702437,0.003177,-0.000004,5.286615,1.280717,-0.00001,2056,calm
0.035177,0.006177,-3.854789,-0.47814,18.86611,0.440405,4.390043,8.99268,0.435639,0.127042,0.033478,-0.00001,0.048226,0.000522,0.997717,0.696952,0.07676,2.293897,59.10294,-2.226634,1195,0.454303,3.647702,4.121869,0.001126,0.000003,4.154691,0.6714,0.000013,338,calm
0.076684,0.041134,-10.38749,0.240368,13.67648,1.060262,-4.19418,1.360746,-0.346921,0.316394,0.091417,0.000013,0.072674,0.001869,0.84725,0.348465,0.649883,2.371835,4.805375,-0.731101,210,0.743727,3.26492,3.277626,-0.000452,-0.000003,3.486492,0.98483,-0.000008,1992,calm
0.095589,0.041118,-5.502356,1.398471,10.37576,-4.548401,1.485764,0.833472,0.748122,0.186933,0.070958,-0.000011,0.088116,0.000603,0.626979,0.418084,0.230972,2.362599,10.82877,-0.955609,375,0.492251,3.802189,3.835095,-0.002237,0.000006,3.296277,0.810586,-0.000002,1695,calm
0.19994,0.054064,-10.25418,-0.284402,15.82211,-0.478545,0.579532,-0.293822,0.887445,0.441621,0.119527,0.000006,0.110321,0.004288,1.757091,0.366043,0.794337,3.121371,13.68571,-0.714446,1254,0.680628,3.377702,3.714817,-0.003998,-0.000004,3.43732,1.059352,0.000081,2315,calm
0.018569,0.00626,-4.249681,0.716184,13.04109,2.725816,-3.834167,-4.656733,-1.709469,0.148215,0.048196,0.000005,0.041123,0.00068,1.076584,0.415573,0.907139,3.008296,8.449356,-1.345519,2305,0.616784,3.062825,3.155597,0.002913,0,3.670841,0.787549,0.000033,364,calm
0.057785,0.014276,-6.887051,-0.457273,15.38551,-3.032924,-5.153009,-5.363859,-1.527717,0.406534,0.072556,-0.000019,0.1009,0.0029,2.783476,0.349939,0.808773,3.128,10.79904,-0.730412,628,0.696057,4.726003,4.494724,0.005738,0.000005,3.804521,0.859014,-0.000008,1699,calm
