@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric

@data

0.067168,0.042321,0.095585,-49.442061,4.741951,0.38313,1.583838,0.369387,0.102498,0.000246,0.000281,1.492831,2.471643,7.175606,9.051875,0.497769,0.475952,0.415222,0.136482,0.597997,0.762087,1.354039,0.458095,2.404733,0.14859,0.152611,0.035949,0.066091,0.068271,0.700522,1.109948,0.26545,0.269717,0.343106,1.184387,0.103206,0.125251,0.029166,0.012934,0.434459,0.159579,0.077078,0.09023,0.112177,0.174513,0.047357,0.015976,0.027846,0.040672,0.10066,0.215289,20.348577
0.054765,0.041903,0.06454,-53.161531,6.720674,0.721979,1.478901,-0.362955,0.128559,0.00007,0.000039,1.46928,2.81539,9.692607,11.197116,0.468237,0.453657,0.294596,0.145931,0.568106,0.739158,1.325111,0.447741,2.180183,0.120298,0.141307,0.022749,0.049605,0.052082,0.398412,3.04322,0.274817,0.259013,0.388003,1.913543,0.122612,0.126461,0.02056,0.012856,0.466496,0.141552,0.087303,0.128903,0.15888,0.189958,0.032773,0.014091,0.032029,0.041526,0.09872,0.212668,15.375594
0.098034,0.083774,0.268461,-62.041903,3.53012,1.330283,1.058974,0.174804,-0.197257,0.000012,0.00002,1.514343,3.102685,7.396076,7.712113,0.304564,0.375031,0.342562,0.158834,0.618722,0.811964,1.427575,0.527757,2.581468,0.152032,0.141719,0.059714,0.086147,0.0909,0.700657,14.80382,0.357457,0.370936,0.511399,2.130371,0.150732,0.143555,0.036368,0.050257,0.791583,0.160289,0.080865,0.173866,0.180964,0.168604,0.044767,0.037625,0.047341,0.052265,0.107744,0.211529,7.303824
0.042134,0.029795,0.06788,-65.586591,7.496823,2.903182,1.772453,0.402805,-0.687057,0.000032,0.000038,1.5034,2.959466,4.725103,6.294343,0.366793,0.531312,0.55683,0.113817,0.534449,0.738656,1.421201,0.349246,1.26271,0.136645,0.131307,0.018807,0.04473,0.05388,1.222201,11.67125,0.483026,0.338861,0.407893,1.084047,0.213006,0.170051,0.039134,0.011239,0.639874,0.081566,0.092095,0.15842,0.184337,0.147865,0.065344,0.023641,0.026526,0.042886,0.112743,0.223426,14.19409
0.030253,0.021562,0.047869,-56.468633,7.286141,1.959185,1.796131,0.728815,-0.012261,0.000272,0.000277,1.559416,2.641139,5.5407,6.732731,0.483092,0.428669,0.488453,0.089809,0.532694,0.746428,1.386443,0.38457,2.069114,0.138042,0.140951,0.024582,0.059899,0.061294,1.369007,0.732513,0.315143,0.216499,0.337812,1.209211,0.123275,0.102496,0.031535,0.013345,0.583155,0.108418,0.107193,0.109215,0.153449,0.196185,0.03687,0.026378,0.038402,0.04453,0.107463,0.217114,32.839504
0.050269,0.034265,0.065713,-53.789702,7.051954,-0.569899,2.000181,-0.214435,0.509492,0.00007,0.000074,1.533859,2.489404,9.000733,11.939818,0.53464,0.548987,0.380174,0.136652,0.563442,0.707999,1.28261,0.466215,3.169325,0.155825,0.153879,0.02411,0.052494,0.04735,0.554244,1.934929,0.211369,0.280042,0.309156,1.534883,0.096811,0.102635,0.025171,0.006121,0.573378,0.072536,0.07033,0.101011,0.128684,0.145426,0.039252,0.016991,0.02625,0.034697,0.08459,0.219195,31.394194
0.069246,0.044463,0.103348,-55.162661,6.07994,-0.421504,1.032884,0.525659,0.073067,0.000039,0.000042,1.413488,2.440787,7.361592,8.247453,0.54552,0.530931,0.38415,0.151062,0.558579,0.697586,1.320052,0.380359,2.878974,0.154314,0.166209,0.026117,0.045255,0.060997,0.528638,1.235992,0.209803,0.218161,0.244623,2.688289,0.098151,0.091225,0.023863,0.028837,0.471368,0.119759,0.076042,0.111423,0.110644,0.179779,0.03842,0.021916,0.030606,0.040011,0.092397,0.214946,28.548925
0.057019,0.049541,0.073245,-51.820715,8.296419,-0.051099,0.960514,-0.750488,-0.451246,0.000164,0.000147,1.462321,3.023519,7.157355,7.793066,0.347371,0.28737,0.417529,0.16121,0.484831,0.680874,1.259764,0.393253,2.920969,0.139235,0.136365,0.028872,0.046604,0.059507,0.946223,16.317384,0.339798,0.30391,0.359984,1.168791,0.128516,0.109862,0.036229,0.004946,0.654101,0.17931,0.091184,0.127842,0.171396,0.229991,0.039647,0.01484,0.03009,0.038545,0.094174,0.217412,13.94012
0.048008,0.038914,0.158866,-56.112296,5.382824,0.645133,0.601323,0.505881,0.255836,0.000158,0.000175,1.585572,3.180574,8.458144,9.729674,0.335535,0.342397,0.38114,0.116437,0.549724,0.733629,1.362546,0.452818,2.767633,0.156768,0.154042,0.04097,0.061497,0.065324,0.617437,20.865395,0.419403,0.368963,0.57508,2.156839,0.19529,0.185868,0.045538,0.040059,0.701895,0.155975,0.09025,0.16177,0.165924,0.338,0.063903,0.018381,0.03133,0.044853,0.103127,0.216551,12.686571
0.030608,0.026346,0.035369,-58.836903,10.586723,-0.417566,2.59602,1.48392,0.426165,0.00008,0.000075,1.510011,3.213645,3.25862,3.452516,0.3628,0.443439,0.762583,0.096932,0.46971,0.573915,1.203752,0.351673,2.919244,0.241568,0.254937,0.014297,0.054655,0.047537,0.725157,2.103107,0.255809,0.33568,0.272115,0.647276,0.099705,0.11496,0.014347,0.003587,0.864393,0.071432,0.100194,0.130405,0.141048,0.270465,0.031776,0.01384,0.020278,0.03236,0.086089,0.22711,11.633768
