@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute output {happy,nothappy}

@data
1.436208,0.971825,0.892048,211.7676,0.017179,0.023401,0.004638,0.682523,0.005842,681.06,happy
1.232148,0.964795,0.880928,148.4224,0.042446,0.263028,0.002719,1.517799,0.001315,287.1901,happy
1.55803,1.361687,0.897203,454.1705,0.047693,0.029215,0.008051,1.604256,0.003903,896.3665,happy
1.430884,1.093512,0.895175,410.9815,0.020859,0.051533,0.008168,0.985852,0.002495,797.1929,happy
1.535334,1.667543,0.900973,675.8551,0.02067,0.02352,0.011922,1.062026,0.003634,965.2411,happy
1.345386,0.758444,0.902204,84.66231,0.010351,0.024168,0.013503,0.404236,0.002756,535.9121,happy
1.46534,0.902869,0.902451,241.6206,0.009937,0.015788,0.013834,0.408181,0.005608,523.511,happy
1.399333,0.743396,0.89885,129.5567,0.010646,0.020323,0.008503,0.537608,0.003856,458.0042,happy
1.49943,1.145207,0.898877,74.59925,0.003887,0.013296,0.010133,0.157071,0.004164,724.3481,happy
1.667285,1.208381,0.894876,121.4129,0.00956,0.00574,0.015697,0.142485,0.004033,1524.944,happy
1.342844,0.596497,0.885303,385.1271,0.057205,0.047306,0.008187,1.18237,0.004343,564.9944,happy
1.400553,1.538526,0.890988,232.828,0.038782,0.070815,0.004231,1.176347,0.002532,521.4154,happy
1.426964,1.745068,0.899171,972.9215,0.031882,0.039151,0.037019,1.461447,0.001616,516.9627,happy
1.577621,1.283061,0.900898,98.95347,0.012651,0.006874,0.022299,0.245489,0.003374,1276.715,happy
1.421952,1.067016,0.897477,255.3688,0.023938,0.026656,0.004502,0.676455,0.001654,570.2561,happy
1.045076,0.369373,0.874483,81.58279,0.019007,0.076678,0.006216,1.383799,0.002539,169.1659,happy
1.524481,0.972709,0.897191,214.1414,0.013209,0.018519,0.02653,0.344689,0.005067,870.1867,happy
1.563035,1.019952,0.895411,267.8861,0.023049,0.020062,0.004701,0.587928,0.003874,884.0896,happy
1.500826,0.779106,0.889822,304.5375,0.026564,0.014596,0.013759,0.486672,0.002483,996.9622,happy
1.280827,0.855233,0.88822,137.1534,0.009491,0.038451,0.011774,0.523757,0.005456,475.9507,happy
1.26888,1.344403,0.899846,74.94431,0.005529,0.018766,0.013258,0.199348,0.003035,459.1787,happy
1.494759,1.100437,0.905186,86.26591,0.010194,0.011036,0.007885,0.211373,0.003479,641.1748,happy
1.382722,1.075511,0.876344,224.6145,0.019332,0.030302,0.014487,0.491953,0.005761,493.8016,happy
1.558869,1.364365,0.894253,174.6748,0.024567,0.012422,0.019283,0.410786,0.00356,1095.017,happy
1.293268,1.09708,0.899881,104.1807,0.01246,0.033747,0.008019,0.611753,0.00524,403.4071,happy
1.473726,1.210017,0.894183,532.1862,0.041188,0.072117,0.012491,1.548501,0.003785,740.8622,happy
1.581483,0.904575,0.893211,174.7765,0.018085,0.048335,0.00958,0.488319,0.003531,959.6816,happy
1.43092,0.907593,0.888689,210.3831,0.005863,0.009362,0.034522,0.139312,0.002657,1050.705,happy
1.4514,1.026072,0.896368,301.1659,0.03132,0.114751,0.006833,0.89536,0.004582,409.8483,happy
1.473875,1.056725,0.902871,238.6666,0.020736,0.054563,0.01002,0.400979,0.004606,596.246,happy
1.44968,0.955173,0.896203,225.9768,0.014331,0.029634,0.011998,0.309914,0.003372,830.4844,happy
1.581509,0.967199,0.896516,273.3727,0.017679,0.012715,0.007396,0.596574,0.005236,1124.728,happy
1.314113,0.571956,0.882065,417.4906,0.034594,0.042786,0.008632,1.210746,0.004831,568.9368,happy
1.403693,0.998439,0.89968,119.1466,0.025237,0.066891,0.008898,0.539712,0.003053,588.7667,happy
1.470088,0.89705,0.890836,389.9876,0.041926,0.059813,0.010241,1.723858,0.005321,807.4861,happy
1.30334,1.048364,0.898229,230.8003,0.010459,0.063554,0.006575,0.765673,0.002137,524.3455,happy
1.4581,1.153453,0.885953,80.31678,0.009886,0.019169,0.019166,0.247817,0.003288,787.4609,happy
1.521606,1.609702,0.913544,150.4409,0.009511,0.009555,0.013027,0.29391,0.004402,807.9446,happy
1.42428,1.04419,0.892405,258.9383,0.019693,0.064501,0.014295,0.555629,0.004543,826.0375,happy
1.382382,0.988802,0.896079,321.895,0.020198,0.032037,0.010849,0.807286,0.004459,553.1441,happy
1.1875,0.832616,0.880273,314.0482,0.020587,0.288008,0.005384,1.554127,0.003096,301.8547,happy
1.337998,1.250175,0.899148,441.4388,0.023447,0.081292,0.008509,0.702425,0.003635,448.298,happy
1.472462,0.847506,0.891836,43.3441,0.008891,0.010594,0.007928,0.2761,0.005423,955.0565,happy
1.522879,0.832685,0.893623,429.3283,0.035116,0.056185,0.007361,0.49495,0.0045,949.5536,happy
1.506162,1.443966,0.885093,3342.79,0.021723,0.006989,0.027042,0.893371,0.00116,1010.41,happy
1.32322,0.649068,0.884558,342.7104,0.021116,0.07962,0.007985,0.919741,0.00257,570.6793,happy
1.283126,1.088125,0.899725,158.8417,0.017642,0.071148,0.010453,0.55466,0.003201,351.1141,happy
1.393021,1.122658,0.897109,258.5313,0.025877,0.034042,0.012769,0.854125,0.004689,741.115,happy
1.501331,0.822803,0.886408,679.8682,0.024448,0.036647,0.008497,0.890552,0.003923,848.6944,happy
1.479343,0.861871,0.903227,208.7118,0.021965,0.023472,0.006351,0.516439,0.003425,533.634,happy
1.338942,0.999057,0.903043,172.1107,0.021876,0.06649,0.008958,0.94934,0.00361,370.7441,happy
1.469758,1.162021,0.89778,186.8021,0.01901,0.042179,0.008984,0.628264,0.003708,772.6902,happy
1.709152,1.313159,0.891543,64.57625,0.006293,0.001507,0.018273,0.125361,0.004021,1313.742,happy
1.446896,1.160297,0.897066,328.3181,0.023061,0.045482,0.01248,0.516183,0.003286,723.3913,happy
1.482109,1.010338,0.897991,233.524,0.016917,0.041296,0.010823,0.968111,0.005292,756.3217,happy
1.435517,1.187305,0.897389,432.8226,0.015525,0.024006,0.008683,0.312004,0.003213,792.8701,happy
1.501304,0.949991,0.904686,283.2177,0.01579,0.063575,0.006299,0.745348,0.004271,502.2472,happy
1.496528,1.221288,0.905027,244.2891,0.009969,0.064466,0.011815,0.407315,0.005482,672.9405,happy
1.312148,1.200127,0.900935,56.75348,0.015109,0.048813,0.00949,0.440949,0.002593,417.6146,happy
1.295744,1.221425,0.892653,198.8263,0.018663,0.092512,0.00648,1.165862,0.00349,352.146,happy
1.455138,0.736683,0.902029,255.4818,0.02,0.037084,0.010286,0.698994,0.004145,444.8422,happy
1.451649,1.241879,0.907097,95.93523,0.010701,0.020772,0.008828,0.214967,0.004072,536.5112,happy
1.362535,0.978598,0.898545,133.3269,0.016565,0.024845,0.010899,0.381176,0.003224,663.3208,happy
1.526943,1.771507,0.899202,341.2464,0.020411,0.028134,0.008556,0.891854,0.004061,803.3931,happy
1.36998,0.251052,0.884072,135.2625,0.018547,0.067667,0.002597,0.670619,0.006079,382.278,happy
1.273496,0.881204,0.892476,185.137,0.042294,0.105885,0.00475,1.152154,0.002497,386.1034,happy
1.409562,0.550772,0.891057,128.8071,0.017214,0.061001,0.006307,0.70098,0.004221,431.8863,happy
1.423279,0.92661,0.888613,302.4689,0.025805,0.015466,0.006306,0.879121,0.002236,743.7272,happy
1.573087,1.432917,0.903421,52.19225,0.007672,0.007748,0.013644,0.156398,0.003758,916.5605,happy
1.61979,1.230665,0.89073,158.7493,0.02006,0.006642,0.016014,0.375872,0.004995,1304.381,happy
1.662785,1.063864,0.897363,286.3761,0.019353,0.010996,0.010467,0.54069,0.005096,1059.274,happy
1.255272,1.028961,0.887062,511.0136,0.031466,0.020481,0.012509,0.934823,0.00253,506.4954,happy
1.57542,0.805501,0.8868,933.9149,0.03627,0.027619,0.014317,1.642091,0.004817,1144.289,happy
1.596672,1.266773,0.888527,187.3398,0.008137,0.015947,0.021377,0.385665,0.005979,937.958,happy
