@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric

@data

0.068951,-43.217647,0.640856,-0.084116,1.860855,0.442336,0.22622,0.192641,0.471116,1.04549,2.546219,0.428779,0.793886,0.218058,0.191507,0.17849,0.168465,5.040862,0.2945,0.156146,0.000192,0.000218,0.292044,0.3614,0.483676,0.741713,1.150626,0.105821,0.078365,0.071977,0.066744,0.061049,0.073594,0.089319,0.000277,0.099403,0.033705,0.029425,0.027259,0.210678,48.033249,79.914042,58.674303,1.005469
0.075896,-43.067076,0.357431,0.334291,2.003008,0.345005,0.227857,0.175517,0.471481,1.087734,2.546232,0.507494,0.741005,0.212819,0.179386,0.170246,0.161547,5.185713,0.719815,0.299573,0.000374,0.000431,0.371272,0.492294,0.694401,0.844004,2.214687,0.096864,0.134121,0.063363,0.072671,0.09064,0.074624,0.088749,0.000275,0.112691,0.031919,0.039801,0.025399,0.209973,31.189672,43.721051,45.061173,1.002659
0.092648,-53.861416,0.571193,0.232154,1.852171,0.45681,0.192788,0.127906,0.529539,1.184517,2.551009,0.517169,1.098008,0.197689,0.221874,0.208468,0.203996,6.447973,0.590971,0.280418,0.000049,0.000058,0.35202,0.402666,0.518572,1.56113,1.084936,0.096316,0.096116,0.123398,0.083822,0.075953,0.088282,0.102915,0.000129,0.102634,0.042047,0.023856,0.025197,0.21312,61.578974,53.176184,112.326314,1.015675
0.057564,-52.204373,0.430977,0.268923,1.908366,0.456569,0.308536,0.171486,0.44934,1.056913,2.56536,0.423931,0.879534,0.214806,0.192939,0.1745,0.16618,6.231916,0.517631,0.237477,0.000009,0.000013,0.366505,0.415424,0.418844,0.956804,1.558484,0.099715,0.085417,0.091896,0.075925,0.072159,0.066336,0.086926,0.000018,0.11028,0.043262,0.034149,0.01728,0.215112,30.751307,18.201672,36.885451,1.00615
0.060055,-50.026918,0.099875,0.281113,1.993706,0.30959,0.276036,0.175071,0.404103,1.003058,2.541868,0.550719,0.69724,0.184079,0.147342,0.155296,0.121899,5.995379,0.450602,0.285523,0.00007,0.000068,0.644068,0.485678,0.977109,0.97376,3.827339,0.125731,0.09748,0.061374,0.091813,0.079267,0.066954,0.07817,0.00005,0.13495,0.05087,0.043271,0.03355,0.204775,17.041697,20.749346,18.270372,1.003331
0.075545,-47.329043,0.609023,0.393106,1.884285,0.468497,0.350868,0.166495,0.476799,1.184844,2.628595,0.480933,0.768055,0.232922,0.187633,0.17957,0.187484,5.799074,0.39188,0.155374,0.000043,0.000048,0.212404,0.334966,0.416343,0.652468,1.317415,0.103165,0.071159,0.07016,0.067656,0.071391,0.076793,0.102497,0.000033,0.08681,0.037037,0.031349,0.02704,0.215686,37.271203,26.623821,48.502219,1.004047
0.033977,-46.608212,0.555984,0.00713,1.964982,0.34611,0.292221,0.149931,0.399073,1.039555,2.542614,0.470172,0.74852,0.232952,0.19214,0.164,0.167268,5.485417,0.514364,0.319623,0.000331,0.000344,0.237565,0.393092,0.850099,0.64213,1.68459,0.117977,0.080658,0.084089,0.074965,0.068198,0.066811,0.085468,0.000166,0.125464,0.037116,0.033395,0.023398,0.214525,33.160057,38.096054,59.177968,1.00519
0.066405,-44.615992,0.08821,0.023929,1.982779,0.411561,0.241772,0.162374,0.486355,1.064561,2.539867,0.470854,0.752589,0.194119,0.188869,0.171033,0.159906,5.239895,0.635954,0.322596,0.000142,0.000164,0.445538,0.45381,0.554715,0.779638,1.344861,0.098071,0.105426,0.085298,0.078909,0.077802,0.071027,0.090218,0.000141,0.124737,0.03672,0.030282,0.021935,0.213191,39.416601,46.163311,43.416539,1.003535
0.043108,-49.854993,0.078477,0.420834,2.056199,0.368639,0.298353,0.153935,0.405548,1.067138,2.569243,0.569293,0.795489,0.23154,0.183204,0.172222,0.178751,6.959678,0.389374,0.559872,0.000171,0.000202,0.723229,0.483632,0.72192,1.145382,1.530947,0.105042,0.090757,0.140482,0.135059,0.099826,0.088053,0.106523,0.000128,0.131932,0.048936,0.038514,0.04222,0.213033,32.648357,30.375045,53.27157,1.005715
0.056031,-58.865259,0.772322,-0.124495,1.831035,0.49621,0.240302,0.135825,0.417805,1.099855,2.549765,0.403779,0.699993,0.203557,0.190537,0.179461,0.166947,8.17115,0.650403,0.327041,0.00001,0.000011,0.225022,0.372412,0.508019,0.779314,1.833672,0.112564,0.112293,0.074907,0.074198,0.070324,0.089999,0.101747,0.000011,0.103961,0.035637,0.026223,0.025133,0.213402,0,6.29713,7.164535,1.002698
0.050344,-50.795099,0.444796,0.315641,1.87072,0.455173,0.322471,0.148394,0.487528,1.069281,2.58329,0.488848,1.063063,0.217093,0.240993,0.187687,0.185756,7.003388,0.445856,0.349411,0.000146,0.000173,0.29084,0.543242,0.620201,1.122092,1.313881,0.127666,0.100659,0.087133,0.11635,0.097632,0.074027,0.092215,0.000122,0.142658,0.037796,0.042401,0.030272,0.217442,114.33454,71.423941,149.629605,1.016891
0.058236,-46.314892,0.167481,0.391169,1.973168,0.393547,0.401375,0.15957,0.452042,1.000168,2.535406,0.484967,0.788894,0.22806,0.201615,0.186728,0.168692,5.427013,0.616765,0.21664,0.000178,0.000138,0.421748,0.481651,0.518398,0.901577,1.514016,0.106994,0.086705,0.080419,0.080227,0.077849,0.06281,0.08036,0.000128,0.10832,0.034867,0.028409,0.023498,0.207836,64.032035,32.937227,35.903727,1.005499
0.059523,-45.453634,-0.081736,0.595071,1.826644,0.452499,0.184553,0.165081,0.513947,1.055346,2.545714,0.45868,0.844253,0.216339,0.205498,0.183122,0.170301,5.47244,0.513881,0.305113,0.000082,0.000101,0.230582,0.496249,0.636448,1.060556,1.94853,0.099455,0.105326,0.096624,0.115457,0.13223,0.072617,0.08945,0.000125,0.092143,0.035735,0.026796,0.035186,0.2117,32.229625,39.421111,52.121896,1.003576
0.081137,-46.453847,0.441639,0.009795,1.742104,0.42955,0.174098,0.186896,0.500734,1.063861,2.531438,0.471644,0.832717,0.209743,0.225279,0.190808,0.178447,5.409402,0.636059,0.195748,0.000095,0.00008,0.248462,0.39073,0.489576,0.655706,1.508595,0.09441,0.074801,0.058918,0.067387,0.062665,0.071721,0.088209,0.000037,0.11464,0.037448,0.029671,0.020745,0.213401,58.885283,95.534069,51.561911,1.00759
0.054317,-52.118102,0.776629,0.212382,1.890225,0.462986,0.312863,0.149555,0.451764,1.063696,2.587922,0.466746,0.791443,0.208896,0.203842,0.186182,0.17338,6.78181,0.587099,0.241793,0.000187,0.000232,0.291111,0.443969,0.528546,0.599805,1.088124,0.102482,0.099211,0.086002,0.076906,0.080107,0.078027,0.090418,0.000189,0.115767,0.034226,0.033969,0.036969,0.211302,36.379391,26.207595,35.688911,1.004376
0.09304,-42.509708,0.589452,0.271759,1.696378,0.439107,0.248732,0.185243,0.502213,1.106424,2.5567,0.433131,0.77394,0.200961,0.209017,0.18045,0.179505,4.860066,0.692983,0.361396,0.000227,0.000216,0.288007,0.441678,0.611672,1.06661,1.795925,0.107664,0.101345,0.09259,0.078707,0.079658,0.077241,0.092982,0.000075,0.105734,0.040211,0.032383,0.027355,0.215689,41.906162,44.377712,38.407786,1.003586
0.051879,-53.385328,0.74951,-0.041983,1.968031,0.268911,0.335761,0.146187,0.427689,0.993622,2.590693,0.502332,0.776266,0.218543,0.185594,0.146977,0.149627,7.828265,0.767929,0.305571,0.000069,0.00009,0.526922,0.49108,0.558827,0.967127,2.543507,0.134739,0.113861,0.095846,0.100445,0.096792,0.088009,0.093149,0.000155,0.142714,0.051274,0.04391,0.039626,0.214286,12.005193,14.519594,12.042286,1.003266
0.047055,-53.162618,0.439337,0.501245,1.978841,0.365793,0.295621,0.149457,0.415028,1.015128,2.579957,0.563904,0.760878,0.218009,0.186035,0.166359,0.159799,6.502137,0.623846,0.342298,0.000038,0.000044,0.5506,0.442009,0.865348,0.933509,2.228167,0.113238,0.12095,0.081216,0.081482,0.075661,0.074861,0.092889,0.000055,0.112772,0.044756,0.039649,0.029931,0.211387,14.185215,14.722749,10.889114,1.003288
