@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc1 numeric
@attribute mfcc_sma[5]_min numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregc1 numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data
0.04581,0.110487,-0.000797,-17.66952,31.71173,15.62342,0.007864,0.08658,9.137809,0.844581,0.334632,0.004579,6.654261,7.396762,0.000003,5.298047,4.719621,3.929213,3.614979,3.788246,1.033663,0.00001,16.43318,4.546978,happy
0.038959,0.743675,0.000272,-21.25255,21.50239,27.31804,0.039322,0.113792,3.932025,0.910823,1.245605,0.003129,6.058825,5.284569,0.000003,5.627523,5.441913,4.135775,2.73726,2.748551,1.337363,-0.000009,6.201599,6.578146,happy
0.039472,0.542135,-0.001125,-19.43678,19.45173,16.91105,0.010889,0.144504,3.575505,0.918363,0.418657,0.00527,4.577149,4.403461,-0.000003,4.787114,4.360251,3.567205,3.464785,3.60382,1.030664,-0.000013,6.035799,3.686565,happy
0.030028,2.098615,0.000528,-15.00683,19.02691,14.49536,0.012704,0.06963,8.412401,0.80102,1.505595,0.00448,6.673733,4.083704,-0.000002,3.687287,3.909878,3.281148,3.24679,3.442207,0.80541,0.000018,6.662847,4.915767,happy
0.046653,1.441576,0.000159,-18.30352,15.19974,9.352534,0.029038,0.102624,9.354182,0.781546,1.087158,0.003398,7.872717,4.448136,0.000001,4.689,4.07101,3.287991,3.918827,3.570554,0.726723,-0.00001,10.67645,5.066173,happy
0.027196,1.461438,0.000185,-15.4124,18.12421,18.22905,0.00726,0.06143,11.20735,0.790658,0.696105,0.002632,10.43786,3.863321,0.000004,3.562114,3.817363,4.649746,3.234774,3.321172,1.020028,-0.000039,10.13894,4.508129,happy
0.076671,0.383925,-0.000183,-15.58483,18.13116,14.29928,0.010889,0.131112,8.243839,0.820037,0.529347,0.005337,6.636836,5.585314,0.000004,3.998407,3.801274,3.810001,3.490622,3.542321,1.022807,0.000008,8.759401,4.483718,happy
0.009063,1.212797,0.000025,-19.5713,30.39115,35.89762,0.015124,0.050366,3.529354,0.879324,0.48775,0.000633,11.93062,10.16137,-0.000003,7.715453,4.716857,4.827205,4.204255,4.405446,0.802038,0.00001,7.302832,7.7735,happy
0.045014,0.949319,-0.000245,-15.03942,19.35498,13.47423,0.010284,0.092349,14.04827,0.876867,1.010474,0.005974,7.929862,6.580258,0.000006,4.307477,3.686371,3.451578,3.314178,3.423888,0.89429,-0.000127,14.82568,6.404101,happy
0.047317,-0.932214,0.000645,-13.48101,23.69983,13.80765,0.031458,0.137292,3.24073,0.712874,1.484761,0.002369,6.653487,4.566136,-0.000001,4.552303,3.614181,3.525244,3.498402,3.130169,0.923742,-0.000008,4.664571,6.146377,happy
0.015615,2.051422,0.00018,-28.32499,16.092,15.18575,0.00363,0.052229,10.15195,0.711229,0.720037,0.004748,6.87162,4.73597,-0.000006,4.283214,5.611647,5.186392,5.026947,3.371789,1.034794,-0.000001,10.73678,4.632372,happy
0.012481,1.005225,0.000113,-15.20701,31.80976,19.84159,0.012099,0.107143,4.702482,0.708417,0.979382,0.001829,5.207014,4.598452,0.000002,3.418171,3.472135,3.958733,3.767859,3.618754,1.154379,-0.000012,5.627861,4.136158,happy
0.029931,0.376933,-0.00085,-20.38527,25.2081,16.23143,0.013309,0.054867,3.115477,0.76061,0.68141,0.001748,6.744044,4.634727,0,4.018808,3.971259,3.671061,3.901865,3.887231,0.794862,0.000013,4.955283,5.068862,happy
0.024068,0.450839,0.002116,-24.80299,42.03443,28.47051,0.00726,0.087479,9.931004,0.911161,0.440596,0.0024,6.146759,7.78297,-0.000007,6.129471,4.470017,4.090072,3.574082,3.786394,1.32205,-0.000005,13.82432,4.582916,happy
0.066105,-0.373309,-0.000163,-13.44222,24.72981,17.92309,0.010889,0.102741,7.003602,0.884005,0.631875,0.005049,5.246926,5.89507,-0.000002,4.946683,5.082698,4.066913,3.887146,3.200415,1.064041,0.000025,10.48959,4.141246,happy
0.037609,0.905744,-0.000826,-30.43184,27.38415,24.83991,0.018149,0.119332,8.356817,0.853175,0.601378,0.003852,6.06854,4.935331,0.000001,5.275987,4.107386,3.678555,3.772702,3.707088,1.041617,-0.000004,7.535643,4.149088,happy
0.022297,0.840594,-0.00082,-27.57044,20.90534,17.10652,0.016334,0.093937,12.55395,0.885153,0.537115,0.002866,7.974061,8.718201,-0.000004,6.64103,5.516024,5.42721,4.527227,4.444873,0.797104,0.000029,17.8432,5.929085,happy
0.018198,1.392987,-0.000987,-26.89076,29.0789,27.5586,0.021779,0.05792,32.00138,0.887595,0.660176,0.001291,29.2199,7.843977,-0.000004,7.652707,4.92599,4.53758,5.094329,4.619774,0.742033,0.000017,46.15759,6.519304,happy
0.051069,0.704665,-0.00032,-20.67204,23.76302,14.07847,0.030853,0.126113,7.095243,0.878205,0.918474,0.003591,10.11935,7.306067,-0.000002,5.211139,3.648558,3.645777,4.014497,4.037028,0.815599,0,7.186229,5.372395,happy
0.013687,1.262549,-0.000528,-15.37591,23.75697,15.02148,0.00363,0.128134,3.397425,0.859777,1.161027,0.002536,7.764348,5.859012,-0.000008,6.280906,5.930134,4.265285,4.242234,3.535976,0.896516,-0.000063,8.159951,6.516786,happy
