@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_stddev numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute F0_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data
0.037341,0.037291,0.507998,3.202898,-12.2703,-11.56667,2.943015,3.341595,0.64043,16.78407,0.111868,3.323353,0.87482,3.169816,0.027013,0.004581,0.997647,6.919564,4.251636,4.738455,4.91244,1.373266,4.192332,1.191931,3.284987,3.685682,0.000002,5.512799,0.00113,4.894767,happy
0.028936,0.021744,0.647988,2.470503,-4.0445,-2.974776,3.31124,-3.056422,-1.169743,14.83416,0.055089,3.497782,0.876411,1.819222,0.016788,0.002151,1.355385,8.621646,6.474526,4.718705,4.382253,0.846153,3.881342,1.103281,3.405882,3.779034,0.000006,6.122134,0.000865,4.822833,happy
0.041451,0.036839,2.511175,13.73333,-9.023158,-7.9065,3.066679,-3.522992,-2.51595,15.59011,0.096528,23.13812,0.83072,1.222261,0.037756,0.004434,0.577672,18.01734,4.551451,3.91001,3.691732,0.860695,3.604283,0.778088,4.004368,3.694189,0.000002,18.0652,0.001217,4.261425,happy
0.020737,0.024411,2.079491,7.827363,-5.791216,-3.651695,5.151155,-0.5562,3.03603,60.26355,0.067374,6.166715,0.927859,1.095731,0.023071,0.003267,0.762351,13.471,8.235353,6.683043,7.770631,1.033696,5.24374,1.240286,5.189228,6.236013,0.000013,10.14381,0.000862,5.787276,happy
0.003933,0.007288,2.292616,11.19755,-6.166701,-7.015933,5.548169,3.280703,-6.488152,18.56752,0.071193,10.32205,0.907756,2.338153,0.006828,0.000683,0.744089,23.08986,6.687334,5.111184,4.903435,1.059943,4.116915,1.1483,3.408304,3.954508,-0.000004,13.14654,0.000683,4.805518,happy
0.025871,0.021762,2.138669,7.535109,-10.84791,-11.42257,5.024048,-0.994278,2.221482,31.94291,0.076843,16.59218,0.889799,2.52814,0.032574,0.006716,1.288884,8.11604,6.82723,4.589329,3.669826,1.578697,3.232408,1.72319,3.757241,3.13747,0.000014,14.17356,0.00126,4.982784,happy
0.032641,0.036231,0.210456,2.417063,-3.741578,-4.702899,5.096427,-9.210191,0.461584,22.84485,0.076353,9.576855,0.82895,1.194821,0.017085,0.003136,1.406574,6.796273,5.740662,5.788318,4.624663,1.089926,3.824685,1.38915,4.453,3.438047,-0.000008,11.32396,0.00114,4.443568,happy
0.042403,0.050028,0.791098,3.079401,-9.463597,-10.344,2.990166,-4.695105,4.054378,20.34111,0.085279,3.279038,0.904576,1.143459,0.016519,0.003124,0.70222,5.907865,5.322174,3.774938,4.131668,0.732614,3.672246,0.934722,3.469542,3.356978,-0.000048,4.173634,0.000942,6.149222,happy
0.035312,0.03292,0.547032,2.704539,-11.21871,-11.11188,2.697908,-5.961487,-1.776129,16.50623,0.117914,3.440477,0.878753,2.083811,0.017609,0.00396,1.356351,5.909258,3.354671,3.485697,3.388181,1.347426,3.61182,1.378524,3.202842,3.513946,-0.000021,4.338089,0.001492,4.236846,happy
0.017956,0.006583,1.032594,3.589422,-6.740922,-6.947895,4.558307,-3.21788,-2.931355,18.64289,0.073646,30.42378,0.875042,1.770511,0.014144,0.001962,1.506675,9.965099,7.385646,6.186399,6.656067,0.952083,4.774315,1.369437,4.043859,4.937988,-0.000004,22.82966,0.001028,5.944438,happy
0.069255,0.059614,0.594784,5.108279,-12.34848,-11.7089,2.799739,-2.790765,-5.464056,14.37964,0.132588,5.63625,0.872301,1.939351,0.02224,0.004364,0.374324,10.69384,4.589034,4.936119,4.254375,0.845181,3.810924,0.88679,3.455387,3.595964,0,5.736644,0.00079,5.119541,happy
0.016498,0.007795,1.474004,4.225895,-3.575943,-2.388242,4.668408,-5.29953,-6.793321,32.52242,0.066389,8.745283,0.924972,0.162911,0.01147,0.001657,0.793436,13.87403,16.57933,9.691843,5.205516,0.670809,5.106912,0.688813,4.407168,3.920571,-0.000017,29.44083,0.000665,8.668233,happy
0.011262,0.01053,1.535957,5.020252,-1.608347,-1.749219,4.16017,-4.675807,-4.935446,32.83697,0.06092,24.87261,0.945503,0.509716,0.009885,0.001332,1.049211,16.44989,11.32464,8.687361,4.909555,0.955103,5.714741,1.041481,4.283518,3.450025,-0.000002,26.65009,0.00112,6.903247,happy
0.027625,0.020658,1.089707,5.051068,-7.861344,-7.263562,3.502498,-1.766125,3.001136,17.15499,0.066027,7.75372,0.900329,1.604601,0.021153,0.002983,0.187832,7.797707,6.061171,4.172449,4.52299,1.070794,4.017086,1.125976,3.610345,3.543904,-0.000039,8.166444,0.001054,5.093826,happy
0.016898,0.017711,1.237368,5.016776,-8.721774,-8.679485,4.121202,-2.708588,-3.383793,25.03369,0.10359,8.766561,0.902432,0.113706,0.012921,0.001823,0.051508,11.33631,7.207931,6.541365,4.869783,0.921862,4.047724,0.789312,3.370248,4.804081,0.000002,11.90491,0.001305,5.467335,happy
0.02221,0.022479,1.251441,5.521241,-4.002367,-5.036555,4.622801,1.718518,-0.034803,16.88529,0.052491,21.16178,0.896097,1.261673,0.019552,0.002708,1.574256,10.50101,6.792746,5.69514,3.907918,1.028707,4.171635,0.877204,3.226496,3.529255,-0.000049,21.94445,0.001515,5.190337,happy
0.00787,0.007199,3.946802,24.19899,-2.531489,-1.798241,5.07496,-0.253042,-2.92918,18.20311,0.048075,26.30179,0.892734,1.502784,0.011861,0.001373,-2.179588,48.13095,4.580482,4.354863,3.779452,0.911973,4.111107,0.954813,3.675435,4.133666,0.000015,34.50732,0.000715,5.294411,happy
0.030559,0.031292,0.488346,2.490405,-7.956178,-8.745825,5.329027,1.838579,1.500281,20.71874,0.070983,18.0365,0.912941,1.092391,0.018479,0.003363,1.22925,6.578989,8.882623,5.079589,5.207953,1.34701,4.294855,1.353392,4.465435,3.780212,0.000019,20.64131,0.001337,5.06565,happy
0.010172,0.009703,1.297214,6.8109,-6.714179,-8.214574,3.521495,-0.672059,1.084841,26.42706,0.059371,6.399851,0.866885,2.042754,0.003879,0.00071,1.143304,6.235943,5.954085,4.762799,4.055737,0.649382,3.311861,0.732019,3.159775,3.256836,-0.000006,7.182048,0.000709,6.123641,happy
0.032807,0.031496,1.209558,5.437009,0.879972,-0.087046,4.228745,-17.81979,-4.9421,20.58346,0.089454,8.358287,0.89226,1.097608,0.027974,0.003947,1.612909,9.683465,5.016737,4.342816,3.940795,0.86754,4.18015,1.136692,4.090499,3.533191,0.000003,11.76596,0.00099,5.00665,happy
0.008219,0.007279,3.760732,25.55322,-3.274284,-3.11422,5.696802,1.86373,-1.271135,31.46275,0.050265,20.30789,0.864907,0.835034,0.015062,0.001433,0.722518,32.80436,7.664609,5.982476,5.317506,1.071511,5.991913,1.210797,4.717788,4.555812,-0.000003,23.64602,0.000652,5.175157,happy
0.019959,0.015383,1.084102,5.447102,-8.985709,-7.515078,3.442013,-5.225565,-0.188501,16.52112,0.099897,24.28605,0.904872,1.221047,0.01158,0.00202,1.029887,8.648149,6.15568,6.35388,4.471287,0.92889,3.988544,1.06574,4.254591,3.583372,-0.000008,19.96591,0.001205,5.591585,happy
0.018244,0.020657,3.18097,16.5851,-3.839333,-5.70317,5.36349,-1.929961,-6.425911,38.65929,0.064158,27.10226,0.90692,0.325799,0.023244,0.003078,1.044197,23.25573,9.597815,6.82155,4.852094,1.310299,4.189169,1.314168,3.96905,3.85462,0.000004,28.54423,0.001306,5.812553,happy
0.011414,0.011573,0.537315,2.74448,-11.76535,-11.62418,5.10775,-0.55237,0.276272,26.45685,0.095032,11.94129,0.89889,2.770957,0.008241,0.001581,1.047616,6.302107,6.531496,5.363703,4.143102,1.874517,4.213827,1.614272,4.115164,3.666551,-0.000006,10.6521,0.001282,5.948581,happy
0.015903,0.021656,0.377781,2.696853,-7.609962,-11.12877,3.129607,1.525416,-0.069597,13.62384,0.053421,2.949002,0.603949,14.60532,0.006006,0.000767,1.261601,9.511831,6.679725,4.76127,4.768103,0.642324,3.101545,0.80389,3.140188,3.317569,-0.000005,3.995909,0.000319,3.978407,happy
0.017709,0.00898,2.569147,11.37331,-8.531945,-6.742349,2.252563,-1.323959,-1.590471,5.264416,0.070486,5.20019,0.710847,18.46973,0.019012,0.00283,1.338504,18.05648,4.590904,4.817605,3.670993,0.667779,3.691289,0.682853,3.262475,3.58809,-0.000003,8.170305,0.000208,7.598212,happy
0.040304,0.047322,0.286079,3.882329,-8.697759,-9.916149,2.22042,-0.415092,-4.961663,23.28669,0.075961,13.77818,0.712579,5.137107,0.015234,0.002592,1.087741,6.236452,5.516323,5.754647,3.984146,0.857361,3.603248,1.162997,3.635854,3.364758,-0.000018,12.65965,0.000548,4.922698,happy
0.012326,0.012604,0.393246,2.835003,-4.212569,-4.859378,2.272177,-10.6305,-3.352571,22.06729,0.074665,3.653551,0.895761,1.133249,0.004439,0.000958,0.713881,4.10288,4.296257,3.084687,3.421519,0.71917,3.095337,0.979063,3.002707,3.296515,0,3.400361,0.000986,3.767245,happy
0.037245,0.029997,0.753978,3.045559,-8.701308,-8.701206,3.99962,-4.488536,-0.951014,22.39653,0.101233,6.914797,0.931636,2.295402,0.025179,0.003914,1.092546,7.612842,6.098262,4.235757,3.862273,1.044308,5.488959,1.490356,3.928132,3.786059,0.000024,7.3355,0.0009,4.41895,happy
0.032117,0.028054,0.798507,3.223734,-8.230521,-8.380145,3.099352,-3.670501,-2.139408,15.9568,0.084097,12.81978,0.835421,2.302725,0.017115,0.003206,1.074267,7.055897,5.205717,5.509385,4.672915,0.911369,3.34303,1.024187,3.671217,3.388033,0.000017,8.593041,0.000896,5.645303,happy
0.004806,0.001953,3.509292,28.16885,-2.284987,-3.271765,4.034464,-1.746662,-10.79576,26.1466,0.049664,45.97275,0.89234,0.039941,0.006369,0.000454,1.363654,60.80928,14.64453,9.663661,5.207429,0.563457,5.74675,0.582204,3.714238,5.13029,0.00005,59.57439,0.000574,9.608339,happy
0.008113,0.005125,1.304917,5.725051,3.21259,-1.796309,6.975699,-3.909896,-4.609423,16.09899,0.037902,50.39234,0.910435,0.21873,0.003886,0.000584,1.062746,10.62255,9.153811,5.426754,4.596745,0.607101,3.971093,0.806644,4.531014,4.0906,0,71.57509,0.00071,7.259029,happy
0.03908,0.037496,0.382959,2.127779,-11.56435,-11.08795,3.947053,0.835868,-0.160186,29.02172,0.102674,15.27437,0.839048,3.64344,0.031252,0.004237,2.611832,16.83206,9.538264,6.332361,9.564667,1.005169,3.942358,1.061401,4.60027,3.597766,-0.000002,12.36452,0.000546,9.412847,happy
0.042051,0.037695,1.537513,8.086195,-9.488311,-10.47977,3.649211,-3.806347,0.728824,26.18209,0.101011,25.39028,0.852719,1.49207,0.025584,0.004886,0.274072,6.82051,5.379083,5.664935,4.980513,0.837471,3.651365,0.893233,3.480991,3.828642,0.000023,14.86768,0.001545,4.096562,happy
0.032807,0.031496,1.209558,5.437009,0.879972,-0.087046,4.228745,-17.81979,-4.9421,20.58346,0.089454,8.358287,0.89226,1.097608,0.027974,0.003947,1.612909,9.683465,5.016737,4.342816,3.940795,0.86754,4.18015,1.136692,4.090499,3.533191,0.000003,11.76596,0.00099,5.00665,happy
0.047878,0.033449,0.379224,3.116943,-8.199062,-7.731436,3.092232,-2.876083,-1.554559,18.1003,0.088212,18.60204,0.81751,1.174572,0.015787,0.002691,1.030285,7.997566,6.070352,4.947823,4.262087,0.719701,4.975301,0.651503,3.780862,3.883614,0.00001,12.9549,0.000809,4.554439,happy
