@attribute Std_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute BeatHisto_LowPeakAmp numeric

@data

0.140801,-0.26426,10.387525,9.890617,11.320139,11.816008,0.340854,0.166409,0.292223,2.68961,0.48942,1.099613,1.815701,2.481719,0.088047,0.03453,0.054435,0.061911,0.052295,0.059798,0.064997,0.071093,0.06437,0.730211,0.107124,0.10018,0.137465,0.126504,0.140842,0.157345,0.254467,0.287744,0.078199,0.109338,0.108451,0.07355,0.077348,0.118263,0.078371,0.464743,0.076351,0.094986,0.111942,0.37235,0.048393,0.040386,0.036819,0.053078,0.055403,0.04651,0.068861,0.180542,26.962828
0.1217,-0.308449,2.200265,6.486328,7.881888,7.734603,0.498433,0.137162,0.320128,2.696264,0.498833,1.066035,1.671903,2.691097,0.119507,0.038746,0.048802,0.066294,0.071328,0.079793,0.078187,0.072711,0.0776,0.40331,0.114192,0.103231,0.121836,0.106323,0.125181,0.135597,0.255768,0.291452,0.068673,0.130299,0.101654,0.111522,0.111628,0.135274,0.131096,0.270897,0.081948,0.105334,0.124604,0.483301,0.0363,0.040202,0.033725,0.040612,0.031648,0.030936,0.038855,0.177686,42.412846
0.103348,-0.421504,2.420223,8.658734,7.361592,8.247453,0.411059,0.151062,0.282215,2.698615,0.569821,1.027275,1.879774,2.878974,0.163183,0.045255,0.085403,0.080443,0.116534,0.122459,0.084337,0.074577,0.083598,0.44955,0.101811,0.091225,0.104856,0.101346,0.12792,0.140477,0.257323,0.289769,0.062186,0.088845,0.093426,0.086859,0.138698,0.119759,0.104895,0.210634,0.076042,0.099541,0.110644,0.417545,0.033626,0.03842,0.023203,0.022129,0.029944,0.035141,0.041905,0.176711,19.797432
0.034462,1.857182,1.845385,4.868111,5.657676,7.241138,0.461815,0.083641,0.216998,2.716979,0.650307,0.974367,1.615048,2.021165,0.141572,0.075718,0.084299,0.087163,0.096488,0.074141,0.069511,0.075092,0.076603,0.240986,0.127658,0.121224,0.103719,0.108138,0.127292,0.143607,0.261007,0.293349,0.057629,0.135999,0.12494,0.106942,0.120843,0.112415,0.100552,0.086066,0.106187,0.125755,0.167486,0.361633,0.026138,0.041343,0.028482,0.029044,0.025849,0.029248,0.076173,0.184782,27.913279
0.041216,1.105952,2.173901,6.333181,6.402246,8.175386,0.454232,0.120097,0.24194,2.70107,0.578601,1.013489,2.044238,2.257476,0.133586,0.061901,0.070005,0.082426,0.07049,0.076847,0.069331,0.068872,0.074324,0.396373,0.134503,0.096088,0.101075,0.104934,0.123754,0.139447,0.259342,0.291596,0.035075,0.093973,0.136897,0.080084,0.087968,0.086058,0.078999,0.120278,0.092543,0.10237,0.1256,0.326285,0.035652,0.037845,0.028174,0.021299,0.024369,0.023574,0.032892,0.184135,14.170335
0.205323,0.316503,2.151972,7.104044,7.105431,8.472583,0.484257,0.169367,0.365432,2.642579,0.4735,1.077244,1.837837,2.427891,0.110937,0.043109,0.049598,0.050451,0.045079,0.054375,0.056485,0.060866,0.061518,0.302415,0.100501,0.094112,0.085308,0.11826,0.128233,0.141412,0.258512,0.287708,0.037131,0.079469,0.068267,0.107471,0.100614,0.088984,0.083064,0.229265,0.084789,0.09682,0.119021,0.608454,0.034769,0.039597,0.029971,0.020019,0.028669,0.027816,0.012687,0.177402,93.878557
0.180537,-1.441674,4.815433,5.3455,5.81075,7.991962,0.464694,0.201865,0.335868,2.698375,0.582033,0.885102,2.019788,2.728803,0.117302,0.03873,0.056388,0.063048,0.083485,0.0786,0.070172,0.070919,0.072263,0.297921,0.13321,0.080554,0.092832,0.100514,0.120661,0.141083,0.261563,0.29295,0.033735,0.139986,0.146646,0.130758,0.15268,0.124777,0.087547,0.349578,0.061841,0.097412,0.152562,0.39896,0.041689,0.038404,0.025132,0.019817,0.02511,0.024625,0.019526,0.180653,34.016944
0.175136,0.374377,3.54128,6.072338,6.430234,8.694182,0.3896,0.165389,0.328749,2.676979,0.609862,0.992575,1.76303,2.075597,0.124012,0.059995,0.062108,0.066472,0.067983,0.073694,0.066963,0.069282,0.073651,0.277031,0.100164,0.109986,0.102962,0.110108,0.126065,0.139194,0.254552,0.289981,0.043297,0.112279,0.078747,0.141927,0.08692,0.077484,0.082816,0.266195,0.079119,0.105687,0.113664,0.340485,0.039177,0.039826,0.028944,0.02967,0.030192,0.026994,0.030302,0.178829,16.804861
0.205425,0.351049,2.115052,6.051723,7.677691,11.093552,0.483581,0.193005,0.346953,2.704995,0.469718,0.906339,1.722947,1.701243,0.110509,0.038211,0.042612,0.053672,0.047179,0.049425,0.064955,0.0625,0.063723,0.243288,0.095869,0.098247,0.116131,0.116816,0.129907,0.145304,0.258164,0.292954,0.034166,0.069723,0.091279,0.077783,0.04805,0.05762,0.066167,0.167515,0.061129,0.092576,0.141998,0.353616,0.02965,0.032157,0.026987,0.030508,0.0257,0.022554,0.016042,0.181873,43.451926
0.244035,0.960635,2.345303,6.305338,9.764288,9.364864,0.474093,0.139233,0.319264,2.667778,0.844621,1.072371,1.900291,2.797505,0.17426,0.086133,0.069535,0.077429,0.073635,0.084831,0.088962,0.080988,0.097798,0.471557,0.098152,0.088185,0.117012,0.109215,0.128001,0.137439,0.25447,0.284077,0.053072,0.196786,0.136345,0.152295,0.126011,0.121361,0.086947,0.162886,0.072406,0.103232,0.105135,0.48184,0.036111,0.044241,0.030974,0.028186,0.024594,0.034596,0.088109,0.164961,71.617946
