@attribute mfcc_sma_de[12]_maxPos numeric
@attribute mfcc_sma_de[12]_kurtosis numeric
@attribute pcm_zcr_sma_de_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {high,nothigh}

@data

0.031479,2.041733,1.48141,-11.22688,5.059181,42.16323,-20.80022,-1.606718,28.67315,37.24218,45.86635,-31.1033,-18.63213,0.007864,-0.000002,0.08304,0.956903,3.445287,0.784446,434,7.676767,-3.420219,-0.0037,0.479356,5.592555,7.457543,5.141073,582,3.937654,4.36817,3.63495,5.579595,10.05298,3.639544,324,4.285293,0.03902,-0.045251,0.000028,6.193137,0.117931,5.245335,635,high
0.021181,-4.740038,-4.062213,-10.24076,2.51074,31.84578,-13.76566,-1.520848,14.20277,26.00058,34.2239,-16.41941,-13.99328,0.010284,0.000001,0.071938,0.419389,3.043165,0.725292,2620,6.664402,-2.692787,-0.002589,0.41137,5.504795,6.976317,5.386094,2938,3.224721,3.881379,3.383618,4.557715,8.574369,3.618054,1225,3.102396,0.027344,-0.030188,0.000002,4.817778,0.109279,5.904459,339,high
0.015631,-4.821911,-3.790273,-15.12578,-1.730461,32.32269,-20.51224,-2.344657,22.99958,34.83742,42.51202,-13.61297,-15.65294,0.012099,0.000002,0.07385,3.634232,21.0086,0.766372,2687,14.73858,-4.435857,-0.000215,0.289516,7.030383,5.352659,4.22842,2878,3.479009,3.17237,4.005507,4.914054,9.366019,3.840595,635,3.275343,0.067332,-0.066848,0.000001,20.30321,0.102623,4.825277,2720,high
0.023006,-6.166505,-5.519205,-11.21747,3.505491,20.2421,-10.4516,-0.572743,12.62135,23.15842,25.49736,-14.64787,-15.08942,0.027223,-0.000005,0.128442,0.733112,6.851075,0.504,2008,70.06915,-1.98288,-0.002857,0.283488,3.943711,7.419625,4.776973,874,3.364237,4.33029,3.513155,3.085204,6.34581,3.014593,666,3.317674,0.077556,-0.090926,-0.000008,11.92013,0.102169,5.270749,2051,high
0.017206,-9.015847,-12.00403,-13.30591,-0.582296,29.85105,-18.84653,0.165549,23.23477,32.02308,36.31903,-14.06565,-12.93752,0.006655,0.000004,0.062241,0.579755,3.290232,0.629861,1685,7.771618,-2.497441,0.001135,0.395172,3.529551,4.649734,2.932492,2695,2.87546,4.274691,2.946968,5.016665,9.76527,3.112792,2701,3.189201,0.039625,-0.037326,-0.000016,5.174147,0.101931,3.379894,12,high
0.007936,3.153658,9.603425,-20.10524,-5.918972,27.04241,-9.97997,2.026179,21.90136,37.34488,35.87539,-15.38479,-23.7318,0.00363,0.000003,0.015913,2.694678,16.1589,0.803349,2245,4.016982,-6.062929,-0.004282,1.402453,4.614166,7.478566,3.109196,2775,3.470198,5.137133,3.677107,5.748205,10.80762,3.70819,866,4.234937,0.022505,-0.028857,0.000003,12.15778,0.144164,3.840548,2385,high
0.055841,-8.470365,1.440033,-17.30286,-7.020931,28.08866,-23.55951,-6.567899,34.7588,40.98782,37.82954,-15.46507,-13.90822,0.010284,-0.000001,0.099758,2.009308,9.303312,0.781852,161,18.87582,-4.409465,-0.004333,0.311161,6.347022,5.09593,4.176711,1424,2.832263,3.472154,3.219006,4.031044,7.569837,3.158484,855,3.267264,0.048578,-0.056987,0.000023,14.24249,0.090131,5.673183,808,high
0.020084,-3.557208,-4.44803,-14.65826,6.206819,39.43145,-16.88246,2.390349,24.47535,27.93576,31.42316,-18.69388,-13.68773,0.006655,-0.000025,0.105578,1.280848,4.266246,0.671826,2204,15.22818,-4.487217,-0.000274,0.638111,6.035856,8.483065,5.029624,2721,3.619121,4.053259,3.514085,3.741984,7.963118,3.467517,1156,3.337582,0.037387,-0.053297,-0.000026,8.676201,0.132006,5.098393,276,high
0.005525,-4.07888,-3.933151,-17.26161,-1.61389,24.34092,-14.09885,0.451051,20.03021,30.74337,34.55851,-16.86033,-18.79848,0.013309,-0.000009,0.081675,3.821721,21.33575,0.745703,2559,21.04851,-4.599112,0.001043,0.82595,5.739794,8.3174,4.509613,1204,3.179873,4.211011,3.289007,4.910655,9.067598,3.542098,1361,3.578463,0.093103,-0.073563,-0.000008,23.45616,0.113065,5.933677,45,high
0.011132,7.080317,7.435305,-8.615494,4.229841,32.83768,-16.76418,-2.197739,25.62585,29.89713,38.82895,-29.13613,-13.05222,0.00605,0,0.030524,3.521374,24.48705,0.562978,189,9.00139,-7.11626,0.002685,0.854869,5.605577,6.382781,4.126265,1461,3.70013,4.319248,3.818841,3.749708,8.931595,3.675396,223,3.505865,0.035753,-0.031034,0.000007,8.518057,0.077369,4.463421,2101,high
