@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_range numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {high,nothigh}

@data

0.002145,0.020645,-32.69433,9.073628,-5.022316,-17.57511,27.1343,-6.973816,15.82338,0.072468,-18.59582,3.744511,12.73044,0.022989,0.355717,154,0.688368,4.576771,0.014828,53.87274,2477,9.743961,0.000005,0.382905,4.079068,6.802222,303,3.729285,3.511204,151,0.037427,3.057194,4.686935,8.115228,2.960041,-0.055112,-0.000005,8.220129,0.090514,0.205357,4.823239,high
0.005841,0.031102,-21.11986,17.60545,3.209668,-21.85599,30.74532,0.335604,19.99004,0.025811,-18.1399,4.710796,15.26328,0.010284,0.369026,221,0.84267,3.665023,0.02334,45.25019,2625,6.625654,-0.000008,0.792136,3.932873,8.978991,1530,4.042955,3.879112,470,-0.045331,3.702396,3.998823,7.980837,4.314778,-0.058258,0.000034,5.01982,0.116895,0.300221,6.08211,high
0.0084,0.042598,-27.27233,9.05928,-2.746531,-3.804951,21.61355,8.280797,15.57576,0.350752,-4.548786,3.427405,12.50116,0.00363,0.298246,2644,0.884866,2.888843,0.002574,0,1138,4.003702,-0.000004,0.939539,5.449964,7.340151,2,3.576796,4.167168,499,0.265037,3.862136,4.161246,7.841164,3.660926,-0.035088,-0.000069,7.229354,0.055703,0.136436,4.975357,high
0.0084,0.042598,-27.27233,9.05928,-2.746531,-3.804951,21.61355,8.280797,15.57576,0.350752,-4.548786,3.427405,12.50116,0.00363,0.298246,2644,0.884866,2.888843,0.002574,0,1138,4.003702,-0.000004,0.939539,5.449964,7.340151,2,3.576796,4.167168,499,0.265037,3.862136,4.161246,7.841164,3.660926,-0.035088,-0.000069,7.229354,0.055703,0.136436,4.975357,high
0.005071,0.004718,-12.91818,0.935385,-34.10191,-16.06198,30.0177,0.364815,38.87192,-0.268189,-16.68351,4.614399,19.01993,0.024803,0.14882,100,0.126827,1.963784,0.010589,281.0069,2853,14.57255,-0.000003,0.466487,8.209207,6.837135,1399,3.880756,3.452363,22,-0.309941,4.178881,4.354401,9.774778,5.075709,-0.019359,-0.000018,3.89682,0.087887,0.230591,4.105202,high
0.001179,0.005565,-21.65342,11.37801,-2.879509,-13.46575,33.70451,-2.595432,24.42278,-0.098172,-20.72043,4.934705,4.636395,0.010889,0.425287,591,5.394915,36.29987,0.013581,9.092501,595,9.705596,0.000001,0.388868,8.011799,8.165274,1129,5.554117,5.295216,1835,0.001067,3.882065,2.838152,6.216978,4.280882,-0.081004,0.000006,36.62425,0.105089,0.23622,6.993149,high
0.000256,0.006733,-18.21503,15.86835,-9.400303,-16.50426,28.87194,-2.09044,16.73784,0.023771,-24.43463,6.843423,12.06926,0.009074,0.298851,272,1.976331,6.973874,0.014601,111.2181,2878,6.760784,-0.000005,0.469232,7.149436,6.221731,2814,4.436656,4.577339,1149,-0.15772,5.510155,3.695031,9.801522,2.852496,-0.031034,-0.000049,12.42184,0.094276,0.194343,4.379102,high
0.003547,0.01269,-12.66156,16.72446,-7.952434,-25.44753,47.44726,11.00617,31.89075,-0.031482,-10.0368,3.979125,23.57378,0.004235,0.166364,2091,0.862691,2.845267,0.013316,-5.61996,2093,4.957283,0.000001,1.692135,4.472415,11.07755,2087,4.610036,4.107422,1403,0.154327,3.044699,5.557154,10.14451,3.803251,-0.02801,0.000009,6.617036,0.137076,0.278821,4.923487,high
0.001926,0.036313,-21.9408,17.21321,3.687254,-12.85318,49.68596,-2.386776,22.7612,0.09414,-18.27637,4.876641,8.980569,0.007864,0.357532,2306,0.378881,2.759407,0.024621,47.93245,2296,7.483535,-0.000005,0.685594,4.844272,7.793001,2273,4.969206,5.611438,2380,0.09686,3.795288,3.735329,8.895145,3.587267,-0.075318,0.000032,6.316208,0.163754,0.337234,6.28245,high
0.00372,0.0246,-20.58971,5.406803,-9.433257,-22.35235,37.70349,0.913249,28.3985,0.192435,-16.58606,5.370698,12.3454,0.00726,0.30127,730,1.243793,7.022552,0.022049,45.69126,799,10.55638,0.000004,0.47378,8.610236,7.891134,733,4.983843,4.016361,196,-0.053412,3.656932,5.836322,10.48304,3.962739,-0.062674,0.000024,14.52226,0.110211,0.260951,4.726288,high
