@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {high,nothigh}

@data
0.7405,0.267615,133.8715,0.14509,0.041063,1.857743,393.024,high
0.527374,1.14463,404.617,0.761927,0.008043,0.319979,1337.807,high
0.679063,1.145988,136.7076,1.04444,0.040461,0.480336,595.4442,high
0.626363,0.81434,162.0618,0.783607,0.012809,0.563516,1080.631,high
0.599828,1.081102,357.7534,1.327272,0.046619,0.313096,888.7677,high
0.776535,1.279719,55.82822,0.451216,0.042397,0.306429,403.3609,high
0.534603,0.317582,679.5258,2.522558,0.021322,1.105963,809.2584,high
1.173196,0.168843,65.9741,0.10899,0.171337,4.77777,160.0114,high
0.666171,0.595505,104.7421,0.392941,0.042828,0.482789,390.9108,high
0.493893,0.916678,172.6418,0.753154,0.011777,0.232856,1201.276,high
0.642786,1.183742,66.37022,0.455424,0.025477,0.341738,573.3811,high
0.84954,0.922218,146.1788,0.703088,0.08975,0.466499,254.8116,high
0.641741,0.888381,431.8818,2.156643,0.08782,1.994279,713.0566,high
0.634578,1.095027,229.7531,1.124463,0.075374,0.628171,620.5279,high
0.789623,0.902233,436.8039,1.268375,0.058658,1.498479,509.8681,high
0.623884,1.191731,196.1678,0.499967,0.015454,0.386343,630.0223,high
0.564389,1.054562,108.4604,0.47496,0.009359,0.176497,717.2686,high
0.492987,1.008522,118.3456,0.486221,0.004668,0.126332,1159.8,high
0.693596,0.924837,234.7302,1.365634,0.099414,0.624428,519.0201,high
0.767376,0.803162,314.5376,1.670176,0.04866,1.828601,437.6289,high
0.748489,1.3372,278.8262,0.922087,0.011336,0.156298,439.3086,high
0.577906,1.391775,46.5957,0.437435,0.006135,0.141988,833.7766,high
0.827565,1.13016,241.7206,0.867247,0.105337,0.496982,565.7095,high
0.749311,0.854178,55.96256,0.247285,0.042041,0.352549,359.5417,high
0.469908,0.648566,300.827,0.897861,0.04882,0.851998,396.0969,high
0.623736,1.213035,587.6895,2.759461,0.095149,1.260359,893.1215,high
0.625009,1.01102,91.17944,0.446401,0.008356,0.192889,599.5087,high
0.673482,0.895055,102.9647,0.405707,0.014892,0.260829,662.3799,high
0.441526,1.123997,157.5475,1.17659,0.010274,0.174748,1462.256,high
0.641659,1.125313,1124.142,2.034936,0.044884,3.06907,766.9096,high
0.47956,0.560094,81.7785,0.303393,0.020466,0.297906,343.4939,high
0.492536,0.969224,66.99298,0.425774,0.005571,0.186407,1310.579,high
0.516607,1.378778,252.98,0.778145,0.009915,0.31138,979.7769,high
0.664062,1.150942,67.17412,0.180799,0.024358,0.173105,415.0356,high
0.458236,0.462395,457.2705,1.162636,0.025362,0.862994,899.2566,high
0.714009,0.916054,137.1801,0.54636,0.040339,0.665105,524.2406,high
0.541677,1.019839,67.89347,0.347775,0.010469,0.195466,732.5132,high
0.561774,0.797585,401.6751,1.525429,0.026522,0.390143,675.1852,high
1.144711,0.960806,223.2244,1.156041,0.17002,0.512946,229.3195,high
0.958146,0.820985,214.8992,0.536506,0.076955,0.87129,295.144,high
0.723192,1.139206,167.313,0.668779,0.033582,0.253159,610.0531,high
0.667353,0.743034,326.3438,1.302693,0.062663,0.888053,674.6178,high
0.557229,1.201714,299.9014,1.03946,0.012679,0.467854,1045.786,high
0.459482,1.148466,137.1417,0.359239,0.004352,0.146117,1613.829,high
0.522346,1.180484,324.2888,0.76386,0.045631,0.849348,723.5243,high
1.365321,1.023476,165.1901,0.937753,0.13794,1.893157,222.101,high
0.731188,0.701465,178.0843,0.775638,0.133428,0.852056,478.5357,high
0.952909,0.899693,498.1113,1.6605,0.392211,2.112787,567.0136,high
0.673781,1.122658,258.5313,1.09408,0.034042,0.854125,741.115,high
0.778183,1.097357,267.5143,1.376803,0.160023,1.19628,814.1057,high
0.603986,1.242818,518.9048,2.002929,0.098078,1.435698,1196.673,high
0.569902,1.304499,51.54609,0.326999,0.00242,0.097075,1264.035,high
0.704398,0.963291,232.4342,1.162056,0.023174,0.679187,613.8049,high
0.698154,0.825259,207.8199,0.751377,0.032549,0.538433,480.1267,high
0.554449,1.085794,213.0082,0.939853,0.017704,0.330357,980.9958,high
0.637434,1.136794,160.7328,0.921238,0.022822,0.485779,727.2514,high
0.472332,0.6094,225.4319,0.744366,0.015328,0.612709,880.0909,high
0.793858,0.76871,204.7975,0.728902,0.220872,0.815692,418.49,high
0.642907,0.966625,78.32614,0.846018,0.023153,0.729143,500.4987,high
0.673835,0.927552,189.4968,0.971822,0.044816,0.667146,442.5963,high
0.60937,1.138099,138.7554,0.637938,0.029722,0.350148,863.7398,high
1.025169,0.601242,277.7351,1.31167,0.20836,2.01292,138.2375,high
0.905189,0.458233,147.8607,0.490932,0.186192,1.996904,221.5767,high
0.614246,0.681677,209.1645,0.478436,0.027775,0.628212,546.7315,high
0.488596,0.829961,424.9308,2.357672,0.047436,0.423999,959.9404,high
1.119779,0.494862,146.1436,0.231961,0.259415,1.949684,190.3703,high
0.496615,1.181655,337.373,1.542517,0.008967,0.379743,1148.172,high
0.748864,0.83042,201.979,0.557631,0.117151,0.473769,423.2021,high
0.509205,1.063157,99.31279,0.665228,0.018143,0.496973,1031.338,high
0.691546,1.274914,117.8826,0.435549,0.022945,0.201383,486.7113,high
0.513789,1.228699,98.09365,0.43809,0.005863,0.21928,836.5396,high
0.819777,1.146555,393.5104,2.455816,0.059819,1.047943,400.3589,high
0.825391,1.391463,540.3619,1.0608,0.116467,2.615852,346.4124,high
0.53404,0.940519,20.715,0.096126,0.003458,0.061457,1389.088,high
0.70577,0.566475,76.86905,0.619132,0.026445,0.762669,268.5792,high
0.562723,0.786431,130.3892,0.413106,0.017345,0.269256,783.6777,high
0.540245,1.004699,37.82161,0.136736,0.020765,0.203203,492.2225,high
0.627212,0.802908,58.92918,0.230255,0.019348,0.597863,527.3094,high
0.666328,1.19392,264.7676,1.241783,0.044751,0.764343,826.7912,high
0.505897,0.588263,307.9771,1.294706,0.024348,0.923683,480.2458,high
0.915613,0.304535,43.11796,0.112698,0.123133,1.586068,258.7341,high
0.885888,0.593831,66.08345,0.70483,0.059934,0.785163,181.6252,high
0.698408,1.032607,142.5428,0.310887,0.034777,0.506995,527.78,high
0.835953,0.869206,415.5001,1.651467,0.139995,1.439253,509.2326,high
0.691868,1.041102,95.64177,0.411206,0.010653,0.253582,674.516,high
0.576906,0.60038,511.6447,0.562921,0.015006,1.068361,1050.657,high
0.753429,0.726879,121.0202,0.296111,0.069658,0.685693,357.4386,high
0.672273,0.792958,128.9108,0.538542,0.04313,0.611024,378.6128,high
1.093085,0.812692,286.1268,1.249349,0.214091,1.300309,260.2091,high
