@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric

@data
2.3474,0.357907,0.201237,0.182116,0.015759,0.078642,0.081634,0.24251,0.555113
1.716771,0.477621,0.215064,0.168789,0.022923,0.118803,0.124222,0.33542,0.56253
0.808808,0.450251,0.194973,0.163891,0.024119,0.097957,0.171102,0.154665,0.566246
1.185002,0.444575,0.234447,0.220597,0.033434,0.074739,0.070566,0.133285,0.579469
1.715334,0.480128,0.179493,0.168226,0.023252,0.129212,0.148115,0.424493,0.569481
1.715334,0.480128,0.179493,0.168226,0.023252,0.129212,0.148115,0.424493,0.569481
1.715334,0.480128,0.179493,0.168226,0.023252,0.129212,0.148115,0.424493,0.569481
1.216146,0.45815,0.239967,0.215381,0.031413,0.07727,0.084894,0.241646,0.553477
1.147881,0.567379,0.213756,0.227448,0.062541,0.125792,0.126603,0.458175,0.5737
1.366362,0.557019,0.227728,0.179796,0.020713,0.083285,0.21294,0.186453,0.538629
1.366362,0.557019,0.227728,0.179796,0.020713,0.083285,0.21294,0.186453,0.538629
1.366362,0.557019,0.227728,0.179796,0.020713,0.083285,0.21294,0.186453,0.538629
0.963583,0.471704,0.222735,0.22103,0.038324,0.106264,0.113693,0.295518,0.559582
1.055519,0.460808,0.177587,0.148589,0.018281,0.118149,0.111102,0.214062,0.550454
1.055519,0.460808,0.177587,0.148589,0.018281,0.118149,0.111102,0.214062,0.550454
1.055519,0.460808,0.177587,0.148589,0.018281,0.118149,0.111102,0.214062,0.550454
0.970552,0.394315,0.228453,0.229439,0.042788,0.099732,0.118513,0.254457,0.646792
0.970552,0.394315,0.228453,0.229439,0.042788,0.099732,0.118513,0.254457,0.646792
0.970552,0.394315,0.228453,0.229439,0.042788,0.099732,0.118513,0.254457,0.646792
1.255157,0.457616,0.232644,0.20065,0.029692,0.104164,0.115185,0.240688,0.60649
1.255157,0.457616,0.232644,0.20065,0.029692,0.104164,0.115185,0.240688,0.60649
3.309802,0.492216,0.217999,0.158132,0.015076,0.105604,0.072609,0.143486,0.57157
1.154476,0.476179,0.231466,0.193287,0.027938,0.125974,0.144871,0.133007,0.559849
1.154476,0.476179,0.231466,0.193287,0.027938,0.125974,0.144871,0.133007,0.559849
0.610144,0.405132,0.198252,0.184562,0.021645,0.134957,0.115265,0.180186,0.54415
1.179754,0.488563,0.22554,0.235832,0.06855,0.073762,0.089741,0.247441,0.546313
2.0368,0.519298,0.199004,0.206338,0.028075,0.129377,0.125415,0.26894,0.566997
2.0368,0.519298,0.199004,0.206338,0.028075,0.129377,0.125415,0.26894,0.566997
1.154372,0.457131,0.257269,0.206353,0.069084,0.146181,0.128946,0.311276,0.591386
1.154372,0.457131,0.257269,0.206353,0.069084,0.146181,0.128946,0.311276,0.591386
0.250308,0.423888,0.195276,0.183136,0.031257,0.128184,0.129821,0.259397,0.564705
0.250308,0.423888,0.195276,0.183136,0.031257,0.128184,0.129821,0.259397,0.564705
1.188291,0.412068,0.201585,0.187839,0.022,0.069533,0.079615,0.160146,0.631769
1.659545,0.451909,0.232941,0.206859,0.037647,0.085273,0.119437,0.203238,0.56902
0.912145,0.447098,0.241592,0.214254,0.049293,0.172022,0.261354,0.21995,0.614379
1.019169,0.435003,0.211914,0.202527,0.037837,0.106462,0.115868,0.205395,0.584653
1.019169,0.435003,0.211914,0.202527,0.037837,0.106462,0.115868,0.205395,0.584653
1.019169,0.435003,0.211914,0.202527,0.037837,0.106462,0.115868,0.205395,0.584653
1.019169,0.435003,0.211914,0.202527,0.037837,0.106462,0.115868,0.205395,0.584653
1.019169,0.435003,0.211914,0.202527,0.037837,0.106462,0.115868,0.205395,0.584653
1.019169,0.435003,0.211914,0.202527,0.037837,0.106462,0.115868,0.205395,0.584653
1.233882,0.572496,0.17133,0.178064,0.017364,0.118376,0.204799,0.217071,0.574644
0.341087,0.431621,0.191548,0.1907,0.021852,0.068844,0.109287,0.095119,0.570851
1.583612,0.410056,0.202579,0.187636,0.024292,0.134677,0.08977,0.258889,0.570382
1.1856,0.57996,0.251916,0.241775,0.067065,0.115866,0.134942,0.418734,0.558666
1.739474,0.493459,0.230879,0.193683,0.048038,0.088864,0.109727,0.340096,0.569513
0.574936,0.363938,0.200765,0.186532,0.043386,0.076023,0.071921,0.136818,0.49673
0.589078,0.439818,0.217674,0.189216,0.040224,0.102745,0.128364,0.186598,0.500593
0.719022,0.486293,0.213872,0.183088,0.028932,0.117386,0.145588,0.300483,0.577284
0.719022,0.486293,0.213872,0.183088,0.028932,0.117386,0.145588,0.300483,0.577284
0.719022,0.486293,0.213872,0.183088,0.028932,0.117386,0.145588,0.300483,0.577284
0.719022,0.486293,0.213872,0.183088,0.028932,0.117386,0.145588,0.300483,0.577284
2.317269,0.525862,0.237031,0.195063,0.022248,0.102966,0.18717,0.337528,0.558107
2.317269,0.525862,0.237031,0.195063,0.022248,0.102966,0.18717,0.337528,0.558107
1.227981,0.424206,0.216948,0.193434,0.035746,0.114157,0.152851,0.434344,0.558261
1.227981,0.424206,0.216948,0.193434,0.035746,0.114157,0.152851,0.434344,0.558261
1.227981,0.424206,0.216948,0.193434,0.035746,0.114157,0.152851,0.434344,0.558261
0.368136,0.386714,0.238764,0.189528,0.024894,0.128969,0.066167,0.167515,0.571502
0.95291,0.402182,0.240207,0.201611,0.041926,0.078362,0.092278,0.129055,0.670926
0.95291,0.402182,0.240207,0.201611,0.041926,0.078362,0.092278,0.129055,0.670926
0.95291,0.402182,0.240207,0.201611,0.041926,0.078362,0.092278,0.129055,0.670926
1.125304,0.465488,0.199942,0.183597,0.032343,0.132492,0.11265,0.33501,0.55695
1.353992,0.488489,0.205062,0.197881,0.022564,0.116964,0.157374,0.211358,0.542985
1.527312,0.436948,0.217837,0.191775,0.028765,0.078399,0.087543,0.100122,0.62434
0.919826,0.502605,0.200208,0.209314,0.033153,0.099525,0.094622,0.230926,0.565382
0.919826,0.502605,0.200208,0.209314,0.033153,0.099525,0.094622,0.230926,0.565382
0.907433,0.495177,0.225395,0.19901,0.038238,0.116814,0.093977,0.267496,0.590745
0.566989,0.439036,0.209229,0.195549,0.034771,0.091629,0.089031,0.310403,0.564421
1.093482,0.463289,0.195248,0.204979,0.043969,0.078692,0.119538,0.407631,0.570489
2.895658,0.46257,0.213483,0.20576,0.020774,0.095045,0.078418,0.116419,0.562038
1.346923,0.423836,0.196103,0.178866,0.024173,0.090047,0.077828,0.148471,0.596377
1.346923,0.423836,0.196103,0.178866,0.024173,0.090047,0.077828,0.148471,0.596377
1.663555,0.47367,0.212577,0.198334,0.045422,0.064234,0.062878,0.225198,0.670663
1.663555,0.47367,0.212577,0.198334,0.045422,0.064234,0.062878,0.225198,0.670663
1.663555,0.47367,0.212577,0.198334,0.045422,0.064234,0.062878,0.225198,0.670663
0.842928,0.421787,0.22105,0.191795,0.023852,0.117593,0.083842,0.142726,0.552116
0.842928,0.421787,0.22105,0.191795,0.023852,0.117593,0.083842,0.142726,0.552116
0.842928,0.421787,0.22105,0.191795,0.023852,0.117593,0.083842,0.142726,0.552116
0.842928,0.421787,0.22105,0.191795,0.023852,0.117593,0.083842,0.142726,0.552116
1.774118,0.475562,0.263755,0.212856,0.04367,0.09617,0.073465,0.22021,0.679439
1.873275,0.368014,0.200379,0.1996,0.024576,0.097306,0.062939,0.154653,0.572441
2.835477,0.477817,0.227316,0.224316,0.034164,0.086733,0.133163,0.337192,0.559792
1.299031,0.427418,0.215006,0.194866,0.028495,0.109173,0.19648,0.236124,0.620315
0.962124,0.448724,0.183348,0.133931,0.019963,0.119841,0.23629,0.366253,0.533017
0.962124,0.448724,0.183348,0.133931,0.019963,0.119841,0.23629,0.366253,0.533017
0.962124,0.448724,0.183348,0.133931,0.019963,0.119841,0.23629,0.366253,0.533017
1.289815,0.535604,0.200651,0.189064,0.028038,0.064719,0.162349,0.157778,0.573719
1.289815,0.535604,0.200651,0.189064,0.028038,0.064719,0.162349,0.157778,0.573719
0.043497,0.467896,0.235375,0.198757,0.044355,0.084856,0.149187,0.245534,0.563933
1.089094,0.590143,0.21752,0.214382,0.039151,0.119514,0.139729,0.227908,0.553611
-0.131584,0.479327,0.237145,0.215422,0.033818,0.115348,0.114708,0.335404,0.621454
0.85983,0.517096,0.213375,0.216665,0.030458,0.09353,0.102316,0.237674,0.553826
1.582919,0.431247,0.180881,0.161114,0.033081,0.097339,0.142925,0.220974,0.575114
-0.3027,0.464684,0.22708,0.220558,0.053607,0.142014,0.091951,0.279846,0.543945
-0.3027,0.464684,0.22708,0.220558,0.053607,0.142014,0.091951,0.279846,0.543945
1.049621,0.575163,0.24675,0.22747,0.054196,0.099552,0.145148,0.389323,0.613315
