@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
0.957557,0.393198,0.197264,0.177429,0.027102,0.121735,0.129314,0.187402,0.529858,51.73104,3.151563,1.079172,0.928426,0.579442,0.87569,0.140277,155.2047,7.080297,566.0012,2.64357,0.071911,0.101048,0.24398,0.000415,0.012046,18107.48,2.504889,0,0.86285,0.103979,0,0.118419,0.003359,326.354,226228.4,nostalgic
1.410653,0.398591,0.225985,0.199505,0.043495,0.086771,0.080761,0.328283,0.576644,62.15244,4.391582,1.359846,0.702358,0.740251,0.896792,0.106991,68.43577,5.14719,99.73099,0.392873,0.014836,0.157953,0.416177,0.00016,0.007097,2334.241,0.865453,0,0.649135,0.083035,0,0.227911,0.005973,474.5242,95628.33,nostalgic
1.391628,0.408846,0.225537,0.198437,0.026628,0.091964,0.08608,0.159823,0.56354,67.94062,4.629351,1.347301,0.836511,0.951337,0.89722,0.097694,93.82027,5.904164,190.7658,0.840884,0.023362,0.097809,0.231502,0.000188,0.006393,5311.126,0.732759,0,0.830892,0.119269,0,0.140604,0.00507,326.6114,41291.87,nostalgic
1.068231,0.442324,0.205979,0.184819,0.027593,0.087523,0.106397,0.276748,0.542008,103.3226,5.509696,1.323322,0.619818,1.578393,0.894382,0.126523,148.4693,7.137929,1760.514,3.943728,0.032382,0.040004,1.702134,0.00028,0.009613,11534.7,1.493297,0,0.960719,0.094514,0,0.037763,0.001942,380.7184,41693.54,nostalgic
1.715469,0.441261,0.199917,0.1837,0.025658,0.101477,0.099208,0.248712,0.55527,79.69544,4.869409,1.37668,0.542606,0.651035,0.873545,0.071144,32.10241,5.30056,258.2692,1.34547,0.028664,0.0231,0.026964,0.000273,0.007524,1101.739,0.492081,0,0.795606,0.097612,0,0.162726,0.004709,937.788,84183.71,nostalgic
1.419309,0.401373,0.204554,0.18991,0.028684,0.126228,0.099311,0.248452,0.555231,73.70038,4.432013,1.280658,0.703378,0.931622,0.895983,0.114645,94.47524,6.249221,113.7657,0.497706,0.012826,0.04782,0.18459,0.000171,0.009311,5166.261,0.491007,0,0.982024,0.084584,0,0.017665,0.002219,352.1868,25699.56,nostalgic
0.564888,0.381027,0.184392,0.190881,0.028015,0.062511,0.085584,0.148024,0.611396,72.17335,4.880401,1.374076,0.763258,1.029236,0.902716,0.112893,65.37017,5.808719,206.2827,1.127577,0.024481,0.071995,0.234464,0.000113,0.006374,2405.98,0.556235,0,0.986684,0.097247,0,0.013147,0.003058,366.7553,51717.62,nostalgic
2.800998,0.432477,0.220602,0.175371,0.023113,0.108821,0.085043,0.206139,0.547189,63.76817,3.86948,1.165587,0.891016,0.687147,0.866699,0.078746,118.0244,7.024818,1102.458,3.564361,0.072142,0.2781,0.346793,0.000497,0.004156,8986.022,2.341587,0,0.962051,0.122167,0,0.036534,0.001773,341.6734,126689.7,nostalgic
1.040071,0.415824,0.230064,0.202614,0.03857,0.080881,0.11155,0.311121,0.562419,83.594,5.69771,1.481663,0.596092,0.917008,0.898968,0.08412,58.99791,5.316268,220.1193,1.123347,0.021114,0.030878,0.104905,0.000161,0.006171,2349.699,0.3954,0,0.92743,0.095611,0,0.067348,0.002601,735.6787,194500.9,nostalgic
2.22799,0.343221,0.207991,0.135184,0.009246,0.135069,0.109438,0.15518,0.575702,41.02065,2.368874,0.923202,1.143048,0.452468,0.829084,0.067122,59.75738,9.221183,336.6114,0.416697,0.023926,0.1271,0.212327,0.000682,0.004479,1064.083,9.495582,0,0.874834,0.080577,0,0.109573,0.001554,171.8573,2837.169,nostalgic
