@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
0.20675,0.201116,0.030695,0.112918,0.128899,0.11828,0.051024,67.41682,4.340852,1.30097,0.609438,0.524349,0.886239,0.100729,147.1297,5.795792,526.2638,1.705292,0.037762,0.086049,0.115719,0.000264,0.008402,14038.61,1.00251,0,0.852863,0.079907,0,0.125571,0.00211,513.8632,206005.7,nostalgic
0.214296,0.204423,0.029941,0.107363,0.108132,0.09769,0.027498,89.40012,5.820655,1.493996,0.572374,0.918073,0.894936,0.121498,88.78147,5.273918,176.1102,0.556663,0.011416,0.027475,0.05321,0.000139,0.010659,6122.067,0.29486,0,0.924767,0.147195,0,0.069619,0.003307,939.8599,173598.8,nostalgic
0.207991,0.135184,0.009246,0.169871,0.165954,0.135069,0.012965,41.02065,2.368874,0.923202,1.143048,0.452468,0.829084,0.067122,59.75738,9.221183,336.6114,0.416697,0.023926,0.1271,0.212327,0.000682,0.004479,1064.083,9.495582,0,0.874834,0.080577,0,0.109573,0.001554,171.8573,2837.169,nostalgic
0.218291,0.199657,0.023516,0.118039,0.100431,0.0919,0.024408,116.3702,6.672797,1.50034,0.478437,1.489071,0.901497,0.121294,83.50032,5.988115,147.1275,0.31458,0.002814,0.00573,0.181124,0.000047,0.007825,3422.804,0.208938,0,0.953396,0.144893,0,0.044462,0.003606,947.5467,34862.7,nostalgic
0.199917,0.1837,0.025658,0.131578,0.108688,0.101477,0.036841,79.69544,4.869409,1.37668,0.542606,0.651035,0.873545,0.071144,32.10241,5.30056,258.2692,1.34547,0.028664,0.0231,0.026964,0.000273,0.007524,1101.739,0.492081,0,0.795606,0.097612,0,0.162726,0.004709,937.788,84183.71,nostalgic
0.23156,0.190296,0.02968,0.109509,0.135581,0.066939,0.025875,80.2144,5.127237,1.38708,0.71872,1.031834,0.902467,0.214742,135.5778,5.717236,400.6324,1.841514,0.03414,0.028947,0.245358,0.000102,0.018996,15067.02,0.750846,0,0.826232,0.108749,0,0.143669,0.005127,583.1913,134288.6,nostalgic
0.216104,0.184246,0.0228,0.123627,0.132336,0.077779,0.015612,49.76767,3.346422,1.17456,0.79292,0.420442,0.899441,0.068294,28.16523,5.843999,113.4213,0.516121,0.014509,0.081266,0.105894,0.000156,0.005865,584.6727,0.587441,0,0.268975,0.026563,0,0.196758,0.002595,117.5404,2959.231,nostalgic
0.198151,0.181775,0.023899,0.162371,0.102719,0.079732,0.032568,58.04901,4.312326,1.338964,0.679871,0.509404,0.89607,0.131451,126.2001,5.175335,199.7037,0.732106,0.018797,0.028751,0.142594,0.000155,0.005264,7324.273,0.380757,0,0.63249,0.056699,0,0.232601,0.003201,311.2608,49432.43,nostalgic
0.22843,0.224666,0.032986,0.103105,0.101525,0.095399,0.019457,66.95606,3.828849,1.181996,0.812911,0.971251,0.883205,0.04358,39.45431,7.117938,111.3241,0.846328,0.029896,0.176401,0.078143,0.000326,0.003836,1867.337,1.175681,0,0.994008,0.110765,0,0.00596,0.002219,376.5351,43826,nostalgic
0.210091,0.211045,0.034667,0.129973,0.119075,0.074748,0.024663,81.94475,5.471306,1.447699,0.64685,0.881428,0.897245,0.095982,73.81498,5.53154,231.1646,1.650152,0.037531,0.041389,0.070874,0.000154,0.006167,3730.007,0.656903,0,0.988016,0.118587,0,0.011848,0.001904,729.4577,604865.8,nostalgic
