@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_minPos numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_maxPos numeric
@attribute pcm_zcr_sma_maxPos numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute output {nostalgic,notnostalgic}

@data
-1.113691,2350,-0.001258,4.036619,1558,1513,0.000003,0.002154,5.203238,-0.000001,0.420408,1866,-0.000566,0.082435,794,0.911867,nostalgic
-4.67594,2878,0.000408,3.258904,1761,1455,0.000007,-0.004028,6.705362,0,0.484605,1418,-0.000045,1.08762,1536,1.022397,nostalgic
-10.60824,715,0.000324,3.551343,2921,994,0.000004,0.003392,6.191473,0.000001,0.474872,913,0.000702,0.170795,1667,0.95991,nostalgic
-7.494327,988,-0.000147,2.881612,2101,767,0.000002,-0.001138,5.553827,0.000001,0.36629,1732,-0.000371,0.083529,2391,0.877979,nostalgic
-9.055779,488,0.004405,2.540784,1757,2835,0.000012,-0.007695,4.385772,0.000003,0.481188,2706,0.011806,0.138499,824,0.890677,nostalgic
-7.015933,2784,-0.000374,2.486319,2758,762,0,-0.00305,6.979128,0.000014,0.760881,2823,-0.00868,-0.176208,2741,1.07511,nostalgic
-12.13247,2548,-0.001081,3.329606,1508,2232,0.000018,0.006103,7.680741,-0.000001,0.623263,684,-0.005677,-0.152113,1161,1.046196,nostalgic
-3.447848,2442,0.000271,2.669686,1364,2457,0.000003,-0.003989,5.656368,-0.000001,0.531721,1383,0.005411,-0.187221,2087,1.120332,nostalgic
-12.19477,1010,0.004159,2.747798,2037,671,0.000011,-0.010489,5.424227,0.000005,0.651032,1841,-0.008428,0.116988,728,1.184947,nostalgic
-4.298625,649,0.000938,2.776405,982,2077,0.000006,0.000246,8.996069,0.000006,0.447436,1275,-0.002247,0.092434,2834,0.672436,nostalgic
-2.645983,76,0.000084,1.953486,2300,2415,0,0.003449,4.811026,0.000003,0.346815,730,0.003893,-0.063966,523,0.907645,nostalgic
-6.996391,1887,-0.000528,3.389361,2787,734,0.000013,0.007412,7.115909,-0.000009,0.901645,1868,0.010503,0.079443,1013,1.368367,nostalgic
-9.305654,1285,-0.000013,3.01701,1432,1353,0.000029,0.010235,6.392443,0.000005,0.563033,2722,-0.000916,-0.071868,951,1.153871,nostalgic
-9.828358,785,0.000622,3.524488,2228,1955,0.000005,0.00043,4.392047,0,0.350787,2423,-0.001933,0.059803,2465,0.947603,nostalgic
-8.76507,926,0.000484,3.559396,147,306,0.000009,0.003876,11.14175,0.000003,1.358335,1502,0.009776,-0.124125,656,1.989753,nostalgic
-8.637074,2154,0.000545,2.760829,2794,1579,0.000007,-0.00063,11.22641,-0.000009,1.211835,2728,-0.005343,0.058815,2518,1.361939,nostalgic
-3.387783,1668,0.000156,2.784022,1275,2590,0.000001,-0.002377,6.902972,0.000001,0.624176,1284,0.001708,0.45023,1250,0.896638,nostalgic
-6.029262,1387,0.000186,2.940667,29,1007,0.000002,-0.00494,4.34818,0,0.323682,651,-0.003419,0.417929,268,0.873471,nostalgic
-3.6476,2972,-0.001191,2.843534,2471,2360,0.000003,0.002523,6.960795,-0.000007,0.421675,2203,0.006991,-0.045048,2161,0.847413,nostalgic
-8.208492,1780,-0.00008,3.545656,2979,1064,0.000008,-0.006991,5.737365,0.000001,0.370261,2388,-0.005151,0.193291,392,0.973972,nostalgic
-4.287832,2783,-0.000717,3.348891,2071,1083,0.000003,-0.004893,5.12015,-0.000005,0.436397,883,0.015372,0.129167,2880,0.952257,nostalgic
-4.245117,2273,0.000507,3.356061,2389,1503,0.000003,0.0006,10.08798,0.000005,0.647301,2929,-0.009192,-0.398458,2958,1.172422,nostalgic
3.976016,2421,-0.000721,3.798345,870,1065,0.000001,0.00376,12.59685,-0.000004,0.869187,2407,0.010035,0.380606,1727,1.05762,nostalgic
-1.137552,162,0.003106,2.755181,1703,574,0.000001,-0.007793,7.605186,0.000001,0.655503,2857,-0.003759,0.018302,2483,1.28093,nostalgic
-10.16217,1339,-0.002026,3.330472,1817,165,0.000003,-0.004774,6.106919,-0.000006,0.750442,960,0.01359,-0.172426,1020,1.165112,nostalgic
-5.224774,445,0.000811,3.809857,1,2448,0.000004,0.003584,5.091602,0.000006,0.331396,762,0.002708,-0.084783,913,0.732807,nostalgic
-3.146973,550,-0.000315,3.684959,1969,560,0.000002,-0.006008,4.960933,0,0.262897,2071,-0.000834,0.105318,1907,0.778435,nostalgic
-0.452218,927,0.000953,4.417804,2157,1254,0.000001,-0.007183,5.064581,-0.000009,0.413888,1601,0.002135,0.002102,2001,0.800877,nostalgic
-9.80346,2228,0.001367,3.917958,2249,2309,0.000008,0.00753,6.223496,0.000002,0.428523,1009,-0.006133,-0.013488,2073,1.07059,nostalgic
-3.607169,2915,-0.000959,3.210038,1871,2336,0.000001,-0.003007,7.644476,-0.000002,0.431856,2023,0.009835,-0.203101,720,0.973954,nostalgic
-6.548524,2727,0.000283,3.908843,2815,922,0.00001,0.000954,7.252013,0.00001,0.931664,2923,0.008966,-0.168719,57,1.022909,nostalgic
-8.030682,117,-0.000357,2.699349,2532,2082,0.000016,0.001504,6.152698,0,0.56925,499,-0.003173,0.176374,560,1.180917,nostalgic
-7.146142,2224,0.000328,2.914988,1907,1068,0.000011,-0.003251,8.979943,0.000003,1.064531,420,0.000004,0.289673,245,1.141212,nostalgic
-6.520215,601,0.000662,2.933063,1615,1567,0.000006,-0.001066,7.393121,0.000004,0.463543,1860,-0.007462,0.016645,2870,1.063457,nostalgic
-1.895515,1574,0.000608,2.745073,2727,1470,0.000001,0.012579,5.306945,-0.000004,0.510716,1636,0.011354,0.328863,1342,0.848564,nostalgic
-11.7349,2887,-0.000107,2.730342,2595,509,0.000005,-0.001465,4.665174,-0.000001,0.382824,707,0.002015,0.157675,95,0.801615,nostalgic
-8.946995,381,0.002024,3.299352,1160,1057,0.000044,-0.00807,9.182834,0,0.987944,2967,0.003623,0.212245,137,2.391311,nostalgic
8.17907,172,0.001223,3.408839,2948,2004,0.000002,0.008696,9.233345,-0.000006,0.484895,2287,-0.007931,0.686073,271,0.951182,nostalgic
-0.654608,1146,-0.001029,4.191429,2519,2641,0.000001,0.004504,8.043665,-0.000005,0.610965,1206,-0.00124,0.023446,114,0.977285,nostalgic
-4.037443,152,0.00025,2.891017,1324,948,0.000003,0.003921,5.896382,0.000003,0.547896,2972,-0.0015,0.094187,900,1.274704,nostalgic
-1.745423,2262,-0.001476,3.43649,568,206,0.000003,-0.00014,7.219401,-0.000004,0.588388,440,0.001903,0.137813,629,1.012882,nostalgic
-11.17472,1944,0.000122,3.105221,2495,2001,0.000009,0.002226,5.967382,-0.000004,0.458819,1720,0.007274,0.121005,929,0.805366,nostalgic
-2.724573,1820,0.00149,3.175217,375,56,0.000004,-0.000384,6.008623,0.000012,0.781079,2022,-0.014202,0.097577,2889,1.127439,nostalgic
4.383124,1143,0.000108,3.086244,330,2430,0,-0.004989,4.553571,-0.000003,0.16745,2982,0.006504,-0.448807,2983,0.56329,nostalgic
-9.93211,2146,-0.000028,3.609716,56,753,0.000007,0.003743,6.874533,-0.000006,0.595933,31,0.014946,-0.055956,1488,1.008579,nostalgic
-3.6476,2972,-0.001191,2.843534,2471,2360,0.000003,0.002523,6.960795,-0.000007,0.421675,2203,0.006991,-0.045048,2161,0.847413,nostalgic
0.746348,851,0.002,4.785179,334,1117,0.000003,-0.00457,7.582167,-0.000006,0.421199,1825,0.000136,0.126969,1151,0.858339,nostalgic
-6.127882,388,-0.000116,2.998432,633,1304,0.000005,0.000188,6.49256,0.000001,0.797113,2535,0.00701,-0.181934,978,1.078793,nostalgic
-6.70984,2137,-0.003679,2.900208,987,1828,0.000004,-0.023789,15.49283,0.000001,1.741262,1170,-0.022981,0.332931,1998,3.795669,nostalgic
8.464542,884,-0.001103,2.815365,170,2303,0.000001,0.009721,9.537741,0.000015,0.412944,517,-0.01916,-0.24339,2718,0.769864,nostalgic
-6.612567,568,0.000817,3.220103,1263,2734,0.000014,0.006573,7.978172,-0.000002,0.879017,2534,-0.00019,0.180902,1883,1.245037,nostalgic
3.104982,568,0.000304,2.872105,589,1562,0.000001,0.006679,5.112185,-0.000005,0.336821,1452,0.015866,0.108876,2891,0.852617,nostalgic
-7.948396,2470,-0.001607,3.319666,478,849,0.000005,0.005114,8.450062,-0.000001,0.714555,129,0.007656,-0.177306,2225,1.462958,nostalgic
-8.337664,2980,0.002035,3.307545,1517,812,0.000005,-0.00192,8.731775,0,1.212811,165,0.007011,-0.142979,269,2.074519,nostalgic
-11.2696,1816,-0.000654,2.841836,1407,1312,0.000005,0.003832,3.99335,-0.000003,0.345323,724,0.005987,0.023834,442,0.941769,nostalgic
-6.241188,831,0.000803,2.770164,82,551,0.000006,-0.005648,7.873359,-0.000013,0.640248,1847,0.013501,0.075254,80,1.191206,nostalgic
1.324179,2912,-0.000082,2.991958,1412,2858,0.000002,-0.000224,6.404187,0,0.846855,1680,0.004912,-0.207181,2866,0.972966,nostalgic
-2.543272,1690,-0.000283,2.629101,1665,100,0.000001,0.006167,8.041203,0.000004,0.812774,1972,-0.00438,0.409342,460,1.147374,nostalgic
2.419463,1285,-0.000664,3.396481,1923,1448,0.000001,-0.012427,9.440567,-0.000006,0.48211,2975,0.000028,0.204759,432,0.785575,nostalgic
-4.08217,2342,-0.000047,3.804884,192,636,0.000006,-0.009748,7.947271,0.000003,0.612744,2384,-0.00216,0.279007,188,1.174151,nostalgic
-13.8033,1938,-0.00067,2.989815,2358,1018,0.000009,0.000923,5.488574,-0.000001,0.521086,2810,-0.000404,-0.110297,2583,1.217186,nostalgic
-8.990432,239,0.000886,3.404742,2402,1152,0.000024,-0.002639,9.630171,-0.000003,0.739068,2530,0.003242,0.081533,243,0.989422,nostalgic
-1.798241,1153,-0.000022,4.427369,408,1533,0.000002,-0.002144,7.878333,0,0.618296,2501,0.000021,0.144743,981,1.281136,nostalgic
8.605765,429,0.001179,2.370184,1413,2184,0.000005,-0.003138,5.103189,0,0.331277,424,0.005913,0.675691,2314,1.198332,nostalgic
-1.749219,171,0.000357,3.176301,223,2037,0.000002,0.007706,9.647762,-0.000003,0.614937,1425,-0.009072,-0.102342,207,1.345794,nostalgic
-12.58967,2412,-0.001982,3.021268,1572,988,0.00004,-0.001546,5.969173,0.000002,0.496217,719,0.00251,-0.119418,1271,0.997209,notnostalgic
-12.49966,2944,0.000683,2.644611,2102,318,0.000002,-0.001657,6.620973,0.000001,0.471711,1545,-0.003088,-0.148827,1816,1.108995,notnostalgic
-10.26006,719,0.002145,3.31,1101,813,0.000012,-0.015597,12.85029,0.000004,1.571722,1050,0.002721,-0.878275,1219,1.933787,notnostalgic
-6.913595,2901,0.000182,2.801357,168,1131,0.000001,0.005403,10.47995,-0.000004,0.818039,83,-0.01342,0.030439,1578,1.189796,notnostalgic
-10.22506,1775,0.0004,3.328796,174,1783,0.000013,-0.000434,5.997598,0.000005,0.800198,1808,0.008949,0.101032,312,1.361858,notnostalgic
-8.996593,2729,-0.000894,2.647996,997,1707,0.000004,0.001362,5.024868,-0.000003,0.448596,1535,-0.000243,-0.028533,2257,0.919474,notnostalgic
-5.553667,1259,-0.000016,3.107666,2236,891,0.000001,-0.008578,7.810634,-0.000001,1.623778,2090,0.005647,-0.360973,68,1.348345,notnostalgic
-5.543818,432,-0.000627,3.248742,269,2066,0.000002,-0.00072,10.53823,-0.000002,1.318567,149,0.003447,0.022684,181,1.480296,notnostalgic
-12.51526,958,-0.00005,2.584547,2057,895,0.00002,-0.006447,7.600883,0.000003,0.745804,2392,-0.008332,0.051878,962,1.399642,notnostalgic
-12.51526,958,-0.00005,2.584547,2057,895,0.00002,-0.006447,7.600883,0.000003,0.745804,2392,-0.008332,0.051878,962,1.399642,notnostalgic
-4.614113,1766,0.000892,2.802546,2937,2326,0.000002,-0.002903,7.4164,0.000005,0.727307,1376,-0.003231,0.033395,1540,1.698132,notnostalgic
-4.614113,1766,0.000892,2.802546,2937,2326,0.000002,-0.002903,7.4164,0.000005,0.727307,1376,-0.003231,0.033395,1540,1.698132,notnostalgic
-10.87136,587,-0.001441,3.282468,2867,605,0.000008,-0.000696,9.108635,0.000005,0.914259,2615,0.005461,0.190188,24,1.629465,notnostalgic
-7.028229,714,0.000228,3.058179,1551,2162,0.000011,0.000165,4.883434,0.000009,0.596228,77,0.003213,-0.12045,2325,0.944628,notnostalgic
-13.19102,474,-0.002055,3.722619,681,1150,0.000004,-0.000864,9.296092,-0.000003,0.891956,1137,-0.003752,0.248221,1109,1.271277,notnostalgic
-13.19102,474,-0.002055,3.722619,681,1150,0.000004,-0.000864,9.296092,-0.000003,0.891956,1137,-0.003752,0.248221,1109,1.271277,notnostalgic
-6.885217,1346,-0.000426,2.617434,1318,431,0.000016,0.00783,7.791609,0,0.630885,607,0.002157,-0.005625,1029,0.957345,notnostalgic
-17.82505,1110,-0.00019,2.455632,4,2763,0.000036,-0.008838,9.308645,-0.000002,1.118603,2341,-0.002976,0.408432,1155,1.72948,notnostalgic
-17.82505,1110,-0.00019,2.455632,4,2763,0.000036,-0.008838,9.308645,-0.000002,1.118603,2341,-0.002976,0.408432,1155,1.72948,notnostalgic
-6.118427,319,-0.000206,4.030111,264,1418,0.000012,-0.006534,8.045557,0.000003,0.525291,2454,-0.000661,0.217058,142,1.380708,notnostalgic
-11.79848,356,0.001432,3.045564,1301,2935,0.000011,-0.001134,5.769397,-0.000004,0.652637,407,-0.00299,0.183967,287,1.053524,notnostalgic
-11.79848,356,0.001432,3.045564,1301,2935,0.000011,-0.001134,5.769397,-0.000004,0.652637,407,-0.00299,0.183967,287,1.053524,notnostalgic
-10.21679,553,0.000858,2.651528,958,1888,0.000006,-0.00514,5.682456,0.000002,0.556908,1310,-0.00501,0.182893,2705,1.219437,notnostalgic
-10.21679,553,0.000858,2.651528,958,1888,0.000006,-0.00514,5.682456,0.000002,0.556908,1310,-0.00501,0.182893,2705,1.219437,notnostalgic
-10.21679,553,0.000858,2.651528,958,1888,0.000006,-0.00514,5.682456,0.000002,0.556908,1310,-0.00501,0.182893,2705,1.219437,notnostalgic
-4.582312,721,0.003673,4.520105,2331,904,0,-0.00444,5.15073,-0.000001,0.477017,2637,0.00642,0.013951,2283,0.979217,notnostalgic
-1.201681,2397,0.000806,2.818356,1896,2224,0.000001,0.000133,6.844366,-0.000012,0.565142,912,0.017849,0.650185,53,0.832007,notnostalgic
4.978157,486,0.005051,2.607605,560,80,0.000001,-0.000857,8.711468,0.000002,0.442153,2580,-0.000222,-0.521871,56,0.876642,notnostalgic
-11.85139,1221,-0.000214,2.778466,2251,246,0.000024,0.002552,5.304283,-0.000001,0.690682,813,0.001585,-0.025376,1188,0.933809,notnostalgic
5.698926,1533,0.000892,2.566194,136,234,0,0.022104,9.304151,-0.000012,0.626697,1447,0.012503,0.114972,2257,1.199259,notnostalgic
5.698926,1533,0.000892,2.566194,136,234,0,0.022104,9.304151,-0.000012,0.626697,1447,0.012503,0.114972,2257,1.199259,notnostalgic
5.698926,1533,0.000892,2.566194,136,234,0,0.022104,9.304151,-0.000012,0.626697,1447,0.012503,0.114972,2257,1.199259,notnostalgic
-8.296092,776,0.000691,3.149863,1292,381,0.000011,-0.010323,6.999234,-0.000003,0.711223,2591,-0.000354,0.306984,914,1.121935,notnostalgic
-14.27678,0,-0.000391,3.375888,65,1394,0.000004,0.009289,11.09019,-0.000014,1.471621,910,-0.001275,0.172813,1659,1.420727,notnostalgic
0.822942,1878,-0.00001,2.503488,317,2467,0.000002,-0.005965,4.645952,-0.000007,0.357011,2390,0.005737,0.229888,1965,0.885076,notnostalgic
0.822942,1878,-0.00001,2.503488,317,2467,0.000002,-0.005965,4.645952,-0.000007,0.357011,2390,0.005737,0.229888,1965,0.885076,notnostalgic
0.822942,1878,-0.00001,2.503488,317,2467,0.000002,-0.005965,4.645952,-0.000007,0.357011,2390,0.005737,0.229888,1965,0.885076,notnostalgic
