@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric

@data
0.212521,0.207189,0.044168,0.100298,0.099372,0.077596,0.027346
0.233178,0.197118,0.029624,0.107008,0.131313,0.090751,0.023194
0.202424,0.202989,0.023766,0.131649,0.125238,0.086931,0.026727
0.217782,0.181372,0.023684,0.11072,0.136408,0.067818,0.031379
0.22461,0.195286,0.032723,0.113238,0.110431,0.082824,0.025456
0.209744,0.20971,0.033208,0.093364,0.083724,0.071013,0.030746
0.211688,0.216518,0.033591,0.097691,0.097162,0.077825,0.039015
0.238248,0.230228,0.057618,0.102373,0.126888,0.110753,0.04667
0.241082,0.208067,0.033441,0.11151,0.108539,0.082781,0.021463
0.216516,0.218835,0.033049,0.098164,0.087936,0.100714,0.028843
0.211025,0.1961,0.02857,0.098382,0.094195,0.087453,0.023228
0.251568,0.228908,0.034216,0.109628,0.097623,0.075849,0.018694
0.222897,0.24103,0.034088,0.113424,0.093878,0.104997,0.023361
0.232284,0.217335,0.044932,0.104595,0.0994,0.08507,0.032094
0.232284,0.217335,0.044932,0.104595,0.0994,0.08507,0.032094
0.2421,0.205963,0.031,0.107341,0.083636,0.081262,0.021404
0.2421,0.205963,0.031,0.107341,0.083636,0.081262,0.021404
0.229601,0.222468,0.06301,0.105572,0.092817,0.082447,0.031271
0.223504,0.203957,0.031646,0.100193,0.092228,0.125298,0.018268
0.238914,0.219186,0.050078,0.112628,0.096644,0.117743,0.034259
0.238914,0.219186,0.050078,0.112628,0.096644,0.117743,0.034259
0.217029,0.189661,0.03475,0.129051,0.105877,0.071652,0.019142
0.259023,0.216577,0.074692,0.14158,0.119579,0.113188,0.039441
0.259023,0.216577,0.074692,0.14158,0.119579,0.113188,0.039441
0.210466,0.197683,0.034767,0.097283,0.096804,0.102723,0.042168
0.213389,0.214922,0.033943,0.118719,0.095426,0.071226,0.026354
0.213389,0.214922,0.033943,0.118719,0.095426,0.071226,0.026354
0.212407,0.19966,0.037589,0.097839,0.101971,0.095193,0.033933
0.212407,0.19966,0.037589,0.097839,0.101971,0.095193,0.033933
