@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[12]_max numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[10]_min numeric
@attribute mfcc_sma_de[10]_linregc1 numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[11]_min numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute output {nostalgic,notnostalgic}

@data
-3.6476,2.843534,-0.277883,9.949883,0.000003,6.960795,-0.000007,-0.000007,0.006991,-0.045048,2161,0.889644,-4.712219,-0.000002,0.847413,-3.602954,3.492374,nostalgic
-12.13247,3.329606,0.79509,6.813118,0.000018,7.680741,-0.000001,0.000003,-0.005677,-0.152113,1161,1.380214,-3.675034,-0.000002,1.046196,-3.62881,4.149165,nostalgic
-7.448026,2.983382,-2.142545,10.24043,0.000003,5.729571,-0.000003,-0.000009,0.008747,-0.000501,2953,1.18218,-3.711883,-0.000004,0.818949,-3.28927,3.298242,nostalgic
-11.7349,2.730342,-1.399965,10.35122,0.000005,4.665174,-0.000001,-0.000001,0.002015,0.157675,95,0.769327,-3.291784,0.000002,0.801615,-2.969028,2.405022,nostalgic
-3.92658,3.148744,-13.52489,8.673514,0,5.481761,0.000005,-0.000002,0.008675,0.211168,2112,1.317144,-4.972328,0.000001,1.22279,-4.799075,4.264934,nostalgic
-7.418201,2.754358,-3.136949,14.73167,0.000002,7.666939,0,-0.000005,0.013166,-0.086241,275,1.36304,-5.257253,0,1.24609,-4.441947,3.434844,nostalgic
9.774515,3.564421,-7.745667,16.44443,0,5.81067,0.000004,0,-0.000879,-0.206655,2285,0.853174,-3.95471,0.00001,0.873061,-4.242154,3.90718,nostalgic
-0.654608,4.191429,1.799936,15.62668,0.000001,8.043665,-0.000005,0,-0.00124,0.023446,114,0.892926,-6.132043,0.000012,0.977285,-3.41437,2.946051,nostalgic
-7.494327,2.881612,-7.084659,6.212725,0.000002,5.553827,0.000001,0.000001,-0.000371,0.083529,2391,0.89719,-3.187239,-0.000004,0.877979,-3.117125,3.155176,nostalgic
-7.418201,2.754358,-3.136949,14.73167,0.000002,7.666939,0,-0.000005,0.013166,-0.086241,275,1.36304,-5.257253,0,1.24609,-4.441947,3.434844,nostalgic
