@attribute Std_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Flatness numeric
@attribute output {angry,notangry}

@data

0.128911,0.082225,0.220155,-0.257463,0.129294,1.79326,0.480681,0.506066,0.412466,0.433391,2.610922,0.445445,0.894917,1.260197,1.245861,1.593482,2.820536,0.119553,0.100499,0.080025,0.042155,0.038906,0.056171,0.009786,0.20741,0.193297,0.121515,0.215447,0.331995,0.441878,0.846429,0.090112,0.087759,0.074963,0.076943,0.128038,0.262851,0.05687,0.099052,0.209539,0.10334,0.206357,0.49101,0.541855,0.026524,0.037197,0.048144,104,0.590859,1.002654,0.001616,angry
0.128277,0.089051,0.218678,0.052056,-0.025324,1.832534,0.524806,0.520676,0.516129,0.345177,2.560264,0.460678,1.077541,1.145733,1.331782,1.368881,3.208298,0.11897,0.100374,0.093157,0.029859,0.036454,0.04902,0.00986,0.212581,0.230177,0.330134,0.221545,0.356623,0.811686,0.541157,0.09456,0.080539,0.081627,0.075225,0.123127,0.265905,0.123939,0.133357,1.246879,0.106067,0.211403,0.405313,0.557114,0.025067,0.032479,0.046411,125.25,0.60379,1.003241,0.001579,angry
0.129489,0.094857,0.21838,0.351713,0.233978,1.908149,0.425599,0.405304,0.423579,0.362598,2.612423,0.544377,0.982556,1.678635,2.117973,2.239975,3.245502,0.135026,0.112264,0.085367,0.043299,0.040155,0.049259,0.009549,0.598915,0.312757,0.3652,0.273256,1.100527,0.518945,0.839923,0.096734,0.115439,0.132693,0.075511,0.123264,0.260225,0.101455,0.223992,3.583971,0.132481,0.4779,0.5948,0.550487,0.034866,0.040338,0.049438,122,0.596516,1.004378,0.001468,angry
0.121552,0.07884,0.215193,0.560383,0.283007,1.758798,0.496201,0.480066,0.501346,0.370493,2.526332,0.426516,1.101633,1.446558,1.533727,1.57518,2.746295,0.125372,0.143788,0.091461,0.04304,0.032855,0.041864,0.010138,0.212717,0.144941,0.174691,0.22121,0.317164,0.540042,0.820802,0.086472,0.08186,0.074413,0.077747,0.114417,0.251824,0.069114,0.104626,0.244657,0.08461,0.212641,0.430097,0.541836,0.028498,0.041286,0.048218,135.5,0.587003,1.003031,0.001591,angry
0.045679,0.035419,0.065151,0.414602,-0.095813,1.958692,0.399032,0.382275,0.373288,0.374232,2.589197,0.723479,0.976328,1.54974,1.816549,2.795489,2.95885,0.167759,0.155987,0.139479,0.02156,0.109111,0.103549,0.011077,0.41353,0.297382,0.306474,0.303456,0.839503,0.565057,0.941463,0.121672,0.167273,0.090524,0.080119,0.122825,0.267055,0.155514,0.104965,0.491347,0.168974,0.418176,0.581953,0.765722,0.02557,0.036659,0.048672,100,0.602131,1.002907,0.001586,angry
0.074897,0.045047,0.086328,0.334696,0.338797,1.854055,0.504621,0.524744,0.48674,0.326474,2.564846,0.474592,1.040417,1.368865,1.395172,1.682316,3.18488,0.12464,0.104699,0.104435,0.029587,0.052159,0.062356,0.010769,0.202105,0.170764,0.144466,0.234112,0.364887,0.45534,0.87919,0.09436,0.112996,0.086615,0.071885,0.127964,0.256729,0.065928,0.167884,1.125899,0.14002,0.216845,0.414369,0.613409,0.027739,0.030895,0.047939,89.25,0.576647,1.003833,0.001564,angry
0.124293,0.074861,0.227007,0.417978,0.42794,1.879303,0.533568,0.528227,0.393689,0.373727,2.561197,0.375733,0.762555,1.544339,1.639051,1.963513,3.156495,0.128077,0.108478,0.078186,0.025771,0.028173,0.032875,0.009055,0.131416,0.151591,0.178014,0.281203,0.376473,0.393101,0.923676,0.114433,0.095742,0.076953,0.079707,0.119843,0.258792,0.051387,0.086898,0.161274,0.125091,0.335332,0.85733,0.50366,0.027891,0.042468,0.052749,90,0.573257,1.003191,0.001575,angry
0.085901,0.06533,0.140545,1.077341,-0.15078,1.991994,0.445305,0.441617,0.374931,0.295599,2.516553,0.483036,0.89298,1.572111,1.732258,1.841896,4.66672,0.130704,0.120311,0.191894,0.034222,0.043184,0.051289,0.011441,0.218581,0.156198,0.173683,0.285444,0.426551,0.423429,0.780026,0.11366,0.08539,0.077618,0.063186,0.114569,0.249635,0.09446,0.299319,4.026251,0.138181,0.288546,0.820458,0.664289,0.023051,0.033988,0.04092,123,0.562706,1.004192,0.001553,angry
0.077488,0.055152,0.117582,0.226704,0.074227,1.924881,0.339025,0.325802,0.341626,0.40193,2.592649,0.587229,1.2712,2.248929,2.319193,2.696176,3.430398,0.178517,0.151426,0.138748,0.038651,0.076014,0.093823,0.010792,0.375331,0.31316,0.288361,0.277112,0.567872,0.786727,1.478175,0.126086,0.106035,0.089779,0.067701,0.121158,0.262296,0.165806,0.281187,6.668401,0.168196,0.251291,1.324925,0.771604,0.028901,0.031693,0.040799,83.5,0.646327,1.004842,0.001421,angry
0.109769,0.091731,0.148728,-0.098853,-0.093077,1.838045,0.489275,0.464101,0.436879,0.447181,2.570898,0.456866,0.930589,1.338334,1.46871,1.997113,3.705573,0.131095,0.116601,0.083648,0.021839,0.036908,0.040673,0.009491,0.275714,0.148448,0.151544,0.22008,0.352586,0.439814,0.625617,0.113449,0.067935,0.059497,0.062031,0.120357,0.258381,0.067191,0.172995,2.82545,0.120162,0.186761,0.593906,0.899597,0.02463,0.034156,0.04194,116,0.582268,1.003786,0.001574,angry
