@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {angry,notangry}

@data

0.042924,0.751932,0.194246,0.119942,9.721772,0.515819,0.393387,0.372632,0.343219,0.466651,2.425487,3.203164,0.681218,1.750342,2.128059,2.687934,3.351767,4.58504,0.162221,0.134836,0.044268,0.071023,0.078907,0.081051,0.902784,0.411056,0.226702,0.211337,0.261163,0.329957,0.495384,1.03996,0.105448,0.102181,0.10874,0.046783,0.005782,0.210276,1.122174,0.904207,0.027107,0.030552,0.038219,0.077593,0.215324,105,0.561891,1.008839,angry
0.102577,0.695507,0.243608,-0.183093,8.589282,0.585468,0.542956,0.504063,0.40071,0.538946,2.381975,1.159441,0.598996,1.214474,1.216354,1.160771,2.092974,3.205909,0.107366,0.071801,0.038276,0.030801,0.037269,0.044953,0.526414,0.21182,0.158311,0.143123,0.211503,0.316093,0.336214,0.542227,0.085501,0.091285,0.08709,0.020203,0.003673,0.108378,0.41751,0.363427,0.028812,0.040477,0.052747,0.085419,0.215659,133.25,0.575328,1.00306,angry
0.103597,0.378433,0.211024,-0.019414,8.885459,0.621553,0.548469,0.530777,0.45911,0.546988,2.405737,1.091528,0.563932,1.209637,1.284591,1.252377,1.920535,3.21777,0.102288,0.076807,0.037513,0.036458,0.041229,0.048226,0.711614,0.221944,0.215874,0.246612,0.305076,0.353191,0.625182,0.581233,0.111112,0.137111,0.129593,0.037631,0.006848,0.152676,0.398568,0.552237,0.027983,0.031987,0.04734,0.080203,0.217841,107,0.571818,1.003421,angry
0.093675,0.089521,0.162246,0.339637,9.259497,0.603646,0.479922,0.464657,0.43212,0.537771,2.396414,0.997933,0.55814,1.428437,1.318845,1.463378,2.07318,3.370355,0.1075,0.074538,0.039355,0.037485,0.045681,0.065546,0.480405,0.284091,0.21139,0.194271,0.242838,0.269436,0.452747,0.813591,0.085063,0.08925,0.082474,0.051395,0.004714,0.14161,0.42215,0.438214,0.031951,0.042004,0.04857,0.079116,0.215059,98.5,0.590628,1.003247,angry
0.069713,0.416452,0.253113,0.066827,8.249208,0.655363,0.558983,0.520153,0.418797,0.482138,2.409031,0.98948,0.501673,1.179248,1.424399,1.67469,2.479064,3.025763,0.129648,0.087258,0.038813,0.048667,0.062764,0.074088,0.593914,0.301415,0.162097,0.145052,0.249651,0.219103,0.351407,0.561651,0.09308,0.093062,0.078548,0.043278,0.00529,0.145232,0.604082,0.469071,0.026305,0.031335,0.048951,0.076859,0.217034,111.75,0.566081,1.004264,angry
0.087653,0.361179,0.286711,0.10107,7.993859,0.627355,0.531138,0.485411,0.438023,0.550348,2.386319,3.3785,0.590627,1.768009,1.637786,1.932454,2.048829,2.840664,0.127668,0.075012,0.051988,0.047276,0.046754,0.064993,0.510119,0.265089,0.184224,0.165009,0.235156,0.30524,0.356899,0.600785,0.105988,0.082706,0.086697,0.03438,0.00816,0.205762,0.556404,0.44592,0.029945,0.03596,0.047244,0.0771,0.211499,111.5,0.548136,1.00543,angry
0.06292,0.190872,0.259441,0.292119,9.335072,0.467258,0.331285,0.294859,0.27035,0.458827,2.386858,9.6588,0.679802,1.794289,2.540718,2.688682,4.207056,3.915846,0.142371,0.094977,0.032792,0.060072,0.070556,0.085424,0.681177,0.265097,0.271278,0.315296,0.245041,0.27206,0.410109,1.239143,0.085353,0.096882,0.096711,0.034585,0.005219,0.338248,0.559387,0.570834,0.025936,0.031458,0.037505,0.079985,0.21116,105,0.599152,1.004824,angry
0.089517,0.098317,0.249426,-0.057829,8.864723,0.577133,0.547836,0.467054,0.437838,0.508014,2.407757,1.829368,0.653556,1.411117,1.223701,1.382392,2.144813,3.64247,0.106975,0.080604,0.027495,0.048216,0.046628,0.052083,0.523561,0.198643,0.24993,0.195174,0.20643,0.280072,0.392991,0.52574,0.088334,0.084375,0.071977,0.019173,0.006443,0.145301,0.421013,0.353288,0.027214,0.037131,0.047954,0.086779,0.215728,111,0.578031,1.003465,angry
0.024595,0.408061,0.379779,-0.059245,7.707167,0.581418,0.523747,0.470726,0.432659,0.476503,2.357561,0.653928,0.552622,1.549643,1.800602,2.464327,2.247887,3.270504,0.15032,0.183486,0.049663,0.056397,0.082262,0.086261,0.720496,0.379424,0.24046,0.150549,0.230303,0.281526,0.360265,0.838505,0.084593,0.081104,0.087658,0.065042,0.006094,0.171029,0.441492,0.516374,0.029018,0.030209,0.045446,0.079053,0.216124,93.5,0.61154,1.004237,angry
0.143366,0.285602,0.498388,0.282856,8.534746,0.64386,0.534629,0.478052,0.376593,0.556263,2.383496,1.099674,0.522368,1.53874,1.43915,1.647921,2.185026,3.154388,0.103379,0.080737,0.040204,0.039947,0.045639,0.049812,0.259463,0.174417,0.174573,0.127462,0.260321,0.342878,0.444851,0.642,0.102285,0.083374,0.081822,0.023399,0.00523,0.126773,0.435144,0.573738,0.028866,0.039204,0.053061,0.085301,0.215168,132,0.610894,1.004573,angry
