@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_Complex_Tonal numeric
@attribute mean_SpectralCentroid numeric
@attribute output {angry,notangry}

@data
97.02205,6.712877,1.601,1.306458,0.895162,0.12792,58.20171,0.006939,0.003689,0.000047,0.016746,0.123251,0.152689,949.829,angry
87.65175,6.209205,1.55792,1.123917,0.896618,0.166489,95.50381,0.005652,0.004692,0.000053,0.016039,0.200339,0.12749,683.594,angry
80.94961,5.774409,1.518377,1.153582,0.902111,0.07292,36.75581,0.022756,0.028324,0.000108,0.012138,0.769434,0.127966,695.9775,angry
105.011,7.605496,1.724471,1.308535,0.888331,0.154321,29.62196,0.003044,0.001845,0.000079,0.031071,0.122046,0.111601,1798.607,angry
99.51727,7.387258,1.709152,1.313159,0.891543,0.11788,35.32347,0.006293,0.001507,0.000054,0.018273,0.125361,0.106145,1313.742,angry
77.02777,5.49451,1.474647,1.002476,0.893533,0.048838,21.32817,0.031441,0.134313,0.000181,0.006111,0.844195,0.084671,545.6905,angry
62.79319,4.586298,1.396702,0.932193,0.894943,0.058764,14.96793,0.022655,0.135163,0.00025,0.012619,1.310367,0.097133,496.1106,angry
89.96711,6.130641,1.528564,1.234817,0.902775,0.091781,33.84357,0.010033,0.013706,0.000118,0.010378,0.249799,0.102102,772.6789,angry
93.04119,6.099823,1.507408,1.316748,0.904741,0.092081,30.69666,0.010967,0.013581,0.000086,0.008909,0.232682,0.102278,804.2494,angry
78.55865,5.894777,1.581854,0.737112,0.892633,0.091646,19.65529,0.009762,0.010243,0.000114,0.012473,0.405944,0.108679,1172.582,angry
79.38718,5.385904,1.459696,0.897589,0.891975,0.08549,34.06821,0.009439,0.024565,0.000267,0.010216,0.713475,0.117566,657.5709,angry
89.44715,6.533765,1.612546,1.407659,0.901918,0.116751,19.72817,0.004434,0.006423,0.000037,0.020293,0.118778,0.092544,783.1627,angry
96.48307,5.919694,1.446028,1.548076,0.895156,0.110796,57.23569,0.025799,0.061245,0.000285,0.01392,1.125494,0.13761,678.9342,angry
95.80211,6.344565,1.544302,1.403598,0.894559,0.130319,59.74425,0.013596,0.03542,0.000354,0.018732,0.269044,0.138227,978.5982,angry
79.95702,5.271354,1.418938,1.13016,0.904784,0.11308,43.02678,0.016295,0.105337,0.000207,0.012674,0.496982,0.104215,565.7095,angry
58.57839,3.842623,1.222028,0.606992,0.883674,0.054332,48.8197,0.029236,0.185254,0.000247,0.003258,1.060421,0.063997,280.6163,angry
70.25359,4.751515,1.350191,1.10382,0.893382,0.042041,28.45522,0.027071,0.095612,0.000356,0.005017,0.954689,0.117064,363.9122,angry
81.13039,5.838467,1.539977,1.058725,0.888663,0.100332,53.48871,0.008219,0.015492,0.000151,0.013851,0.603716,0.144211,1056.436,angry
96.3321,6.225682,1.533904,1.104037,0.89522,0.106178,33.63468,0.008172,0.010386,0.000135,0.01424,0.162909,0.124534,1092.769,angry
79.94279,4.809571,1.323353,1.174387,0.900866,0.09748,42.25613,0.008545,0.018442,0.000114,0.008077,0.175773,0.118352,437.1835,angry
97.3019,6.930689,1.648567,1.257316,0.881217,0.140893,47.3594,0.021254,0.019968,0.000356,0.023408,0.51687,0.121266,1249.964,angry
99.51439,5.857807,1.407111,1.648519,0.89605,0.13144,100.0234,0.025449,0.051519,0.000114,0.017786,0.775573,0.134057,600.7339,angry
93.19353,6.027658,1.492309,1.202662,0.89813,0.101595,35.95219,0.024414,0.025608,0.00012,0.012242,0.28327,0.132041,907.8087,angry
88.20877,6.261058,1.573674,1.326639,0.902685,0.102149,20.76407,0.004048,0.003507,0.000044,0.016214,0.441106,0.150963,984.5449,angry
79.18691,4.560899,1.302012,0.660119,0.867637,0.080464,114.7342,0.049387,0.027355,0.000598,0.00596,1.67073,0.131815,614.4037,angry
82.92876,5.160676,1.412433,1.054713,0.889808,0.076803,16.88264,0.035021,0.145366,0.000208,0.012269,1.563406,0.094387,890.4293,angry
91.58643,6.630647,1.631922,0.956395,0.893352,0.080145,33.43228,0.007554,0.006391,0.000142,0.009029,0.407926,0.118301,1234.368,angry
75.25818,5.121466,1.387416,1.085753,0.891568,0.117229,120.5144,0.056689,0.15393,0.000388,0.022471,1.376189,0.149641,438.8089,angry
86.90933,5.640005,1.469032,0.915363,0.900249,0.130583,84.83884,0.010198,0.015697,0.000103,0.01552,0.253086,0.102201,919.9327,angry
93.86888,6.116222,1.513105,1.220576,0.901991,0.135504,47.04994,0.003793,0.008641,0.000077,0.015199,0.337195,0.110317,941.6269,angry
92.04365,5.307104,1.369529,1.440595,0.90229,0.135036,46.35051,0.004579,0.016964,0.000131,0.013918,0.198668,0.104705,684.854,angry
60.66623,3.730644,1.195745,0.613127,0.881456,0.06344,111.9074,0.040277,0.201088,0.000251,0.003139,2.292118,0.100279,429.5162,angry
59.19973,3.875013,1.217104,0.659182,0.887823,0.121249,72.19842,0.01439,0.050606,0.000258,0.022102,0.412454,0.086489,285.7746,angry
95.34955,7.327893,1.730324,1.257885,0.889723,0.114292,39.88089,0.016533,0.008188,0.000108,0.037747,0.369502,0.1467,1434.209,angry
89.31485,5.499545,1.424533,0.74731,0.885254,0.080702,45.00689,0.027589,0.024785,0.000183,0.012799,0.602511,0.104575,915.9329,angry
91.02039,6.688285,1.625596,1.45794,0.897249,0.204074,87.01144,0.022615,0.138708,0.000128,0.033753,0.385539,0.148084,1269.809,angry
103.5343,7.332755,1.681423,1.377579,0.885759,0.172409,46.80362,0.003275,0.001135,0.000029,0.030199,0.098145,0.136406,1516.131,angry
110.4203,6.143389,1.412427,1.562289,0.889806,0.142163,94.53557,0.042089,0.016723,0.00031,0.014363,0.283484,0.077342,861.0226,angry
90.7096,6.323073,1.559772,1.303576,0.887347,0.132768,57.35276,0.006998,0.004605,0.000064,0.014504,0.08316,0.136056,840.4328,angry
83.96829,6.150843,1.568681,1.151944,0.906666,0.131594,47.68033,0.028011,0.025441,0.000127,0.02084,0.310031,0.109269,749.9177,angry
71.43073,4.558126,1.330457,0.666199,0.884673,0.024189,5.038738,0.021818,0.161616,0.000188,0.005697,0.429245,0.125768,607.5722,angry
112.3246,7.209644,1.606875,1.337697,0.897268,0.171223,124.6285,0.013622,0.004119,0.00007,0.01465,0.254951,0.087675,1145.435,angry
98.92453,7.135642,1.663147,1.181655,0.888179,0.128236,83.37334,0.024352,0.008967,0.000133,0.009569,0.379743,0.120216,1148.172,angry
85.47881,5.404008,1.403434,1.287874,0.902393,0.07629,46.90044,0.02646,0.062419,0.000172,0.009303,0.76516,0.093553,499.5768,angry
96.4399,6.775477,1.620646,1.362916,0.901753,0.100942,18.30343,0.004495,0.007146,0.000046,0.018121,0.188064,0.140288,986.2301,angry
75.04791,4.751184,1.324652,1.251128,0.90377,0.115794,61.06977,0.019573,0.075615,0.000073,0.01289,0.195832,0.134062,410.7672,angry
97.1509,6.037377,1.487847,1.317903,0.892716,0.139813,51.67799,0.004731,0.007512,0.000116,0.01887,0.157019,0.127953,1142.396,angry
87.96624,5.607533,1.446173,1.271245,0.905663,0.157984,70.11512,0.021148,0.018013,0.000105,0.01712,0.438697,0.114024,734.0525,angry
60.32252,4.895405,1.491205,0.570529,0.894197,0.044071,9.627559,0.018026,0.108094,0.000174,0.007053,0.70256,0.036039,535.7734,angry
57.2233,3.284584,1.080449,1.023476,0.884748,0.050142,23.51415,0.031163,0.13794,0.000309,0.005908,1.893157,0.119235,222.101,angry
83.85637,5.375516,1.445211,1.352814,0.89999,0.143951,34.30157,0.006263,0.015777,0.000136,0.025347,0.341035,0.150828,831.6085,angry
107.0636,7.583258,1.700466,1.302143,0.8953,0.149817,66.01142,0.004467,0.002424,0.000045,0.015029,0.096084,0.109196,1462.434,angry
89.88425,6.284442,1.57226,1.157073,0.900308,0.159055,61.78862,0.011372,0.008804,0.000097,0.019653,0.269797,0.109565,1121.513,angry
78.03573,5.018311,1.388116,0.762928,0.894418,0.157054,169.367,0.034372,0.026037,0.000188,0.014046,0.591794,0.116104,793.5198,angry
92.08017,5.795919,1.455264,1.186339,0.899754,0.172187,117.1468,0.017922,0.023224,0.00009,0.017457,0.450206,0.096276,773.2795,angry
96.41057,6.720378,1.60876,1.153246,0.895509,0.119202,34.62342,0.006752,0.003106,0.000068,0.019999,0.091548,0.108578,1205.091,angry
103.4334,6.908504,1.634909,1.111407,0.893009,0.144646,79.87475,0.009829,0.012197,0.000106,0.014094,1.03935,0.13823,1525.064,angry
76.99559,4.413811,1.262086,0.877844,0.887891,0.079672,69.68868,0.01356,0.012707,0.000144,0.005815,0.33301,0.11549,448.322,angry
94.11255,6.309545,1.54571,1.276106,0.90143,0.142992,50.01824,0.002531,0.007438,0.000094,0.017472,0.111521,0.122809,915.001,angry
91.87521,5.630643,1.442875,1.129233,0.8932,0.11403,36.58862,0.005468,0.015631,0.000123,0.014986,0.138261,0.11233,984.6649,angry
102.2827,6.745529,1.58434,1.404288,0.894539,0.140532,37.66644,0.012746,0.00568,0.000212,0.026436,0.169982,0.104604,1169.098,notangry
96.91132,6.372011,1.547191,1.185465,0.893295,0.092637,44.15475,0.018766,0.02468,0.000166,0.010084,0.463364,0.124271,1016.725,notangry
51.76452,3.989058,1.297576,0.600252,0.880362,0.068099,33.43679,0.043033,0.2855,0.000449,0.007876,1.698128,0.091195,317.1322,notangry
93.45463,5.991272,1.485387,1.454324,0.903073,0.061407,19.76825,0.011873,0.030287,0.000145,0.006762,0.555626,0.127894,717.5693,notangry
86.48917,5.178074,1.364704,1.376088,0.901192,0.151147,96.6728,0.006619,0.019052,0.00008,0.018079,0.213035,0.140085,573.112,notangry
55.34539,3.938178,1.322379,0.429563,0.884163,0.066392,24.13971,0.027501,0.0508,0.000193,0.010967,1.388688,0.128656,553.2341,notangry
65.35186,4.15669,1.263663,0.8427,0.893843,0.047408,21.97851,0.016305,0.09876,0.000205,0.005223,0.882444,0.11036,345.7262,notangry
90.77695,5.969514,1.503183,1.233892,0.898451,0.103341,50.13089,0.016533,0.02462,0.000185,0.014337,0.910102,0.112516,754.8105,notangry
90.77695,5.969514,1.503183,1.233892,0.898451,0.103341,50.13089,0.016533,0.02462,0.000185,0.014337,0.910102,0.112516,754.8105,notangry
67.73019,4.460188,1.357732,0.586157,0.885763,0.08674,62.36436,0.024534,0.033899,0.000199,0.0069,0.923805,0.124581,630.7932,notangry
67.73019,4.460188,1.357732,0.586157,0.885763,0.08674,62.36436,0.024534,0.033899,0.000199,0.0069,0.923805,0.124581,630.7932,notangry
76.04378,5.081059,1.421614,0.916192,0.895956,0.059229,15.54126,0.011527,0.026491,0.000139,0.010108,0.419894,0.120417,740.4802,notangry
65.33331,4.528807,1.325035,1.085796,0.893491,0.062475,28.58048,0.023513,0.13324,0.000263,0.008007,0.44745,0.112394,246.7887,notangry
86.65456,5.823932,1.50014,1.117096,0.903362,0.179048,134.4754,0.01067,0.014182,0.000114,0.019914,0.540236,0.102984,833.7963,notangry
86.65456,5.823932,1.50014,1.117096,0.903362,0.179048,134.4754,0.01067,0.014182,0.000114,0.019914,0.540236,0.102984,833.7963,notangry
74.92481,4.898048,1.363813,0.927552,0.90106,0.11154,91.45646,0.024873,0.044816,0.000086,0.007189,0.667146,0.109806,442.5963,notangry
72.37757,6.124872,1.68917,0.847764,0.888046,0.069038,16.89071,0.047511,0.016456,0.000371,0.013553,1.125897,0.096244,1599.696,notangry
72.37757,6.124872,1.68917,0.847764,0.888046,0.069038,16.89071,0.047511,0.016456,0.000371,0.013553,1.125897,0.096244,1599.696,notangry
64.21316,4.201738,1.297793,0.606354,0.889071,0.259485,194.6522,0.034598,0.072378,0.00018,0.033205,0.840753,0.07893,590.5922,notangry
84.60171,5.876019,1.515703,1.129026,0.901034,0.104146,72.52674,0.015169,0.020828,0.000072,0.010039,0.401306,0.103238,728.8981,notangry
84.60171,5.876019,1.515703,1.129026,0.901034,0.104146,72.52674,0.015169,0.020828,0.000072,0.010039,0.401306,0.103238,728.8981,notangry
78.05248,5.364002,1.472095,0.787024,0.887452,0.061588,42.70353,0.024166,0.046676,0.000264,0.004816,0.783191,0.116924,842.9282,notangry
78.05248,5.364002,1.472095,0.787024,0.887452,0.061588,42.70353,0.024166,0.046676,0.000264,0.004816,0.783191,0.116924,842.9282,notangry
78.05248,5.364002,1.472095,0.787024,0.887452,0.061588,42.70353,0.024166,0.046676,0.000264,0.004816,0.783191,0.116924,842.9282,notangry
77.80429,4.024121,1.167944,1.36981,0.872514,0.135104,102.7687,0.014337,0.067407,0.000968,0.008833,2.918893,0.132383,347.982,notangry
62.61242,3.759377,1.206695,0.524207,0.869605,0.063282,79.75022,0.017741,0.091187,0.000753,0.003182,0.94771,0.110636,411.5353,notangry
57.02025,3.347186,1.141491,0.442562,0.870555,0.114049,148.7198,0.018209,0.051342,0.000304,0.007761,1.117186,0.063695,404.5552,notangry
88.35477,6.165501,1.566753,1.019839,0.901047,0.164232,70.85562,0.008703,0.010469,0.000074,0.01857,0.195466,0.046812,732.5132,notangry
61.25741,3.371314,1.117917,0.463141,0.853981,0.121971,170.6964,0.07033,0.132639,0.000795,0.013489,3.506694,0.108764,419.0627,notangry
61.25741,3.371314,1.117917,0.463141,0.853981,0.121971,170.6964,0.07033,0.132639,0.000795,0.013489,3.506694,0.108764,419.0627,notangry
61.25741,3.371314,1.117917,0.463141,0.853981,0.121971,170.6964,0.07033,0.132639,0.000795,0.013489,3.506694,0.108764,419.0627,notangry
83.89369,5.627212,1.467258,1.037122,0.896982,0.089528,48.97509,0.022966,0.020533,0.000166,0.007793,0.487598,0.097152,701.7576,notangry
75.65916,5.613026,1.530552,0.970271,0.891726,0.102335,22.26867,0.014254,0.043126,0.000189,0.020932,0.368771,0.087178,848.7159,notangry
69.41359,3.939501,1.19045,0.696922,0.886827,0.07102,84.52229,0.017717,0.045404,0.000233,0.003565,0.857318,0.093704,316.2226,notangry
