@attribute mfcc_sma_de[9]_linregc2 numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_linregc1 numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {angry,notangry}

@data

1.736256,13.26635,-13.43556,1452,-1.901357,0.217793,3.18807,-7.968151,1.693621,2.082276,2.935306,264,11.51544,2.891839,0.000844,3.290568,2833,-0.836571,12.23304,10.46756,0.07804,0.140847,0.990304,0.130516,0.263405,0.010491,1.016772,1702,0.136778,0.000475,-0.179822,0.001862,-0.103946,-0.000124,0.001581,6.973089,0.019874,0.111692,-0.000095,0.000441,124.724,-0.000007,0.010323,angry
0.954097,5.756324,-6.928914,2010,1.004506,0.103441,2.894205,-21.08438,-3.091429,-3.82364,2.914042,2608,26.37527,2.597553,0.001178,3.169512,1636,-4.952686,18.92357,21.97891,0.008469,0.064666,1.616283,0.1385,0.508439,0.046081,0.190487,1791,-0.522964,-0.000401,-0.030159,-0.000816,0.054794,0.00276,0.00691,10.0541,-0.033485,0.142355,0.000309,0.001754,119.8081,-0.00019,0.28437,angry
0.42481,3.275247,-14.46821,618,2.165841,-0.178892,3.187634,-13.87962,-2.13033,-4.446819,2.958236,1337,11.78778,3.401135,0.000015,2.853618,76,-1.041605,6.572351,11.83381,0.043557,0.150413,0.092553,0.13311,0.233276,0.001474,1.756625,2814,-0.186734,0.000243,-0.123517,0.002453,0.12087,0.007997,0.003481,7.003323,-0.075729,0.068853,0.000088,0.000136,0,0,0,angry
0.063263,4.539979,-15.14951,548,2.766709,-0.58765,4.493307,-13.43904,2.69161,0.964523,3.698013,212,15.598,4.967725,-0.000312,4.427163,895,-1.304737,11.44426,11.88991,0.00484,0.14951,1.056946,0.122973,0.24105,0.005135,3.198552,26,-1.141485,-0.000269,-0.135526,-0.000336,-0.100932,-0.008908,-0.007306,7.371804,0.033889,0.108039,-0.000033,0.000298,85.17876,-0.000005,0.007518,angry
0.715535,4.964436,-13.7121,2743,4.645008,-0.285991,2.555791,-11.09652,2.504371,2.710205,3.081481,404,22.16035,2.75502,0.000019,2.981899,2841,-1.297462,12.45858,15.16609,0.012704,0.135972,1.25195,0.126864,0.270148,0.01214,1.474128,2900,0.115937,-0.000929,-0.608482,0.002442,0.149521,-0.00327,0.000144,7.601388,0.042539,0.090884,0.000023,0.000466,121.5441,-0.000022,0.032143,angry
0.514612,3.621663,-10.93206,1382,0.036094,0.2322,3.077804,-14.10366,-0.103672,-0.945727,3.499377,1319,19.55797,3.266285,-0.00063,3.241455,1614,-1.144719,12.0769,12.40426,0.013309,0.110737,0.611525,0.141602,0.253018,0.005663,1.76906,1328,-0.965846,-0.002788,-0.134945,-0.002472,0.29678,-0.001242,-0.005566,8.048151,-0.030742,0.125074,0.00002,0.000398,125.9408,-0.000004,0.006424,angry
-0.059617,3.753933,-14.01312,1123,4.06337,-0.338412,3.97716,-16.50601,-0.257919,-0.607591,3.425864,79,22.90553,5.589863,-0.000918,3.791448,2938,-0.947081,14.71322,16.73627,0.016334,0.132382,1.878415,0.136354,0.262717,0.01153,1.442935,656,0.470514,-0.000701,0.626161,-0.003439,-0.176049,-0.009955,0.00024,9.166253,0.104894,0.102126,-0.000049,0.000705,118.5556,-0.000016,0.023646,angry
0.81727,2.898201,-9.065349,486,-3.918312,-0.130949,3.143004,-15.52103,-0.768608,-1.573144,3.395216,1563,31.25424,3.061689,-0.002022,3.323725,1209,-2.158168,15.44143,29.66766,0.010284,0.09364,1.166239,0.149092,0.440417,0.029597,0.43214,2555,-0.818808,0.001985,-0.195313,0.003313,0.00705,-0.010568,-0.004543,9.701412,-0.15848,0.145671,-0.000406,0.00158,122.2728,-0.000057,0.047635,angry
0.331246,2.667372,-13.12992,180,-2.155399,-0.286306,3.097054,-12.85845,-1.69906,-2.0779,2.847695,160,14.17995,2.857626,-0.00026,2.926324,1387,-4.710544,10.59375,13.97293,0.042952,0.140821,0.491178,0.130619,0.225088,0.003527,1.805015,914,-0.864685,-0.000174,0.120017,-0.00027,0.181785,-0.0014,-0.001113,7.096528,-0.233039,0.085704,0.000069,0.000321,69.14832,-0.000001,0.000854,angry
0.412424,2.444373,-7.859869,383,7.458747,-0.340892,4.002049,-14.1419,4.393435,8.143451,3.114571,2577,23.39901,4.126382,0.000992,3.597349,2894,0.38159,12.73973,16.07185,0.00363,0.040171,5.282501,0.146307,0.339397,0.01982,0.572984,538,0.071008,-0.003326,-0.02044,0.004086,0.018886,-0.003224,-0.000584,8.812771,-0.021603,0.113377,-0.000064,0.001274,109.0358,0.000094,-0.074075,angry
